HOLE:	U1507B
EXPEDITION:	371
TOP:	-0.0336
BOTTOM:	829.0226
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	m3/m3
-0.0336	0.7530946	0.4545355	0.02514783	-0.00194704	0.04054684	-0.01407446
0.1188	0.693103	0.2787985	0.01694334	-0.01008406	0.06390309	-0.01407446
0.2712	0.4872169	0.1784183	0.008729051	0.005922938	0.0358372	-0.01407446
0.4236	0.157439	0.06427786	0.003398368	0.0006491198	0.009443855	-0.01407446
0.5760	0.1851448	0.1116658	0.005170981	0.005417815	0.002366529	-0.01407446
0.7284	0.3014476	0.165832	0.008108051	0.005535639	0.002295573	-0.01407446
0.8808	0.5706634	0.2652705	0.01286064	0.009494911	0.002503064	-0.01407446
1.0332	0.573551	0.04166402	0.002340596	-0.0003858178	0.04430827	-0.01407446
1.1856	0.6567171	0.08232812	0.008030544	-0.02070093	0.04643396	-0.01407446
1.3380	0.6499063	0.2374962	0.01533144	-0.01384848	0.01904276	-0.01407446
1.4904	0.2508053	0.046324	0.003208369	-0.003977161	0.01758802	-0.01407446
1.6428	0.344352	0.08100531	0.007029095	-0.01526092	0.0219676	-0.01407446
1.7952	0.2614451	0.1087372	0.006861105	-0.005413279	0.009009859	-0.01407446
1.9476	0.4846399	0.2910175	0.01998942	-0.02401216	-0.002137953	-0.01407446
2.1000	0.3730288	0.1525985	0.01310214	-0.02793298	0.009581949	-0.01407446
2.2524	0.3162108	0.161339	0.01164164	-0.01658855	0.01037628	-0.01407446
2.4048	0.3517902	0.316957	0.01744802	-0.0008420651	-0.0004371868	-0.01407446
2.5572	0.379684	0.2431449	0.01311378	0.0009405598	0.01674486	-0.01407446
2.7096	0.6283138	0.3741946	0.01807899	0.01375877	0.02455718	-0.01407446
2.8620	0.5831445	0.2863744	0.01483937	0.00465548	0.02668902	-0.01407446
3.0144	0.4722898	0.1172877	0.005667055	0.004310614	0.0471703	-0.01407446
3.1668	0.6637452	0.2270554	0.01111361	0.007508435	0.04005995	-0.01407446
3.3192	0.8056506	0.1588296	0.008881515	-0.001230386	0.05824271	-0.01407446
3.4716	0.7465821	0.1891833	0.01251477	-0.01279969	0.06668216	-0.01407446
3.6240	0.2181655	0.05289257	0.003809788	-0.005398574	0.02295982	-0.01407446
3.7764	0.02581934	0.005100556	0.00037522	-0.0005664518	0.002795771	-0.01407446
3.9288	0.04288523	-0.0000604	0.0003937872	-0.00232474	0.00566107	-0.01407446
4.0812	0.7627429	-0.07522188	0.004730664	-0.05173935	0.1080723	-0.01407446
4.2336	1.002295	-0.1693017	0.004314711	-0.07937492	0.1379999	-0.01407446
4.3860	1.278351	0.02190438	0.01767448	-0.09647568	0.1378446	-0.01407446
4.5384	1.080337	0.1930977	0.01929117	-0.051222	0.09318282	-0.01407446
4.6908	1.356403	0.5266653	0.03811958	-0.05483671	0.06686623	-0.01407446
4.8432	1.227092	0.4224207	0.02927595	-0.03638038	0.07139936	-0.01407446
4.9956	0.9977755	0.306707	0.02200219	-0.03078101	0.07357769	-0.01407446
5.1480	0.5549303	0.03324703	0.005311898	-0.02047244	0.04887898	-0.01407446
5.3004	0.464408	0.05902706	0.004736628	-0.00886432	0.03467691	-0.01407446
5.4528	0.3982525	0.09734255	0.006139445	-0.004830467	0.02190675	-0.01407446
5.6052	0.1850189	0.09094828	0.003988768	0.005717153	0.002872818	-0.01407446
5.7576	0.1818731	0.1345492	0.005015925	0.01363974	-0.00591911	-0.01407446
5.9100	0.2196272	0.2240856	0.009320731	0.01705539	-0.01198205	-0.01407446
6.0624	0.4542663	0.476588	0.01837041	0.04478053	-0.02345308	-0.01407446
6.2148	0.5002033	0.3409767	0.01704976	0.009166351	0.004394975	-0.01407446
6.3672	0.4781969	0.2903587	0.01260107	0.01903281	0.006763175	-0.01407446
6.5196	0.6409722	0.3986961	0.020039	0.01011434	0.004681476	-0.01407446
6.6720	0.6072428	0.3870873	0.02012842	0.005880313	-0.00867406	-0.01407446
6.8244	0.5133589	0.3305728	0.01698601	0.006214289	0.005790719	-0.01407446
6.9768	0.4691122	0.2804352	0.01246203	0.01667501	0.001924685	-0.01407446
7.1292	0.6218851	0.5453932	0.01734639	0.07276776	-0.02117219	-0.01407446
7.2816	0.3831545	0.3407284	0.01194976	0.03894594	-0.01616047	-0.01407446
7.4340	0.2652679	0.2150606	0.00750032	0.02482847	-0.004106681	-0.01407446
7.5864	0.1915211	0.1679617	0.006217544	0.0172843	-0.006881561	-0.01407446
7.7388	0.4700104	0.3583693	0.01208388	0.04379912	-0.0004876415	-0.01407446
7.8912	0.5043457	0.5236062	0.01674492	0.06932576	-0.02765089	-0.01407446
8.0436	0.4054367	0.2574657	0.007600216	0.03779778	0.003595532	-0.01407446
8.1960	0.359335	0.2188555	0.005926828	0.03525375	0.008202796	-0.01407446
8.3484	0.5915636	0.2620444	0.005061191	0.05412637	0.02896108	-0.01407446
8.5008	0.6819234	0.4254088	0.01072201	0.07320085	0.002722169	-0.01407446
8.6532	0.8573448	0.2925939	0.002311734	0.07998831	0.0470208	-0.01407446
8.8056	0.7034535	0.1893958	-0.01254619	0.1339909	0.05942591	-0.01407446
8.9580	0.6687788	0.02423903	-0.02016698	0.1258182	0.1000147	-0.01407446
9.1104	0.4907859	-0.03454885	-0.01623069	0.08398213	0.07583892	-0.01407446
9.2628	0.3646982	-0.09543807	-0.0156956	0.06138719	0.07265344	-0.01407446
9.4152	0.5090807	-0.2602849	-0.02748756	0.07773469	0.1259459	-0.01407446
9.5676	0.647242	-0.1993431	-0.03112984	0.1185379	0.1500281	-0.01407446
9.7200	0.5663078	-0.131733	-0.02739942	0.1183079	0.1397724	-0.01407446
9.8724	0.4766234	-0.1740092	-0.02506247	0.09111312	0.138003	-0.01407446
10.0248	0.3905874	-0.0273705	-0.01453118	0.07632653	0.1012578	-0.01407446
10.1772	0.508073	-0.1896202	-0.02579452	0.09040894	0.15468	-0.01407446
10.3296	0.4840342	-0.2350736	-0.02478503	0.06997041	0.1487271	-0.01407446
10.4820	0.6181218	-0.4490007	-0.02297956	-0.008978124	0.2078813	-0.01407446
10.6344	0.7636049	-0.5297358	-0.02306881	-0.03426083	0.2231295	-0.01407446
10.7868	0.640837	-0.3530947	-0.01767408	-0.009384868	0.1685493	-0.01407446
10.9392	0.4499148	-0.2712554	-0.01423598	-0.00335534	0.118127	-0.01407446
11.0916	0.1493638	-0.04999688	-0.003911132	0.006917674	0.03200429	-0.01407446
