HOLE:	U1507B
EXPEDITION:	371
TOP:	740.1731
BOTTOM:	828.8699
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	m3/m3
740.1731	12.18945	8.749207	0.1486136	1.934839	0.5212435	0.0003198623
740.3255	12.18945	8.749207	0.1486136	1.934839	0.5212435	0.0003198623
740.4779	12.18945	8.749207	0.1486136	1.934839	0.5212435	0.0003198623
740.6303	12.18945	8.749207	0.1486136	1.934839	0.5212435	0.0003198623
740.7827	12.18945	8.749207	0.1486136	1.934839	0.5212435	0.0003198623
740.9351	12.18945	8.749207	0.1486136	1.934839	0.5212435	0.0003198623
741.0875	12.59361	9.292768	0.1837039	1.903658	0.4848909	0.0003198623
741.2399	12.39666	9.527179	0.2104467	1.822239	0.4522738	0.0003198623
741.3923	12.32498	9.693988	0.224624	1.792713	0.4247662	0.0003198623
741.5447	12.02384	9.171122	0.2170161	1.669628	0.4450115	0.0003198623
741.6971	11.84843	9.236688	0.2181426	1.684053	0.4343615	0.0003198623
741.8495	12.19944	8.174134	0.2447718	1.187502	0.5880383	0.0003198623
742.0019	13.21417	9.16183	0.2714397	1.348018	0.6527032	0.0003198623
742.1543	14.29055	9.86874	0.2765853	1.544521	0.7300801	0.0003198623
742.3067	13.92708	8.657277	0.2668254	1.213278	0.8245551	0.0003198623
742.4591	13.52171	8.894564	0.2561335	1.351947	0.7188318	0.0003198623
742.6115	13.62413	8.690055	0.2639264	1.240758	0.7219747	0.0003198623
742.7639	13.94855	9.084224	0.277738	1.286263	0.7263997	0.0003198623
742.9163	13.41522	9.194374	0.2375177	1.557051	0.6415912	0.0003198623
743.0687	12.36285	8.531774	0.2195469	1.44984	0.5754302	0.0003198623
743.2211	12.06799	9.190745	0.222426	1.644245	0.4692181	0.0003198623
743.3735	11.94557	8.993607	0.2071625	1.670405	0.4343261	0.0003198623
743.5259	11.60873	8.099318	0.18056	1.539453	0.5121449	0.0003198623
743.6783	11.27194	8.27126	0.1841778	1.573395	0.4332199	0.0003198623
743.8307	11.25519	8.576238	0.2052722	1.547668	0.394491	0.0003198623
743.9831	11.27777	9.758421	0.2324729	1.767414	0.2436549	0.0003198623
744.1355	11.87098	9.735385	0.2223974	1.819019	0.3714693	0.0003198623
744.2879	11.66743	10.50892	0.2156682	2.106404	0.2659115	0.0003198623
744.4403	12.0077	10.36023	0.2060365	2.115125	0.3189845	0.0003198623
744.5927	11.18382	9.724303	0.2280832	1.782179	0.2625769	0.0003198623
744.7451	11.75784	9.697468	0.2164352	1.841771	0.3443209	0.0003198623
744.8975	11.40533	9.034445	0.2292444	1.554218	0.3461778	0.0003198623
745.0499	12.45081	10.36731	0.2457416	1.88494	0.3286587	0.0003198623
745.2023	12.47076	10.73983	0.267882	1.874741	0.2321271	0.0003198623
745.3547	12.7517	10.60172	0.2851042	1.729635	0.2734837	0.0003198623
