HOLE:	U1507B
EXPEDITION:	371
TOP:	70.0964
BOTTOM:	815.9418
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
70.0964	0.01423109	0.02297723	0.02877135	0.04000299	0.06020204	0.02977908	0.0597263
70.2488	0.0175931	0.02246892	0.0305578	0.03023638	0.05051463	0.02905016	0.05066804
70.4012	0.06751932	0.0875005	0.2321589	0.2211214	0.3049401	0.02793284	0.4631158
70.5536	0.02957065	0.1844097	0.314451	0.3182327	0.8313742	0.02960405	1.345994
70.7060	0.02234255	0.0430068	0.04184652	0.03889009	0.05061152	0.03980606	0.05086274
70.8584	0.02852741	0.08270647	0.07829484	0.07920761	0.1452769	0.03547389	0.1531342
71.0108	0.3333833	0.2977506	0.2821898	0.2568532	0.2971622	0.03106219	0.2525356
71.1632	0.2181415	0.1914861	0.21135	0.2112935	0.2876915	0.04946207	0.2649218
71.3156	99946.33	99948.08	99949.62	99950.49	99951.92	0.0833349	99951.7
71.4680	724.4481	723.3707	763.9061	850.8644	1056.363	0.1104714	1237.454
71.6204	1337.446	1362.492	1369.945	1398.105	1483.094	0.1752518	1550.897
71.7728	1.242499	1.256713	1.367005	1.541826	2.068001	0.2912227	2.502772
71.9252	0.8601609	0.8868576	0.9239681	0.9146482	1.060204	0.3646852	1.072862
72.0776	0.977016	1.099041	1.157201	1.233046	1.291745	0.3444286	1.486185
72.2300	1.369004	0.990502	0.7206854	0.4898371	0.06498089	0.3343776	0.0001573802
72.3824	1.065193	1.122671	1.418476	1.513092	1.64397	0.31251	1.915653
72.5348	0.9608966	0.982128	1.018748	1.080072	1.285449	0.3422599	1.358891
72.6872	0.9519346	0.9847159	1.033304	1.091206	1.286743	0.3654406	1.377977
72.8396	0.9457861	0.9797387	1.027911	1.084812	1.289971	0.3621547	1.379287
72.9920	0.9318373	0.9712439	1.019675	1.0743	1.30809	0.3629821	1.401358
73.1444	0.9293113	0.9660732	1.013133	1.067421	1.313338	0.3640149	1.418679
73.2968	0.932196	0.9699305	1.018574	1.071075	1.336153	0.3635383	1.457204
73.4492	0.9445146	0.9755231	1.020443	1.0711	1.35289	0.363314	1.474736
73.6016	0.9299023	0.9658262	1.00982	1.060796	1.345329	0.3664406	1.478183
73.7540	0.9342364	0.9687115	1.014117	1.065549	1.374794	0.3689407	1.519328
