HOLE:	U1507B
EXPEDITION:	371
TOP:	70.0704
BOTTOM:	855.9974
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
70.0704	0.08473083	0.09507591	0.2027002	0.1920007	0.3149666	0.001782495	0.4172729
70.2228	0.05836747	0.02867722	0.02284991	0.02098664	96193.71	0.001840537	96229.41
70.3752	0.007762878	0.007253495	0.006799632	0.006221881	0.006942582	0.001516503	0.007722777
70.5276	7.428157	7.258285	7.66261	6.914283	11.36893	0.001333424	10.14562
70.6800	97581.82	0.01378431	0.03166094	0.02818188	0.08735263	0.003398067	0.09652385
70.8324	4.896761	5.474403	6.248365	5.919879	8.113828	0.01395042	8.693416
70.9848	0.657553	0.6651846	0.6804587	0.6994688	0.8945398	0.02615953	0.9602928
71.1372	0.8822885	0.8744115	0.9675346	1.111704	1.608976	0.1356543	1.923933
71.2896	0.7854797	0.9094003	0.9587833	1.033218	1.333852	0.1380078	1.612857
71.4420	0.8049136	0.9130639	0.9760204	1.069709	1.393121	0.1441195	1.698823
71.5944	0.8046023	0.9198874	0.9869816	1.083079	1.415594	0.1494762	1.736436
71.7468	0.8089113	0.9087314	0.9827467	1.077064	1.402221	0.1767038	1.719662
71.8992	0.8356196	0.9186868	1.015741	1.148383	1.517993	0.1897003	1.874146
72.0516	0.6729138	0.8340588	1.258182	1.525594	2.129964	0.1966232	2.949457
72.2040	0.7980427	0.8430044	0.8865728	0.9292026	1.11863	0.1791267	1.233358
72.3564	0.8096521	0.8580129	0.9023938	0.9442685	1.174819	0.1587631	1.295082
72.5088	0.7926518	0.8418033	0.885181	0.9247096	1.192443	0.153062	1.312642
72.6612	0.7972146	0.8442274	0.8862738	0.9264447	1.193683	0.152933	1.310854
72.8136	0.8010764	0.847085	0.8888245	0.9288005	1.195059	0.1526536	1.315698
72.9660	0.793528	0.8384534	0.8823512	0.9210733	1.187205	0.1529916	1.315265
73.1184	0.7925142	0.8390173	0.8782071	0.9175557	1.19548	0.1528377	1.330282
73.2708	0.7898259	0.839835	0.8799021	0.920018	1.230671	0.1526561	1.368072
73.4232	0.7932702	0.8380734	0.8786473	0.9170841	1.195557	0.1527161	1.309878
73.5756	0.7991875	0.8438095	0.8841411	0.9240492	1.187673	0.1531935	1.293428
73.7280	0.7989429	0.8426904	0.8843275	0.9241639	1.178715	0.1541819	1.281434
73.8804	0.7922325	0.8395938	0.8827429	0.9241476	1.179894	0.1551237	1.276246
74.0328	0.7966928	0.8411909	0.8841569	0.9238702	1.165196	0.1558522	1.238612
74.1852	0.8007028	0.8450016	0.8869105	0.9255765	1.110015	0.1567695	1.186155
74.3376	0.8148142	0.8662154	0.9088296	0.9472041	1.094364	0.1559592	1.18243
74.4900	0.8095096	0.8605179	0.9044008	0.9378915	1.086102	0.1573178	1.172899
74.6424	0.8036738	0.8506333	0.8929187	0.9255479	1.085602	0.160091	1.165399
74.7948	0.8007846	0.8437435	0.8830823	0.9168185	1.073897	0.1619744	1.149229
74.9472	0.8358189	0.8715616	0.9102695	0.9457994	1.104283	0.1634167	1.176494
75.0996	0.8380056	0.8797434	0.919514	0.9593111	1.122455	0.1657636	1.200806
75.2520	0.8496329	0.8919074	0.930472	0.972635	1.13684	0.170296	1.216264
75.4044	0.8319055	0.8669356	0.9051746	0.9488442	1.102213	0.174545	1.178862
75.5568	0.8809254	0.9240516	0.9709776	1.020945	1.194388	0.1725048	1.284464
75.7092	0.8638668	0.9103324	0.9555415	1.001976	1.166018	0.1679259	1.255783
75.8616	0.8339348	0.8742478	0.9156433	0.9599247	1.114668	0.1654063	1.197484
76.0140	0.8033612	0.8413325	0.8780578	0.9214638	1.067171	0.1593275	1.144563
76.1664	0.8009765	0.842877	0.8796725	0.9236182	1.070001	0.1519939	1.149184
76.3188	0.7921332	0.8378971	0.8763734	0.9223074	1.072334	0.1497349	1.156126
76.4712	0.7948227	0.8368387	0.8743448	0.9213166	1.069612	0.1491398	1.150582
76.6236	0.7863708	0.8315668	0.867982	0.9135312	1.060426	0.1487335	1.142064
76.7760	0.7848319	0.8336315	0.8717672	0.91862	1.066401	0.1475893	1.152545
76.9284	0.7875284	0.8360593	0.8780423	0.9246975	1.070074	0.1470644	1.160452
77.0808	0.7804813	0.8336469	0.8780746	0.9248628	1.066017	0.1462282	1.162067
77.2332	0.7963946	0.8466203	0.892176	0.9389485	1.077901	0.1450697	1.173539
77.3856	0.7790956	0.8334244	0.8813034	0.9269651	1.067653	0.1460268	1.166843
77.5380	0.7632483	0.8180459	0.8649269	0.9105315	1.051574	0.1467592	1.149671
77.6904	0.7791328	0.8284222	0.8723951	0.9162171	1.055774	0.1453541	1.146971
77.8428	0.7761507	0.82905	0.8721238	0.9158096	1.058351	0.1446562	1.151579
77.9952	0.7777755	0.8283867	0.8722043	0.9133877	1.055914	0.1439607	1.146409
78.1476	0.7758524	0.827216	0.872126	0.9138587	1.057791	0.1439461	1.149874
78.3000	0.7769619	0.8303103	0.8728729	0.9159106	1.056615	0.1435332	1.149015
78.4524	0.7826835	0.8316578	0.8754694	0.9195077	1.06283	0.1436249	1.153624
78.6048	0.7849059	0.8339491	0.876096	0.9167033	1.058959	0.1444285	1.146902
78.7572	0.7773859	0.8314002	0.8739063	0.9129963	1.061303	0.144717	1.15094
78.9096	0.7996116	0.849667	0.893103	0.9315279	1.072107	0.1444697	1.160616
79.0620	0.8000073	0.8452892	0.8854218	0.92365	1.062214	0.1474274	1.145986
79.2144	0.7843522	0.83399	0.8793334	0.9227648	1.074957	0.1509122	1.165664
79.3668	0.8134848	0.8617847	0.9038355	0.9495662	1.101685	0.1539771	1.19139
79.5192	0.810348	0.8597556	0.9041436	0.9510532	1.104609	0.1595011	1.197359
79.6716	0.8107384	0.8618215	0.9044541	0.9525162	1.097817	0.162946	1.193573
79.8240	0.8085866	0.8558279	0.899121	0.9459369	1.098775	0.1643791	1.189591
79.9764	0.8213215	0.8653823	0.9089608	0.9566948	1.111704	0.1650638	1.200879
80.1288	0.8194597	0.8624115	0.9055116	0.952408	1.106435	0.1650982	1.193878
80.2812	0.8098813	0.8597122	0.90218	0.9499965	1.104117	0.1652484	1.196148
80.4336	0.8120384	0.8593915	0.9039249	0.9506362	1.106633	0.1649408	1.197629
80.5860	0.8102176	0.8604531	0.9035636	0.949472	1.1059	0.161982	1.197431
80.7384	0.7940319	0.8384603	0.8830877	0.9272793	1.085874	0.1614041	1.173839
80.8908	0.7912582	0.8322588	0.870659	0.9151017	1.074938	0.1612242	1.153895
81.0432	0.775208	0.8166012	0.8556942	0.8977289	1.053543	0.1624613	1.1328
81.1956	0.7481186	0.7897363	0.8303865	0.8640856	1.012117	0.1649048	1.088637
81.3480	0.7673571	0.8061479	0.8440084	0.8797495	1.026656	0.1659666	1.101021
81.5004	0.7719597	0.8131679	0.8493811	0.8852641	1.030999	0.1678152	1.106035
81.6528	0.7595336	0.8031045	0.8405405	0.877153	1.023331	0.1693919	1.101236
81.8052	0.7675134	0.806842	0.844385	0.8804613	1.023603	0.1702636	1.099171
81.9576	0.7587713	0.8053623	0.8423491	0.8777433	1.024185	0.1690979	1.10307
82.1100	0.7726546	0.8136469	0.8524969	0.8905436	1.040949	0.1659343	1.118762
82.2624	0.7605355	0.8001249	0.8382992	0.8779737	1.026506	0.1648659	1.103903
82.4148	0.7496393	0.7883753	0.8297068	0.8667126	1.019783	0.1650793	1.097492
82.5672	0.7515966	0.7900099	0.8322928	0.8679406	1.026103	0.1666337	1.10218
82.7196	0.7703063	0.8133942	0.854263	0.8923265	1.042749	0.1686897	1.123822
82.8720	0.7468947	0.7940338	0.8324897	0.8667429	1.016462	0.1707648	1.095195
83.0244	0.7811481	0.8196867	0.8564395	0.8874503	1.042675	0.1759439	1.11233
83.1768	0.7554154	0.7847753	0.8191836	0.845117	0.987304	0.1811595	1.048522
83.3292	0.7591391	0.7930983	0.8298863	0.8577746	1.009737	0.1813822	1.075414
83.4816	0.7874459	0.8210481	0.8553616	0.885721	1.043936	0.1819787	1.108614
83.6340	0.790147	0.8201952	0.8542303	0.887032	1.043158	0.1872625	1.107307
83.7864	0.7757468	0.8076224	0.8416776	0.8776366	1.035592	0.1910128	1.101031
83.9388	0.7842403	0.8220416	0.8560277	0.8931512	1.053013	0.1912999	1.12305
84.0912	0.800767	0.8306929	0.861834	0.8975822	1.052314	0.1936232	1.115725
84.2436	0.7967406	0.8275283	0.8599467	0.8969326	1.056153	0.1954266	1.121158
84.3960	0.7863664	0.8156512	0.8524832	0.8905635	1.053257	0.2000076	1.121426
84.5484	0.7927716	0.8202356	0.8555167	0.8912987	1.04791	0.2051388	1.112687
84.7008	0.8041757	0.8357536	0.8720201	0.9059752	1.064799	0.2031537	1.131028
84.8532	0.841215	0.8787227	0.916315	0.9458573	1.111862	0.1959305	1.179234
85.0056	0.8478531	0.8760251	0.909997	0.9300044	1.093189	0.1936488	1.146927
85.1580	0.8253613	0.8552964	0.8907106	0.9123965	1.078416	0.1917661	1.135534
85.3104	0.8165832	0.8513564	0.8857047	0.9088182	1.076353	0.1880967	1.13592
85.4628	0.8186271	0.849903	0.8855614	0.9080426	1.074439	0.1870025	1.131931
85.6152	0.8171391	0.8453587	0.8769041	0.9062431	1.068697	0.1895782	1.125183
85.7676	0.8180373	0.8445386	0.8691924	0.9095021	1.065649	0.1955478	1.122095
85.9200	0.8222477	0.8512387	0.8863556	0.9280534	1.080404	0.2080818	1.151296
86.0724	0.8235371	0.8720041	0.9156191	0.9602945	1.120492	0.221715	1.211781
86.2248	0.9227337	0.9670241	1.009161	1.056312	1.222767	0.2195905	1.310803
86.3772	0.9462827	0.9867551	1.0268	1.069474	1.233175	0.2196677	1.314695
86.5296	0.9039161	0.9422609	0.9812045	1.020451	1.177513	0.2184301	1.254898
86.6820	0.9010677	0.9406807	0.9806978	1.01958	1.180138	0.2018909	1.257976
86.8344	0.8566825	0.893021	0.9290922	0.9659266	1.114756	0.1914408	1.187082
86.9868	0.784301	0.8161912	0.8472607	0.8816397	1.0166	0.1847485	1.081452
87.1392	0.7717503	0.7985944	0.8313784	0.8671946	1.005135	0.1753918	1.066518
87.2916	0.7916111	0.8129911	0.8416874	0.8810947	1.017929	0.1695821	1.073696
87.4440	0.7992772	0.8261608	0.8523802	0.8945928	1.033953	0.1725724	1.093451
87.5964	0.7958369	0.8305666	0.8532211	0.896763	1.033295	0.1754174	1.095528
87.7488	0.8306341	0.864393	0.8973292	0.9369018	1.07693	0.1797302	1.146156
87.9012	0.7651489	0.7962914	0.8289346	0.8624967	0.982339	0.1889027	1.047685
88.0536	0.8235084	0.8646812	0.8973534	0.9335663	1.057322	0.1865374	1.130647
88.2060	0.8629375	0.9049348	0.9410338	0.9778637	1.108347	0.1862822	1.184918
88.3584	0.8622645	0.906359	0.9446979	0.980116	1.110295	0.1820671	1.18979
88.5108	0.8989511	0.9364806	0.9747373	1.015087	1.145677	0.174736	1.223427
88.6632	0.7858456	0.8245741	0.8565649	0.8913502	1.010234	0.1731877	1.080782
88.8156	0.8043248	0.832135	0.8694865	0.9044846	1.02515	0.1618904	1.091219
88.9680	0.7945736	0.8300285	0.8633723	0.9018685	1.022199	0.1561529	1.092077
