HOLE:	U1507B
EXPEDITION:	371
TOP:	740.1731
BOTTOM:	855.9970
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
740.1731	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
740.3255	3.281782	3.16844	3.161881	3.190996	3.312568	0.2714302	3.225074
740.4779	3.281782	3.16844	3.161881	3.190996	3.312568	0.2714302	3.225074
740.6303	3.290073	3.173042	3.1654	3.204042	3.318633	0.2714425	3.232292
740.7827	3.293581	3.169813	3.162852	3.202327	3.320161	0.2715146	3.23185
740.9351	3.294058	3.173239	3.165926	3.197784	3.31885	0.2713944	3.231975
741.0875	3.28156	3.1653	3.158625	3.192513	3.312633	0.271434	3.224164
741.2399	3.293016	3.169037	3.166263	3.196877	3.313966	0.2711584	3.229756
741.3923	3.28562	3.167327	3.15834	3.190866	3.308769	0.2707883	3.224021
741.5447	3.264385	3.136014	3.117342	3.153023	3.271363	0.270806	3.190267
741.6971	3.252452	3.118856	3.097488	3.12507	3.241252	0.2704772	3.168564
741.8495	3.270864	3.128564	3.101265	3.130984	3.253553	0.2694042	3.178485
742.0019	3.227227	3.090427	3.073379	3.098487	3.226345	0.2690564	3.145076
742.1543	3.020185	2.888127	2.876839	2.897928	3.021972	0.2701802	2.943079
742.3067	2.931432	2.819271	2.79137	2.817084	2.934507	0.2705945	2.860356
742.4591	3.041833	2.919339	2.895931	2.919765	3.04052	0.270666	2.965246
742.6115	3.161188	3.029371	3.004798	3.023919	3.150706	0.2702403	3.075359
742.7639	3.294371	3.16554	3.150756	3.180303	3.308645	0.2706767	3.222034
742.9163	3.16009	3.057984	3.041606	3.064894	3.20023	0.2716839	3.106431
743.0687	3.302519	3.173419	3.168303	3.186891	3.343266	0.2709914	3.237492
743.2211	3.315217	3.181299	3.183245	3.200697	3.361896	0.2708455	3.245395
743.3735	3.310438	3.182745	3.186592	3.19536	3.358946	0.2710407	3.244255
743.5259	3.317957	3.183898	3.184866	3.206449	3.366039	0.2707859	3.248598
743.6783	3.347928	3.225333	3.215143	3.249642	3.411253	0.2708734	3.295377
743.8307	3.302391	3.179194	3.15964	3.209133	3.364653	0.271137	3.248739
743.9831	3.302328	3.179322	3.157376	3.207488	3.36329	0.2715736	3.247542
744.1355	3.292998	3.174358	3.156215	3.204339	3.360744	0.2720886	3.243011
744.2879	3.463812	3.323466	3.346489	3.402591	3.579369	0.2710503	3.445625
744.4403	3.695222	3.582485	3.556781	3.571267	3.762975	0.2699962	3.641053
744.5927	3.272968	3.146418	3.121963	3.133944	3.301285	0.2707693	3.197167
744.7451	3.260913	3.144962	3.117536	3.137293	3.304808	0.270773	3.195285
744.8975	3.266004	3.141045	3.115221	3.137259	3.301526	0.2701593	3.194187
745.0499	3.261521	3.137909	3.112764	3.137126	3.300838	0.2703313	3.192293
745.2023	3.255483	3.135694	3.105572	3.131185	3.297141	0.2701983	3.187135
745.3547	3.247054	3.122052	3.08954	3.116086	3.274725	0.2698231	3.172048
745.5071	3.137872	2.993168	2.957758	2.993594	3.140635	0.2699901	3.04703
