HOLE:	U1507B
EXPEDITION:	371
TOP:	-0.0076
BOTTOM:	815.9418
DEPTH_WMSF	TENS	CS	ETIM
m	lbf	ft/h	s
-0.0076	5004.004	3016	314.714
0.1448	4942.992	3005	315.3172
0.2972	4916.959	3004.998	315.9254
0.4496	4857.064	3002.002	316.5356
0.6020	4917.989	3004	317.1449
0.7544	4868.013	3006.001	317.7561
0.9068	4939.015	3014.008	318.3623
1.0592	4965.979	3027.994	318.9596
1.2116	4944.1	3021.99	319.5698
1.3640	5020.999	3014	320.18
1.5164	5003.977	3013.999	320.7903
1.6688	4949.997	3011.995	321.4005
1.8212	4945.938	3005.998	322.0007
1.9736	4893.003	3004	322.603
2.1260	4909.992	3007	323.2202
2.2784	4883.952	3006.001	323.8224
2.4308	4813.081	3008.005	324.4086
2.5832	4890.985	3012.999	325.0099
2.7356	4918.017	3014.999	325.6191
2.8880	5015.034	3011	326.2303
3.0404	5076.983	3011.001	326.8326
3.1928	5059.133	3011.999	327.4408
3.3452	5163	3011	328.05
3.4976	5171.973	3010.001	328.6523
3.6500	5106.965	3013.011	329.2625
3.8024	5062.956	3027.009	329.8637
3.9548	5025.003	3034.999	330.4609
4.1072	4987.965	3023.996	331.0582
4.2596	4867.983	3008.994	331.6594
4.4120	4842.997	3000.003	332.2616
4.5644	4840	3002.999	332.8629
4.7168	4823.991	3002	333.4661
4.8692	4771.034	3002	334.0763
5.0216	4835.023	3001.997	334.6786
5.1740	4861.028	2999.008	335.2728
5.3264	4883.003	3005.001	335.874
5.4788	4960.013	3028	336.4772
5.6312	4992.025	3027.989	337.0845
5.7836	5025.023	3013.999	337.6867
5.9360	5044.998	3013	338.2959
6.0884	5052.997	3015	338.9062
6.2408	5041.008	3016.999	339.5164
6.3932	5052.976	3014.997	340.1186
6.5456	5029.005	3012.001	340.7209
6.6980	4985.996	3017.001	341.3131
6.8504	4957	3023.996	341.9153
7.0028	4955.955	3015.998	342.5255
7.1552	4905.019	3013.979	343.1278
7.3076	4919.999	2997	343.729
7.4600	4883.986	2989.998	344.3383
7.6124	4849.943	2984.002	344.9485
7.7648	4776.038	2987.007	345.5507
7.9172	4808.997	2993	346.1519
8.0696	4831.007	2992.002	346.7542
8.2220	4857.002	2998.004	347.3554
8.3744	4861.08	3005.007	347.9416
8.5268	4939.982	3011.999	348.5489
8.6792	4994.004	3006.999	349.1511
8.8316	5023.98	3001.999	349.7613
8.9840	4985.011	3000	350.3625
9.1364	4997.022	3000.004	350.9727
9.2888	5014.999	3003	351.582
9.4412	4952.989	3006.003	352.1842
9.5936	4923.969	3013.996	352.7865
9.7460	4883.009	3008.996	353.3807
9.8984	4890.999	3005	353.9879
10.0508	4841.02	2999	354.5901
10.2032	4917	3000.999	355.1994
10.3556	4918.065	2998.993	355.8006
10.5080	4982.985	2992.002	356.4099
10.6604	4968.005	2994	357.0121
10.8128	5007.01	2993.002	357.6143
10.9652	5025.978	2997.01	358.2165
11.1176	4999.942	3008.004	358.8187
11.2700	4953	3011	359.403
11.4224	4889.001	3002.999	360.0062
11.5748	4891.967	3001	360.6145
11.7272	4847.971	3000.998	361.2167
11.8796	4822.003	2999	361.8259
12.0320	4805.001	2991.999	362.4272
12.1844	4808.036	2989.003	363.0294
12.3368	4866.059	2994.027	363.6376
12.4892	4925.985	3020.993	364.2379
12.6416	4941.004	3020.998	364.8481
12.7940	4973.012	3004	365.4503
12.9464	4996.996	3002.999	366.0535
13.0988	4991.948	3002.001	366.6467
13.2512	4950	3003	367.248
13.4036	4967.978	3001	367.8492
13.5560	4907.978	2999.994	368.4594
13.7084	4878.014	2992.002	369.0607
13.8608	4890.999	2994	369.6629
14.0132	4799.008	3006.002	370.2642
14.1656	4832.01	3013.993	370.8724
14.3180	4849.002	3002.997	371.4746
14.4704	4851	3000.001	372.0839
14.6228	4880.002	3000	372.679
14.7752	4903.017	3001	373.2723
14.9276	4938.973	3001.998	373.8805
15.0800	4907.073	2999.005	374.4827
15.2324	4966.999	3003	375.083
15.3848	4968.992	3014	375.6852
15.5372	4945.012	3013.996	376.2954
15.6896	4961.943	3007.995	376.8987
15.8420	4910.007	3003.001	377.5069
15.9944	4893.99	2995.999	378.1161
16.1468	4849.996	2993.002	378.7234
16.2992	4843.034	2996.999	379.3206
16.4516	4877.991	2996	379.9298
16.6040	4844	2996	380.5311
16.7564	4838.996	2997.005	381.1413
16.9088	4831.018	3007.009	381.7435
17.0612	4852.005	3017.99	382.3467
17.2136	4856	3010	382.948
17.3660	4825.012	3001.999	383.5572
17.5184	4861.044	2998.995	384.1674
17.6708	4922.972	2992	384.7527
17.8232	4897.004	2992	385.3549
17.9756	4845.997	2993.001	385.9641
18.1280	4833.012	3000.01	386.5654
18.2804	4853.966	3017.993	387.1756
18.4328	4818.01	3011.002	387.7769
18.5852	4817.998	3001	388.3871
18.7376	4797.004	3000.999	388.9893
18.8900	4804.993	2997.998	389.5905
19.0424	4796.026	2994.994	390.1847
19.1948	4817.999	2990	390.777
19.3472	4834.003	2991	391.3792
19.4996	4843.026	2991	391.9894
19.6520	4879.993	2991.051	392.5906
19.8044	4873.001	3038.992	393.1999
19.9568	4901.016	3091.983	393.8021
20.1092	4976.99	3010.995	394.4123
20.2616	4960.032	3002.999	395.0146
20.4140	4993.99	3002	395.6138
20.5664	5029.993	3004	396.2081
20.7188	4941.988	3008.999	396.8103
20.8712	4915.975	3006.999	397.4125
21.0236	4884.97	3006.008	398.0227
21.1760	4860.001	3013	398.623
21.3284	4833.985	3007.998	399.2242
21.4808	4787.008	3002.995	399.8274
21.6332	4798.944	2995.998	400.4366
21.7856	4746.009	2994	401.0379
21.9380	4730.005	2986.001	401.6471
22.0904	4758.018	2991	402.2493
22.2428	4789.994	2991.999	402.8506
22.3952	4783.027	2990.999	403.4378
22.5476	4803.998	2990	404.046
22.7000	4766.996	2997.004	404.6483
22.8524	4758.052	3007	405.2585
23.0048	4822.02	3006.993	405.8607
23.1572	4838.999	3001	406.462
23.3096	4903.021	2999.001	407.0712
23.4620	4970.069	3001.001	407.6594
23.6144	5071.994	3003.003	408.2616
23.7668	5066.001	3006	408.8679
23.9192	5111.996	3020.002	409.4701
24.0716	5091.962	3030.992	410.0733
24.2240	5023.978	3015.995	410.6826
24.3764	4999.951	3010.999	411.2838
24.5288	4961.996	3009.999	411.886
24.6812	4888.967	2998.997	412.4962
24.8336	4811.974	2992.991	413.0984
24.9860	4778.955	2981.999	413.6827
25.1384	4740.002	2981	414.284
25.2908	4717	2992	414.8862
25.4432	4719.005	2992.009	415.4944
25.5956	4727.047	3006.002	416.0966
25.7480	4771.991	3008	416.6969
25.9004	4776.002	2997	417.3071
26.0528	4791.042	2998.001	417.9093
26.2052	4868.002	3000.001	418.5106
26.3576	4870.089	3000.989	419.1048
26.5100	4939.996	2992	419.689
26.6624	4846.029	2994.008	420.2832
26.8148	4914.999	3014.009	420.8845
26.9672	4914.015	3024.985	421.4777
27.1196	4926.999	3012.001	422.071
27.2720	4912.013	3003.997	422.6722
27.4244	4957.992	2995.005	423.2734
27.5768	4945.967	3002.006	423.8596
27.7292	4914.006	3007.999	424.4599
27.8816	4893.996	3004.999	425.0541
28.0340	4865.967	2996	425.6553
28.1864	4803.994	2996.006	426.2336
28.3388	4797.021	3003.018	426.8497
28.4912	4814	3017	427.425
28.6436	4829.011	3016.996	428.0262
28.7960	4856.995	3007.994	428.6284
28.9484	4849.996	2999.998	429.2227
29.1008	4846	2998	429.8149
29.2532	4815.017	2999	430.4102
29.4056	4875.927	3000.999	431.0104
29.5580	4764.023	2999.002	431.6116
29.7104	4786.995	3001	432.1889
29.8628	4805.991	3010.999	432.7901
30.0152	4750.02	3004.999	433.3843
30.1676	4788.024	3002.997	433.9855
30.3200	4814.865	2999.986	434.5788
30.4724	4708.001	2989	435.173
30.6248	4740.992	2985.002	435.7742
30.7772	4719.996	2990.998	436.3665
30.9296	4714.063	2988	436.9607
31.0820	4769.995	2988	437.5609
31.2344	4702.022	2990.006	438.1522
31.3868	4783.023	3014.001	438.7334
31.5392	4819.069	3015.987	439.3346
31.6916	4887.984	3003.003	439.9359
31.8440	4964.004	3002	440.5281
31.9964	4990.965	3002.999	441.1223
32.1488	4923.137	3000.996	441.7155
32.3012	5078.856	2996.006	442.3108
32.4536	4964	3001	442.91
32.6060	4947.996	3019.001	443.5112
32.7584	4935.939	3021.988	444.0885
32.9108	4855.975	3005.993	444.6837
33.0632	4834.002	3000.001	445.2839
33.2156	4736.981	2992	445.8772
33.3680	4662.985	2989.997	446.4704
33.5204	4639.891	2985.001	447.0726
33.6728	4530.026	2986	447.6649
33.8252	4582.002	2987	448.2581
33.9776	4600.024	2987	448.8603
34.1300	4649.029	2985.985	449.4505
34.2824	4682.047	2968.957	450.0317
34.4348	4720	2934	450.632
34.5872	4746.033	2931	451.2252
34.7396	4834.999	2931.007	451.8205
34.8920	4833.996	2941.041	452.4207
35.0444	4830	2977.996	453.0129
35.1968	4877.005	2956.997	453.6061
35.3492	4897.965	2944.001	454.1994
35.5016	4841.961	2946.002	454.7936
35.6540	4803.01	2948	455.3849
35.8064	4758.006	2940	455.9741
35.9588	4805.986	2937	456.5653
36.1112	4778.049	2936.997	457.1575
36.2636	4834.878	2932.976	457.7517
36.4160	4736	2913	458.352
36.5684	4823.985	2917	458.9532
36.7208	4783.977	2917.001	459.5464
36.8732	4752.982	2919.009	460.1407
37.0256	4737.002	2926.999	460.7399
37.1780	4721.987	2926.999	461.3342
37.3304	4668.992	2924	461.9194
37.4828	4655.034	2925	462.5136
37.6352	4689.991	2925	463.1058
37.7876	4688.004	2924	463.7001
37.9400	4725.03	2925.003	464.2933
38.0924	4786.983	2931.006	464.8965
38.2448	4767.035	2938.001	465.4907
38.3972	4796	2939	466.09
38.5496	4754.018	2932	466.6832
38.7020	4805.006	2932.001	467.2604
38.8544	4813.998	2933	467.8616
39.0068	4812	2933	468.4539
39.1592	4873.992	2932.999	469.0491
39.3116	4839.947	2927.999	469.6494
39.4640	4750.974	2926.001	470.2426
39.6164	4724.007	2927	470.8369
39.7688	4682.001	2930	471.438
39.9212	4693.005	2929	472.0313
40.0736	4704.045	2930	472.6255
40.2260	4758.029	2930.01	473.2147
40.3784	4782	2938	473.802
40.5308	4827	2945.002	474.3962
40.6832	4825.005	2950.998	474.9884
40.8356	4831.954	2948.004	475.5836
40.9880	4789.006	2951.999	476.1829
41.1404	4708.995	2961	476.7841
41.2928	4684.962	2959.998	477.3774
41.4452	4620.058	2955.994	477.9796
41.5976	4680.983	2950.002	478.5718
41.7500	4712.999	2948	479.162
41.9024	4695.001	2951.999	479.7523
42.0548	4697.07	2949.998	480.3515
42.2072	4781.973	2947.998	480.9367
42.3596	4759.001	2946	481.538
42.5120	4765.999	2947.013	482.1322
42.6644	4762.003	2986.017	482.7334
42.8168	4765.984	3009.97	483.3266
42.9692	4751.002	2982.005	483.9199
43.1216	4834.007	2967.998	484.5201
