HOLE:	U1507B
EXPEDITION:	371
TOP:	-0.0336
BOTTOM:	862.3982
DEPTH_WMSF	TENS	CS	ETIM
m	lbf	ft/h	s
-0.0336	6313.98	1511.998	7129.945
0.1188	6276.94	1507.997	7128.759
0.2712	6210.022	1505.001	7127.575
0.4236	6223.998	1505	7126.386
0.5760	6155.985	1507.002	7125.184
0.7284	6120.013	1511.998	7123.979
0.8808	6136.992	1509.001	7122.792
1.0332	6099.003	1515	7121.598
1.1856	6256.042	1517.996	7120.419
1.3380	6406.947	1502.998	7119.233
1.4904	6325.006	1500	7118.031
1.6428	6330.999	1500	7116.829
1.7952	6327.994	1502	7115.642
1.9476	6288.956	1503	7114.438
2.1000	6205.046	1504.001	7113.251
2.2524	6256.982	1505	7112.05
2.4048	6231	1505	7110.848
2.5572	6219.06	1512	7109.644
2.7096	6368.96	1512.998	7108.441
2.8620	6317.024	1511.001	7107.272
3.0144	6289.002	1506	7106.084
3.1668	6307.977	1504	7104.899
3.3192	6225.98	1504.001	7103.697
3.4716	6196.003	1506.003	7102.495
3.6240	6199	1508.999	7101.292
3.7764	6207	1510	7100.106
3.9288	6203.038	1509.999	7098.903
4.0812	6275.103	1507.999	7097.717
4.2336	6389.961	1507	7096.533
4.3860	6213	1504	7095.328
4.5384	6233.026	1502	7094.124
4.6908	6298.954	1502.002	7092.955
4.8432	6239.028	1503.999	7091.754
4.9956	6187.005	1504	7090.55
5.1480	6081.007	1511	7089.348
5.3004	6107.998	1511.999	7088.143
5.4528	6104.045	1510	7086.957
5.6052	6148.99	1510	7085.758
5.7576	6310.002	1508	7084.588
5.9100	6321.954	1507	7083.383
6.0624	6231.877	1508	7082.197
6.2148	6093.048	1508	7080.995
6.3672	5956.001	1509	7079.81
6.5196	6027.016	1511	7078.616
6.6720	6068.064	1510.004	7077.421
6.8244	6152.96	1514.998	7076.236
6.9768	6392.976	1506.001	7075.05
7.1292	6388.989	1501	7073.846
7.2816	6348.04	1501.001	7072.661
7.4340	6409.909	1502.001	7071.475
7.5864	6319.021	1503	7070.272
7.7388	6396.987	1503	7069.068
7.8912	6306.915	1505.002	7067.866
8.0436	6139.977	1508.003	7066.663
8.1960	6114.009	1510.999	7065.46
8.3484	6138.002	1510	7064.274
8.5008	6234.055	1509.998	7063.087
8.6532	6374.985	1504.999	7061.899
8.8056	6355.009	1503.001	7060.699
8.9580	6367.999	1504	7059.496
9.1104	6276.007	1505.001	7058.326
9.2628	6301.972	1508.002	7057.123
9.4152	6257.842	1511	7055.921
9.5676	6100.037	1511	7054.718
9.7200	6137.014	1513	7053.532
9.8724	6237.99	1513.995	7052.33
10.0248	6219.093	1503.995	7051.143
10.1772	6324.962	1498.002	7049.975
10.3296	6442	1498	7048.772
10.4820	6433.004	1499.001	7047.569
10.6344	6444.95	1501.001	7046.349
10.7868	6379.032	1502	7045.148
10.9392	6212.019	1505	7043.946
11.0916	6140.988	1507.002	7042.775
11.2440	6096.014	1513.006	7041.571
11.3964	6118.042	1521.991	7040.367
11.5488	6159.99	1513.002	7039.185
11.7012	6260.02	1503	7037.998
11.8536	6408.985	1499	7036.828
12.0060	6379.065	1500.004	7035.623
12.1584	6453.973	1503.999	7034.404
12.3108	6431.999	1508	7033.202
12.4632	6264.997	1510	7032
12.6156	6255.933	1510.999	7030.813
12.7680	6166.043	1510	7029.628
12.9204	6103.007	1506	7028.44
13.0728	6173.998	1504	7027.24
13.2252	6166.007	1501.999	7026.053
13.3776	6178.086	1499.999	7024.851
13.5300	6264.979	1499	7023.648
13.6824	6381.995	1500	7022.462
13.8348	6345.005	1503.001	7021.259
13.9872	6355.04	1505.003	7020.055
14.1396	6400.983	1507.999	7018.854
14.2920	6274	1509	7017.652
14.4444	6139.983	1509	7016.463
14.5968	6095.007	1508.999	7015.277
14.7492	6104.995	1508	7014.092
14.9016	6099	1507	7012.89
15.0540	6260.011	1508	7011.704
15.2064	6305.977	1509.999	7010.499
15.3588	6268.025	1509.004	7009.313
15.5112	6292.994	1512.999	7008.128
15.6636	6335.985	1503	7006.924
15.8160	6213.023	1502	7005.74
15.9684	6258.986	1502	7004.535
16.1208	6243.006	1502	7003.34
16.2732	6134	1504	7002.146
16.4256	6215.039	1504	7000.943
16.5780	6320.008	1503.001	6999.759
16.7304	6330.995	1504.999	6998.557
16.8828	6363.996	1506	6997.354
17.0352	6339.988	1508	6996.149
17.1876	6290.948	1506.998	6994.979
17.3400	6205.994	1502.995	6993.777
17.4924	6200.001	1498.001	6992.577
17.6448	6162.01	1494	6991.39
17.7972	6249.07	1495	6990.188
17.9496	6393.021	1494.005	6988.967
18.1020	6416.991	1499.998	6987.78
18.2544	6257.001	1506	6986.578
18.4068	6396.961	1507.997	6985.359
18.5592	6290.912	1501	6984.173
18.7116	6171.06	1501	6982.988
18.8640	6164.001	1501	6981.8
19.0164	6121.988	1498.999	6980.596
19.1688	6074.032	1496	6979.393
19.3212	6126.188	1496.001	6978.191
19.4736	6318.951	1497	6976.991
19.6260	6478	1498	6975.772
19.7784	6475.995	1499.002	6974.567
19.9308	6465.002	1502.998	6973.381
20.0832	6467.999	1501.001	6972.179
20.2356	6331.001	1500	6970.976
20.3880	6261.954	1499.999	6969.773
20.5404	6132.948	1498.001	6968.571
20.6928	6062.036	1499.999	6967.404
20.8452	6085.997	1498	6966.2
20.9976	6063.986	1503.003	6964.979
21.1500	6006.125	1517.001	6963.775
21.3024	6212.069	1518.981	6962.589
21.4548	6282.981	1499.005	6961.406
21.6072	6235.012	1497	6960.228
21.7596	6346.953	1497	6959.032
21.9120	6248.941	1496.999	6957.811
22.0644	6180.026	1496	6956.61
22.2168	6105.001	1495	6955.406
22.3692	6132.003	1487.005	6954.22
22.5216	6142.076	1501.004	6953.015
22.6740	6246.947	1506.997	6951.798
22.8264	6253.999	1507	6950.612
22.9788	6318.98	1504	6949.408
23.1312	6233.944	1503	6948.211
23.2836	6140.959	1502.998	6947.035
23.4360	6099.011	1501	6945.834
23.5884	6113.016	1503	6944.632
23.7408	6265	1499.998	6943.428
23.8932	6266.033	1495.009	6942.227
24.0456	6304.985	1505.996	6941.024
24.1980	6475.997	1506	6939.836
24.3504	6389.94	1502.999	6938.633
24.5028	6219.015	1500.001	6937.449
24.6552	6238.94	1501.002	6936.245
24.8076	6184.008	1503	6935.044
24.9600	6183.996	1503	6933.839
25.1124	6163.984	1503.997	6932.653
25.2648	6138.101	1498.994	6931.451
25.4172	6242.972	1493.002	6930.269
25.5696	6350.991	1499	6929.064
25.7220	6263.038	1504.002	6927.844
25.8744	6344.048	1507.989	6926.639
26.0268	6400.978	1495.005	6925.457
26.1792	6409	1495	6924.27
26.3316	6372.941	1493.003	6923.065
26.4840	6203.041	1502.001	6921.863
26.6364	6259.894	1504	6920.643
26.7888	6162.015	1504	6919.442
26.9412	6178.014	1505	6918.255
27.0936	6239.972	1502.998	6917.069
27.2460	6192.033	1499.002	6915.865
27.3984	6225.991	1501	6914.665
27.5508	6446.999	1494.999	6913.46
27.7032	6436.994	1487.989	6912.257
27.8556	6422.909	1464.984	6911.071
28.0080	6314.043	1446.008	6909.853
28.1604	6280.001	1450	6908.6
28.3128	6037.018	1443.994	6907.363
28.4652	6088.014	1424.923	6906.109
28.6176	6107.027	1316.994	6904.871
28.7700	6131.996	1311.001	6903.52
28.9224	6317.037	1306.999	6902.167
