HOLE:	U1507B
EXPEDITION:	371
TOP:	740.1731
BOTTOM:	864.6838
DEPTH_WMSF	TENS	CS	ETIM
m	lbf	ft/h	s
740.1731	6689	1496	977.472
740.3255	6626.023	1496	976.2666
740.4779	6688.04	1496.001	975.0461
740.6303	6742.086	1498.007	973.8427
740.7827	6819.866	1503.99	972.6431
740.9351	6753.091	1504	971.4566
741.0875	6646.106	1506.997	970.2542
741.2399	6475.106	1512.996	969.0507
741.3923	6548.981	1497.004	967.8463
741.5447	6654.005	1497	966.6599
741.6971	6695.027	1497.001	965.4734
741.8495	6750.913	1499	964.269
742.0019	6649.06	1499.004	963.0496
742.1543	6697.921	1501.995	961.851
742.3067	6823.843	1501.001	960.6475
742.4591	6840.985	1502.998	959.4431
742.6115	6735.054	1502	958.2566
742.7639	6779.994	1500	957.0692
742.9163	6600.963	1499.999	955.8658
743.0687	6441.167	1497	954.6623
743.2211	6719.957	1497	953.4758
743.3735	6675.084	1497	952.2762
743.5259	6613.093	1498.997	951.0739
743.6783	6702.898	1499.999	949.8544
743.8307	6801.924	1500.999	948.6509
743.9831	6782.008	1500	947.4465
744.1355	6868.998	1497	946.2601
744.2879	6724.962	1497	945.0416
744.4403	6613.061	1496	943.8552
744.5927	6698.028	1496.002	942.6507
744.7451	6723.955	1497.996	941.4521
744.8975	6664.083	1500.996	940.2487
745.0499	6620.045	1501	939.0462
745.2023	6686.957	1505.997	937.8428
745.3547	6687	1496.003	936.6563
745.5071	6751.007	1495	935.4519
745.6595	6830.995	1494	934.2495
745.8119	6818.969	1494.001	933.047
745.9643	6781.084	1495.004	931.8426
746.1167	6851.884	1497.995	930.6429
746.2691	6612.306	1500.996	929.4395
746.4215	6631.982	1505.995	928.2361
746.5739	6549.044	1509.998	927.0167
746.7263	6531.003	1506.001	925.8302
746.8787	6595.009	1500	924.6428
747.0311	6641.098	1502.001	923.4563
747.1835	6812.91	1502.997	922.2539
747.3359	6717.182	1500.006	921.0552
747.4883	6757.938	1510.983	919.8518
747.6407	7086.618	1496.017	918.6474
747.7931	6942.115	1497.998	917.4609
747.9455	6753.08	1501.998	916.2565
748.0979	6726.001	1496	915.0541
748.2503	6651.006	1497.001	913.8516
748.4027	6668.94	1499.001	912.6492
748.5551	6581.986	1500.001	911.4288
748.7075	6569.023	1500.998	910.2441
748.8599	6581.981	1501.999	909.0577
749.0123	6499.087	1506.995	907.8543
749.1647	6551.964	1505.001	906.6518
749.3171	6087.144	1520.995	905.4484
749.4695	6469.035	1509.998	904.2789
749.6219	7064.157	1478.999	903.0755
749.7743	7431.941	1477.001	901.871
749.9267	7358.21	1478.007	900.6506
750.0791	7538.698	1483.99	899.434
750.2315	7514.033	1488.994	898.2316
750.3839	7283.216	1490.998	897.0121
750.5363	7151.075	1492.999	895.8087
750.6887	7005.029	1493	894.5883
750.8411	6804.026	1489	893.3838
750.9935	6952.892	1492.001	892.1653
751.1459	6754.015	1493.998	890.9789
751.2983	6769.969	1492.004	889.7803
751.4507	6735.055	1495.994	888.5599
751.6031	6909.792	1497.998	887.3564
751.7555	6769.116	1501.997	886.137
751.9079	6773.998	1503	884.9346
752.0603	6762.001	1501	883.7481
752.2127	6618.032	1495.001	882.5616
752.3651	6730.015	1497	881.3572
752.5175	6751.843	1497	880.1528
752.6699	6598.278	1497	878.9382
752.8223	6652.92	1497.999	877.7517
752.9747	6877.758	1500.997	876.5483
753.1271	6768.078	1500.001	875.3448
753.2795	6823.981	1503.999	874.1404
753.4319	6835.997	1503	872.9379
753.5843	6733.024	1498	871.7355
753.7367	6793.979	1499.002	870.5481
753.8891	6765.786	1501.001	869.3436
754.0415	6577.32	1501.998	868.144
