HOLE:	U1508C
EXPEDITION:	371
TOP:	87.5940
BOTTOM:	655.5887
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
87.5940	162.8085	456.056	729.6677	1.8721	0.6683	0.4177
87.7464	160.9781	624.7441	750.3491	1.8934	0.4879	0.4062
87.8988	159.1463	662.5281	750.3574	1.9152	0.4601	0.4062
88.0512	157.3117	667.2179	750.3561	1.9376	0.4568	0.4062
88.2036	147.1508	656.873	746.6166	2.0713	0.4640	0.4082
88.3560	147.8946	664.8846	688.3037	2.0609	0.4584	0.4428
88.5084	148.6388	664.8286	696.0037	2.0506	0.4585	0.4379
88.6608	151.6989	664.7717	703.6977	2.0092	0.4585	0.4331
88.8132	154.9867	660.1608	654.4435	1.9666	0.4617	0.4657
88.9656	158.2772	657.1041	700.9154	1.9257	0.4639	0.4349
89.1180	161.565	665.1023	708.4506	1.8865	0.4583	0.4302
89.2704	162.6557	606.5217	704.5069	1.8739	0.5025	0.4326
89.4228	164.9549	621.1905	668.5117	1.8478	0.4907	0.4559
89.5752	167.739	645.2853	657.0031	1.8171	0.4723	0.4639
89.7276	168.6065	642.5443	674.8032	1.8078	0.4744	0.4517
89.8800	169.4733	641.9932	675.2672	1.7985	0.4748	0.4514
90.0324	161.6014	643.0613	673.5815	1.8861	0.4740	0.4525
90.1848	153.7355	641.614	678.7308	1.9826	0.4751	0.4491
90.3372	145.8649	643.0834	683.0863	2.0896	0.4740	0.4462
90.4896	143.9438	648.9877	683.4758	2.1175	0.4697	0.4460
90.6420	142.0218	648.6884	683.6749	2.1461	0.4699	0.4458
90.7944	143.2187	645.3691	682.8042	2.1282	0.4723	0.4464
90.9468	144.4168	641.1132	683.4484	2.1106	0.4754	0.4460
91.0992	148.0425	633.2108	656.7476	2.0589	0.4814	0.4641
91.2516	152.6081	625.9883	659.9291	1.9973	0.4869	0.4619
91.4040	157.1835	615.6398	675.9023	1.9391	0.4951	0.4510
91.5564	161.0553	623.7064	685.3723	1.8925	0.4887	0.4447
91.7088	165.769	619.4453	694.8369	1.8387	0.4921	0.4387
91.8612	171.0448	619.6285	696.1525	1.7820	0.4919	0.4378
92.0136	172.0856	623.974	693.7096	1.7712	0.4885	0.4394
92.1660	173.2421	625.6858	694.2178	1.7594	0.4871	0.4391
92.3184	171.1939	625.662	694.1118	1.7804	0.4872	0.4391
92.4708	168.8536	624.8156	668.045	1.8051	0.4878	0.4563
92.6232	168.4708	586.6293	649.0714	1.8092	0.5196	0.4696
92.7756	169.4357	578.3167	632.8798	1.7989	0.5270	0.4816
92.9280	171.4237	586.6405	636.3066	1.7781	0.5196	0.4790
93.0804	171.0833	595.5134	641.4031	1.7816	0.5118	0.4752
93.2328	173.5438	600.2109	647.4088	1.7563	0.5078	0.4708
93.3852	175.619	601.7881	538.1419	1.7356	0.5065	0.5664
93.5376	175.4237	605.1976	545.9049	1.7375	0.5036	0.5583
93.6900	175.2068	608.1119	544.6191	1.7397	0.5012	0.5597
93.8424	175.1086	607.9343	541.6829	1.7406	0.5014	0.5627
93.9948	173.5422	602.9395	537.0178	1.7563	0.5055	0.5676
94.1472	172.4511	606.4972	541.09	1.7675	0.5026	0.5633
94.2996	171.9059	602.4391	652.5896	1.7731	0.5059	0.4671
94.4520	172.0379	587.6954	656.6024	1.7717	0.5186	0.4642
94.6044	173.7375	587.851	658.3474	1.7544	0.5185	0.4630
94.7568	174.3405	612.274	665.6987	1.7483	0.4978	0.4579
94.9092	174.7645	592.4485	539.6796	1.7441	0.5145	0.5648
95.0616	175.3454	590.7552	542.8317	1.7383	0.5159	0.5615
95.2140	174.9785	622.2739	547.4159	1.7419	0.4898	0.5568
95.3664	174.8447	623.0002	547.8677	1.7433	0.4892	0.5563
95.5188	174.9698	628.7101	675.6902	1.7420	0.4848	0.4511
95.6712	175.7018	627.1454	667.7971	1.7348	0.4860	0.4564
95.8236	178.5111	626.1691	664.4924	1.7075	0.4868	0.4587
95.9760	179.1102	627.6416	673.4718	1.7017	0.4856	0.4526
96.1284	179.4373	640.5441	696.6696	1.6986	0.4758	0.4375
96.2808	179.063	653.9858	713.7296	1.7022	0.4661	0.4271
96.4332	178.1429	676.4278	723.5345	1.7110	0.4506	0.4213
96.5856	177.3352	690.0435	733.3429	1.7188	0.4417	0.4156
96.7380	177.5859	687.5288	718.0086	1.7164	0.4433	0.4245
96.8904	177.6738	682.8743	728.5253	1.7155	0.4463	0.4184
97.0428	177.4819	681.2432	730.5712	1.7174	0.4474	0.4172
97.1952	177.9412	676.5149	730.903	1.7129	0.4505	0.4170
97.3476	178.6628	685.8694	569.6053	1.7060	0.4444	0.5351
97.5000	178.9476	684.2465	571.1268	1.7033	0.4455	0.5337
97.6524	178.8414	683.802	571.9984	1.7043	0.4457	0.5329
97.8048	179.0671	685.0379	573.5197	1.7022	0.4449	0.5315
97.9572	170.3774	685.3025	553.1343	1.7890	0.4448	0.5510
98.1096	162.0533	700.0325	576.3724	1.8809	0.4354	0.5288
98.2620	158.3787	717.3878	596.1086	1.9245	0.4249	0.5113
98.4144	157.2467	726.5301	608.9702	1.9384	0.4195	0.5005
98.5668	156.3286	732.9409	622.1393	1.9497	0.4159	0.4899
98.7192	157.9935	742.5035	624.8294	1.9292	0.4105	0.4878
98.8716	149.2242	756.3737	629.9002	2.0426	0.4030	0.4839
99.0240	147.3906	761.8546	633.4357	2.0680	0.4001	0.4812
99.1764	145.5557	758.7804	632.6931	2.0940	0.4017	0.4818
99.3288	148.0853	752.7957	628.665	2.0583	0.4049	0.4848
99.4812	151.9019	746.9619	679.1427	2.0066	0.4081	0.4488
99.6336	157.2257	752.4465	695.952	1.9386	0.4051	0.4380
99.7860	162.5453	752.5704	707.1421	1.8752	0.4050	0.4310
99.9384	167.8683	754.2713	714.514	1.8157	0.4041	0.4266
100.0908	170.4712	754.5298	711.9918	1.7880	0.4040	0.4281
100.2432	173.0761	756.585	708.905	1.7611	0.4029	0.4300
100.3956	175.679	757.3934	762.7903	1.7350	0.4024	0.3996
100.5480	178.2831	757.4493	764.994	1.7096	0.4024	0.3984
100.7004	175.3227	751.2424	771.3909	1.7385	0.4057	0.3951
100.8528	170.6594	747.5949	766.6074	1.7860	0.4077	0.3976
101.0052	170.5666	742.9421	762.5361	1.7870	0.4103	0.3997
101.1576	170.4688	720.1968	761.6307	1.7880	0.4232	0.4002
101.3100	172.5507	719.8281	766.1323	1.7664	0.4234	0.3978
101.4624	174.2428	720.2822	743.5457	1.7493	0.4232	0.4099
