HOLE:	U1508C
EXPEDITION:	371
TOP:	274.6921
BOTTOM:	686.1720
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
274.6921	165.6474	507.2251	514.155	1.8401	0.6009	0.5928
274.8445	165.508	513.0813	523.0464	1.8416	0.5941	0.5827
274.9969	166.1643	514.7225	526.9009	1.8343	0.5922	0.5785
275.1493	166.8501	514.7054	526.9828	1.8268	0.5922	0.5784
275.3017	166.2775	514.4366	526.8116	1.8331	0.5925	0.5786
275.4541	164.9914	512.9759	525.0117	1.8474	0.5942	0.5806
275.6065	162.3848	494.112	508.4056	1.8770	0.6169	0.5995
275.7589	156.8696	436.2707	457.8943	1.9430	0.6986	0.6657
275.9113	154.2528	391.5771	398.2366	1.9760	0.7784	0.7654
276.0637	152.5208	379.1241	405.5556	1.9984	0.8040	0.7516
276.2161	150.938	379.6198	405.7874	2.0194	0.8029	0.7511
276.3685	150.2875	379.3513	408.0799	2.0281	0.8035	0.7469
276.5209	150.1377	381.5185	409.6556	2.0301	0.7989	0.7440
276.6733	149.9476	384.9026	410.5416	2.0327	0.7919	0.7424
276.8257	150.5996	391.4579	418.6453	2.0239	0.7786	0.7281
276.9781	152.3375	404.7661	426.6788	2.0008	0.7530	0.7144
277.1305	154.7677	416.9815	438.5397	1.9694	0.7310	0.6950
277.2829	157.9638	425.3247	453.0392	1.9296	0.7166	0.6728
277.4353	160.977	437.6233	463.3282	1.8934	0.6965	0.6578
277.5877	161.6193	454.2818	473.0088	1.8859	0.6709	0.6444
277.7401	160.2565	463.7898	476.8666	1.9020	0.6572	0.6392
277.8925	158.6006	459.958	467.1567	1.9218	0.6627	0.6525
278.0449	157.6827	455.4735	462.0135	1.9330	0.6692	0.6597
278.1973	156.9464	448.0003	447.0574	1.9421	0.6804	0.6818
278.3497	155.2502	433.4219	428.4873	1.9633	0.7032	0.7113
278.5021	152.8695	399.9094	410.4391	1.9939	0.7622	0.7426
278.6545	149.9034	377.6771	394.9924	2.0333	0.8070	0.7717
278.8069	147.1545	374.94	394.4738	2.0713	0.8129	0.7727
278.9593	147.4462	375.3751	395.7689	2.0672	0.8120	0.7701
279.1117	147.5039	381.8328	398.7601	2.0664	0.7983	0.7644
279.2641	148.8905	391.5726	402.6131	2.0471	0.7784	0.7571
279.4165	151.938	401.7866	409.611	2.0061	0.7586	0.7441
279.5689	152.7022	405.5423	414.3619	1.9960	0.7516	0.7356
279.7213	153.3375	406.2581	414.5842	1.9878	0.7503	0.7352
279.8737	153.3536	408.4073	414.7575	1.9876	0.7463	0.7349
280.0261	153.5904	412.6442	415.322	1.9845	0.7387	0.7339
280.1785	153.1498	408.8006	412.5864	1.9902	0.7456	0.7388
280.3309	151.4946	395.8497	397.9465	2.0120	0.7700	0.7659
280.4833	150.2278	388.1604	386.2717	2.0289	0.7852	0.7891
280.6357	150.0956	384.9624	390.4852	2.0307	0.7918	0.7806
280.7881	150.3729	384.5314	391.2377	2.0270	0.7927	0.7791
280.9405	151.0743	384.3016	392.9309	2.0176	0.7931	0.7757
281.0929	151.9873	386.3121	399.9868	2.0054	0.7890	0.7620
281.2453	154.0504	395.8739	413.6367	1.9786	0.7699	0.7369
281.3977	156.0705	412.7077	427.8969	1.9530	0.7385	0.7123
281.5501	156.6865	423.1626	438.8262	1.9453	0.7203	0.6946
281.7025	156.9699	419.1898	436.4779	1.9418	0.7271	0.6983
281.8549	156.5957	408.8563	425.8292	1.9464	0.7455	0.7158
282.0073	156.4895	402.515	421.6179	1.9477	0.7572	0.7229
282.1597	155.6345	399.9653	422.2147	1.9584	0.7621	0.7219
282.3121	153.953	399.8804	424.3123	1.9798	0.7622	0.7183
282.4645	153.1062	404.9794	427.0477	1.9908	0.7526	0.7137
282.6169	154.1915	419.4281	440.0295	1.9768	0.7267	0.6927
282.7693	155.3309	443.1996	453.3368	1.9623	0.6877	0.6723
282.9217	156.5619	454.5784	457.4148	1.9468	0.6705	0.6664
283.0741	157.6625	455.7304	457.6503	1.9332	0.6688	0.6660
283.2265	158.1061	455.575	457.6116	1.9278	0.6690	0.6661
283.3789	158.4336	455.8055	457.4266	1.9238	0.6687	0.6663
283.5313	159.0949	455.2307	464.4538	1.9158	0.6696	0.6563
283.6837	159.8785	461.6911	469.8625	1.9064	0.6602	0.6487
283.8361	158.8449	467.7789	474.1468	1.9189	0.6516	0.6428
283.9885	156.8616	457.4356	453.0287	1.9431	0.6663	0.6728
284.1409	154.1104	439.4114	430.6495	1.9778	0.6937	0.7078
284.2933	152.8491	419.2457	408.6821	1.9941	0.7270	0.7458
284.4457	152.1161	391.0858	399.2084	2.0037	0.7794	0.7635
284.5981	150.2484	379.2054	395.7909	2.0286	0.8038	0.7701
284.7505	149.8693	378.1217	394.1732	2.0338	0.8061	0.7733
284.9029	150.179	374.6195	393.9954	2.0296	0.8136	0.7736
285.0553	151.916	373.5237	394.8024	2.0064	0.8160	0.7720
285.2077	152.4926	376.31	405.652	1.9988	0.8100	0.7514
285.3601	151.4969	380.1741	404.5486	2.0119	0.8017	0.7534
285.5125	152.177	381.1039	406.8093	2.0029	0.7998	0.7492
285.6649	153.0121	389.147	413.7057	1.9920	0.7833	0.7368
285.8173	154.4784	402.7712	423.8093	1.9731	0.7568	0.7192
285.9697	155.7612	410.6516	434.0125	1.9568	0.7422	0.7023
286.1221	156.576	422.7535	448.7933	1.9467	0.7210	0.6792
286.2745	156.9487	436.0724	461.5359	1.9420	0.6990	0.6604
286.4269	156.5336	438.6739	459.4823	1.9472	0.6948	0.6634
286.5793	156.2001	436.4229	457.2428	1.9513	0.6984	0.6666
286.7317	157.3986	433.8837	453.0623	1.9365	0.7025	0.6728
286.8841	155.0936	431.6748	448.4461	1.9653	0.7061	0.6797
287.0365	152.0882	421.9027	443.3189	2.0041	0.7224	0.6875
