HOLE:	U1508C
EXPEDITION:	371
TOP:	0.1164
BOTTOM:	660.0083
DEPTH_WMSF	GR	ECGR
m	gAPI	gAPI
0.1164	5.446455	6.180912
0.2688	7.393074	8.390035
0.4212	8.562239	9.716862
0.5736	6.227646	7.067448
0.7260	3.11422	3.534174
0.8784	1.555037	1.764735
1.0308	2.334487	2.649294
1.1832	3.888489	4.412855
1.3356	5.057274	5.73925
1.4880	4.667641	5.297075
1.6404	6.225733	7.065277
1.7928	5.836746	6.623835
1.9452	7.391565	8.388322
2.0976	4.668662	5.298234
2.2500	4.277674	4.854521
2.4024	3.114385	3.534362
2.5548	3.501431	3.973601
2.7072	3.892533	4.417444
2.8596	3.111968	3.531618
3.0120	3.503164	3.975568
3.1644	3.889235	4.413702
3.3168	4.667468	5.296879
3.4692	5.44544	6.179761
3.6216	5.058272	5.740384
3.7740	6.22426	7.063605
3.9264	5.835423	6.622334
4.0788	6.22441	7.063776
4.2312	5.057968	5.740037
4.3836	4.281318	4.858656
4.5360	3.500438	3.972474
4.6884	2.723288	3.090524
4.8408	2.331061	2.645406
4.9932	1.556148	1.765995
5.1456	3.111768	3.531392
5.2980	3.502022	3.974271
5.4504	5.835938	6.622919
5.6028	7.782263	8.831707
5.7552	8.559588	9.713854
5.9076	8.170251	9.272014
6.0600	5.44832	6.183029
6.2124	4.668879	5.29848
6.3648	4.670823	5.300686
6.5172	4.66791	5.29738
6.6696	4.669264	5.298917
6.8220	3.110727	3.530211
6.9744	2.334273	2.649052
7.1268	2.333302	2.64795
7.2792	3.112258	3.531948
7.4316	3.112258	3.531948
7.5840	1.945767	2.208155
7.7364	1.945767	2.208155
7.8888	3.500862	3.972955
8.0412	4.279482	4.856573
8.1936	4.277086	4.853854
8.3460	3.502391	3.974691
8.4984	3.500449	3.972487
8.6508	2.335288	2.650203
8.8032	1.555046	1.764745
8.9556	1.167253	1.324658
9.1080	1.555592	1.765364
9.2604	3.112676	3.532422
9.4128	3.501014	3.973129
9.5652	3.50146	3.973634
9.7176	1.945515	2.207869
9.8700	2.722736	3.089898
10.0224	2.334399	2.649194
10.1748	2.333588	2.648274
10.3272	1.556745	1.766673
10.4796	1.86647	2.118165
10.6320	3.229794	3.665334
10.7844	2.451822	2.782451
10.9368	2.919164	3.312815
11.0892	1.556801	1.766736
11.2416	1.945353	2.207685
11.3940	1.556367	1.766244
11.5464	1.16707	1.32445
11.6988	0.7784071	0.8833758
11.8512	0.0001182549	0.0001342016
12.0036	1.16959	1.32731
12.1560	1.557913	1.767999
12.3084	1.557912	1.767997
12.4608	1.554995	1.764687
12.6132	2.33422	2.648991
12.7656	3.111545	3.531138
12.9180	2.333942	2.648676
13.0704	1.166984	1.324352
13.2228	1.556527	1.766425
13.3752	1.167541	1.324984
13.5276	2.333889	2.648615
13.6800	1.9462	2.208647
13.8324	2.334527	2.64934
13.9848	1.557443	1.767465
14.1372	1.944136	2.206305
14.2896	1.555486	1.765244
14.4420	1.166499	1.323803
14.5944	0.7785664	0.8835567
14.7468	1.555891	1.765704
14.8992	1.555965	1.765788
15.0516	1.555965	1.765788
15.2040	1.167299	1.32471
15.3564	1.946569	2.209065
15.5088	1.168433	1.325997
15.6612	1.169081	1.326732
15.8136	1.263137	1.433472
15.9660	2.042027	2.317396
16.1184	2.041361	2.31664
16.2708	1.167631	1.325087
16.4232	0.7779966	0.8829099
16.5756	0.7393862	0.8390929
16.7280	1.176813	1.335508
16.8804	1.837994	2.085849
17.0328	1.877039	2.130159
17.1852	1.828048	2.074562
17.3376	0.778223	0.8831668
17.4900	0.3889339	0.4413819
17.6424	1.169176	1.32684
17.7948	2.334928	2.649794
17.9472	2.334926	2.649793
18.0996	2.332014	2.646487
18.2520	2.723252	3.090484
18.4044	3.111915	3.531558
18.5568	2.33435	2.649139
18.7092	1.555731	1.765522
18.8616	1.167009	1.324381
19.0140	1.944981	2.207263
19.1664	2.334173	2.648938
19.3188	3.502104	3.974365
19.4712	3.111838	3.531471
19.6236	2.335485	2.650427
19.7760	1.943803	2.205926
19.9284	1.555799	1.765599
20.0808	1.166164	1.323422
20.2332	0.7783044	0.8832592
20.3856	0.7779807	0.882892
20.5380	0.7783396	0.8832992
20.6904	1.945298	2.207623
20.8428	1.945767	2.208155
20.9952	1.945767	2.208155
21.1476	1.1676	1.325051
21.3000	1.945572	2.207933
21.4524	2.334506	2.649315
21.6048	1.556533	1.766433
21.7572	0.7770752	0.8818643
21.9096	1.946095	2.208527
22.0620	1.946095	2.208527
22.2144	3.112951	3.532734
22.3668	2.333682	2.648381
22.5192	3.111703	3.531318
22.6716	2.334379	2.649171
22.8240	1.944937	2.207213
22.9764	1.166965	1.324331
23.1288	1.167459	1.324891
23.2812	1.167135	1.324524
23.4336	1.945528	2.207883
23.5860	2.724797	3.092237
23.7384	2.724785	3.092224
23.8908	4.048067	4.593951
24.0432	2.879488	3.267789
24.1956	2.87936	3.267643
24.3480	1.652989	1.875896
24.5004	3.210166	3.643059
24.6528	4.377448	4.96775
24.8052	4.279696	4.856815
24.9576	2.723751	3.09105
25.1100	2.334274	2.649052
25.2624	2.334921	2.649787
25.4148	3.112221	3.531905
25.5672	2.723883	3.0912
25.7196	3.499474	3.97138
25.8720	3.500444	3.972481
26.0244	3.499149	3.971011
26.1768	3.11245	3.532166
26.3292	2.722816	3.08999
26.4816	4.279829	4.856966
26.6340	3.501857	3.974085
26.7864	3.774105	4.283045
26.9388	2.608119	2.959825
27.0912	3.384192	3.840552
27.2436	3.112987	3.532775
27.3960	2.721456	3.088446
27.5484	2.334098	2.648853
27.7008	1.94414	2.206309
27.8532	1.556136	1.765982
28.0056	1.16715	1.324541
28.1580	0.7788194	0.8838437
28.3104	2.333146	2.647772
28.4628	2.333771	2.648482
28.6152	4.083481	4.634141
28.7676	2.489988	2.825764
28.9200	3.852351	4.371843
29.0724	2.879807	3.26815
29.2248	2.529865	2.871018
29.3772	1.165891	1.323112
29.5296	1.788901	2.030136
29.6820	2.566874	2.913018
29.8344	3.345602	3.796758
29.9868	1.945835	2.208231
30.1392	1.945767	2.208155
30.2916	1.944796	2.207053
30.4440	1.944897	2.207167
30.5964	2.334855	2.649712
30.7488	1.945598	2.207963
30.9012	2.724868	3.092318
31.0536	2.722037	3.089105
31.2060	1.945358	2.207691
31.3584	1.165465	1.322629
31.5108	0.3889969	0.4414533
31.6632	0.7779831	0.8828945
31.8156	1.16699	1.324359
31.9680	0.7783272	0.8832852
32.1204	0.3896345	0.442177
32.2728	1.945579	2.207942
32.4252	2.334888	2.649749
32.5776	3.503793	3.976282
32.7300	3.500773	3.972855
32.8824	3.501097	3.973222
33.0348	2.331498	2.645902
33.1872	0.7787868	0.8838067
33.3396	0.7780722	0.8829957
33.4920	2.334598	2.64942
33.6444	2.334274	2.649052
33.7968	2.334597	2.649419
33.9492	2.333303	2.64795
34.1016	3.501206	3.973346
34.2540	3.890841	4.415524
34.4064	2.335293	2.650208
34.5588	1.168983	1.326621
34.7112	0.778307	0.8832622
34.8636	0.778307	0.8832622
35.0160	0.7774212	0.8822569
35.1684	1.55604	1.765873
35.3208	2.722762	3.089928
35.4732	2.334275	2.649053
35.6256	3.110629	3.530099
35.7780	2.722595	3.089738
35.9304	3.111257	3.530812
36.0828	1.945444	2.207788
36.2352	1.946092	2.208524
36.3876	1.94568	2.208056
36.5400	1.557343	1.767352
36.6924	1.555386	1.76513
36.8448	1.945019	2.207306
36.9972	1.94411	2.206275
37.1496	1.556418	1.766302
37.3020	1.944472	2.206686
37.4544	1.945113	2.207412
37.6068	2.722114	3.089193
37.7592	1.55591	1.765725
37.9116	2.333882	2.648608
38.0640	1.167788	1.325265
38.2164	2.336693	2.651797
38.3688	1.945946	2.208358
38.5212	2.724566	3.091975
38.6736	1.944153	2.206324
38.8260	1.945445	2.207789
38.9784	1.555642	1.765421
39.1308	1.555966	1.765789
39.2832	1.555955	1.765776
39.4356	1.166812	1.324157
39.5880	1.166488	1.32379
39.7404	1.55655	1.766452
39.8928	2.334522	2.649334
40.0452	2.334599	2.649421
40.1976	2.336545	2.65163
40.3500	1.946503	2.20899
40.5024	2.336461	2.651534
40.6548	1.555645	1.765425
40.8072	1.556615	1.766525
40.9596	1.55603	1.765862
41.1120	2.333678	2.648376
41.2644	2.333936	2.648669
41.4168	1.555642	1.765422
41.5692	1.556613	1.766524
41.7216	2.724076	3.091419
41.8740	2.724076	3.091419
42.0264	3.889393	4.413879
42.1788	3.112069	3.531733
42.3312	3.88872	4.413116
42.4836	2.723703	3.090996
42.6360	2.722187	3.089276
42.7884	3.112467	3.532185
42.9408	3.50047	3.972511
43.0932	3.890072	4.41465
43.2456	3.500435	3.972471
43.3980	2.723135	3.090351
43.5504	1.944838	2.207101
43.7028	1.556167	1.766017
43.8552	1.167181	1.324576
44.0076	1.167136	1.324525
44.1600	1.167785	1.325261
44.3124	1.167211	1.32461
44.4648	1.556521	1.766419
44.6172	1.555643	1.765422
44.7696	1.555966	1.765789
44.9220	1.945193	2.207503
45.0744	3.113074	3.532874
45.2268	3.501736	3.973948
45.3792	3.112297	3.531992
45.5316	2.333677	2.648375
45.6840	2.33463	2.649456
45.8364	3.49997	3.971943
45.9888	4.279074	4.85611
46.1412	4.279723	4.856846
46.2936	3.500953	3.973059
46.4460	2.722981	3.090177
46.5984	2.721398	3.088381
46.7508	1.945366	2.2077
46.9032	1.944432	2.20664
47.0556	1.166812	1.324157
47.2080	1.166812	1.324157
47.3604	1.555921	1.765738
47.5128	2.333893	2.64862
47.6652	2.333398	2.648058
47.8176	1.556721	1.766645
47.9700	2.722548	3.089685
48.1224	3.112506	3.53223
48.2748	3.111286	3.530844
48.4272	1.167973	1.325475
48.5796	1.555077	1.764781
48.7320	2.332726	2.647295
48.8844	2.72215	3.089234
49.0368	3.112738	3.532493
49.1892	4.278726	4.855715
49.3416	5.834961	6.621809
49.4940	4.668003	5.297485
49.6464	2.723531	3.090801
49.7988	1.947505	2.210128
49.9512	2.335338	2.65026
50.1036	2.724648	3.092068
50.2560	1.555196	1.764915
50.4084	0.7785174	0.8835009
50.5608	0.3888641	0.4413027
50.7132	0.7778503	0.8827439
50.8656	1.945456	2.207802
51.0180	2.334274	2.649053
51.1704	2.334274	2.649053
51.3228	1.944473	2.206686
51.4752	1.945769	2.208157
51.6276	2.722892	3.090076
51.7800	1.945567	2.207928
51.9324	1.94342	2.205492
52.0848	1.555405	1.765152
52.2372	1.555493	1.765252
52.3896	2.723745	3.091044
52.5420	1.945867	2.208269
52.6944	3.111855	3.531491
52.8468	1.944814	2.207073
52.9992	2.7228	3.089972
53.1516	1.945476	2.207824
53.3040	2.723625	3.090907
53.4564	2.334963	2.649834
53.6088	2.33429	2.649071
53.7612	1.167656	1.325115
53.9136	1.555233	1.764957
54.0660	2.722838	3.090014
54.2184	3.111235	3.530787
54.3708	2.723542	3.090813
54.5232	1.55573	1.765522
54.6756	2.723336	3.09058
54.8280	3.891225	4.415959
54.9804	4.668283	5.297804
55.1328	3.112662	3.532407
55.2852	1.555843	1.76565
55.4376	1.168476	1.326046
55.5900	1.167461	1.324894
55.7424	1.167461	1.324894
55.8948	2.139044	2.427495
56.0472	2.528029	2.868936
56.1996	3.228083	3.663393
56.3520	1.478374	1.677734
56.5044	1.867625	2.119476
56.6568	1.556404	1.766286
56.8092	3.502059	3.974313
56.9616	2.723574	3.09085
57.1140	3.114182	3.534131
57.2664	1.557181	1.767168
57.4188	2.335477	2.650418
57.5712	1.556062	1.765898
57.7236	1.945047	2.207338
57.8760	1.166953	1.324318
58.0284	1.944278	2.206465
58.1808	1.166766	1.324105
58.3332	0.7777795	0.8826635
58.4856	0.389151	0.4416282
58.6380	0.3896466	0.4421907
58.7904	1.556605	1.766514
58.9428	1.945261	2.207581
59.0952	2.334896	2.649758
59.2476	1.167461	1.324894
59.4000	1.168757	1.326365
59.5524	1.556151	1.765999
59.7048	2.334123	2.648881
59.8572	1.944083	2.206244
60.0096	1.55639	1.766271
60.1620	1.5556	1.765373
60.3144	1.166937	1.324299
60.4668	1.555948	1.765769
60.6192	1.167297	1.324708
60.7716	1.556283	1.766149
60.9240	1.166675	1.324002
61.0764	0.7780125	0.882928
61.2288	0.7776577	0.8825253
61.3812	0.7783054	0.8832604
61.5336	1.55532	1.765056
61.6860	1.555644	1.765423
61.8384	1.943826	2.205952
61.9908	1.94512	2.20742
62.1432	1.944758	2.20701
62.2956	1.556419	1.766303
62.4480	1.166826	1.324173
62.6004	1.556447	1.766335
62.7528	1.945433	2.207776
62.9052	1.945577	2.20794
63.0576	2.33651	2.65159
63.2100	2.722899	3.090084
63.3624	3.112857	3.532628
63.5148	2.332338	2.646855
63.6672	2.334275	2.649054
63.8196	1.944413	2.206619
63.9720	1.555751	1.765545
64.1244	1.167459	1.324892
64.2768	1.167459	1.324892
64.4292	1.167459	1.324892
64.5816	1.166812	1.324157
64.7340	1.167136	1.324525
64.8864	1.555385	1.76513
65.0388	0.7780602	0.8829821
65.1912	1.165602	1.322784
65.3436	1.477146	1.67634
65.4960	1.477117	1.676308
65.6484	1.089425	1.236334
65.8008	1.166922	1.324282
65.9532	1.944894	2.207165
66.1056	1.905997	2.163022
66.2580	1.128672	1.280874
66.4104	0.3500839	0.3972929
66.5628	-0.0000035	-0.0000040
66.7152	-0.0000035	-0.0000040
66.8676	0.3504529	0.3977117
67.0200	2.293766	2.603081
67.1724	3.461754	3.928574
67.3248	4.668019	5.297504
67.4772	3.112815	3.53258
67.6296	2.64574	3.00252
67.7820	1.478765	1.678177
67.9344	1.090102	1.237103
68.0868	0.7792755	0.8843613
68.2392	0.7393204	0.8390182
68.3916	2.052155	2.328889
68.5440	2.01293	2.284375
68.6964	2.441222	2.770423
68.8488	2.294901	2.60437
69.0012	2.333946	2.64868
69.1536	1.944357	2.206554
69.3060	1.478777	1.678191
69.4584	1.479233	1.678708
69.6108	2.643928	3.000463
69.7632	2.332696	2.647262
69.9156	2.64327	2.999716
70.0680	1.08936	1.236261
70.2204	1.478346	1.677702
70.3728	1.167136	1.324525
70.5252	1.945159	2.207465
70.6776	1.167187	1.324583
70.8300	0.778281	0.8832327
70.9824	0.6996685	0.7940192
71.1348	1.08923	1.236113
71.2872	1.477892	1.677187
71.4396	2.333928	2.648659
71.5920	4.044268	4.58964
71.7444	4.434141	5.032087
71.8968	4.045478	4.591014
72.0492	2.723085	3.090295
72.2016	2.334424	2.649222
72.3540	1.867452	2.119279
72.5064	1.089495	1.236414
72.6588	2.097858	2.380756
72.8112	1.787332	2.028355
72.9636	2.565304	2.911237
73.1160	1.55629	1.766156
73.2684	1.55629	1.766156
73.4208	1.828389	2.074949
73.5732	2.606361	2.957831
73.7256	2.996099	3.400125
73.8780	3.503514	3.975965
74.0304	3.113218	3.533037
74.1828	2.724481	3.09188
74.3352	2.91564	3.308816
74.4876	3.69422	4.192388
74.6400	4.471869	5.074902
74.7924	3.50065	3.972715
74.9448	1.946	2.20842
75.0972	2.722372	3.089485
75.2496	2.333386	2.648044
75.4020	3.500463	3.972502
75.5544	1.55715	1.767132
75.7068	1.555571	1.765341
75.8592	0.7779233	0.8828267
76.0116	1.477321	1.676539
76.1640	1.478291	1.677639
76.3164	1.477643	1.676904
76.4688	1.167266	1.324672
76.6212	1.556252	1.766113
76.7736	2.218056	2.517162
76.9260	3.385014	3.841485
77.0784	3.773245	4.28207
77.2308	3.11273	3.532484
77.3832	3.498502	3.970277
77.5356	3.500446	3.972483
77.6880	3.110839	3.530338
77.8404	1.557804	1.767875
77.9928	0.3888266	0.4412601
78.1452	0.3886755	0.4410887
78.2976	0.0000130	0.0000148
78.4500	0.3502159	0.3974427
78.6024	0.7395262	0.8392518
78.7548	1.128085	1.280208
78.9072	1.167778	1.325254
79.0596	1.554676	1.764325
79.2120	1.555647	1.765427
79.3644	1.165738	1.322939
79.5168	0.3897044	0.4422563
79.6692	1.944177	2.20635
79.8216	2.333163	2.647792
79.9740	2.333287	2.647933
80.1264	0.7781574	0.8830923
80.2788	0.3891712	0.4416512
80.4312	1.089459	1.236374
