HOLE:	U1508C
EXPEDITION:	371
TOP:	271.1869
BOTTOM:	662.2452
DEPTH_WMSF	GR	ECGR
m	gAPI	gAPI
271.1869	16.34012	19.02971
271.3393	16.34041	19.03006
271.4917	17.11417	19.96883
271.6441	14.97735	17.4903
271.7965	13.63745	15.92558
271.9489	14.22521	16.61196
272.1013	15.11198	17.65035
272.2537	17.81773	20.82057
272.4061	19.3756	22.66274
272.5585	22.17491	26.00311
272.7109	22.75315	26.70659
272.8633	23.91998	28.07171
273.0157	22.56541	26.50302
273.1681	23.61452	27.71324
273.3205	22.63487	26.56355
273.4729	20.88443	24.51415
273.6253	18.2843	21.45445
273.7777	18.92085	22.20841
273.9301	21.65035	25.40009
274.0825	24.17093	28.37746
274.2349	21.60984	25.36146
274.3873	22.05335	25.8776
274.5397	21.7255	25.43638
274.6921	26.18749	30.63179
274.8445	27.83864	32.55783
274.9969	27.96811	32.70201
275.1493	27.81899	32.53008
275.3017	28.52046	33.34572
275.4541	30.82712	36.0192
275.6065	30.93295	36.12938
275.7589	27.18701	31.7308
275.9113	20.32229	23.7025
276.0637	16.76355	19.51967
276.2161	16.37048	19.05914
276.3685	19.00278	22.12976
276.5209	18.23707	21.23368
276.6733	16.01992	18.65481
276.8257	14.00897	16.31758
276.9781	14.46121	16.84031
277.1305	16.04131	18.6757
277.2829	17.57096	20.45656
277.4353	19.04069	22.16766
277.5877	20.05632	23.35109
277.7401	22.14275	25.78256
277.8925	23.17086	26.9761
278.0449	24.42706	28.43178
278.1973	23.99186	27.86618
278.3497	24.17214	27.96306
278.5021	22.80411	26.3346
278.6545	19.41436	22.41915
278.8069	17.14809	19.79905
278.9593	15.82605	18.27488
279.1117	17.33529	20.02074
279.2641	16.44437	18.98982
279.4165	15.85567	18.31291
279.5689	14.30139	16.51104
279.7213	15.11528	17.45723
279.8737	15.13339	17.47991
280.0261	16.05396	18.53941
280.1785	16.18652	18.69249
280.3309	17.13297	19.78812
280.4833	17.38265	20.07645
280.6357	16.56252	19.12324
280.7881	15.9077	18.37094
280.9405	15.18802	17.53862
281.0929	15.21885	17.57196
281.2453	15.19251	17.54259
281.3977	16.9736	19.59615
281.5501	19.22258	22.21234
281.7025	19.65987	22.78998
281.8549	18.97386	22.05007
282.0073	18.17567	21.12245
282.1597	19.24763	22.37274
282.3121	20.28217	23.56861
282.4645	22.133	25.71033
282.6169	22.4071	26.03371
282.7693	22.49085	26.12537
282.9217	22.36221	25.98848
283.0741	20.96347	24.35827
283.2265	20.55896	23.88699
283.3789	18.09699	21.03055
283.5313	19.57937	22.74589
283.6837	18.84413	21.9029
283.8361	20.56544	23.896
283.9885	21.97967	25.54549
284.1409	23.42537	27.22488
284.2933	22.29907	25.91005
284.4457	19.05717	22.12039
284.5981	15.17055	17.56525
284.7505	13.40883	15.44831
284.9029	13.91318	15.99153
285.0553	15.21848	17.48821
285.2077	16.52225	18.99779
285.3601	17.3538	19.94314
285.5125	16.70777	19.20542
285.6649	17.44724	20.05367
285.8173	16.59482	19.07596
285.9697	19.30291	22.18213
286.1221	20.75307	23.84825
286.2745	24.01587	27.6021
286.4269	22.97944	26.40676
286.5793	23.61304	27.13919
286.7317	22.64293	26.01998
286.8841	21.84827	25.0959
287.0365	19.22898	22.0153
287.1889	17.69057	20.18361
287.3413	17.30078	19.70962
287.4937	17.09963	19.47148
287.6461	16.77326	19.10843
287.7985	17.44667	19.86662
287.9509	16.4162	18.69887
288.1033	14.90224	16.97152
288.2557	14.17926	16.14648
288.4081	15.66936	17.85012
288.5605	20.97624	23.88573
288.7129	21.4716	24.45292
288.8653	19.86104	22.61617
289.0177	15.05834	17.15411
289.1701	15.85346	18.06813
289.3225	17.27782	19.68078
289.4749	15.99744	18.22234
289.6273	15.21894	17.33055
289.7797	15.25735	17.37775
289.9321	18.6751	21.26498
290.0845	20.57992	23.43591
290.2369	18.88111	21.50663
290.3893	17.65176	20.10042
290.5417	15.4668	17.61401
290.6941	15.46311	17.60853
290.8465	16.28719	18.55202
290.9989	16.72764	19.05643
291.1513	17.59439	20.0344
291.3037	15.31879	17.444
291.4561	13.90827	15.84188
291.6085	13.24358	15.08838
291.7609	12.98022	14.78362
291.9133	13.18592	15.01766
292.0657	12.20391	13.90353
292.2181	11.92664	13.58873
292.3705	11.18752	12.75256
292.5229	10.2395	11.66752
292.6753	9.743336	11.10423
292.8277	9.129636	10.4011
292.9801	8.885126	10.12007
293.1325	8.835702	10.06201
293.2849	9.962334	11.34479
293.4373	11.06285	12.59132
293.5897	11.21955	12.75431
293.7421	11.18834	12.71313
293.8945	11.54915	13.12122
294.0469	11.50288	13.06713
294.1993	10.41651	11.83345
294.3517	9.396106	10.67224
294.5041	9.085325	10.32011
294.6565	8.801884	9.998172
294.8089	8.135818	9.243649
294.9613	8.075836	9.175303
295.1137	9.312773	10.57966
295.2661	11.40937	12.9594
295.4185	12.03962	13.67372
295.5709	11.68097	13.26869
295.7233	11.44737	13.00304
295.8757	13.77739	15.65031
296.0281	15.57061	17.68478
296.1805	16.75296	19.02961
296.3329	16.80969	19.09816
296.4853	19.68799	22.36429
296.6377	22.30729	25.33958
296.7901	21.91678	24.89527
296.9425	20.10583	22.83898
297.0949	18.02453	20.47477
297.2473	17.76959	20.18297
297.3997	18.31956	20.81072
297.5521	17.95688	20.39973
297.7045	17.71869	20.12644
297.8569	16.74964	19.02665
298.0093	15.36618	17.45314
298.1617	15.06397	17.11072
298.3141	14.62491	16.61332
298.4665	13.39707	15.21659
298.6189	12.47341	14.16706
298.7713	11.94536	13.56667
298.9237	13.21927	15.01822
299.0761	13.01942	14.7823
299.2285	12.8332	14.57813
299.3809	11.90953	13.52255
299.5333	11.54033	13.10553
299.6857	12.80873	14.55428
299.8381	13.02448	14.7914
299.9905	14.80779	16.82653
300.1429	13.64662	15.50106
300.2953	14.62003	16.60565
300.4477	14.03447	15.94489
300.6001	16.26696	18.47739
300.7525	15.60499	17.72438
300.9049	13.56851	15.41131
301.0573	10.2616	11.65529
301.2097	7.778541	8.834985
301.3621	8.392076	9.530474
301.5145	10.07132	11.44071
301.6669	12.67502	14.39672
301.8193	13.44462	15.27065
301.9717	12.39969	14.08497
302.1241	11.2834	12.81586
302.2765	11.76122	13.36196
302.4289	13.73665	15.60686
302.5813	14.78233	16.79226
302.7337	15.37262	17.4644
302.8861	14.34022	16.28783
303.0385	14.16567	16.09062
303.1909	16.13436	18.32754
303.3433	18.58273	21.10382
303.4957	19.57474	22.23329
303.6481	19.52292	22.17443
303.8005	21.18076	24.058
303.9529	23.11555	26.25876
304.1053	23.93931	27.19063
304.2577	19.61756	22.28192
304.4101	16.95534	19.25908
304.5625	14.75072	16.75926
304.7149	14.22086	16.15387
304.8673	13.89131	15.77626
305.0197	13.71831	15.58555
305.1721	15.55182	17.66694
305.3245	18.64643	21.1887
305.4769	20.52433	23.30878
305.6293	18.96365	21.53836
305.7817	17.61869	20.009
305.9341	16.40961	18.64036
306.0865	16.17495	18.37757
306.2389	14.25089	16.18638
306.3913	13.1657	14.95457
306.5437	13.74357	15.61201
306.6961	13.46821	15.2982
306.8485	13.65613	15.51089
307.0009	14.49446	16.45942
307.1533	15.45779	17.5572
307.3057	15.55485	17.66743
307.4581	15.42092	17.51635
307.6105	15.57283	17.6897
307.7629	16.99343	19.30466
307.9153	18.20518	20.68575
308.0677	18.44664	20.96045
308.2201	18.5066	21.0293
308.3725	19.08956	21.6883
308.5249	20.1018	22.84576
308.6773	18.47022	20.99497
308.8297	15.54448	17.6609
308.9821	12.42602	14.11911
309.1345	11.47554	13.03658
309.2869	11.5889	13.16911
309.4393	12.34121	14.02666
309.5917	12.45022	14.14909
309.7441	13.10221	14.89427
309.8965	15.22083	17.30702
310.0489	16.72629	19.02563
310.2013	17.49872	19.93039
310.3537	16.59432	18.97258
310.5061	16.52603	18.95775
310.6585	16.3833	18.80669
310.8109	17.37689	19.95075
310.9633	17.98156	20.64394
311.1157	17.1575	19.704
311.2681	15.90728	18.26685
311.4205	15.39904	17.67641
311.5729	16.19411	18.57723
311.7253	16.76643	19.20839
311.8777	16.57734	18.95885
312.0301	16.42638	18.73324
312.1825	16.68717	18.99574
312.3349	16.89413	19.2244
312.4873	17.57545	19.99712
312.6397	17.10172	19.45491
312.7921	16.93678	19.26843
312.9445	16.62996	18.92473
313.0969	17.00678	19.34856
313.2493	17.67788	20.11166
313.4017	16.99983	19.33825
313.5541	13.94664	15.86276
313.7065	12.00059	13.65216
313.8589	11.07807	12.60065
314.0113	12.24206	13.92716
314.1637	10.81309	12.30233
314.3161	10.92933	12.4329
314.4685	12.49843	14.22677
314.6209	14.58232	16.58774
314.7733	12.88791	14.66387
314.9257	11.14736	12.68304
315.0781	11.22137	12.76685
315.2305	11.94807	13.59561
315.3829	13.07169	14.87232
315.5353	13.73897	15.63582
315.6877	15.62935	17.78251
315.8401	15.67866	17.83803
315.9925	14.77796	16.81072
316.1449	14.23907	16.19495
316.2973	11.84974	13.48398
316.4497	11.85782	13.48899
316.6021	12.23583	13.92315
316.7545	14.49783	16.49197
316.9069	15.72648	17.8887
317.0593	14.80165	16.84295
317.2117	13.99368	15.921
317.3641	10.48957	11.93624
317.5165	12.25865	13.94403
317.6689	14.03382	15.96144
317.8213	15.32211	17.43217
317.9737	14.15693	16.10154
318.1261	13.268	15.09521
318.2785	13.9004	15.8124
318.4309	15.06883	17.14421
318.5833	14.64212	16.65873
318.7357	16.02363	18.23111
318.8881	16.02738	18.23971
319.0405	18.57063	21.12519
319.1929	19.38746	22.05711
319.3453	20.00742	22.75915
319.4977	18.46089	21.00093
319.6501	17.37576	19.77163
319.8025	17.52438	19.93864
319.9549	16.68962	18.99146
320.1073	16.2431	18.47913
320.2597	14.65014	16.66348
320.4121	15.40073	17.5212
320.5645	15.2376	17.33543
320.7169	16.68452	18.98632
320.8693	18.29336	20.80913
321.0217	18.93208	21.53714
321.1741	18.46653	21.01077
321.3265	16.51193	18.78227
321.4789	15.21681	17.31371
321.6313	14.37811	16.35427
321.7837	15.46684	17.59113
321.9361	17.53899	19.94787
322.0885	20.10216	22.86911
322.2409	21.1432	24.06176
322.3933	21.05053	23.95113
322.5457	19.77894	22.50289
322.6981	18.15798	20.65281
322.8505	17.3869	19.7803
323.0029	17.42709	19.82797
323.1553	17.78324	20.23194
323.3077	17.90746	20.37311
323.4601	17.28715	19.66252
323.6125	17.28633	19.66334
323.7649	17.08631	19.43629
323.9173	17.10144	19.45349
324.0697	16.50035	18.7683
324.2221	15.3861	17.50371
324.3745	14.11258	16.05678
324.5269	15.08609	17.16096
324.6793	16.7235	19.02685
324.8317	16.7215	19.02601
324.9841	14.43712	16.42422
325.1365	12.98213	14.76483
325.2889	13.75076	15.63747
325.4413	14.66932	16.68185
325.5937	15.06058	17.12949
325.7461	14.86397	16.91328
325.8985	14.43467	16.4412
326.0509	13.72656	15.69967
326.2033	14.98959	17.19124
326.3557	20.79521	23.89605
326.5081	28.30813	32.55928
326.6605	32.73298	37.64329
326.8129	33.63384	38.68016
326.9653	31.76592	36.51724
327.1177	32.61883	37.50953
327.2701	31.99623	36.99899
327.4225	35.38754	41.40886
327.5749	36.83896	43.76069
327.7273	39.33416	46.96107
327.8797	38.10186	44.98631
328.0321	39.19536	46.23037
328.1845	37.80644	44.57977
328.3369	39.26435	46.34106
328.4893	35.98293	42.46895
328.6417	35.24482	41.59957
328.7941	31.19055	36.81776
328.9465	32.64058	38.51974
329.0989	34.54855	40.78725
329.2513	36.59283	43.19235
329.4037	33.84791	39.97044
329.5561	31.67647	37.39072
329.7085	31.88114	37.64257
329.8609	35.94014	42.44304
330.0133	35.20843	41.63641
330.1657	32.48773	38.42787
330.3181	30.83895	36.48758
330.4705	33.54336	39.7075
330.6229	34.71521	41.11192
330.7753	34.33549	40.72908
330.9277	33.32155	39.64162
331.0801	33.11822	39.47708
331.2325	32.57972	38.84259
331.3849	33.7729	40.32054
331.5373	36.17866	43.25336
331.6897	38.19548	45.66578
331.8421	37.1329	44.43927
331.9945	34.02216	41.24276
332.1469	31.98104	39.3361
332.2993	30.9849	37.42222
332.4517	32.42178	39.48238
332.6041	33.86293	41.26788
332.7565	34.43566	41.69121
332.9089	33.24522	40.23544
333.0613	28.9765	34.80172
333.2137	28.81787	33.69146
333.3661	28.63287	33.32202
333.5185	30.80233	35.83389
333.6709	32.68337	38.02575
333.8233	35.60092	41.35167
333.9757	37.66216	43.65253
334.1281	37.92981	43.95933
334.2805	37.14885	42.89949
334.4329	37.47581	43.22737
334.5853	36.2571	41.80362
334.7377	34.22468	39.48396
334.8901	30.51652	35.19943
335.0425	32.09897	37.00947
335.1949	34.84797	40.12856
335.3473	36.91132	42.40015
335.4997	35.02618	39.91525
335.6521	28.98537	32.28863
335.8045	21.86295	24.16919
335.9569	15.53231	17.16772
336.1093	13.06568	14.43718
336.2617	13.2852	14.68125
336.4141	14.39603	15.91119
336.5665	14.01974	15.55279
336.7189	12.95919	14.53048
336.8713	12.05075	13.56159
337.0237	11.72783	13.2092
337.1761	13.93871	15.69889
337.3285	15.27107	17.2003
337.4809	16.19524	18.241
337.6333	16.88105	19.01936
337.7857	16.95549	19.10138
337.9381	18.01081	20.2296
338.0905	18.3531	20.50062
338.2429	18.12482	20.18186
338.3953	19.90446	22.11065
338.5477	21.42121	23.72689
338.7001	23.32594	25.67974
338.8525	22.92254	25.16766
339.0049	22.58912	24.78998
339.1573	21.84482	23.97305
339.3097	21.31086	23.3832
339.4621	20.53756	22.53199
339.6145	19.00851	20.85552
339.7669	18.83322	20.66657
339.9193	18.87982	20.72029
340.0717	20.40808	22.39529
340.2241	20.22537	22.20475
340.3765	18.80782	20.6427
340.5289	19.31738	21.19791
340.6813	20.19986	22.16266
340.8337	20.87057	22.90676
340.9861	19.50346	21.41224
341.1385	18.22611	20.004
341.2909	18.89455	20.72942
341.4433	20.93276	22.96812
341.5957	24.80004	27.21739
341.7481	26.7972	29.40644
341.9005	26.40611	28.98065
342.0529	23.56369	25.85274
342.2053	20.54945	22.55164
342.3577	18.84789	20.68013
342.5101	19.64527	21.55638
342.6625	20.44974	22.44717
342.8149	21.70823	23.82436
342.9673	22.30654	24.47807
343.1197	22.41404	24.61322
343.2721	23.97122	26.35697
343.4245	24.28543	26.74857
343.5769	26.22471	28.87396
343.7293	29.96197	32.98875
343.8817	31.02031	34.16503
344.0341	30.16015	33.21392
344.1865	24.78725	27.30107
344.3389	23.33214	25.67207
344.4913	23.3169	25.61483
344.6437	23.23783	25.50592
344.7961	22.55786	24.76022
344.9485	22.29732	24.47937
345.1009	25.33215	27.80946
345.2533	29.20461	32.06887
345.4057	31.85105	35.07872
345.5581	34.15688	37.67902
345.7105	35.10295	38.71831
345.8629	36.12041	39.83981
346.0153	33.44724	36.89138
346.1677	30.1106	33.21117
346.3201	26.20361	28.91601
346.4725	23.51297	25.93499
346.6249	22.81375	25.17145
346.7773	21.2535	23.44228
346.9297	20.81894	22.96272
347.0821	17.70895	19.53937
347.2345	15.73097	17.35758
347.3869	15.33631	16.98165
347.5393	15.26823	16.9224
347.6917	18.35096	20.34425
347.8441	19.80102	21.95181
347.9965	22.12009	24.52349
348.1489	21.40081	23.73466
348.3013	19.35416	21.46795
348.4537	18.37352	20.41761
348.6061	17.70425	19.68826
348.7585	18.73631	20.83015
348.9109	16.68331	18.55006
349.0633	16.21134	18.0231
349.2157	15.17039	16.86844
349.3681	15.91187	17.69338
349.5205	16.98112	18.88232
349.6729	16.01722	17.81161
349.8253	16.58785	18.44119
349.9777	16.64325	18.50362
350.1301	17.72949	19.71296
350.2825	16.933	18.82571
350.4349	15.51386	17.24938
350.5873	16.50675	18.35103
350.7397	19.87352	22.09396
350.8921	21.96278	24.41665
351.0445	22.496	25.01369
351.1969	22.26042	24.75594
351.3493	23.63368	26.26727
351.5017	25.23863	28.0211
351.6541	25.02435	27.69662
351.8065	23.54836	25.92159
351.9589	22.46178	24.64671
352.1113	22.26265	24.43866
352.2637	21.14023	23.20164
352.4161	19.77743	21.67053
352.5685	19.53136	21.3727
