HOLE:	U1508C
EXPEDITION:	371
TOP:	0.1164
BOTTOM:	660.0083
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	m3/m3
0.1164	1.099214	1.038523	0.04387304	0.06280075	-0.00963776	-0.001001417
0.2688	1.112414	1.218969	0.04226688	0.1306597	-0.04193823	-0.001001417
0.4212	2.2652	2.279108	0.06932774	0.3041385	-0.02133557	-0.001001417
0.5736	3.658177	3.462715	0.1020667	0.482232	0.01255361	-0.001001417
0.7260	4.577257	3.632799	0.1151721	0.4559882	0.08216255	-0.001001417
0.8784	4.649928	3.204463	0.108517	0.3594972	0.1240996	-0.001001417
1.0308	4.702944	3.000813	0.09495272	0.3777924	0.1801904	-0.001001417
1.1832	5.729858	3.939689	0.1118801	0.574856	0.1698142	-0.001001417
1.3356	6.628501	4.233985	0.1195022	0.6223353	0.2507307	-0.001001417
1.4880	6.324712	3.03061	0.06359053	0.5808759	0.3864207	-0.001001417
1.6404	5.415125	2.243539	0.02666887	0.555934	0.4065908	-0.001001417
1.7928	4.417968	1.900755	0.02840331	0.4351504	0.3368341	-0.001001417
1.9452	4.397408	1.350483	0.02205005	0.2976379	0.4462647	-0.001001417
2.0976	4.403759	1.088691	0.02281752	0.2088308	0.4704212	-0.001001417
2.2500	5.37745	1.260844	0.02042291	0.2788914	0.5942157	-0.001001417
2.4024	4.67896	1.44316	0.01780025	0.353623	0.5070734	-0.001001417
2.5548	3.738063	1.508106	0.0230547	0.3420578	0.3835602	-0.001001417
2.7072	1.84896	0.9347249	0.02427152	0.1504145	0.1716253	-0.001001417
2.8596	1.83092	0.7132344	0.02928473	0.04835208	0.1956616	-0.001001417
3.0120	2.121331	0.8629562	0.03674851	0.05037984	0.2161677	-0.001001417
3.1644	1.661609	0.6765552	0.03115617	0.02502558	0.1746689	-0.001001417
3.3168	1.088822	0.2253714	0.01436029	-0.01623171	0.1383253	-0.001001417
3.4692	0.6820238	0.06287213	0.004380279	-0.006836927	0.08955707	-0.001001417
3.6216	1.443036	0.04199613	0.003685527	-0.009254212	0.2081899	-0.001001417
3.7740	1.949405	0.4138525	0.01992765	0.009944717	0.2196021	-0.001001417
3.9264	3.473954	1.369757	0.03850414	0.202301	0.2557718	-0.001001417
4.0788	4.252107	1.437378	0.03981172	0.2159485	0.3378185	-0.001001417
4.2312	4.196517	1.00906	0.02010131	0.200018	0.407149	-0.001001417
4.3836	4.306871	0.7577211	0.006214596	0.2049883	0.4647429	-0.001001417
4.5360	4.504193	0.5802329	-0.008311443	0.2376198	0.4977737	-0.001001417
4.6884	4.627152	0.7082232	-0.01791137	0.337957	0.5354058	-0.001001417
4.8408	3.445004	0.8820944	-0.001389535	0.2918492	0.3268782	-0.001001417
4.9932	3.248153	0.9906868	-0.004659381	0.3468985	0.2685843	-0.001001417
5.1456	3.827719	1.643907	0.01826735	0.4152086	0.2533032	-0.001001417
5.2980	4.248906	1.817429	0.01583283	0.4859549	0.2633929	-0.001001417
5.4504	4.122847	1.362605	-0.005696102	0.472733	0.2793052	-0.001001417
5.6028	3.673615	0.5756322	-0.0009676701	0.1908291	0.3696761	-0.001001417
5.7552	2.919989	0.668599	0.01162064	0.1430107	0.2654727	-0.001001417
5.9076	3.48033	2.090157	0.03615064	0.4481714	0.1300246	-0.001001417
6.0600	3.905578	2.29655	0.03580691	0.5165736	0.140029	-0.001001417
6.2124	3.95451	2.582237	0.05481171	0.4910536	0.1232018	-0.001001417
6.3648	3.054736	1.773251	0.04581456	0.2867713	0.07641564	-0.001001417
6.5172	2.693318	1.693689	0.03760568	0.3118719	0.07066179	-0.001001417
6.6696	2.816528	2.001142	0.06249876	0.2570096	0.06047907	-0.001001417
6.8220	3.496939	2.376864	0.07340685	0.3103624	0.09582087	-0.001001417
6.9744	2.951546	2.636574	0.09098475	0.2853046	-0.04396324	-0.001001417
7.1268	2.779371	2.654116	0.09493492	0.2665642	-0.04279302	-0.001001417
7.2792	2.427316	2.138094	0.07291614	0.236712	-0.01780158	-0.001001417
7.4316	2.087817	1.693913	0.05667936	0.1942537	0.004886785	-0.001001417
7.5840	2.311457	1.191846	0.06854399	-0.04018837	0.107497	-0.001001417
7.7364	2.542484	1.287967	0.07667783	-0.05950847	0.1035833	-0.001001417
7.8888	3.017773	1.31597	0.08352962	-0.09279325	0.1752111	-0.001001417
8.0412	3.027331	1.507099	0.09353346	-0.09314092	0.1561737	-0.001001417
8.1936	2.390588	0.8972664	0.0703392	-0.1458664	0.1568806	-0.001001417
8.3460	2.672033	0.8258461	0.0663968	-0.1444765	0.1909402	-0.001001417
8.4984	3.017488	0.675425	0.06178441	-0.1643229	0.252709	-0.001001417
8.6508	2.951782	0.6911404	0.06110722	-0.1550975	0.2623766	-0.001001417
8.8032	2.635078	0.7764729	0.06253724	-0.1365176	0.2209894	-0.001001417
8.9556	2.870353	1.250747	0.08736715	-0.1374175	0.1752894	-0.001001417
9.1080	2.955739	1.502968	0.08851293	-0.06348938	0.1522954	-0.001001417
9.2604	2.96175	1.239302	0.07740158	-0.07960242	0.1799585	-0.001001417
9.4128	2.727979	1.449831	0.08552945	-0.06214443	0.1440191	-0.001001417
9.5652	1.894314	0.9731604	0.0558616	-0.03216277	0.09945646	-0.001001417
9.7176	2.037198	1.150533	0.06347709	-0.02219112	0.1057906	-0.001001417
9.8700	1.464305	0.8035279	0.04115305	0.00411775	0.06942427	-0.001001417
10.0224	2.223919	1.375592	0.06690022	0.02896225	0.1159644	-0.001001417
10.1748	2.448833	1.934886	0.09315521	0.0465724	0.09629469	-0.001001417
10.3272	2.20681	1.420883	0.06755081	0.03949255	0.1037357	-0.001001417
10.4796	2.02659	1.229695	0.05555703	0.05209994	0.1324821	-0.001001417
10.6320	1.84307	1.175704	0.05312597	0.04976176	0.1135744	-0.001001417
10.7844	2.321885	1.178693	0.05834197	0.01853728	0.1939806	-0.001001417
10.9368	2.957819	2.164208	0.1008041	0.07302105	0.15232	-0.001001417
11.0892	3.015811	1.960144	0.08833968	0.0843971	0.1980526	-0.001001417
11.2416	2.534325	1.914954	0.07677613	0.1412354	0.1136493	-0.001001417
11.3940	1.725008	1.315154	0.05067512	0.1096672	0.07540745	-0.001001417
11.5464	0.9149198	0.7883638	0.03086122	0.06275173	0.02963518	-0.001001417
11.6988	1.033378	0.786094	0.03180999	0.05616858	0.03560937	-0.001001417
11.8512	1.432974	0.6265305	0.02616074	0.03978396	0.09813414	-0.001001417
12.0036	1.303075	0.7039098	0.03347845	0.01948109	0.1028131	-0.001001417
12.1560	1.051176	0.5904588	0.02782525	0.01792942	0.07363413	-0.001001417
12.3084	0.8973707	0.3185591	0.01367157	0.01794415	0.08696332	-0.001001417
12.4608	1.26587	0.4898264	0.02209536	0.02096754	0.1336063	-0.001001417
12.6132	1.577352	0.2085298	0.007915473	0.01812631	0.2267597	-0.001001417
12.7656	1.572474	0.335391	0.007054681	0.06417777	0.1992307	-0.001001417
12.9180	1.768113	0.2137264	0.0121583	-0.006384381	0.2379387	-0.001001417
13.0704	2.524984	0.4410571	0.007405607	0.09594602	0.384921	-0.001001417
13.2228	1.702687	0.5519826	0.01631528	0.07659322	0.2420531	-0.001001417
13.3752	1.149912	0.2629103	0.0003855997	0.08205163	0.188221	-0.001001417
13.5276	1.150022	0.4903056	0.00679796	0.115511	0.1627193	-0.001001417
13.6800	2.195602	1.276525	0.02761814	0.2395304	0.2629048	-0.001001417
13.8324	1.846927	0.8705136	0.01866994	0.1643571	0.2292967	-0.001001417
13.9848	1.029852	0.389763	0.00569158	0.0900495	0.1412874	-0.001001417
14.1372	0.1085106	0.05473452	0.001417864	0.008828759	0.01319845	-0.001001417
14.2896	0.6981871	0.263748	0.007250111	0.0399645	0.07536131	-0.001001417
14.4420	0.3071871	0.1534276	0.00609103	0.01168816	0.03393584	-0.001001417
14.5944	0.5295367	0.4224829	0.01385206	0.05020455	0.06005646	-0.001001417
14.7468	0.7586023	1.202258	0.06528475	-0.01673409	-0.02355806	-0.001001417
14.8992	0.8538058	0.7390399	0.04075748	-0.0141511	0.04117574	-0.001001417
15.0516	0.8498448	0.9121704	0.06101381	-0.08353972	0.003737577	-0.001001417
15.2040	0.490347	0.4672748	0.03247337	-0.05031017	0.01528518	-0.001001417
15.3564	0.6591803	0.3826268	0.02897171	-0.05588766	0.0501462	-0.001001417
15.5088	0.560609	0.564081	0.0353017	-0.03667356	-0.0007618172	-0.001001417
15.6612	1.207889	1.164998	0.0728792	-0.07556005	0.0134531	-0.001001417
15.8136	1.647501	1.70698	0.09452597	-0.03507512	-0.01606927	-0.001001417
15.9660	2.089595	2.521754	0.1336598	-0.01488665	-0.07781199	-0.001001417
16.1184	0.9829177	1.039117	0.05558481	-0.00927367	-0.005153371	-0.001001417
16.2708	1.151812	1.178112	0.06248476	-0.007211691	-0.02770263	-0.001001417
16.4232	1.204664	1.041416	0.05654623	-0.01446769	-0.02347277	-0.001001417
16.5756	1.862165	1.582078	0.08997637	-0.04711385	-0.01835509	-0.001001417
16.7280	1.381188	1.080655	0.05596327	0.001730639	-0.005380619	-0.001001417
16.8804	0.7579334	0.5120517	0.02711614	-0.002874805	0.002890297	-0.001001417
17.0328	0.5640658	0.3330762	0.01970205	-0.01460371	0.004484773	-0.001001417
17.1852	0.6389974	0.1623507	0.01383398	-0.03322258	0.06505419	-0.001001417
17.3376	1.388707	-0.1888372	0.004259632	-0.08692632	0.2404341	-0.001001417
17.4900	0.9252865	-0.3029393	-0.0009671286	-0.09131828	0.1703408	-0.001001417
17.6424	0.7219421	-0.1625966	-0.02475003	0.100499	0.1495468	-0.001001417
17.7948	0.3205766	-0.01623634	-0.007561319	0.0414415	0.04448209	-0.001001417
17.9472	1.018843	-0.1559587	-0.03038555	0.1374036	0.170029	-0.001001417
18.0996	0.6827053	-0.2617365	-0.02971458	0.09929408	0.1399292	-0.001001417
18.2520	0.4503521	-0.1573938	-0.02679684	0.1147993	0.1000262	-0.001001417
18.4044	0.697859	-0.1563372	-0.04297291	0.2149498	0.1652828	-0.001001417
18.5568	0.6995143	-0.008009695	-0.04387411	0.2681444	0.1315085	-0.001001417
18.7092	0.9101446	0.3240433	-0.04226804	0.3648698	0.1083539	-0.001001417
18.8616	0.4727566	0.1544595	-0.02085399	0.1782784	0.04952489	-0.001001417
19.0140	1.050725	0.3711072	-0.02219507	0.2561276	0.1293323	-0.001001417
19.1664	0.8428188	0.2346008	-0.01986656	0.1979223	0.1255092	-0.001001417
19.3188	0.8538688	0.008535093	-0.01022068	0.06580566	0.1485434	-0.001001417
19.4712	0.7391156	-0.09698932	-0.01344685	0.05182404	0.1418922	-0.001001417
19.6236	1.845591	0.09692688	-0.02249936	0.1699549	0.2904694	-0.001001417
19.7760	1.810224	0.4727922	-0.03762515	0.3839908	0.2646474	-0.001001417
19.9284	1.576165	1.279812	-0.0117195	0.483311	0.07197542	-0.001001417
20.0808	0.8968661	0.3903543	-0.01566288	0.2220029	0.05779557	-0.001001417
20.2332	0.6346442	0.2465909	-0.004647451	0.1078663	0.04613307	-0.001001417
20.3856	0.8129438	0.318675	-0.005577382	0.1367533	0.06792083	-0.001001417
20.5380	0.8568253	0.3721534	-0.007721305	0.167156	0.06680468	-0.001001417
20.6904	1.938949	1.444647	-0.0138053	0.5491163	-0.009041391	-0.001001417
20.8428	2.468946	1.867181	-0.01111833	0.6682293	-0.04896066	-0.001001417
20.9952	1.788173	1.458926	-0.002128985	0.4816552	-0.04896481	-0.001001417
21.1476	1.359203	1.3537	0.0123024	0.3588171	-0.05761783	-0.001001417
21.3000	0.8847841	0.8345923	0.008572275	0.2151271	-0.02371081	-0.001001417
21.4524	1.322934	1.233965	0.03103185	0.2047991	-0.04754095	-0.001001417
21.6048	1.02875	0.360147	0.01780473	0.005796878	0.063538	-0.001001417
21.7572	1.14759	0.5927775	0.02884804	0.0123631	0.05347304	-0.001001417
21.9096	1.035037	0.7327197	0.0392421	-0.006830426	0.02293932	-0.001001417
22.0620	1.051672	0.4427231	0.025185	-0.01322323	0.07384562	-0.001001417
22.2144	1.057885	0.3050946	0.01646727	-0.003630128	0.06456059	-0.001001417
22.3668	1.647561	1.037046	0.05478105	-0.004979393	0.0309629	-0.001001417
22.5192	1.636419	1.194154	0.06730266	-0.0317878	0.01094636	-0.001001417
22.6716	1.800642	0.9817248	0.05333984	-0.01385234	0.05907409	-0.001001417
22.8240	2.58272	0.9792427	0.05110893	-0.0008840416	0.1475413	-0.001001417
22.9764	3.055777	0.7622907	0.04354355	-0.02387523	0.2391886	-0.001001417
23.1288	2.823258	0.5287539	0.02625049	0.007830319	0.2604354	-0.001001417
23.2812	2.041762	0.7054931	0.03205609	0.02876594	0.1417839	-0.001001417
23.4336	2.134638	0.4726574	0.02177019	0.01746033	0.1803945	-0.001001417
23.5860	3.137418	0.8338698	0.03276921	0.06559269	0.24424	-0.001001417
23.7384	2.651057	1.654372	0.05447937	0.1951301	0.06168598	-0.001001417
23.8908	3.299495	2.832538	0.09514815	0.3225468	0.00591898	-0.001001417
24.0432	2.591226	2.130308	0.0493825	0.3794211	0.008200435	-0.001001417
24.1956	2.595567	2.009523	0.03711988	0.4162965	0.03906304	-0.001001417
24.3480	1.481019	1.123864	0.02123412	0.2298962	0.04213995	-0.001001417
24.5004	1.5945	1.031181	0.0163873	0.2300385	0.04937799	-0.001001417
24.6528	1.603305	1.267323	0.02453152	0.2556206	0.009203746	-0.001001417
24.8052	1.788772	1.512943	0.03348238	0.2792692	0.00801537	-0.001001417
24.9576	1.789909	1.616988	0.03284298	0.3166276	-0.01560126	-0.001001417
25.1100	2.94456	2.90068	0.05542301	0.589546	0.005830653	-0.001001417
25.2624	3.131152	3.122947	0.06153977	0.6231826	-0.02102162	-0.001001417
25.4148	3.240694	2.190321	0.04512547	0.4249608	0.1064836	-0.001001417
25.5672	2.083866	0.9632525	0.004765569	0.2799335	0.1668559	-0.001001417
25.7196	1.884983	0.5269545	-0.0006578352	0.1732849	0.1893093	-0.001001417
25.8720	1.563615	0.4094027	-0.0002971809	0.1333091	0.1339402	-0.001001417
26.0244	1.890422	0.888051	0.02614738	0.123851	0.08209732	-0.001001417
26.1768	1.96005	1.486855	0.04685365	0.1883866	0.008218664	-0.001001417
26.3292	1.873481	1.557936	0.04997035	0.1919827	-0.004422821	-0.001001417
26.4816	1.314113	1.359897	0.03043778	0.2489063	-0.06385847	-0.001001417
26.6340	1.77521	1.537463	0.03486558	0.2786089	-0.05316465	-0.001001417
26.7864	1.607363	1.617863	0.0456434	0.237926	-0.07555621	-0.001001417
26.9388	1.562146	1.652043	0.03311375	0.3262145	-0.08326653	-0.001001417
27.0912	1.575011	1.864695	0.03549262	0.3798268	-0.1103189	-0.001001417
27.2436	2.395626	2.962621	0.06670115	0.5398485	-0.2274132	-0.001001417
27.3960	3.260132	4.443256	0.1091466	0.7534375	-0.3697528	-0.001001417
27.5484	2.442454	3.183253	0.08297911	0.510262	-0.1711616	-0.001001417
27.7008	1.441334	1.760204	0.0307239	0.3756953	-0.06455888	-0.001001417
27.8532	0.6222861	0.7442513	0.01584806	0.1412212	-0.0232375	-0.001001417
28.0056	0.502731	0.5869626	0.01269059	0.1101921	-0.02220258	-0.001001417
28.1580	1.051529	0.9327956	0.02450211	0.1483721	0.006715771	-0.001001417
28.3104	1.632403	1.313566	0.02722555	0.2538482	0.04123703	-0.001001417
28.4628	1.979284	1.582603	0.03721775	0.2785915	-0.01722017	-0.001001417
28.6152	1.829423	1.252291	0.04790308	0.1065837	0.01470242	-0.001001417
28.7676	1.702383	2.210798	0.0498859	0.4021636	-0.1106501	-0.001001417
28.9200	1.921357	2.235493	0.05714078	0.3653293	-0.1045099	-0.001001417
29.0724	2.262981	2.15145	0.04214616	0.430861	-0.02104645	-0.001001417
29.2248	1.695649	1.392723	0.01798944	0.336258	0.0006586646	-0.001001417
29.3772	1.819488	1.404046	0.02115322	0.3203729	-0.004635998	-0.001001417
29.5296	2.298465	1.200822	0.00698053	0.3425595	0.05886459	-0.001001417
29.6820	4.019951	2.446388	0.001565134	0.7759746	0.1522842	-0.001001417
