HOLE:	U1508C
EXPEDITION:	371
TOP:	580.9190
BOTTOM:	670.3777
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	m3/m3
580.9190	15.95703	11.12079	0.256335	2.064433	0.5455919	-0.0004913487
581.0714	16.49289	12.14199	0.2921434	2.182171	0.5369095	-0.0004913487
581.2238	17.12429	12.52687	0.3170148	2.159947	0.5601895	-0.0004913487
581.3762	18.32252	13.57899	0.3376441	2.376465	0.5333509	-0.0004913487
581.5286	18.74417	13.81224	0.3429682	2.420072	0.5686936	-0.0004913487
581.6810	18.40691	12.83645	0.3098678	2.301039	0.6766639	-0.0004913487
581.8334	17.25698	14.07635	0.3092434	2.702188	0.3880322	-0.0004913487
581.9858	16.9019	14.09598	0.3072571	2.72011	0.3879133	-0.0004913487
582.1382	16.08031	13.54082	0.287632	2.657032	0.3861269	-0.0004913487
582.2906	15.28919	13.3196	0.2741426	2.665087	0.3260086	-0.0004913487
582.4430	13.98178	12.6112	0.2913848	2.33704	0.2247723	-0.0004913487
582.5954	14.49725	13.22005	0.3312373	2.298913	0.2330117	-0.0004913487
582.7478	15.16126	12.86177	0.3038453	2.34443	0.3414998	-0.0004913487
582.9002	15.93197	13.84579	0.3208858	2.560136	0.3126222	-0.0004913487
583.0526	16.85909	14.74349	0.329578	2.797044	0.3335553	-0.0004913487
583.2050	17.51896	15.62275	0.3486598	2.967212	0.3051476	-0.0004913487
583.3574	18.23504	16.94944	0.3956246	3.117577	0.2294337	-0.0004913487
583.5098	18.06832	16.56708	0.4109398	2.905339	0.2554989	-0.0004913487
583.6622	17.33341	16.56084	0.3934208	3.005914	0.1608258	-0.0004913487
583.8146	17.17316	16.82513	0.3984135	3.061416	0.08839418	-0.0004913487
583.9670	17.45736	17.01019	0.4044548	3.08538	0.09843221	-0.0004913487
584.1194	17.845	16.54895	0.3794436	3.083946	0.2083222	-0.0004913487
584.2718	17.2021	15.31559	0.3369476	2.937338	0.2872044	-0.0004913487
584.4242	16.13637	14.04715	0.3026547	2.731463	0.3344547	-0.0004913487
584.5766	15.53152	13.07038	0.2886011	2.500598	0.3838919	-0.0004913487
584.7290	15.43328	13.30571	0.2998282	2.510311	0.324097	-0.0004913487
584.8814	15.89295	13.73729	0.303915	2.624746	0.3183756	-0.0004913487
585.0338	16.25433	13.36377	0.3053734	2.496458	0.3846028	-0.0004913487
585.1862	16.53062	12.69796	0.315304	2.224865	0.492174	-0.0004913487
585.3386	17.05089	12.76395	0.3289969	2.165855	0.5262082	-0.0004913487
585.4910	17.20534	12.60999	0.3085866	2.235992	0.563292	-0.0004913487
585.6434	17.19918	13.35886	0.3037601	2.504337	0.4670932	-0.0004913487
585.7958	17.27923	14.18391	0.3080174	2.743915	0.3773925	-0.0004913487
585.9482	17.54444	14.2209	0.3308723	2.621968	0.3830042	-0.0004913487
586.1006	17.64391	15.30209	0.372858	2.722779	0.2735465	-0.0004913487
586.2530	16.96526	14.6646	0.3618272	2.582987	0.2853984	-0.0004913487
586.4054	16.19122	13.06126	0.3198071	2.314985	0.4034975	-0.0004913487
586.5578	16.10507	13.09213	0.3177129	2.337144	0.3525537	-0.0004913487
586.7102	16.00978	12.72139	0.3108716	2.258342	0.4631307	-0.0004913487
586.8626	17.15344	14.62503	0.3356663	2.723473	0.3242355	-0.0004913487
