HOLE:	U1508C
EXPEDITION:	371
TOP:	580.6142
BOTTOM:	698.2669
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
580.6142	3.456517	3.390322	3.40944	3.45112	3.635766	0.2856291	3.547699
580.7666	3.082221	2.989301	2.998325	3.030035	3.193233	0.2858943	3.087152
580.9190	3.073014	2.977205	2.987245	3.023041	3.182288	0.2852455	3.074075
581.0714	3.093904	3.000647	2.998232	3.03817	3.202184	0.2838789	3.094751
581.2238	3.065947	2.976094	2.989528	3.022898	3.190182	0.2841666	3.083639
581.3762	3.09142	2.993243	3.00254	3.044737	3.203804	0.2842455	3.095671
581.5286	3.067359	2.978843	2.989038	3.029094	3.19392	0.2846837	3.089833
581.6810	3.063359	2.981339	2.99091	3.028737	3.19686	0.2854948	3.095866
581.8334	3.110321	3.005469	3.007337	3.056862	3.216328	0.2878182	3.101342
581.9858	3.178067	3.07352	3.060811	3.13645	3.294667	0.2900572	3.178319
582.1382	3.475411	3.378623	3.394835	3.483456	3.651283	0.292515	3.555386
582.2906	3.446931	3.351651	3.388132	3.464607	3.635091	0.2963013	3.548964
582.4430	3.536136	3.46362	3.507827	3.55745	3.750777	0.297387	3.675064
582.5954	3.414593	3.308275	3.323828	3.361535	3.568371	0.2981589	3.446573
582.7478	3.218822	3.086381	3.091459	3.121218	3.31939	0.2994449	3.182843
582.9002	3.331059	3.200669	3.209516	3.243941	3.445939	0.298591	3.309159
583.0526	3.493722	3.401697	3.424308	3.463557	3.667469	0.2983692	3.559292
583.2050	3.477895	3.394341	3.422366	3.46641	3.660778	0.2992856	3.562518
583.3574	3.502407	3.412112	3.439325	3.482572	3.675054	0.2992412	3.570908
583.5098	3.362753	3.249447	3.268681	3.305119	3.504041	0.3002812	3.382099
583.6622	3.404658	3.27581	3.257138	3.320539	3.506686	0.2998901	3.373341
583.8146	3.484626	3.381484	3.396093	3.468529	3.635651	0.2983423	3.528037
583.9670	3.494068	3.395513	3.424316	3.495238	3.660302	0.298472	3.561666
584.1194	3.502962	3.397621	3.4309	3.493346	3.656186	0.2986389	3.552749
584.2718	3.492232	3.392178	3.419086	3.490897	3.653591	0.2990147	3.553334
584.4242	3.491931	3.392897	3.419659	3.485063	3.647813	0.2992461	3.546234
584.5766	3.481659	3.382239	3.408438	3.476097	3.637013	0.2994267	3.534442
584.7290	3.46783	3.37183	3.392422	3.463827	3.623914	0.2994888	3.521737
584.8814	3.466476	3.368658	3.384143	3.456828	3.615057	0.298956	3.508667
585.0338	3.406876	3.306182	3.312696	3.379085	3.529693	0.2989003	3.418018
585.1862	3.285725	3.179962	3.196829	3.232849	3.392824	0.2993472	3.279228
585.3386	3.204074	3.10549	3.092265	3.128017	3.272514	0.2989395	3.16668
585.4910	3.270635	3.149698	3.14398	3.178663	3.329158	0.2987818	3.219546
585.6434	3.269701	3.147635	3.148864	3.178396	3.334792	0.2988485	3.219203
585.7958	3.372859	3.248619	3.234779	3.272952	3.43179	0.2971528	3.317385
585.9482	3.140043	3.031096	3.022804	3.059482	3.214735	0.297768	3.105621
586.1006	3.123554	3.016232	3.009524	3.04791	3.204207	0.2978301	3.091717
586.2530	3.140113	3.030657	3.025438	3.064368	3.219629	0.296426	3.108418
