HOLE:	U1508C
EXPEDITION:	371
TOP:	0.1164
BOTTOM:	660.0083
DEPTH_WMSF	TENS	CS	ETIM
m	lbf	ft/h	s
0.1164	3742.969	3012	209.7213
0.2688	3751.001	3012.003	210.3251
0.4212	3762.969	3047.046	210.9333
0.5736	3696.996	3144.996	211.5265
0.7260	3583.986	3044.988	212.1377
0.8784	3549.001	3015.001	212.7495
1.0308	3507.008	3014.001	213.3582
1.1832	3529.998	3017	213.9674
1.3356	3526.994	3014.998	214.5602
1.4880	3505.003	3007.001	215.1539
1.6404	3530.012	3003.001	215.7441
1.7928	3583.989	3008.999	216.3359
1.9452	3526.005	3010	216.9286
2.0976	3556.991	3009	217.5298
2.2500	3515.997	3008	218.132
2.4024	3485.969	3009.001	218.7183
2.5548	3418.997	3012	219.3295
2.7072	3317.002	3012	219.9412
2.8596	3322	3011	220.5515
3.0120	3339.017	3000.998	221.1532
3.1644	3388.995	2995	221.7619
3.3168	3547.036	3002.001	222.3627
3.4692	3678.979	3005.999	222.9629
3.6216	3819.033	3021.001	223.5636
3.7740	3976.965	3027.999	224.1644
3.9264	3918.989	3035	224.7496
4.0788	3842.022	3037.999	225.3513
4.2312	3633.989	3023.999	225.954
4.3836	3494.956	3015.994	226.5563
4.5360	3397.999	3003	227.1575
4.6884	3322.978	2996.998	227.7587
4.8408	3265.003	2992	228.3595
4.9932	3252.021	2982.002	228.9542
5.1456	3316.993	2987.999	229.5539
5.2980	3359.999	2992	230.1557
5.4504	3355.001	2993	230.7434
5.6028	3412.022	3017.001	231.3516
5.7552	3523.974	3023.998	231.9534
5.9076	3510.008	3023	232.5641
6.0600	3571.981	3023	233.1738
6.2124	3573.994	3017	233.784
6.3648	3486.986	3013.998	234.3873
6.5172	3456.001	3009	234.9875
6.6696	3559.035	3004.001	235.5952
6.8220	3651.995	3006	236.1895
6.9744	3774.036	3010.004	236.7912
7.1268	3888.986	3021.999	237.3904
7.2792	3820.973	3031.001	237.9671
7.4316	3712.02	3034.999	238.5769
7.5840	3530.975	3023.997	239.1791
7.7364	3398.032	3010.003	239.7809
7.8888	3334.001	3003.999	240.3831
8.0412	3344.997	2997.002	240.9843
8.1936	3451.001	2996	241.5885
8.3460	3470.017	3004	242.1973
8.4984	3509	3004	242.801
8.6508	3594.988	3006.002	243.4002
8.8032	3561.002	3012	244.0099
8.9556	3552.996	3017.999	244.6117
9.1080	3539.002	3015	245.2044
9.2604	3452.975	3014	245.8056
9.4128	3348.02	3014	246.3999
9.5652	3273.988	2993.998	246.9996
9.7176	3206.017	2985.002	247.6008
9.8700	3305.011	2986.001	248.2036
10.0224	3402.969	2994.997	248.8073
10.1748	3617.016	3009	249.3995
10.3272	3925.059	3019.006	250.0093
10.4796	4065.998	3033	250.612
10.6320	4088.929	3040.001	251.2132
10.7844	3891.015	3042	251.8139
10.9368	3712.94	3033.997	252.4132
11.0892	3510.028	3022.002	253.0059
11.2416	3320.972	3006.995	253.6081
11.3940	3198.025	2984.005	254.2099
11.5464	3173.01	2980.001	254.8121
11.6988	3234.984	2988.998	255.4063
11.8512	3355.014	2995.002	256.0166
12.0036	3492.061	3013.006	256.6288
12.1560	3620.007	3025	257.2365
12.3084	3794.008	3037.001	257.8457
12.4608	3813	3040	258.4475
12.6132	3802.929	3037.996	259.0547
12.7656	3600.017	3027.001	259.6484
12.9180	3457.959	2997.998	260.2472
13.0704	3313.021	2992.001	260.8399
13.2228	3281.002	2983	261.4416
13.3752	3291.998	2982	262.0434
13.5276	3388.022	2990	262.6456
13.6800	3526.962	2992	263.2393
13.8324	3573	3016.001	263.8441
13.9848	3575.003	3023	264.4458
14.1372	3582.002	3024	265.045
14.2896	3660.03	3021.998	265.6382
14.4420	3733.998	3018	266.239
14.5944	3690.989	3019.001	266.8397
14.7468	3659.003	3021	267.4399
14.8992	3612.981	3018.996	268.0411
15.0516	3544.011	3005.002	268.6504
15.2040	3462.968	2998.001	269.2541
15.3564	3310.034	3003.999	269.8704
15.5088	3234.998	3007	270.4646
15.6612	3222.004	3005	271.0743
15.8136	3201.007	3003	271.6846
15.9660	3280.024	3000	272.2863
16.1184	3333.003	3000.001	272.887
16.2708	3462.031	3055.005	273.4883
16.4232	3541.997	3069	274.083
16.5756	3679.027	3031.998	274.6822
16.7280	3760.991	3026.001	275.2829
16.8804	3777.974	3017	275.8762
17.0328	3681.016	3015	276.4769
17.1852	3521.977	3016	277.0756
17.3376	3405.027	3016	277.6718
17.4900	3404.011	3015	278.2761
17.6424	3481.977	3015	278.8843
17.7948	3567.009	3015	279.4865
17.9472	3681.002	3013.999	280.0888
18.0996	3686	3012	280.69
18.2520	3657.94	3011	281.3002
18.4044	3501.008	3011	281.903
18.5568	3401.978	3001.999	282.4942
18.7092	3333.008	3000	283.0949
18.8616	3354.002	3003	283.7051
19.0140	3360.999	3004	284.3054
19.1664	3414.01	3011.001	284.9086
19.3188	3463.988	3015.999	285.5084
19.4712	3498.008	3013	286.1096
19.6236	3559.981	3010.001	286.7018
19.7760	3651.002	3011	287.3035
19.9284	3686.018	3013.002	287.9053
20.0808	3727	3017	288.507
