HOLE:	U1508C
EXPEDITION:	371
TOP:	271.1869
BOTTOM:	706.1364
DEPTH_WMSF	TENS	CS	ETIM
m	lbf	ft/h	s
271.1869	8296	369	4199.102
271.3393	7968.969	369	4166.44
271.4917	7884.005	369	4161.798
271.6441	7993.915	731.9911	4130.853
271.7965	7713.814	702.7641	4128.378
271.9489	7438.942	353.0421	4125.85
272.1013	7202.248	526.9701	4095.773
272.2537	7607.977	478.0903	4077.285
272.4061	7480.898	982.9984	3690.059
272.5585	7294.99	979.9996	3688.24
272.7109	7205.987	976.9995	3686.417
272.8633	7179.003	975.9997	3684.562
273.0157	7241.973	970	3682.725
273.1681	7178	970	3680.872
273.3205	7381.013	967.0014	3679.029
273.4729	7417.997	970.9997	3677.158
273.6253	7531.9	852.1531	3675.281
273.7777	7192.124	1372.054	3592.265
273.9301	7378.946	1453.999	3590.786
274.0825	7147.1	1447.998	3589.556
274.2349	7313.315	1444.304	3588.413
274.3873	7226.934	1444.848	3587.256
274.5397	6978.308	1453.487	3586.101
274.6921	6735.564	1459.475	3584.955
274.8445	6640.449	1462.237	3583.813
274.9969	6556.345	1465.169	3582.67
275.1493	6529.015	1468.864	3581.527
275.3017	6615.149	1471.779	3580.391
275.4541	6818.802	1469.865	3579.269
275.6065	7054.899	1463.948	3578.151
275.7589	6870.471	1467.642	3577.01
275.9113	6695.63	1471	3575.87
276.0637	6474.793	1471.024	3574.742
276.2161	6450.767	1473.796	3573.6
276.3685	6348.049	1474.855	3572.486
276.5209	6151.067	1477.337	3571.362
276.6733	6182.175	1478	3570.224
276.8257	6298.41	1478.626	3569.092
276.9781	6502.079	1477.35	3567.966
277.1305	6467.945	1482.632	3566.841
277.2829	6166.57	1490.397	3565.716
277.4353	6063.796	1489.395	3564.596
277.5877	6179.382	1485.511	3563.485
277.7401	5999.505	1484.173	3562.363
277.8925	6072.042	1484.188	3561.19
278.0449	6416.991	1478.544	3559.967
278.1973	6484.215	1476.504	3558.743
278.3497	6287.39	1481.397	3557.502
278.5021	6279.826	1489.996	3556.25
278.6545	6327.096	1483.518	3555.009
278.8069	6289.475	1489.233	3553.77
278.9593	6204.27	1490.249	3552.531
279.1117	6158.97	1491.796	3551.301
279.2641	6050.366	1493.154	3550.086
279.4165	5886.693	1492.788	3548.851
279.5689	5764.053	1504.23	3547.623
279.7213	5731.844	1509.756	3546.395
279.8737	5750.992	1492.124	3545.182
280.0261	5888.014	1493.275	3543.958
280.1785	6183.621	1485.759	3542.729
280.3309	6118.855	1488.188	3541.498
280.4833	5945.169	1493.297	3540.269
280.6357	5759.453	1498.428	3539.044
280.7881	5653.332	1498.111	3537.832
280.9405	5594.69	1496.539	3536.609
281.0929	5587.734	1495.523	3535.376
281.2453	5715.142	1494.507	3534.145
281.3977	5681.618	1495.529	3532.932
281.5501	5640.736	1499.105	3531.716
281.7025	5792.539	1496.66	3530.493
281.8549	5962.264	1493	3529.27
282.0073	5867.127	1493.575	3528.039
282.1597	5655.879	1502.858	3526.82
282.3121	5641.748	1512.033	3525.605
282.4645	5621.043	1517.738	3524.392
282.6169	5341.004	1520	3523.175
282.7693	5416.67	1512.134	3521.951
282.9217	5590.448	1501.955	3520.762
283.0741	5689.492	1498.312	3519.556
283.2265	5774.514	1498	3518.323
283.3789	5796.279	1498.721	3517.094
283.5313	5789.365	1496.788	3515.87
283.6837	5855.547	1501.273	3514.661
283.8361	5784.094	1506.079	3513.441
283.9885	5620.066	1508.572	3512.218
284.1409	5504.381	1505.791	3510.997
284.2933	5480.909	1504.182	3509.775
284.4457	5343.938	1504.835	3508.579
284.5981	5602.838	1494.792	3507.362
