HOLE:	U1508C
EXPEDITION:	371
TOP:	580.1570
BOTTOM:	706.4965
DEPTH_WMSF	TENS	CS	ETIM
m	lbf	ft/h	s
580.1570	4785	1506	986.7665
580.3094	4651.956	1506	985.5651
580.4618	4532.91	1506	984.3616
580.6142	4410.061	1506	983.1596
580.7666	4572.979	1508	981.9567
580.9190	4702.974	1505.002	980.7707
581.0714	4594.879	1512.004	979.5693
581.2238	4397.124	1517.996	978.3672
581.3762	4377.005	1523.998	977.1953
581.5286	4249.007	1528	976.0084
581.6810	4312.194	1523.99	974.8389
581.8334	4715.696	1504.015	973.6544
581.9858	4753.985	1505	972.4674
582.1382	4596.002	1509	971.282
582.2906	4515.036	1509	970.0806
582.4430	4614.695	1508.12	968.8667
582.5954	4640.866	1512.763	967.6217
582.7478	4595.245	1509.867	966.3741
582.9002	4481.496	1518.539	965.1276
583.0526	4449.229	1521.486	963.9005
583.2050	4450.64	1515.688	962.6859
583.3574	4634.801	1502.756	961.4553
583.5098	4604.553	1502.565	960.2191
583.6622	4562.858	1504.319	958.9772
583.8146	4624.803	1505.355	957.7419
583.9670	4661.708	1505.607	956.5013
584.1194	4591.772	1508.442	955.2665
584.2718	4478.367	1511.599	954.0208
584.4242	4409.757	1516.049	952.7812
584.5766	4368.099	1523.082	951.5399
584.7290	4349.332	1523.422	950.3101
584.8814	4471.714	1513.146	949.0967
585.0338	4703.995	1504.391	947.8646
585.1862	4642.441	1508.51	946.6192
585.3386	4467.707	1513.177	945.383
585.4910	4432.875	1513.236	944.1431
585.6434	4612.556	1513.8	942.9183
585.7958	4689.62	1513.164	941.678
585.9482	4549.912	1515.624	940.4467
586.1006	4425.042	1518.736	939.2179
586.2530	4290.702	1517.102	937.9858
586.4054	4172.793	1519.952	936.747
586.5578	4181.838	1524.113	935.5221
586.7102	4285.384	1527.211	934.2938
586.8626	4673.765	1498.903	933.0779
587.0150	4702.46	1498.4	931.8307
587.1674	4641.597	1503.045	930.5819
587.3198	4558.013	1513	929.3377
587.4722	4574.161	1513.244	928.1047
587.6246	4508.292	1514.844	926.8641
587.7770	4362.825	1516.046	925.6353
587.9294	4272.173	1517.556	924.4026
588.0818	4187.276	1526.362	923.1747
588.2342	4111.824	1533.439	921.9529
588.3866	4297.301	1524.491	920.7314
588.5390	4654.909	1501.95	919.5113
588.6914	4625.638	1505.285	918.2637
588.8438	4448.394	1514	917.0288
588.9962	4381.2	1518.916	915.7938
589.1486	4524.332	1511.566	914.5558
589.3010	4740.161	1502.555	913.3268
589.4534	4622.607	1503.174	912.0887
589.6058	4478.225	1506.287	910.8538
589.7582	4352.423	1518.198	909.621
589.9106	4211.529	1521.837	908.389
590.0630	4174.123	1517.624	907.1575
590.2154	4393.312	1506.982	905.9293
590.3678	4703.048	1503.157	904.7158
590.5202	4707.187	1505.953	903.4697
590.6726	4770.23	1506	902.2203
590.8250	4771.021	1506	900.9769
590.9774	4617.981	1506.369	899.7502
591.1298	4527.597	1510.377	898.5464
591.2822	4400.053	1514.574	897.3685
591.4346	4196.983	1521.417	896.2028
591.5870	4174.797	1527.502	895.0167
591.7394	4275.046	1537.652	893.8594
591.8918	4692.409	1571.879	892.6885
592.0442	4642	1506.075	891.5338
592.1966	4590.652	1509.95	890.3485
592.3490	4719.054	1500.073	889.1771
592.5014	4829.982	1498.036	887.9877
592.6538	4708.846	1499.939	886.7834
592.8062	4378.078	1516.25	885.6132
592.9586	4192.218	1520.774	884.442
593.1110	4081.425	1522.863	883.2692
593.2634	4042.755	1530.352	882.0797
593.4158	4212.266	1533.72	880.9221
593.5682	4757.738	1506.318	879.77
593.7206	4844.773	1499.478	878.5884
593.8730	4761.18	1503.341	877.4149
594.0254	4747.144	1504.856	876.2276
594.1778	4730.997	1505.842	875.0403
594.3302	4664.94	1506.83	873.8668
594.4826	4573.526	1510.27	872.6824
594.6350	4416.71	1511	871.5085
594.7874	4314.131	1515.75	870.3383
594.9398	4352.086	1519.337	869.1667
595.0922	4573.471	1515.4	867.9948
595.2446	4702.386	1508.719	866.8233
595.3970	4693.574	1507	865.6396
595.5494	4586.819	1505.543	864.4537
595.7018	4527.375	1504.284	863.2906
595.8542	4598.917	1503.296	862.1121
596.0066	4742.922	1503	860.9345
596.1590	4635.39	1507.746	859.7409
