Exp,Site,Hole,Core,Type,Sect,Top(cm),Depth CSF-A (m),NGR total counts (cps)
342,U1402,B,1,H,1,0,0,33.11
342,U1402,B,1,H,1,10,0.1,34.149
342,U1402,B,1,H,1,20,0.2,39.718
342,U1402,B,1,H,1,30,0.3,43.685
342,U1402,B,1,H,1,40,0.4,47.914
342,U1402,B,1,H,1,50,0.5,50.397
342,U1402,B,1,H,1,60,0.6,50.281
342,U1402,B,1,H,1,70,0.7,50.581
342,U1402,B,1,H,1,80,0.8,52.03
342,U1402,B,1,H,1,90,0.9,50.414
342,U1402,B,1,H,1,100,1,50.908
342,U1402,B,1,H,1,110,1.1,52.258
342,U1402,B,1,H,1,120,1.2,50.44
342,U1402,B,1,H,1,130,1.3,48.773
342,U1402,B,1,H,1,140,1.4,47.102
342,U1402,B,1,H,1,150,1.5,46.582
342,U1402,B,1,H,2,0,1.5,56.16
342,U1402,B,1,H,2,10,1.6,51.123
342,U1402,B,1,H,2,20,1.7,50.125
342,U1402,B,1,H,2,30,1.8,50.205
342,U1402,B,1,H,2,40,1.9,51.011
342,U1402,B,1,H,2,50,2,51.694
342,U1402,B,1,H,2,60,2.1,49.981
342,U1402,B,1,H,2,70,2.2,49.865
342,U1402,B,1,H,2,80,2.3,49.083
342,U1402,B,1,H,2,90,2.4,48.953
342,U1402,B,1,H,2,100,2.5,51.968
342,U1402,B,1,H,2,110,2.6,51.821
342,U1402,B,1,H,2,120,2.7,49.3
342,U1402,B,1,H,2,130,2.8,47.853
342,U1402,B,1,H,2,140,2.9,47.087
342,U1402,B,1,H,2,150,3,45.601
342,U1402,B,1,H,3,0,3,52.672
342,U1402,B,1,H,3,10,3.1,48.239
342,U1402,B,1,H,3,20,3.2,49.318
342,U1402,B,1,H,3,30,3.3,51.902
342,U1402,B,1,H,3,40,3.4,52.174
342,U1402,B,1,H,3,50,3.5,52.011
342,U1402,B,1,H,3,60,3.6,50.991
342,U1402,B,1,H,3,70,3.7,
342,U1402,B,1,H,3,80,3.8,51.023
342,U1402,B,1,H,3,90,3.9,50.107
342,U1402,B,1,H,3,100,4,50.458
342,U1402,B,1,H,3,110,4.1,50.631
342,U1402,B,1,H,3,120,4.2,49.97
342,U1402,B,1,H,3,130,4.3,50.123
342,U1402,B,1,H,3,140,4.4,40.177
342,U1402,B,1,H,3,0,3,44.288
342,U1402,B,1,H,3,10,3.1,46.719
342,U1402,B,1,H,3,20,3.2,49.764
342,U1402,B,1,H,3,30,3.3,52.255
342,U1402,B,1,H,3,40,3.4,52.529
342,U1402,B,1,H,3,50,3.5,52.692
342,U1402,B,1,H,3,60,3.6,51.986
342,U1402,B,1,H,3,70,3.7,51.987
342,U1402,B,1,H,3,80,3.8,51.833
