HOLE:	U1513A
EXPEDITION:	369
TOP:	88.3041
BOTTOM:	258.0776
DEPTH_WMSF	LCAL
m	in
88.3041	8.740123
88.4565	9.51368
88.6089	10.32581
88.7613	11.13795
88.9137	11.97814
89.0661	12.87286
89.2185	13.77834
89.3709	14.74454
89.5233	15.87305
89.6757	16.87667
89.8281	17.04909
89.9805	17.05832
90.1329	15.88223
90.2853	14.93088
90.4377	14.92622
90.5901	14.92622
90.7425	14.92621
90.8949	14.91689
91.0473	14.92621
91.1997	14.91689
91.3521	14.89818
91.5045	14.73957
91.6569	14.70658
91.8093	14.34776
91.9617	14.74442
92.1141	16.30762
92.2665	17.03515
92.4189	17.05845
92.5713	17.06779
92.7237	16.94631
92.8761	16.46584
93.0285	16.36332
93.1809	16.40058
93.3333	15.78865
93.4857	12.4578
93.6381	12.05989
93.7905	15.3079
93.9429	16.5219
94.0953	16.51723
94.2477	16.52191
94.4001	16.53589
94.5525	16.40059
94.7049	15.15014
94.8573	15.05199
95.0097	14.76151
95.1621	15.66325
95.3145	15.30415
95.4669	15.32748
95.6193	15.34146
95.7717	15.3368
95.9241	15.34147
96.0765	15.32747
96.2289	15.32748
96.3813	15.3368
96.5337	15.33867
96.6861	15.62556
96.8385	13.965
96.9909	13.86559
97.1433	14.77488
97.2957	15.47677
97.4481	15.43945
97.6005	15.45343
97.7529	15.43945
97.9053	15.44878
98.0577	15.43012
98.2101	15.44818
98.3625	14.69793
98.5149	14.21239
98.6673	14.2867
98.8197	13.23733
98.9721	13.40043
99.1245	13.73172
99.2769	13.94175
99.4293	13.96039
99.5817	13.93715
99.7341	14.01171
99.8865	14.0304
100.0389	14.07238
100.1913	14.06778
100.3437	14.14234
100.4961	14.36631
100.6485	14.62963
100.8009	15.19278
100.9533	16.15274
101.1057	16.3119
101.2581	16.31194
101.4105	16.32593
101.5629	16.31662
101.7153	16.33153
101.8677	14.54487
102.0201	14.31162
102.1725	14.18104
102.3249	14.18902
102.4773	14.1919
102.6297	14.1797
102.7821	14.20021
102.9345	14.17971
103.0869	14.66949
103.2393	14.87489
103.3917	14.85148
103.5441	14.69062
103.6965	13.83101
103.8489	13.39585
104.0013	13.87812
104.1537	14.25895
104.3061	14.17041
104.4585	14.13304
104.6109	14.10034
104.7633	13.94137
104.9157	13.32486
105.0681	12.30433
105.2205	11.66027
105.3729	12.27621
105.5253	12.5655
105.6777	12.74569
105.8301	12.76598
105.9825	12.66329
106.1349	12.54207
106.2873	12.60265
106.4397	12.61667
106.5921	12.79395
106.7445	12.70982
106.8969	12.43468
107.0493	12.40206
107.2017	12.81741
107.3541	13.88587
107.5065	14.12837
107.6589	14.12371
107.8113	14.09105
107.9637	14.07706
108.1161	14.09566
108.2685	14.02576
108.4209	14.76747
108.5733	13.68024
108.7257	12.64027
108.8781	13.10252
109.0305	13.74094
109.1829	13.77844
109.3353	13.79244
109.4877	13.77845
109.6401	13.78777
109.7925	13.72712
109.9449	13.80148
110.0973	12.88861
110.2497	12.5562
110.4021	12.55042
110.5545	12.45343
110.7069	12.73816
110.8593	13.05705
111.0117	13.31179
111.1641	13.31193
111.3165	14.17048
111.4689	14.42694
111.6213	14.37568
111.7737	14.07707
111.9261	13.88577
112.0785	13.9423
112.2309	14.76246
112.3833	14.34774
112.5357	13.01799
112.6881	13.38679
112.8405	13.88575
112.9929	13.88575
113.1453	13.88109
113.2977	13.86709
113.4501	13.8624
113.6025	13.82978
113.7549	13.47986
113.9073	13.1906
114.0597	13.33981
114.2121	13.26525
114.3645	12.60281
114.5169	12.65867
114.6693	12.67266
114.8217	12.66799
114.9741	12.66333
115.1265	12.65866
115.2789	12.63082
115.4313	12.99034
115.5837	13.51225
115.7361	13.29323
115.8885	13.03662
116.0409	13.13469
116.1933	13.32109
116.3457	13.3352
116.4981	13.36319
116.6505	13.35852
116.8029	13.33563
116.9553	13.82026
117.1077	14.10038
117.2601	14.24502
117.4125	14.24036
117.5649	14.25434
117.7173	14.28234
117.8697	14.26822
118.0221	13.78241
118.1745	12.66868
118.3269	13.38168
118.4793	14.10971
118.6317	14.12837
118.7841	14.12372
