HOLE:	U1513A
EXPEDITION:	369
TOP:	193.2031
BOTTOM:	254.1630
DEPTH_WMSF	LCAL
m	in
193.2031	13.79337
193.3555	13.79244
193.5079	13.79244
193.6603	13.7971
193.8127	13.80177
193.9651	13.80646
194.1175	13.88109
194.2699	13.89042
194.4223	13.88576
194.5747	13.87176
194.7271	13.89508
194.8795	13.87642
195.0319	13.87549
195.1843	13.87642
195.3367	13.88575
195.4891	13.87176
195.6415	13.87176
195.7939	13.87922
195.9463	13.88109
196.0987	13.89041
196.2511	13.87643
196.4035	13.87176
196.5559	13.82697
196.7083	13.82043
196.8607	13.81578
197.0131	13.82976
197.1655	13.79244
197.3179	13.77098
197.4703	13.76912
197.6227	13.77378
197.7751	13.75512
197.9275	13.76445
198.0799	13.75996
198.2323	13.79401
198.3847	13.83951
198.5371	13.85852
198.6895	13.88071
198.8419	13.87233
198.9943	13.88258
199.1467	13.87642
199.2991	13.87714
199.4515	13.88575
199.6039	13.88584
199.7563	13.89044
199.9087	13.92829
200.0611	13.97928
200.2135	14.05755
200.3659	14.11643
200.5183	14.13329
200.6707	14.15637
200.8231	14.15868
200.9755	14.16795
201.1279	14.16301
201.2803	14.21346
201.4327	14.31224
201.5851	14.35602
201.7375	14.34013
201.8899	14.29105
202.0423	14.27345
202.1947	14.27556
202.3471	14.27533
202.4995	14.27201
202.6519	14.25836
202.8043	14.08065
202.9567	13.72471
203.1091	13.55827
203.2615	13.54373
203.4139	13.54196
203.5663	13.54817
203.7187	13.5669
203.8711	13.60456
204.0235	13.64061
204.1759	13.66515
204.3283	13.67079
204.4807	13.67055
204.6331	13.67113
204.7855	13.67297
204.9379	13.71522
205.0903	13.79107
205.2427	13.8197
205.3951	13.82109
205.5475	13.8219
205.6999	13.82768
205.8523	13.92093
206.0047	14.22498
206.1571	14.67389
206.3095	14.93088
206.4619	14.94005
206.6143	14.94628
206.7667	14.94396
206.9191	14.95212
207.0715	14.95396
207.2239	14.94954
207.3763	14.94193
207.5287	14.93812
207.6811	14.88254
207.8335	14.65099
207.9859	14.13184
208.1383	13.75391
208.2907	13.67248
208.4431	13.66364
208.5955	13.6618
208.7479	13.6618
208.9003	13.62228
209.0527	13.52868
209.2051	13.2797
209.3575	13.23791
209.5099	13.37422
209.6623	13.42385
209.8147	13.43025
209.9671	13.42345
210.1195	13.42903
210.2719	13.41989
210.4243	13.35132
210.5767	13.29546
210.7291	13.26666
