HOLE:	U1513A
EXPEDITION:	369
TOP:	80.0720
BOTTOM:	254.1128
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
80.0720	176.3113	242.1088	597.3894	1.7288	1.2589	0.5102
80.2244	177.5766	243.5315	665.4973	1.7164	1.2516	0.4580
80.3768	177.9967	251.8476	702.2131	1.7124	1.2103	0.4341
80.5292	174.2855	247.7199	718.7518	1.7489	1.2304	0.4241
80.6816	168.3091	250.5375	734.1637	1.8110	1.2166	0.4152
80.8340	162.3049	271.8546	753.7278	1.8779	1.1212	0.4044
80.9864	159.643	280.9956	812.1156	1.9093	1.0847	0.3753
81.1388	159.0106	343.8593	858.4028	1.9169	0.8864	0.3551
81.2912	154.8039	390.0909	861.634	1.9689	0.7814	0.3537
81.4436	152.9539	383.6845	808.3946	1.9928	0.7944	0.3770
81.5960	153.0707	357.654	762.7944	1.9912	0.8522	0.3996
81.7484	153.3418	328.1463	733.5552	1.9877	0.9289	0.4155
81.9008	151.9606	326.6489	750.2548	2.0058	0.9331	0.4063
82.0532	149.9226	341.1135	773.7551	2.0330	0.8935	0.3939
82.2056	151.6433	345.4943	694.2633	2.0100	0.8822	0.4390
82.3580	154.6769	343.5004	629.6742	1.9706	0.8873	0.4841
82.5104	155.6283	343.2035	599.3896	1.9585	0.8881	0.5085
82.6628	158.0874	377.1657	555.6472	1.9280	0.8081	0.5485
82.8152	161.1891	457.0276	548.5016	1.8909	0.6669	0.5557
82.9676	162.683	522.9242	592.3254	1.8736	0.5829	0.5146
83.1200	164.3818	554.3905	613.9979	1.8542	0.5498	0.4964
83.2724	166.5741	580.0471	594.696	1.8298	0.5255	0.5125
83.4248	168.7079	582.9961	567.2289	1.8067	0.5228	0.5373
83.5772	165.8407	596.7329	554.9658	1.8379	0.5108	0.5492
83.7296	161.8881	664.5265	557.5707	1.8828	0.4587	0.5467
