HOLE:	U1513A
EXPEDITION:	369
TOP:	77.9409
BOTTOM:	294.0439
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
77.9409	170.0501	466.2217	504.634	1.7924	0.6538	0.6040
78.0933	171.4319	452.404	531.5231	1.7780	0.6737	0.5734
78.2457	170.1932	449.308	595.9034	1.7909	0.6784	0.5115
78.3981	170.2537	531.8903	595.9123	1.7903	0.5731	0.5115
78.5505	173.8563	531.1586	605.176	1.7532	0.5738	0.5037
78.7029	165.2604	516.3691	605.1795	1.8444	0.5903	0.5037
78.8553	159.3745	523.4915	614.7122	1.9125	0.5822	0.4958
79.0077	153.131	546.6425	596.8853	1.9905	0.5576	0.5107
79.1601	154.0745	546.8213	564.9567	1.9783	0.5574	0.5395
79.3125	154.5255	692.6605	563.7985	1.9725	0.4400	0.5406
79.4649	150.0742	692.6654	555.0386	2.0310	0.4400	0.5492
79.6173	153.0245	692.7104	570.0829	1.9918	0.4400	0.5347
79.7697	156.5235	756.6154	498.3789	1.9473	0.4028	0.6116
79.9221	164.1254	756.6154	473.8508	1.8571	0.4028	0.6432
80.0745	168.8749	844.8971	528.2122	1.8049	0.3608	0.5770
80.2269	168.086	845.175	530.9985	1.8134	0.3606	0.5740
80.3793	169.9277	881.8015	519.8557	1.7937	0.3457	0.5863
80.5317	171.7663	925.0058	502.2156	1.7745	0.3295	0.6069
80.6841	174.0498	902.4977	485.8284	1.7512	0.3377	0.6274
80.8365	172.6844	901.3514	478.6853	1.7651	0.3382	0.6367
80.9889	170.2366	866.1366	438.8664	1.7904	0.3519	0.6945
81.1413	164.5191	850.6826	407.2432	1.8527	0.3583	0.7484
81.2937	161.9958	831.3833	575.6162	1.8815	0.3666	0.5295
81.4461	159.4752	812.1128	587.9962	1.9113	0.3753	0.5184
81.5985	161.3259	750.2951	588.0224	1.8893	0.4062	0.5183
81.7509	161.0594	678.9413	626.1333	1.8925	0.4489	0.4868
81.9033	161.0132	679.0629	674.1556	1.8930	0.4489	0.4521
82.0557	160.9665	680.1909	826.1402	1.8936	0.4481	0.3689
82.2081	159.2392	692.1718	848.7045	1.9141	0.4404	0.3591
