HOLE:	U1513A
EXPEDITION:	369
TOP:	196.8607
BOTTOM:	277.3278
DEPTH_WMSF	DTCO	DT1	DT2	VCO	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
196.8607	166.0599	529.2978	471.659	1.8355	0.5759	0.6462
197.0131	166.5612	507.4504	500.9521	1.8300	0.6006	0.6084
197.1655	164.7122	476.2115	457.4272	1.8505	0.6401	0.6663
197.3179	164.0204	472.4807	449.562	1.8583	0.6451	0.6780
197.4703	164.8116	487.0935	477.0417	1.8494	0.6258	0.6389
197.6227	162.2674	500.2846	469.9919	1.8784	0.6093	0.6485
197.7751	162.6787	504.9768	474.92	1.8736	0.6036	0.6418
197.9275	162.7263	499.9196	469.9215	1.8731	0.6097	0.6486
198.0799	163.5851	504.8791	474.3741	1.8633	0.6037	0.6425
198.2323	163.8603	498.0692	477.626	1.8601	0.6120	0.6382
198.3847	164.4905	503.2621	463.8341	1.8530	0.6056	0.6571
198.5371	164.6228	496.7816	447.5784	1.8515	0.6135	0.6810
198.6895	165.5876	514.8948	471.2854	1.8407	0.5920	0.6467
198.8419	166.8956	538.3894	522.9935	1.8263	0.5661	0.5828
198.9943	167.3966	562.5592	524.8976	1.8208	0.5418	0.5807
199.1467	166.9382	559.6301	448.6088	1.8258	0.5446	0.6794
199.2991	166.2483	548.6121	463.1212	1.8334	0.5556	0.6581
199.4515	165.1307	544.1365	454.1559	1.8458	0.5602	0.6711
199.6039	165.3224	536.1733	455.1205	1.8437	0.5685	0.6697
199.7563	166.029	529.7268	467.0514	1.8358	0.5754	0.6526
199.9087	163.9985	544.1073	473.7256	1.8586	0.5602	0.6434
200.0611	162.8868	540.0731	457.7638	1.8712	0.5644	0.6658
200.2135	160.922	526.4681	444.8957	1.8941	0.5790	0.6851
200.3659	161.1838	505.429	447.4673	1.8910	0.6031	0.6812
200.5183	162.554	444.6175	440.786	1.8751	0.6855	0.6915
200.6707	163.7684	461.7945	444.747	1.8612	0.6600	0.6853
