HOLE:	U1513A
EXPEDITION:	369
TOP:	1.5860
BOTTOM:	251.8268
DEPTH_WMSF	GR	ECGR
m	gAPI	gAPI
1.5860	11.49524	13.85845
1.7384	13.31075	16.04719
1.8908	11.80571	14.23275
2.0432	8.629811	10.40394
2.1956	8.773795	10.57752
2.3480	12.02097	14.49225
2.5004	12.62944	15.22582
2.6528	10.86331	13.0966
2.8052	7.568627	9.124594
2.9576	5.755167	6.938321
3.1100	5.73943	6.919348
3.2624	5.457504	6.579464
3.4148	4.540954	5.474489
3.5672	4.267389	5.144684
3.7196	3.646843	4.396564
3.8720	4.26219	5.138416
4.0244	3.706283	4.468225
4.1768	5.035593	6.070815
4.3292	5.020215	6.052276
4.4816	4.703709	5.670702
4.6340	3.188173	3.8436
4.7864	3.359682	4.050369
4.9388	2.943994	3.549223
5.0912	3.551314	4.281398
5.2436	3.227607	3.891142
5.3960	4.26534	5.142213
5.5484	4.806749	5.794925
5.7008	6.505082	7.842403
5.8532	6.19641	7.470274
6.0056	4.628334	5.579833
6.1580	3.356183	4.046151
6.3104	3.442314	4.149989
6.4628	4.017724	4.843691
6.6152	3.686379	4.444229
6.7676	4.41082	5.317601
6.9200	5.099391	6.14773
7.0724	5.451298	6.571982
7.2248	4.968094	5.989441
7.3772	4.621478	5.571567
7.5296	5.172453	6.235811
7.6820	6.028719	7.268109
7.8344	6.163138	7.430162
7.9868	5.680321	6.848087
8.1392	5.313203	6.405497
8.2916	5.553225	6.694862
8.4440	5.941581	7.163058
8.5964	7.035642	8.482038
8.7488	7.517202	9.062596
8.9012	6.640022	8.005084
9.0536	5.234507	6.310622
9.2060	5.077737	6.121623
9.3584	5.574444	6.720444
9.5108	6.781725	8.175919
9.6632	6.216875	7.494946
9.8156	6.703343	8.081423
9.9680	4.557168	5.494035
10.1204	4.196755	5.059528
10.2728	2.640949	3.183878
10.4252	2.400947	2.894536
10.5776	2.199343	2.651486
10.7300	2.305402	2.779349
10.8824	3.026344	3.648503
11.0348	3.647895	4.397833
11.1872	3.824921	4.611252
11.3396	3.80621	4.588695
11.4920	3.965056	4.780197
11.6444	4.324895	5.214012
11.7968	4.846143	5.842418
11.9492	4.337603	5.229332
12.1016	3.375471	4.069404
12.2540	2.787229	3.360231
12.4064	3.499414	4.218828
12.5588	4.328384	5.218217
12.7112	4.249545	5.123171
12.8636	3.335132	4.020772
13.0160	4.259374	5.135021
13.1684	4.255674	5.13056
13.3208	3.661499	4.414234
13.4732	2.202352	2.655113
13.6256	1.551946	1.870996
13.7780	1.778979	2.144703
13.9304	2.046629	2.467377
14.0828	2.462448	2.968681
14.2352	2.573026	3.101991
14.3876	2.528797	3.04867
14.5400	2.809941	3.387611
14.6924	2.502007	3.016372
14.8448	2.021554	2.437148
14.9972	1.609989	1.940973
15.1496	1.438948	1.734768
15.3020	1.368832	1.650237
15.4544	1.269508	1.530494
15.6068	1.652294	1.991974
15.7592	2.084924	2.513544
15.9116	1.991089	2.400419
16.0640	2.011203	2.424668
16.2164	1.826769	2.202319
16.3688	2.383154	2.873085
16.5212	2.970913	3.581677
16.6736	3.628583	4.374551
16.8260	4.683246	5.646033
16.9784	5.13834	6.194685
17.1308	5.517738	6.652081
17.2832	4.796837	5.782976
17.4356	3.995795	4.817255
17.5880	2.953411	3.560576
17.7404	1.995902	2.406222
17.8928	1.842826	2.221676
18.0452	2.158317	2.602026
18.1976	2.408023	2.903066
18.3500	2.62394	3.163373
18.5024	2.411089	2.906763
18.6548	2.534826	3.055938
18.8072	2.004354	2.416411
18.9596	1.903903	2.295309
19.1120	1.774339	2.13911
19.2644	2.344597	2.826602
19.4168	2.448762	2.952181
19.5692	2.513701	3.03047
19.7216	2.218492	2.674572
19.8740	1.715798	2.068534
20.0264	1.161808	1.400654
20.1788	0.9968067	1.201731
20.3312	1.904517	2.29605
20.4836	2.73193	3.293563
20.6360	2.972451	3.58353
20.7884	3.022246	3.643563
20.9408	2.877468	3.469021
21.0932	2.683724	3.235447
21.2456	2.884994	3.478094
21.3980	4.18608	5.046659
21.5504	5.134921	6.190564
21.7028	4.776932	5.758978
21.8552	3.573816	4.308525
22.0076	2.57415	3.103346
22.1600	2.05655	2.479338
22.3124	1.838173	2.216067
22.4648	1.832611	2.209362
22.6172	2.072639	2.498735
22.7696	1.874008	2.259268
22.9220	1.333831	1.608041
23.0744	0.8812359	1.062401
23.2268	0.6931382	0.8356343
23.3792	0.9593864	1.156618
23.5316	1.067507	1.286966
23.6840	1.307821	1.576684
23.8364	1.438401	1.734109
23.9888	1.548631	1.867
24.1412	1.567793	1.890102
24.2936	1.446987	1.74446
24.4460	1.567644	1.889922
24.5984	2.146497	2.587777
24.7508	2.760704	3.328252
24.9032	2.764258	3.332537
25.0556	2.063017	2.487135
25.2080	1.439112	1.734966
25.3604	1.671625	2.015279
25.5128	2.385673	2.876122
25.6652	3.466527	4.179179
25.8176	3.720999	4.485966
25.9700	3.239101	3.904999
26.1224	2.921521	3.522131
26.2748	3.446288	4.154779
26.4272	4.403921	5.309284
26.5796	4.963622	5.984049
26.7320	5.030248	6.064372
26.8844	5.289456	6.376869
27.0368	5.506948	6.639071
27.1892	5.274448	6.358775
27.3416	4.396016	5.299753
27.4940	3.343533	4.0309
27.6464	3.117418	3.7583
27.7988	2.735181	3.297483
27.9512	1.886289	2.274074
28.1036	1.052877	1.269328
28.2560	1.831893	2.208495
28.4084	2.775565	3.346169
28.5608	2.775565	3.346169
28.7132	1.910721	2.303529
28.8656	1.199066	1.445571
29.0180	1.464956	1.766124
29.1704	1.811231	2.183585
29.3228	2.321337	2.79856
29.4752	2.366508	2.853017
29.6276	2.022061	2.437758
29.7800	1.918095	2.312419
29.9324	1.917786	2.312047
30.0848	1.918063	2.31238
30.2372	1.779265	2.145048
30.3896	2.096944	2.528036
30.5420	2.416995	2.913883
30.6944	2.545408	3.068696
30.8468	1.77661	2.141848
30.9992	1.309993	1.579302
31.1516	1.993609	2.403458
31.3040	2.542723	3.065459
31.4564	2.639336	3.181933
31.6088	2.553906	3.078941
31.7612	2.498198	3.011781
31.9136	2.351317	2.834703
32.0660	1.902374	2.293466
32.2184	1.974039	2.379864
32.3708	2.158135	2.601807
32.5232	2.158317	2.602026
32.6756	2.007957	2.420754
32.8280	2.068705	2.493991
32.9804	1.855047	2.23641
33.1328	1.678517	2.023588
33.2852	1.678692	2.023799
33.4376	1.831822	2.208409
33.5900	1.917786	2.312047
33.7424	1.762726	2.125109
33.8948	1.523216	1.83636
34.0472	1.751252	2.111276
34.1996	1.917713	2.311958
34.3520	2.109208	2.542821
34.5044	2.050792	2.472396
34.6568	1.652097	1.991736
34.8092	1.4561	1.755447
34.9616	1.438879	1.734685
35.1140	1.611786	1.943139
35.2664	1.533513	1.848774
35.4188	1.455807	1.755093
35.5712	1.770422	2.134387
35.7236	2.57449	3.103757
35.8760	2.712266	3.269857
36.0284	2.141189	2.581377
36.1808	1.918504	2.312912
36.3332	1.751542	2.111626
36.4856	1.846127	2.225656
36.6380	2.085508	2.514249
36.7904	2.156641	2.600006
36.9428	2.156641	2.600006
37.0952	1.305408	1.573775
37.2476	1.130211	1.362561
37.4000	1.88504	2.272568
37.5524	2.502946	3.017504
37.7048	2.637705	3.179967
37.8572	2.290557	2.761453
38.0096	2.332189	2.811643
38.1620	2.572169	3.100959
38.3144	3.165035	3.815706
38.4668	2.662848	3.210279
38.6192	2.237627	2.697641
38.7716	1.463227	1.764038
38.9240	1.739671	2.097314
39.0764	2.097591	2.528816
39.2288	2.338335	2.819052
39.3812	2.397409	2.89027
39.5336	2.397718	2.890644
39.6860	2.579731	3.110075
39.8384	2.088953	2.518402
39.9908	1.551192	1.870088
40.1432	1.438142	1.733797
40.2956	1.623825	1.957653
40.4480	1.678081	2.023063
40.6004	1.119313	1.349423
40.7528	0.5848048	0.7050297
40.9052	0.820224	0.9888465
41.0576	1.291308	1.556776
41.2100	1.77227	2.136616
41.3624	2.098021	2.529334
41.5148	3.016186	3.636256
41.6672	3.23751	3.903081
41.8196	3.429415	4.134438
41.9720	2.800821	3.376617
42.1244	2.830202	3.412038
42.2768	2.29404	2.765651
42.4292	1.768231	2.131745
42.5816	1.641529	1.978997
42.7340	1.6612	2.002711
42.8864	2.260206	2.724862
43.0388	3.017527	3.637873
43.1912	3.12359	3.765741
43.3436	2.320307	2.797318
43.4960	1.558506	1.878906
43.6484	1.840312	2.218645
43.8008	2.119397	2.555105
43.9532	2.119858	2.55566
44.1056	1.707898	2.05901
44.2580	1.608436	1.939101
44.4104	1.233547	1.487141
44.5628	1.373664	1.656063
44.7152	1.639643	1.976722
44.8676	2.504227	3.019049
45.0200	3.258886	3.928851
45.1724	4.393092	5.296228
45.3248	4.293377	5.176014
45.4772	3.836821	4.625598
45.6296	3.356751	4.046835
45.7820	3.295871	3.973439
45.9344	3.719028	4.48359
46.0868	3.141892	3.787805
46.2392	2.260618	2.725359
46.3916	1.517663	1.829666
46.5440	1.65327	1.993151
46.6964	1.893723	2.283036
46.8488	2.685299	3.237345
47.0012	2.123465	2.560009
47.1536	2.26974	2.736356
47.3060	1.519287	1.831623
47.4584	2.447077	2.95015
47.6108	2.765935	3.334559
47.7632	3.362446	4.053701
47.9156	2.177348	2.624969
48.0680	2.953979	3.561262
48.2204	2.225501	2.683022
48.3728	2.784983	3.357523
48.5252	1.494366	1.80158
48.6776	1.393474	1.679945
48.8300	2.334335	2.81423
48.9824	3.650066	4.40045
49.1348	3.95663	4.770038
49.2872	3.065682	3.695928
49.4396	1.947023	2.347294
49.5920	2.118179	2.553637
49.7444	2.585398	3.116906
49.8968	2.607616	3.143692
50.0492	2.146286	2.587521
50.2016	1.666033	2.008538
50.3540	2.082444	2.510555
50.5064	2.098124	2.529458
50.6588	1.399049	1.686667
50.8112	1.203783	1.451258
50.9636	0.7303367	0.8804802
51.1160	1.657889	1.998719
51.2684	2.076234	2.503069
51.4208	2.556308	3.081836
51.5732	2.089214	2.518717
51.7256	1.192182	1.437272
51.8780	1.898644	2.28897
52.0304	2.381913	2.871589
52.1828	3.115495	3.755982
52.3352	2.144583	2.585469
52.4876	2.621931	3.16095
52.6400	2.347844	2.830516
52.7924	3.297574	3.975492
52.9448	2.09407	2.524572
53.0972	1.885144	2.272694
53.2496	0.9391582	1.132231
53.4020	1.427672	1.721174
53.5544	1.624675	1.958678
53.7068	1.878356	2.264511
53.8592	2.047132	2.467984
54.0116	1.865334	2.248811
54.1640	2.036539	2.455213
54.3164	1.678699	2.023807
54.4688	2.74119	3.304727
54.6212	3.021976	3.643237
54.7736	3.151873	3.799839
54.9260	2.112756	2.547099
55.0784	2.125936	2.562988
55.2308	2.379574	2.868769
55.3832	3.024957	3.646831
55.5356	2.535131	3.056306
55.6880	2.332653	2.812202
55.8404	1.845374	2.224748
55.9928	1.886503	2.274333
56.1452	2.074859	2.501411
56.2976	2.353555	2.837402
56.4500	2.537581	3.05926
56.6024	2.613363	3.15062
56.7548	2.872102	3.462551
56.9072	3.256154	3.925557
57.0596	2.969197	3.579608
57.2120	2.611471	3.14834
57.3644	1.812953	2.185662
57.5168	1.789943	2.157922
57.6692	1.638414	1.97524
57.8216	2.021774	2.437413
57.9740	1.684245	2.030494
58.1264	2.138918	2.578639
58.2788	2.588556	3.120714
58.4312	2.668211	3.216745
58.5836	1.824778	2.199918
58.7360	1.44865	1.746465
58.8884	2.00663	2.419155
59.0408	1.857376	2.239218
59.1932	2.157365	2.600879
59.3456	1.697029	2.045907
59.4980	2.415452	2.912023
59.6504	2.154866	2.597866
59.8028	2.642865	3.186188
59.9552	2.470192	2.978017
60.1076	2.547694	3.071452
60.2600	2.371396	2.858911
60.4124	2.349986	2.833099
60.5648	2.351789	2.835272
60.7172	2.348176	2.830916
60.8696	2.647207	3.191423
61.0220	2.650019	3.194813
61.1744	3.33841	4.024724
61.3268	3.350888	4.039767
61.4792	3.635386	4.382752
61.6316	3.198074	3.855538
61.7840	4.11753	4.964016
61.9364	5.265376	6.347837
62.0888	6.038679	7.280117
62.2412	6.059111	7.304749
62.3936	5.173734	6.237356
62.5460	4.001348	4.823949
62.6984	2.894828	3.48995
62.8508	2.833614	3.416151
63.0032	3.105544	3.743985
63.1556	3.20867	3.868311
63.3080	2.214553	2.669823
63.4604	1.950482	2.351465
63.6128	1.826847	2.202412
63.7652	2.617489	3.155595
63.9176	3.210715	3.870777
64.0700	3.994464	4.81565
64.2224	3.839377	4.62868
64.3748	3.582419	4.318897
64.5272	2.675883	3.225993
64.6796	3.06795	3.698663
64.8320	3.065603	3.695832
64.9844	3.118098	3.75912
65.1368	2.701641	3.257047
65.2892	2.532632	3.053293
65.4416	2.746412	3.311022
65.5940	3.325321	4.008944
65.7464	3.544117	4.27272
65.8988	4.245737	5.11858
66.0512	3.646024	4.395577
66.2036	3.920471	4.726446
66.3560	2.783037	3.355177
66.5084	2.106546	2.539612
66.6608	1.919917	2.314615
66.8132	3.141842	3.787745
66.9656	4.289443	5.171271
67.1180	4.073575	4.911025
67.2704	3.392341	4.089742
67.4228	3.145566	3.792234
67.5752	2.719673	3.278786
67.7276	2.267107	2.733181
67.8800	1.654937	1.995161
68.0324	1.912546	2.305729
68.1848	2.138009	2.577543
68.3372	2.209507	2.663739
68.4896	2.191749	2.642331
68.6420	2.703375	3.259138
68.7944	3.082558	3.716273
68.9468	3.424515	4.128531
69.0992	3.676963	4.432877
69.2516	3.374056	4.067698
69.4040	3.076498	3.708968
69.5564	2.62212	3.161179
69.7088	3.147749	3.794867
69.8612	3.442428	4.150126
70.0136	3.254294	3.923316
70.1660	3.306253	3.985957
70.3184	3.246571	3.914005
70.4708	3.418143	4.120848
70.6232	3.113438	3.753502
70.7756	3.301009	3.979634
70.9280	3.255615	3.924907
71.0804	3.252209	3.920802
71.2328	2.570742	3.099237
71.3852	2.547046	3.07067
71.5376	2.92474	3.526011
71.6900	3.984482	4.803616
71.8424	3.627371	4.37309
71.9948	2.893965	3.488909
72.1472	2.531789	3.052277
72.2996	3.031575	3.65481
72.4520	3.072339	3.703954
72.6044	2.487739	2.999171
72.7568	2.132108	2.57043
72.9092	1.77879	2.144476
73.0616	1.887168	2.275134
73.2140	2.072241	2.498254
73.3664	2.840155	3.424037
73.5188	2.983129	3.596403
73.6712	2.705376	3.26155
73.8236	2.003251	2.415081
73.9760	1.699604	2.049011
74.1284	2.15912	2.602994
74.2808	2.835217	3.418083
74.4332	3.119729	3.761086
74.5856	2.600791	3.135465
74.7380	2.291638	2.762755
74.8904	2.756533	3.323224
75.0428	3.31826	4.000432
75.1952	3.515391	4.238089
75.3476	2.856865	3.444182
75.5000	2.407556	2.902504
75.6524	2.532539	3.053181
75.8048	2.43153	2.931407
75.9572	2.342702	2.824317
76.1096	2.35474	2.83883
76.2620	2.772017	3.341891
76.4144	2.844519	3.429298
76.5668	1.902632	2.293777
76.7192	1.282988	1.546746
76.8716	1.017225	1.226347
77.0240	1.128169	1.360099
77.1764	1.271311	1.532669
77.3288	1.270248	1.531386
77.4812	1.597734	1.926198
77.6336	1.952313	2.353671
77.7860	2.311729	2.786977
77.9384	2.421768	2.919637
78.0908	1.831348	2.207839
78.2432	1.911386	2.30433
78.3956	2.359534	2.84461
78.5480	2.613071	3.150269
78.7004	2.280976	2.749902
78.8528	2.001873	2.413421
79.0052	2.228219	2.686299
79.1576	2.112545	2.546844
79.3100	1.618995	1.95183
79.4624	1.625033	1.959108
79.6148	2.683761	3.235491
79.7672	3.728242	4.494698
79.9196	3.943024	4.753635
80.0720	3.705179	4.466893
80.2244	3.051495	3.678824
80.3768	2.622792	3.161989
80.5292	2.494141	3.00689
80.6816	3.306576	3.986345
80.8340	4.294294	5.17712
80.9864	5.01649	6.047785
81.1388	5.28457	6.370978
81.2912	4.697464	5.663173
81.4436	4.108348	4.952947
81.5960	4.316323	5.203677
81.7484	5.268144	6.351174
81.9008	5.368583	6.472262
82.0532	4.35886	5.254958
82.2056	4.029145	4.857461
82.3580	7.045971	8.49449
82.5104	11.11829	13.404
82.6628	13.1054	15.79962
82.8152	12.97386	15.64104
