HOLE:	U1513A
EXPEDITION:	369
TOP:	0.0646
BOTTOM:	252.7436
DEPTH_WMSF	GR	ECGR
m	gAPI	gAPI
0.0646	4.805703	3.859823
0.2169	4.897609	3.933641
0.3693	5.155713	4.14248
0.5217	5.63676	4.528989
0.6741	6.834277	5.487084
0.8265	6.953081	5.580393
0.9789	7.439328	5.968445
1.1313	10.78658	8.669953
1.2837	12.70716	10.20608
1.4361	13.18103	10.58668
1.5885	9.588251	7.701048
1.7409	7.913785	6.356159
1.8933	5.993613	4.813924
2.0457	5.846013	4.697118
2.1981	6.5123	5.230515
2.3505	6.512212	5.226571
2.5029	5.389634	4.332038
2.6553	3.281805	2.634887
2.8077	2.562166	2.05787
2.9601	1.919091	1.541939
3.1125	2.39693	1.925156
3.2649	1.917568	1.54186
3.4173	2.637448	2.120693
3.5697	3.59772	2.890032
3.7221	4.076755	3.275567
3.8745	4.554474	3.656683
4.0269	3.295528	2.646888
4.1793	3.296015	2.649245
4.3317	3.057074	2.457191
4.4841	3.355518	2.697073
4.6365	3.834488	3.084343
4.7889	4.075827	3.278467
4.9413	4.318649	3.471212
5.0937	4.79601	3.856331
5.2461	3.836687	3.083823
5.3985	3.596034	2.891464
5.5509	4.318448	3.471051
5.7033	5.995069	4.820459
5.8557	6.473219	5.202994
6.0081	6.230603	5.007987
6.1605	5.033671	4.047426
6.3129	5.277128	4.24161
6.4653	6.939906	5.578104
6.6177	7.793953	6.264564
6.7701	8.79775	7.071387
6.9225	6.417655	5.158333
7.0749	6.519764	5.240405
7.2273	5.755592	4.631333
7.3797	5.993316	4.815473
7.5321	5.514503	4.430761
7.6845	5.514503	4.432405
7.8369	5.754175	4.626763
7.9893	6.237535	5.015418
8.1417	6.232903	5.009836
8.2941	5.890954	4.736738
8.4465	6.61012	5.311059
8.5989	5.891604	4.733751
8.7513	6.235603	5.012005
8.9037	5.03407	4.046247
9.0561	4.555514	3.661596
9.2085	4.07745	3.278557
9.3609	4.554936	3.661131
9.5133	4.794281	3.85351
9.6657	3.592664	2.887685
9.8181	1.918069	1.542263
9.9705	2.160998	1.736307
10.1229	5.274818	4.24101
10.2753	6.7136	5.396205
10.4277	7.297263	5.865337
10.5801	5.86031	4.713151
10.7325	6.8185	5.480524
10.8849	5.992297	4.820014
11.0373	5.03614	4.047909
11.1897	2.877755	2.313918
11.3421	2.876719	2.312227
11.4945	3.117817	2.506944
11.6469	3.356322	2.697723
11.7993	3.28232	2.641175
11.9517	2.801372	2.252501
12.1041	3.761351	3.02327
12.2565	4.075798	3.276013
12.4089	3.83743	3.08442
12.5613	2.39774	1.925091
12.7137	1.43973	1.156786
12.8661	1.917822	1.541493
13.0185	2.157818	1.735038
13.1709	2.636985	2.119536
13.3233	2.63714	2.120446
13.4757	2.876085	2.311719
13.6281	3.116522	2.505903
13.7805	2.87807	2.313313
13.9329	3.358455	2.698432
14.0853	3.116399	2.505804
14.2377	2.876074	2.311708
14.3901	1.917553	1.540704
14.5425	2.158787	1.735173
14.6949	3.356902	2.699187
14.8473	3.356092	2.698535
14.9997	2.637541	2.120769
15.1521	1.678402	1.349054
15.3045	2.399178	1.929823
15.4569	2.159278	1.735566
15.6093	2.160975	1.735644
15.7617	2.876418	2.311985
15.9141	3.595999	2.891223
16.0665	3.594236	2.891091
16.2189	2.397411	1.926972
16.3713	2.396453	1.926203
16.5237	2.156942	1.73176
16.6761	1.678276	1.348451
16.8285	1.439944	1.15739
16.9809	2.397534	1.929932
17.1333	3.281323	2.637437
17.2857	2.801797	2.252007
17.4381	1.603072	1.288505
17.5905	1.199349	0.9643605
17.7429	1.40893	1.132459
17.8953	2.606185	2.096333
18.0477	2.126818	1.709479
18.2001	2.155949	1.73482
18.3525	1.393754	1.119845
18.5049	1.873628	1.506529
18.6573	2.592483	2.083766
18.8097	2.143011	1.722492
18.9621	1.903493	1.529975
19.1145	1.184134	0.9517744
19.2669	1.677955	1.348694
19.4193	1.648811	1.32527
19.5717	2.608415	2.098125
19.7241	3.56715	2.867177
19.8765	4.016304	3.229392
20.0289	3.297118	2.650133
20.1813	2.338765	1.881228
20.3337	3.012239	2.421155
20.4861	3.25176	2.615615
20.6385	4.450815	3.57877
20.7909	4.001596	3.217565
20.9433	4.000639	3.215603
21.0957	3.52231	2.833236
21.2481	2.848565	2.289598
21.4005	3.566781	2.866882
21.5529	3.475518	2.795596
21.7053	3.745723	3.010709
21.8577	3.027165	2.433151
22.0101	3.251438	2.613415
22.1625	2.771726	2.227839
22.3149	2.771726	2.229491
22.4673	1.64804	1.324649
22.6197	2.127074	1.709683
22.7721	1.843821	1.482013
22.9245	2.352908	1.891904
23.0769	2.112704	1.698763
23.2293	2.112569	1.698025
23.3817	1.873834	1.506583
23.5341	2.113768	1.69962
23.6865	2.562737	2.061386
23.8389	2.802669	2.252708
23.9913	2.563561	2.062047
24.1437	3.013016	2.420882
24.2961	3.251575	2.614496
24.4485	3.221644	2.59043
24.6009	2.127903	1.712253
24.7533	1.649303	1.326648
24.9057	2.321727	1.866833
25.0581	2.562559	2.061242
25.2105	3.522008	2.830892
25.3629	4.198312	3.374487
25.5153	5.634729	4.529039
25.6677	5.305103	4.264095
25.8201	5.902359	4.744153
25.9725	5.184307	4.167002
26.1249	4.734847	3.805742
26.2773	4.495569	3.616096
26.4297	4.403723	3.542218
26.5821	3.983614	3.204294
26.7345	2.067136	1.661507
26.8869	0.9446789	0.7598702
27.0393	1.588223	1.276948
27.1917	1.828236	1.469486
27.3441	1.82763	1.470633
27.4965	1.155514	0.928771
27.6489	2.072709	1.666605
27.8013	2.247417	1.806412
27.9537	2.395893	1.925752
28.1061	1.567179	1.259655
28.2585	1.767142	1.420907
28.4109	1.767109	1.420353
28.5633	1.577781	1.268647
28.7157	2.176573	1.74947
28.8681	2.712674	2.181181
29.0205	2.53403	2.037539
29.1729	2.471599	1.986603
29.3253	2.335984	1.877599
29.4777	3.26872	2.627309
29.6301	2.733612	2.198833
29.7825	1.933752	1.554296
29.9349	0.9894754	0.7950769
30.0873	1.189327	0.95595
30.2397	1.746027	1.404971
30.3921	1.756376	1.411727
30.5445	1.335758	1.074442
30.6969	1.577263	1.267761
30.8493	1.945047	1.563375
31.0017	1.766207	1.419629
31.1541	1.715101	1.379574
31.3065	1.94703	1.56613
31.4589	2.503917	2.013179
31.6113	2.355617	1.895488
31.7637	2.124292	1.707448
31.9161	2.765064	2.224956
32.0685	3.165606	2.546314
32.2209	3.543026	2.848844
32.3733	2.544369	2.045852
32.5257	1.91389	1.538332
32.6781	1.567733	1.259726
32.8305	1.907693	1.532782
32.9829	2.607987	2.096228
33.1353	3.066488	2.464758
33.2877	3.450165	2.773147
33.4401	3.239037	2.603451
33.5925	2.631822	2.117898
33.7449	2.776836	2.233269
33.8973	2.392976	1.923979
34.0497	2.57716	2.07145
34.2021	1.983197	1.594039
34.3545	1.944075	1.562594
34.5069	2.881248	2.317243
34.6593	2.841936	2.286302
34.8117	3.330116	2.676655
34.9641	2.433262	1.956369
35.1165	2.248425	1.806685
35.2689	1.57407	1.265194
35.4213	1.138798	0.9156058
35.5737	0.9138861	0.7343383
35.7261	0.9782929	0.7867917
35.8785	0.7395732	0.5948009
36.0309	1.837832	1.477199
36.1833	1.495567	1.202809
36.3357	2.008713	1.614548
36.4881	1.542564	1.240239
36.6405	2.569775	2.066739
36.7929	3.200364	2.572364
36.9453	3.541763	2.846771
37.0977	3.487446	2.80644
37.2501	2.514127	2.020787
37.4025	2.134276	1.716998
37.5549	2.786341	2.239584
37.7073	3.300527	2.652872
37.8597	3.299089	2.651716
38.0121	2.016606	1.620892
38.1645	2.14813	1.726607
38.3169	2.312461	1.859796
38.4693	3.510248	2.822165
38.6217	3.20643	2.577242
38.7741	2.568763	2.066998
38.9265	1.183176	0.9513572
39.0789	1.183706	0.9517132
39.2313	1.563874	1.257931
39.3837	1.477055	1.187215
39.5361	1.582864	1.271507
39.6885	1.642354	1.320079
39.8409	2.076461	1.669001
39.9933	1.697145	1.364118
40.1457	2.262617	1.818629
40.2981	2.068131	1.662306
40.4505	2.546712	2.046977
40.6029	2.097637	1.687023
40.7553	2.337462	1.878788
40.9077	2.517556	2.024293
41.0601	1.858564	1.493863
41.2125	1.858643	1.495034
41.3649	2.877258	2.312658
41.5173	2.862203	2.298851
41.6697	2.622423	2.107831
41.8221	1.903826	1.530621
41.9745	2.878253	2.314145
42.1269	3.835366	3.081998
42.2793	5.034551	4.048635
42.4317	4.510254	3.62432
42.5841	4.030073	3.2383
42.7365	2.592236	2.084083
42.8889	2.397164	1.927727
43.0413	2.15838	1.734418
43.1937	2.322722	1.868602
43.3461	2.082821	1.674942
43.4985	1.843304	1.481597
43.6509	1.439069	1.156684
43.8033	2.157663	1.73427
43.9557	2.637705	2.121163
44.1081	3.356257	2.698334
44.2605	3.521936	2.830835
44.4129	3.28167	2.638368
44.5653	2.32318	1.869155
44.7177	2.636505	2.120197
44.8701	2.637231	2.119711
45.0225	3.281349	2.637458
45.1749	3.041865	2.445393
45.3273	3.040036	2.442588
45.4797	2.687675	2.158355
45.6321	1.939183	1.55924
45.7845	1.4609	1.173796
45.9369	1.88796	1.518615
46.0893	2.398005	1.92745
46.2417	2.60753	2.09586
46.3941	1.922867	1.545547
46.5465	1.187602	0.9549153
46.6989	1.218396	0.978587
46.8513	1.423382	1.144075
47.0037	2.399001	1.92825
47.1561	2.158908	1.733983
47.3085	2.637829	2.120214
47.4609	1.663536	1.3376
47.6133	2.382914	1.916742
47.7657	1.663798	1.337811
47.9181	1.918023	1.541654
48.0705	1.918023	1.541654
48.2229	2.39871	1.928732
48.3753	3.357016	2.698276
48.5277	3.596512	2.890777
48.6801	3.354784	2.696483
48.8325	2.398149	1.927566
48.9849	1.918668	1.5416
49.1373	2.397616	1.927137
49.2897	3.355007	2.696659
49.4421	3.595482	2.887803
49.5945	3.356694	2.697016
49.7469	2.398805	1.928666
49.8993	1.918254	1.541839
50.0517	2.158968	1.735319
50.2041	3.835593	3.082943
50.3565	4.075753	3.275976
50.5089	3.833706	3.080283
50.6613	2.448626	1.968137
50.8137	2.209109	1.774961
50.9661	2.448955	1.967672
51.1185	2.578773	2.071977
51.2709	2.817956	2.264996
51.4233	3.057473	2.458424
51.5757	3.116945	2.505314
51.7281	3.595996	2.890362
51.8805	3.597433	2.891516
52.0329	3.596478	2.889676
52.1853	2.878253	2.31346
52.3377	3.11661	2.504115
52.4901	3.118538	2.506592
52.6425	4.31522	3.465881
52.7949	3.117155	2.505483
52.9473	3.116633	2.505064
53.0997	1.663867	1.337369
53.2521	2.381595	1.91284
53.4045	1.902082	1.52884
53.5569	2.157076	1.733154
53.7093	1.91768	1.541378
53.8617	2.158556	1.734988
54.0141	2.157599	1.734218
54.1665	2.098381	1.687247
54.3189	2.149637	1.7291
54.4713	3.018398	2.425205
54.6237	2.599779	2.090405
54.7761	3.027269	2.433235
54.9285	2.637338	2.120606
55.0809	3.835592	3.082943
55.2333	3.150521	2.533241
55.3857	2.672442	2.148833
55.5381	1.218683	0.9802709
55.6905	2.760519	2.218828
55.8429	2.760271	2.217807
55.9953	3.015293	2.423609
56.1477	2.875821	2.312363
56.3001	2.396595	1.926317
56.4525	2.155502	1.732533
56.6049	0.6898634	0.5544931
56.7573	0.9293807	0.7470105
56.9097	1.64881	1.325267
57.0621	2.397398	1.926962
57.2145	3.117571	2.505818
57.3669	3.355893	2.698375
57.5193	2.397985	1.92815
57.6717	1.437546	1.155889
57.8241	0.7198378	0.578586
57.9765	1.439108	1.157145
58.1289	2.397651	1.925735
58.2813	2.398421	1.929216
58.4337	1.917364	1.542268
58.5861	1.67923	1.34972
58.7385	2.157786	1.735656
58.8909	2.63794	2.121091
59.0433	2.637979	2.121907
59.1957	3.837006	3.084082
59.3481	4.557235	3.665698
59.5005	5.515537	4.433236
59.6529	4.316151	3.469202
59.8053	3.355418	2.696993
59.9577	3.027419	2.434258
60.1101	3.353133	2.695155
60.2625	4.431779	3.564785
60.4149	4.280849	3.442105
60.5673	3.953378	3.177616
60.7197	3.116474	2.504936
60.8721	2.39813	1.928266
61.0245	2.399528	1.928673
61.1769	3.116598	2.504106
61.3293	3.836347	3.083549
61.4817	3.835487	3.084002
61.6341	3.117924	2.506101
61.7865	3.355809	2.697306
61.9389	2.637974	2.12033
62.0913	2.637701	2.120111
62.2437	1.43898	1.156613
62.3961	2.3995	1.928651
62.5485	2.638729	2.120939
62.7009	3.357281	2.700492
62.8533	3.356072	2.699521
63.0057	2.876606	2.313852
63.1581	2.157604	1.73551
63.3105	1.917131	1.542081
63.4629	3.594153	2.890596
63.6153	4.314106	3.46756
63.7677	4.029851	3.241479
63.9201	3.553206	2.848903
64.0725	3.791864	3.047795
64.2249	4.556198	3.658068
64.3773	3.836313	3.083521
64.5297	2.862707	2.298407
64.6821	2.861273	2.301518
64.8345	2.382471	1.913543
64.9869	2.876179	2.310076
65.1393	2.636517	2.116016
65.2917	2.39676	1.927163
65.4441	2.397347	1.925491
65.5965	1.648971	1.324413
65.7489	1.408787	1.131084
65.9013	1.408069	1.131767
66.0537	1.678678	1.349275
66.2061	2.397302	1.926885
66.3585	2.801794	2.25284
66.5109	2.081882	1.67336
66.6633	1.843321	1.48216
66.8157	0.9593821	0.7714106
66.9681	1.633826	1.312249
67.1205	2.113851	1.698424
67.2729	2.832403	2.275762
67.4253	3.837084	3.084141
67.5777	5.033844	4.046064
67.7301	5.422649	4.358578
67.8825	4.944812	3.977452
68.0349	4.22593	3.396686
68.1873	4.075291	3.276821
68.3397	4.555736	3.661775
68.4921	5.277363	4.243371
68.6445	6.236628	5.012829
68.7969	5.514508	4.434054
68.9493	4.240884	3.408705
69.1017	3.109685	2.500407
69.2541	2.601555	2.09261
69.4065	3.156924	2.538389
69.5589	4.286178	3.445111
69.7113	4.555776	3.663165
69.8637	4.313148	3.466789
70.0161	2.636635	2.119254
70.1685	3.11705	2.505398
70.3209	2.159351	1.735627
70.4733	2.639125	2.121255
70.6257	2.158176	1.733824
70.7781	1.91882	1.542867
70.9305	2.397282	1.926869
71.0829	2.158265	1.735397
71.2353	2.636583	2.119212
71.3877	2.158101	1.734621
71.5401	2.87809	2.311612
71.6925	3.118155	2.506286
71.8449	2.637684	2.120097
71.9973	1.918571	1.543238
72.1497	1.438267	1.156468
72.3021	0.9593756	0.7711195
72.4545	1.154419	0.9278902
72.6069	2.112967	1.698344
72.7593	2.352831	1.890438
72.9117	2.876897	2.313227
73.0641	1.678661	1.347259
73.2165	1.918896	1.54121
73.3689	1.39423	1.118979
73.5213	1.873129	1.504451
73.6737	1.872865	1.503122
73.8261	2.157059	1.732497
73.9785	1.678742	1.348324
74.1309	2.877564	2.311188
74.2833	2.143869	1.721902
74.4357	3.100372	2.48922
74.5881	2.142303	1.721923
74.7405	3.35612	2.693551
74.8929	2.87811	2.311627
75.0453	3.596362	2.888513
75.1977	2.638293	2.122159
75.3501	3.49188	2.802508
75.5025	2.053179	1.649062
75.6549	2.530511	2.029424
75.8073	0.9593503	0.7699547
75.9597	1.916463	1.538685
76.1121	2.397227	1.923963
76.2645	2.636912	2.11633
76.4169	2.127528	1.708144
76.5693	1.168981	0.9388966
76.7217	1.888896	1.515988
76.8741	1.918705	1.541056
77.0265	2.338022	1.876447
77.1789	1.858509	1.492154
77.3313	1.858324	1.49256
77.4837	1.678224	1.347908
77.6361	2.398474	1.924966
77.7885	2.878205	2.312565
77.9409	3.73181	3.000638
78.0933	3.73188	2.999582
78.2457	3.491571	2.806428
78.3981	2.15853	1.734967
78.5505	1.63322	1.313224
78.7029	1.633077	1.312135
78.8553	1.632858	1.313906
79.0077	1.678169	1.349266
79.1601	1.917447	1.541191
79.3125	3.118006	2.507097
79.4649	4.196675	3.373171
79.6173	3.958026	3.181351
79.7697	5.161674	4.148814
79.9221	9.108421	7.323814
80.0745	13.11117	10.53839
80.2269	16.4654	13.23444
80.3793	16.78905	13.49458
80.5317	15.90318	12.78728
80.6841	14.4638	11.62561
80.8365	11.31118	9.098359
80.9889	10.35136	8.323223
