HOLE:	U1513A
EXPEDITION:	369
TOP:	193.2031
BOTTOM:	253.4010
DEPTH_WMSF	GR	ECGR
m	gAPI	gAPI
193.2031	14.96149	19.51155
193.3555	14.96198	19.5122
193.5079	16.31158	21.27224
193.6603	18.33201	23.91049
193.8127	20.45365	26.68153
193.9651	21.54262	28.10607
194.1175	20.86725	27.28638
194.2699	18.84683	24.65135
194.4223	17.16898	22.45361
194.5747	17.39965	22.7457
194.7271	17.6301	23.06314
194.8795	18.10675	23.67337
195.0319	15.40654	20.14246
195.1843	12.25333	16.02041
195.3367	11.91866	15.58723
195.4891	15.06757	19.69707
195.6415	17.08799	22.33827
195.7939	17.53367	22.92603
195.9463	19.68233	25.73696
196.0987	17.88366	23.39154
196.2511	16.31222	21.32715
196.4035	12.9701	16.95516
196.5559	14.54267	18.98521
196.7083	16.33412	21.3197
196.8607	13.9316	18.18131
197.0131	15.66922	20.45763
197.1655	15.00114	19.56326
197.3179	18.60445	24.2466
197.4703	19.56154	25.49251
197.6227	16.86765	21.98495
197.7751	15.73579	20.49808
197.9275	15.73464	20.50241
198.0799	20.20862	26.32844
198.2323	18.85173	24.58603
198.3847	17.7381	23.16558
198.5371	17.63461	23.04375
198.6895	21.52191	28.14211
198.8419	20.92229	27.35114
198.9943	21.69743	28.37323
199.1467	19.96897	26.1081
199.2991	19.62215	25.65516
199.4515	17.79704	23.27499
199.6039	15.97091	20.88682
199.7563	15.15569	19.82342
199.9087	15.20867	19.91544
200.0611	15.63028	20.49869
200.2135	15.39663	20.23887
200.3659	13.73343	18.0845
200.5183	13.47626	17.75507
200.6707	15.76018	20.7779
200.8231	16.43634	21.67068
200.9755	14.76475	19.4723
201.1279	13.27049	17.49886
201.2803	13.29071	17.55288
201.4327	14.95754	19.80986
201.5851	15.02932	19.93019
201.7375	14.89504	19.74302
201.8899	14.9422	19.77728
202.0423	14.94794	19.77477
202.1947	14.1852	18.76688
202.3471	13.22261	17.49335
202.4995	13.25787	17.53857
202.6519	16.39748	21.68113
202.8043	19.20911	25.25619
202.9567	21.35368	27.79308
203.1091	20.37011	26.37515
203.2615	20.25778	26.21803
203.4139	20.20757	26.15168
203.5663	21.48274	27.80698
203.7187	19.32157	25.02359
203.8711	16.8865	21.89475
204.0235	14.9032	19.34588
204.1759	15.48185	20.11199
204.3283	15.81627	20.54994
204.4807	15.37955	19.98235
204.6331	14.9401	19.41175
204.7855	15.503	20.14423
204.9379	14.89956	19.3847
205.0903	13.3141	17.36117
205.2427	11.69713	15.2671
205.3951	12.11705	15.81577
205.5475	12.8378	16.75714
205.6999	13.54841	17.6876
205.8523	14.30874	18.73629
206.0047	14.97586	19.78043
206.1571	13.98362	18.70565
206.3095	12.29884	16.57658
206.4619	10.80308	14.5641
206.6143	10.67673	14.39635
206.7667	10.89211	14.68586
206.9191	12.28617	16.56958
207.0715	14.64654	19.75326
207.2239	15.86965	21.4004
207.3763	16.18923	21.82677
207.5287	14.9585	20.16526
207.6811	15.22884	20.49611
207.8335	15.70254	21.00166
207.9859	15.171	19.9866
208.1383	15.19427	19.79147
208.2907	15.55277	20.20856
208.4431	15.59819	20.26216
208.5955	15.0951	19.60753
208.7479	14.55545	18.90656
208.9003	18.50585	24.00492
209.0527	22.69185	29.35162
209.2051	25.30148	32.46834
209.3575	23.94053	30.68535
209.5099	21.97565	28.28968
209.6623	21.91272	28.25428
209.8147	21.92596	28.27699
209.9671	19.82636	25.56416
210.1195	17.15737	22.12601
210.2719	14.8078	19.09117
210.4243	15.93711	20.50088
210.5767	17.77523	22.8266
210.7291	20.35565	26.11662
210.8815	20.62295	26.4434
211.0339	21.16299	27.07637
211.1863	22.77501	29.12652
211.3387	23.02485	29.44844
211.4911	21.18461	27.08883
211.6435	19.43553	24.85916
211.7959	18.56521	23.74046
211.9483	17.88874	22.87566
212.1007	16.20089	20.67816
212.2531	17.52644	22.20309
212.4055	20.12933	25.38705
212.5579	22.94143	28.93275
212.7103	23.79903	30.0136
212.8627	23.29687	29.3992
213.0151	22.42196	28.32833
213.1675	21.86846	27.73373
213.3199	19.44627	24.76241
213.4723	17.53355	22.35614
213.6247	13.68368	17.44913
213.7771	13.88242	17.70499
213.9295	14.35122	18.30005
214.0819	17.32075	22.0243
214.2343	17.74809	22.56072
214.3867	17.23543	22.06837
214.5391	17.2085	22.15169
214.6915	17.42111	22.42619
214.8439	18.84673	24.26541
214.9963	19.53957	25.14666
215.1487	21.78647	28.04635
215.3011	22.25001	28.64123
215.4535	23.82829	30.17728
215.6059	23.41579	29.50181
215.7583	24.50831	31.06771
215.9107	21.65011	27.55873
216.0631	21.05805	26.82316
216.2155	17.99409	22.92637
216.3679	18.2805	23.32121
216.5203	19.29659	24.71832
216.6727	18.75545	24.07611
216.8251	17.20842	21.9549
216.9775	15.50721	19.71855
217.1299	15.21489	19.35101
217.2823	17.95014	22.82142
217.4347	19.48205	24.78437
217.5871	20.49253	26.15832
217.7395	20.31935	26.03385
217.8919	18.58649	23.83085
218.0443	20.3346	26.06627
218.1967	18.71149	23.98947
218.3491	19.53811	25.05527
218.5015	20.1801	25.8639
218.6539	21.21973	27.02729
218.8063	20.44745	25.53112
218.9587	19.94483	24.79886
219.1111	21.61367	26.85507
219.2635	23.15991	28.77747
219.4159	25.62558	31.83363
219.5683	26.41518	32.81452
219.7207	26.06219	32.37969
219.8731	23.0588	28.65348
220.0255	20.83366	25.86901
220.1779	22.3034	27.68379
220.3303	22.05412	27.38554
220.4827	22.63908	28.14604
220.6351	22.46898	27.93457
220.7875	22.57982	28.07419
220.9399	22.31589	27.74873
221.0923	20.42279	25.39291
221.2447	19.33063	24.03817
221.3971	19.33188	24.03321
221.5495	19.19311	23.8615
221.7019	18.81123	23.39336
221.8543	18.44317	22.932
222.0067	18.20389	22.63199
222.1591	18.29498	22.74774
222.3115	17.19735	21.37706
222.4639	16.58424	20.55194
222.6163	16.73381	20.65218
222.7687	17.62769	21.74903
222.9211	19.33746	23.86281
223.0735	19.09834	23.56433
223.2259	18.16061	22.41309
223.3783	17.59628	21.71151
223.5307	18.58927	22.85417
223.6831	20.12106	24.52548
223.8355	21.71778	26.8641
223.9879	22.33418	28.42651
224.1403	21.86626	27.81556
224.2927	20.24276	25.50884
224.4451	20.29267	25.23522
224.5975	20.00925	24.78601
224.7499	20.45281	25.33392
224.9023	21.91032	27.10107
225.0547	23.40425	28.73604
225.2071	25.11307	30.57313
225.3595	26.22605	31.8575
225.5119	27.32414	33.18897
225.6643	26.96292	32.74975
225.8167	25.22398	30.63648
225.9691	23.30072	28.29266
226.1215	21.13274	25.66139
226.2739	21.23041	25.78715
226.4263	21.94345	26.65373
226.5787	22.15485	26.90957
226.7311	19.6903	23.91673
226.8835	16.89023	20.53177
227.0359	15.4572	18.83347
227.1883	15.6671	19.15928
227.3407	16.64778	20.40753
227.4931	17.35776	21.29241
227.6455	17.7458	21.76884
227.7979	17.26576	21.17422
227.9503	16.85314	20.76047
228.1027	16.07218	20.00324
228.2551	17.19561	21.57309
228.4075	19.33976	24.3419
228.5599	20.68603	26.0652
228.7123	20.65014	26.01586
228.8647	19.50392	24.57561
229.0171	18.74067	23.63168
229.1695	17.70482	22.28731
229.3219	16.02813	20.06686
229.4743	15.28425	19.03614
229.6267	16.61539	20.6475
229.7791	18.36579	22.80771
229.9315	18.8437	23.38327
230.0839	17.57521	21.77269
230.2363	16.69023	20.55879
230.3887	17.70827	21.7226
230.5411	19.5671	23.99922
230.6935	21.59676	26.48706
230.8459	23.50145	28.83315
230.9983	24.79239	30.41485
231.1507	26.35005	32.32039
231.3031	26.01319	31.90378
231.4555	24.37786	29.89954
231.6079	22.75621	27.90919
231.7603	21.75838	26.68169
231.9127	21.58158	26.4675
232.0651	21.17479	26.00859
232.2175	21.60172	26.61851
232.3699	22.45253	27.70078
232.5223	21.5955	26.64198
232.6747	20.48559	25.2705
232.8271	19.66351	24.26219
232.9795	22.17711	27.36208
233.1319	23.10966	28.5071
233.2843	22.51597	27.78202
233.4367	21.25423	26.21112
233.5891	21.64575	26.60437
233.7415	22.97284	28.1836
233.8939	25.15625	30.85443
234.0463	25.17868	30.88427
234.1987	24.87943	30.52567
234.3511	22.99283	28.20682
234.5035	22.03034	27.02948
234.6559	21.87059	26.85181
234.8083	21.48828	26.38645
234.9607	20.8899	25.65491
235.1131	21.46316	26.35931
235.2655	21.02372	25.81597
235.4179	22.41581	27.52724
235.5703	22.83348	28.04785
235.7227	21.90288	26.89811
235.8751	19.48724	23.93072
236.0275	18.49405	22.7149
236.1799	20.87857	25.64482
236.3323	22.4653	27.59243
236.4847	21.06465	25.86987
236.6371	18.63478	22.88772
236.7895	19.14862	23.51703
236.9419	20.22994	24.84344
237.0943	21.13379	25.95385
237.2467	19.32486	23.73537
237.3991	16.78269	20.60898
237.5515	16.52631	20.4244
237.7039	16.46047	20.45521
237.8563	17.62044	21.92057
238.0087	18.67255	23.23233
238.1611	20.45688	25.44165
238.3135	23.0182	28.62963
238.4659	22.54273	28.03617
238.6183	22.07519	27.50896
238.7707	19.8745	24.78275
238.9231	21.49341	26.67297
239.0755	25.83005	31.85758
239.2279	29.66235	36.52224
239.3803	29.36839	36.15527
239.5327	26.7521	32.93436
239.6851	28.31124	34.85857
239.8375	33.65216	41.42999
239.9899	41.22014	50.76717
240.1423	44.3835	54.66698
240.2947	46.1477	56.707
240.4471	48.50361	59.49317
240.5995	49.84446	61.08862
240.7519	52.04012	63.77338
240.9043	49.87718	61.13133
241.0567	53.69683	65.78233
241.2091	52.23194	64.00494
241.3615	52.48988	64.36145
241.5139	51.23085	62.77791
241.6663	52.6357	64.2766
241.8187	54.6209	66.65176
241.9711	53.31586	65.04738
242.1235	57.8109	70.56002
242.2759	58.27587	71.09322
242.4283	56.90984	69.45653
242.5807	49.18747	60.02356
242.7331	42.71311	52.11636
242.8855	39.73622	48.53532
243.0379	39.41922	48.60626
243.1903	40.55085	50.25092
243.3427	41.73615	51.55717
243.4951	39.75242	49.04201
243.6475	37.13003	45.80206
243.7999	33.44242	41.2726
243.9523	31.83986	39.28851
244.1047	30.19502	37.25547
244.2571	29.59889	36.522
244.4095	31.82483	39.31426
244.5619	35.14425	43.50484
244.7143	37.77911	46.89343
244.8667	35.96282	45.11547
245.0191	31.93393	39.81731
245.1715	28.80904	35.53215
245.3239	27.39945	33.78619
245.4763	28.91352	35.66512
245.6287	32.41453	40.00962
245.7811	33.65877	41.57548
245.9335	31.98334	39.54958
246.0859	30.05921	37.25499
246.2383	29.54099	36.67696
246.3907	29.7903	36.9705
246.5431	27.8423	34.48174
246.6955	26.58077	32.84621
246.8479	27.3754	33.8222
247.0003	28.27882	34.93937
247.1527	30.53038	37.73604
247.3051	31.22094	38.65968
247.4575	31.70953	39.37686
247.6099	30.15416	37.5512
247.7623	29.22378	36.4908
247.9147	29.3973	36.7301
248.0671	29.46058	36.71522
248.2195	29.26169	36.28111
248.3719	31.61111	39.13711
248.5243	32.95116	40.71359
248.6767	35.25972	43.52279
248.8291	35.47576	43.79297
248.9815	36.7836	45.39832
249.1339	38.7641	47.8329
249.2863	37.92203	46.79922
249.4387	35.69928	44.0552
249.5911	31.35307	38.71286
249.7435	30.76635	37.96656
249.8959	31.15136	38.44612
250.0483	33.60871	41.45723
250.2007	35.97975	44.38865
250.3531	35.78544	44.153
250.5055	33.81748	41.72787
250.6579	30.55706	37.71505
250.8103	30.53244	37.73421
250.9627	32.86402	40.53502
251.1151	32.12215	39.56907
251.2675	32.28751	39.71772
251.4199	30.79848	37.87904
251.5723	31.43265	38.68388
251.7247	33.56888	41.31301
251.8771	33.83363	41.67302
252.0295	32.46223	39.95884
252.1819	30.5237	37.46795
252.3342	30.80522	37.71782
252.4866	32.68645	39.85233
252.6390	32.58128	39.56092
252.7914	32.26202	39.09836
252.9438	31.66132	38.37429
253.0962	38.19926	46.28668
253.2486	45.5944	55.26952
253.4010	53.24536	64.52055

