HOLE:	U1513A
EXPEDITION:	369
TOP:	80.8365
BOTTOM:	258.2300
DEPTH_WMSF	RHOM	DRH	PEFL	NRHB
m	g/cm3	g/cm3	barns/e-	g/cm3
80.8365	1.882978	-0.5278422	16.89137	1.882978
80.9889	1.472228	-0.4009486	16.8846	1.472228
81.1413	1.384829	-0.2506982	17.39937	1.384829
81.2937	1.421456	-0.112483	17.636	1.421456
81.4461	1.532198	-0.005505574	17.61819	1.557625
81.5985	1.56058	-0.0001446176	16.16414	1.581209
81.7509	1.610394	0.006696821	13.45647	1.610394
81.9033	1.664625	0.00900048	11.34591	1.664625
82.0557	1.697059	0.008378234	9.499038	1.697059
82.2081	1.71564	0.00840385	8.319557	1.71564
82.3605	1.727629	0.005742157	6.768014	1.727629
82.5129	1.749494	0.003059664	5.374967	1.749494
82.6653	1.766581	0.004833674	4.783519	1.766581
82.8177	1.764633	0.001855773	4.478905	1.764633
82.9701	1.75211	-0.001469538	4.741997	1.75211
83.1225	1.744725	-0.0002428594	4.750283	1.744725
83.2749	1.728614	0.006134504	5.10089	1.728614
83.4273	1.703222	0.005564032	5.692923	1.703222
83.5797	1.688836	0.005836192	6.688042	1.688836
83.7321	1.69496	0.008175576	7.910216	1.69496
83.8845	1.698088	0.006269707	8.376128	1.698088
84.0369	1.696965	-0.002785304	8.168732	1.696848
84.1893	1.702002	-0.005938753	6.896625	1.733736
84.3417	1.71383	0.0001717789	6.492043	1.71383
84.4941	1.714003	0.004869633	6.577202	1.714003
84.6465	1.714536	0.01204598	7.271999	1.714536
84.7989	1.719852	0.02316612	7.332416	1.719852
84.9513	1.747531	0.03799123	7.537477	1.747531
85.1037	1.752321	0.03821879	7.232934	1.752321
85.2561	1.753565	0.03788727	7.608016	1.753565
85.4085	1.724998	0.03109156	7.466583	1.724998
85.5609	1.709584	0.0228171	7.723937	1.709584
85.7133	1.707201	0.01992381	7.149555	1.707201
85.8657	1.732078	0.02267661	5.789499	1.732078
86.0181	1.754901	0.02568376	5.038783	1.754901
86.1705	1.770058	0.02614077	4.839145	1.770058
86.3229	1.779539	0.03211174	5.739724	1.779539
86.4753	1.769688	0.02584563	6.830171	1.769688
86.6277	1.756403	0.01836959	7.290933	1.756403
86.7801	1.745006	0.01216154	7.051819	1.745006
86.9325	1.746905	0.01326446	6.413516	1.746905
87.0849	1.752319	0.01243296	6.359707	1.752319
87.2373	1.735687	0.01343237	6.887802	1.735687
87.3897	1.708061	0.01842821	7.631851	1.708061
87.5421	1.681947	0.01311374	7.998728	1.681947
87.6945	1.686472	0.004055874	8.212847	1.686472
87.8469	1.705727	-0.001381442	8.790756	1.705297
87.9993	1.725728	0.001162429	7.626011	1.730455
88.1517	1.726506	0.003693251	7.630542	1.726506
88.3041	1.712057	0.005978843	7.431811	1.712057
88.4565	1.708544	0.01855009	8.73815	1.708544
88.6089	1.714058	0.03613887	8.795283	1.714058
88.7613	1.712947	0.03581237	7.799111	1.712947
88.9137	1.713746	0.03229377	6.190322	1.713746
89.0661	1.717073	0.02829496	4.812312	1.717073
89.2185	1.73926	0.02727771	4.793839	1.73926
89.3709	1.736157	0.0199284	5.338057	1.736157
89.5233	1.727609	0.0157129	6.087716	1.727609
89.6757	1.692861	0.0114698	6.327189	1.692861
89.8281	1.670831	0.005634251	5.725451	1.670831
89.9805	1.66969	0.004529259	5.229004	1.66969
90.1329	1.687349	0.007028693	4.675194	1.687349
90.2853	1.703375	0.01155771	4.959915	1.703375
90.4377	1.70462	0.01685418	5.302846	1.70462
90.5901	1.717337	0.03170075	5.609303	1.717337
90.7425	1.715896	0.03509413	5.802466	1.715896
90.8949	1.724334	0.04553065	5.957773	1.724334
91.0473	1.723223	0.04556338	5.776241	1.723223
91.1997	1.718627	0.03993059	5.564555	1.718627
91.3521	1.718189	0.03488105	5.309958	1.718189
91.5045	1.715898	0.02744304	5.152454	1.715898
91.6569	1.722851	0.01365056	5.211294	1.722851
91.8093	1.733953	0.008199099	5.145908	1.733953
