HOLE:	U1513A
EXPEDITION:	369
TOP:	194.8795
BOTTOM:	258.7350
DEPTH_WMSF	RHOM	DRH	PEFL	NRHB
m	g/cm3	g/cm3	barns/e-	g/cm3
194.8795	1.834627	0.00783104	6.132747	1.834627
195.0319	1.825835	0.007454469	6.213013	1.825835
195.1843	1.814076	0.006435066	5.834013	1.814076
195.3367	1.787025	0.003632279	5.444078	1.787025
195.4891	1.778497	0.003614076	5.423315	1.778497
195.6415	1.77651	0.005821746	5.294797	1.77651
195.7939	1.775488	0.004152375	5.179339	1.775488
195.9463	1.776296	0.005337824	5.052304	1.776296
196.0987	1.776805	0.007469518	4.995278	1.776805
196.2511	1.790861	0.01035456	5.635319	1.790861
196.4035	1.814849	0.01142864	5.812363	1.814849
196.5559	1.815148	0.01018194	6.423723	1.815148
196.7083	1.795312	0.007661396	6.085771	1.795312
196.8607	1.766386	0.00472271	5.966249	1.766386
197.0131	1.767052	0.005551484	5.659236	1.767052
197.1655	1.775352	0.00670206	5.570032	1.775352
197.3179	1.782267	0.008263843	6.391102	1.782267
197.4703	1.790502	0.009011352	8.216165	1.790502
197.6227	1.815386	0.01609009	9.949911	1.815386
197.7751	1.847429	0.02139409	8.04675	1.847429
197.9275	1.849223	0.02047067	6.001851	1.849223
198.0799	1.845987	0.01630065	5.095328	1.845987
198.2323	1.83626	0.01460486	5.303612	1.83626
198.3847	1.832104	0.01483601	5.36069	1.832104
198.5371	1.814	0.01323137	5.542343	1.814
198.6895	1.81046	0.01577261	5.399222	1.81046
198.8419	1.817243	0.02028055	5.31652	1.817243
198.9943	1.808429	0.01963525	5.114965	1.808429
199.1467	1.780474	0.01319562	5.108665	1.780474
199.2991	1.762389	0.01074362	5.59161	1.762389
199.4515	1.763089	0.0097234	5.624933	1.763089
199.6039	1.780759	0.01120703	5.22642	1.780759
199.7563	1.804363	0.01423172	4.8038	1.804363
199.9087	1.822104	0.01825721	4.907063	1.822104
200.0611	1.826854	0.01887529	5.267665	1.826854
200.2135	1.825748	0.01619152	5.400337	1.825748
200.3659	1.825014	0.01388616	5.160054	1.825014
200.5183	1.830687	0.0159609	4.986959	1.830687
200.6707	1.830356	0.01376737	4.82199	1.830356
200.8231	1.828555	0.01312372	4.973905	1.828555
200.9755	1.828614	0.01925588	5.847116	1.828614
201.1279	1.824363	0.02155795	6.209903	1.824363
201.2803	1.819366	0.01964927	7.78935	1.819366
201.4327	1.81471	0.02006472	8.513553	1.81471
201.5851	1.812597	0.02244962	10.68641	1.812597
201.7375	1.799864	0.01586578	10.26273	1.799864
201.8899	1.800689	0.01590967	10.09397	1.800689
202.0423	1.806713	0.01857784	10.14412	1.806713
202.1947	1.806959	0.01868117	9.622729	1.806959
202.3471	1.802809	0.01688486	8.530195	1.802809
202.4995	1.799565	0.01976957	8.737031	1.799565
202.6519	1.790253	0.01801895	9.283937	1.790253
202.8043	1.774136	0.01246937	8.193579	1.774136
202.9567	1.768698	0.01226824	6.049159	1.768698
203.1091	1.767279	0.01086918	5.076913	1.767279
203.2615	1.76892	0.008820035	4.852117	1.76892
203.4139	1.768655	0.008116239	4.71906	1.768655
203.5663	1.766321	0.008550248	4.275966	1.766321
203.7187	1.761271	0.008464126	4.148856	1.761271
203.8711	1.757261	0.009125624	4.16542	1.757261
204.0235	1.753047	0.01061073	4.286792	1.753047
204.1759	1.752366	0.01289552	4.480063	1.752366
204.3283	1.753567	0.01452817	5.068106	1.753567
204.4807	1.753707	0.01522983	6.106304	1.753707
204.6331	1.757061	0.01727864	7.081435	1.757061
204.7855	1.763174	0.01931904	7.335847	1.763174
204.9379	1.772892	0.02119574	7.361071	1.772892
205.0903	1.772943	0.02043476	7.552527	1.772943
205.2427	1.77267	0.02180123	7.742084	1.77267
205.3951	1.77103	0.02118035	7.317223	1.77103
205.5475	1.76989	0.01726662	6.586246	1.76989
205.6999	1.773042	0.01569198	6.508591	1.773042
205.8523	1.783457	0.01407135	7.708612	1.783457
206.0047	1.797649	0.01026801	10.09015	1.797649
206.1571	1.806722	0.007919662	11.83575	1.806722
206.3095	1.805255	0.005747258	11.7081	1.806407
206.4619	1.798922	0.002179118	11.22763	1.789259
206.6143	1.798271	0.001958509	11.02761	1.788394
206.7667	1.79946	0.004604862	11.04221	1.800633
206.9191	1.796193	0.005678413	10.81523	1.796193
207.0715	1.793335	0.006761749	10.26539	1.793335
207.2239	1.78968	0.007423367	9.769944	1.78968
207.3763	1.784471	0.005951174	10.01667	1.784471
207.5287	1.782704	0.003876169	11.70305	1.782389
207.6811	1.788296	0.002023904	13.70031	1.785817
207.8335	1.797958	-0.0001174454	14.69626	1.796967
207.9859	1.806715	-0.001899483	14.01546	1.823758
208.1383	1.813379	-0.002194521	13.18529	1.840446
208.2907	1.817443	-0.002058095	12.66251	1.835881
208.4431	1.821228	-0.001295437	12.86618	1.809704
208.5955	1.821082	-0.0007840364	13.19988	1.800935
208.7479	1.818026	-0.0005796847	14.67373	1.817405
208.9003	1.804932	-0.0004143829	13.56481	1.83402
209.0527	1.779757	-0.0001120908	10.18692	1.834658
209.2051	1.749051	-0.0003238576	7.544169	1.750901
209.3575	1.732865	0.001766785	6.452529	1.684163
209.5099	1.738681	0.007394078	6.921705	1.7194
209.6623	1.750498	0.01065784	8.446853	1.750498
209.8147	1.763204	0.009857231	11.02107	1.763387
209.9671	1.781534	0.008290489	14.14533	1.781042
210.1195	1.80065	0.008223246	15.83462	1.800405
210.2719	1.81074	0.007879144	15.33797	1.81074
210.4243	1.811813	0.006004595	13.74063	1.809435
210.5767	1.813562	0.004986272	12.48748	1.812803
210.7291	1.814742	0.004591275	11.12929	1.814475
210.8815	1.815987	0.003635494	10.826	1.816799
211.0339	1.819201	0.002668235	10.84569	1.821649
211.1863	1.82374	0.002315337	11.37572	1.815193
211.3387	1.824544	0.002482484	11.83264	1.829354
211.4911	1.826016	0.004060936	10.08483	1.828138
211.6435	1.82293	0.00483941	9.915736	1.82293
211.7959	1.819114	0.005555955	11.29838	1.819114
211.9483	1.80386	0.006263734	13.60305	1.80386
212.1007	1.789416	0.00747676	15.68313	1.789416
212.2531	1.779423	0.008114804	12.66514	1.779423
212.4055	1.785781	0.01139187	9.984776	1.785781
212.5579	1.791802	0.01449454	6.719419	1.791802
212.7103	1.789751	0.01411835	5.319859	1.789751
212.8627	1.787444	0.01798661	5.485609	1.787444
213.0151	1.787547	0.01683738	7.30471	1.787547
213.1675	1.794499	0.01437035	10.64702	1.794499
213.3199	1.80583	0.0140037	13.68073	1.80583
213.4723	1.805079	0.009509864	14.64663	1.805079
213.6247	1.799677	0.007303639	16.19636	1.804264
213.7771	1.789149	0.005547567	13.64897	1.785644
213.9295	1.781987	0.004518973	8.697341	1.787218
214.0819	1.770066	0.004831798	7.724507	1.770469
214.2343	1.765506	0.003745409	7.759429	1.762379
214.3867	1.765967	0.003069812	9.74254	1.76276
214.5391	1.773128	0.001215761	8.796797	1.77439
214.6915	1.774565	-0.0004374601	8.44122	1.796976
214.8439	1.772344	-0.004762033	8.626123	1.769801
214.9963	1.772822	-0.006858377	10.96891	1.780907
215.1487	1.775192	-0.005708075	11.28372	1.800119
215.3011	1.780461	-0.003109831	8.46386	1.800111
215.4535	1.79301	0.001888296	5.694083	1.79301
215.6059	1.809835	0.0129106	4.782538	1.809835
215.7583	1.824726	0.02425591	4.968925	1.824726
215.9107	1.834718	0.03262009	5.234812	1.834718
216.0631	1.843609	0.03765284	5.872426	1.843609
216.2155	1.852197	0.03876728	7.318548	1.852197
216.3679	1.843055	0.02145988	9.757072	1.843055
216.5203	1.836443	0.01628637	12.23515	1.836443
216.6727	1.829637	0.01259813	13.88593	1.829637
216.8251	1.815645	0.00649284	15.18199	1.815645
216.9775	1.814816	0.005318946	14.26906	1.814816
217.1299	1.813954	0.006888112	9.264518	1.813954
217.2823	1.819317	0.00702716	7.615992	1.819317
217.4347	1.824095	0.006228155	7.29246	1.824095
217.5871	1.834818	0.005410105	8.844732	1.834818
217.7395	1.841154	0.00505246	8.695234	1.843413
217.8919	1.846052	0.004202359	8.488455	1.86318
218.0443	1.844328	0.002081477	8.338683	1.862461
218.1967	1.841653	0.0000106	9.010159	1.823231
218.3491	1.835273	0.001035314	9.807546	1.836838
218.5015	1.827183	0.003355586	7.996394	1.841165
218.6539	1.823961	0.004440377	6.349474	1.823961
218.8063	1.819033	0.005789464	4.992739	1.819033
218.9587	1.814806	0.006668042	4.774235	1.814806
219.1111	1.810496	0.007354196	4.74074	1.810496
219.2635	1.80892	0.008122657	4.739292	1.80892
219.4159	1.81102	0.009721228	4.821318	1.81102
219.5683	1.807022	0.008423437	4.879179	1.807022
219.7207	1.806944	0.007762023	5.637396	1.806944
219.8731	1.800069	0.008257314	6.51822	1.800069
220.0255	1.79235	0.007716272	7.138506	1.79235
220.1779	1.785678	0.007399847	6.401203	1.785678
220.3303	1.790892	0.006933222	6.174605	1.790892
220.4827	1.797379	0.00605207	6.456052	1.797379
220.6351	1.805515	0.005649526	7.387581	1.805515
220.7875	1.80432	0.003551149	7.446569	1.80432
220.9399	1.804985	0.002422355	6.883454	1.804985
