HOLE:	U1513A
EXPEDITION:	369
TOP:	0.1627
BOTTOM:	289.4179
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	m3/m3
0.1627	6.532506	2.700993	0.06111491	0.4910339	0.4257832	-0.0008107997
0.3151	7.173547	3.150057	0.07630485	0.5416418	0.4185981	-0.0008107997
0.4675	9.006047	3.34304	0.08161585	0.5708984	0.6477106	-0.0008107997
0.6199	11.16537	3.918724	0.09339394	0.6832554	0.8713667	-0.0008107997
0.7723	10.78252	4.367384	0.08570638	0.8748951	0.7481983	-0.0008107997
0.9247	9.604453	3.303252	0.0624176	0.6765691	0.7514737	-0.0008107997
1.0771	8.10298	3.486886	0.06069368	0.7462282	0.5568875	-0.0008107997
1.2295	11.23932	4.043798	0.072284	0.8537107	0.927584	-0.0008107997
1.3819	11.69806	4.877274	0.05795114	1.210038	0.9396095	-0.0008107997
1.5343	11.40837	5.104179	0.07719278	1.164241	0.9174111	-0.0008107997
1.6867	8.081624	3.544048	0.05103697	0.8241855	0.6909745	-0.0008107997
1.8391	6.576633	2.543159	0.03560807	0.597689	0.5763248	-0.0008107997
1.9915	6.015146	2.824264	0.04760997	0.613984	0.4768686	-0.0008107997
2.1439	5.113049	2.937898	0.04987524	0.63653	0.3225234	-0.0008107997
2.2963	4.505681	2.847707	0.04256725	0.652634	0.2648592	-0.0008107997
2.4487	3.326095	1.944513	0.04274299	0.3612524	0.2310848	-0.0008107997
2.6011	2.661602	2.242654	0.04001754	0.4738953	0.08983763	-0.0008107997
2.7535	1.693081	1.188212	0.02418402	0.2326826	0.09651311	-0.0008107997
2.9059	2.480408	2.358848	0.04663148	0.4704314	0.04705353	-0.0008107997
3.0583	2.159448	1.947263	0.05355203	0.2954413	0.01705492	-0.0008107997
3.2107	2.294669	1.859812	0.04287365	0.3332224	0.04516543	-0.0008107997
3.3631	1.696001	1.508364	0.04055579	0.2345645	0.01349657	-0.0008107997
3.5155	2.811018	2.211149	0.06408127	0.3152886	0.07368591	-0.0008107997
3.6679	4.289518	2.232284	0.05123105	0.4013713	0.30292	-0.0008107997
3.8203	4.099367	1.96448	0.04621407	0.3462524	0.3237894	-0.0008107997
3.9727	3.770623	1.566888	0.02963955	0.3207315	0.3555024	-0.0008107997
4.1251	3.723201	1.401389	0.02548905	0.2931479	0.3680005	-0.0008107997
4.2775	4.581407	1.865217	0.05138566	0.2824379	0.3868462	-0.0008107997
4.4299	5.555142	3.043456	0.08096757	0.4786085	0.3345383	-0.0008107997
4.5823	5.41277	3.089213	0.08005634	0.4989378	0.3205371	-0.0008107997
4.7347	5.523032	2.883485	0.07947008	0.4364317	0.382749	-0.0008107997
4.8871	5.332137	3.135744	0.09045293	0.4497434	0.3377736	-0.0008107997
5.0395	5.276291	2.800347	0.07451025	0.4403142	0.3969399	-0.0008107997
5.1919	5.489891	3.218629	0.0813261	0.532699	0.3563534	-0.0008107997
5.3443	5.762275	3.423276	0.08735269	0.5612891	0.3475334	-0.0008107997
5.4967	5.379198	3.484253	0.09333415	0.5439805	0.2766148	-0.0008107997
5.6491	5.249689	3.32961	0.09601664	0.4777243	0.2316894	-0.0008107997
5.8015	4.678793	2.964518	0.08154339	0.449684	0.1947474	-0.0008107997
5.9539	5.389263	3.483181	0.09504969	0.53305	0.2327315	-0.0008107997
6.1063	6.186894	3.266732	0.08974711	0.4961996	0.3704041	-0.0008107997
