HOLE:	U1513A
EXPEDITION:	369
TOP:	0.0646
BOTTOM:	291.6055
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	m3/m3
0.0646	2.464762	0.8382629	0.02599239	0.1077095	0.2357049	-0.006439711
0.2169	3.74369	1.583998	0.04382522	0.2361721	0.3256893	-0.006439711
0.3693	4.810509	1.999277	0.05939713	0.2729018	0.4093978	-0.006439711
0.5217	6.090658	2.177197	0.06225655	0.3121605	0.5385172	-0.006439711
0.6741	6.519211	2.106009	0.0540747	0.3398776	0.6123687	-0.006439711
0.8265	7.180815	2.477511	0.0586508	0.4304543	0.6626644	-0.006439711
0.9789	6.301439	2.213176	0.04334174	0.4403772	0.5859178	-0.006439711
1.1313	6.259003	1.853215	0.02545451	0.4356256	0.6222407	-0.006439711
1.2837	5.927325	1.914304	0.02750089	0.4425361	0.585041	-0.006439711
1.4361	5.893781	2.423777	0.03055976	0.5865992	0.5233054	-0.006439711
1.5885	5.635328	2.698385	0.03832423	0.6265138	0.4478461	-0.006439711
1.7409	5.679467	3.778357	0.04508974	0.9301628	0.3015696	-0.006439711
1.8933	4.999152	3.488776	0.04530855	0.8362016	0.2542441	-0.006439711
2.0457	4.164177	3.046073	0.02800028	0.8014143	0.1890011	-0.006439711
2.1981	2.652203	2.251241	0.02557857	0.5621565	0.09119131	-0.006439711
2.3505	2.847788	3.011076	0.03753338	0.7313994	0.0009994808	-0.006439711
2.5029	2.615786	2.804402	0.0349453	0.6812707	0.003669876	-0.006439711
2.6553	2.579008	3.261885	0.04807862	0.7465456	-0.0603076	-0.006439711
2.8077	1.938603	3.189913	0.04674749	0.7317412	-0.1358914	-0.006439711
2.9601	1.145233	2.050831	0.03079229	0.4658923	-0.1201772	-0.006439711
3.1125	0.7147969	1.190677	0.02098185	0.251334	-0.06111662	-0.006439711
3.2649	0.9004166	1.420412	0.02382362	0.3072729	-0.07272871	-0.006439711
3.4173	1.625617	2.006278	0.03609087	0.4189492	-0.05012399	-0.006439711
3.5697	2.239568	2.584185	0.0444353	0.5522864	-0.05863553	-0.006439711
3.7221	2.62372	2.781074	0.05835307	0.5293787	-0.01429319	-0.006439711
3.8745	2.617702	2.740363	0.05837745	0.5162092	-0.006621573	-0.006439711
4.0269	2.934479	2.685662	0.05936418	0.4926269	0.03040503	-0.006439711
4.1793	2.737284	2.468788	0.05915843	0.4245366	0.02644887	-0.006439711
4.3317	2.94046	2.305575	0.05345584	0.4075243	0.07515119	-0.006439711
4.4841	2.477921	2.027908	0.04537641	0.3685747	0.04204774	-0.006439711
4.6365	2.588294	1.492023	0.03930429	0.2346568	0.1417567	-0.006439711
4.7889	2.315747	1.281074	0.03456391	0.1964417	0.1202365	-0.006439711
4.9413	2.65312	1.562599	0.04147927	0.2438095	0.1266446	-0.006439711
5.0937	2.586219	1.848905	0.05431242	0.256191	0.06557192	-0.006439711
5.2461	2.963084	2.403663	0.06758235	0.3517335	0.0459523	-0.006439711
5.3985	2.804972	2.086256	0.05331224	0.3382718	0.05342251	-0.006439711
5.5509	3.78739	2.525201	0.06245662	0.4222307	0.1275151	-0.006439711
5.7033	3.480613	2.235559	0.05368324	0.383732	0.1456125	-0.006439711
5.8557	3.602174	2.287907	0.05618694	0.3850251	0.1615485	-0.006439711
6.0081	2.773514	1.669545	0.04064963	0.2831312	0.1452242	-0.006439711
6.1605	2.852722	1.438772	0.04196971	0.2011804	0.1894896	-0.006439711
6.3129	3.379689	1.974982	0.05791397	0.2742895	0.1683164	-0.006439711
6.4653	4.466499	2.481581	0.0642512	0.3972071	0.2497578	-0.006439711
6.6177	4.615119	2.376738	0.06423894	0.3637511	0.2982157	-0.006439711
6.7701	4.389672	2.501395	0.06220648	0.4161587	0.266239	-0.006439711
6.9225	3.289176	2.011595	0.0607358	0.2685863	0.1763554	-0.006439711
7.0749	3.03626	1.890943	0.05825282	0.2453205	0.164148	-0.006439711
7.2273	3.346358	2.470774	0.06204185	0.4073822	0.1324133	-0.006439711
7.3797	3.791718	2.680328	0.07157331	0.4155892	0.1733816	-0.006439711
7.5321	4.570732	3.227406	0.08249474	0.5231664	0.2142658	-0.006439711
7.6845	4.452829	3.151707	0.08125405	0.5066118	0.1882319	-0.006439711
7.8369	4.163236	2.9913	0.07968232	0.4650086	0.1706805	-0.006439711
7.9893	4.247736	2.68148	0.07043068	0.4230081	0.2367811	-0.006439711
8.1417	4.017728	2.528012	0.07206542	0.3638388	0.2322461	-0.006439711
8.2941	4.733488	3.086139	0.08376963	0.47012	0.2362186	-0.006439711
8.4465	3.671348	1.756487	0.04911631	0.2586951	0.2833509	-0.006439711
8.5989	3.630565	0.9869278	0.01470556	0.2249006	0.3879545	-0.006439711
8.7513	2.345976	0.5206939	0.003756191	0.143351	0.2710777	-0.006439711
8.9037	2.005354	0.30645	0.009952153	0.03660041	0.23517	-0.006439711
9.0561	1.328349	0.3794284	0.01051973	0.0564383	0.1234319	-0.006439711
9.2085	1.063178	0.3328321	0.009325896	0.04890226	0.09185596	-0.006439711
9.3609	1.43334	0.4096809	0.01390952	0.04519764	0.1320794	-0.006439711
9.5133	1.443051	0.345064	0.01135495	0.04029446	0.141982	-0.006439711
9.6657	1.899075	0.3166673	0.01086068	0.03426252	0.1948965	-0.006439711
9.8181	1.977883	0.5446447	0.01359825	0.09028272	0.1700584	-0.006439711
9.9705	2.576324	0.8765591	0.0171549	0.1744896	0.2324562	-0.006439711
10.1229	3.204799	1.929974	0.03647003	0.392213	0.159972	-0.006439711
10.2753	3.284365	2.05531	0.03860885	0.4191004	0.1798834	-0.006439711
10.4277	3.807608	2.576082	0.05820903	0.4647143	0.1791844	-0.006439711
10.5801	4.404782	2.702842	0.06211211	0.4811718	0.2534654	-0.006439711
10.7325	4.670019	2.644289	0.04986916	0.5379885	0.3353313	-0.006439711
10.8849	4.513268	2.700984	0.05528874	0.52268	0.3140887	-0.006439711
11.0373	4.095511	2.498017	0.04573556	0.516713	0.2922968	-0.006439711
11.1897	3.642779	2.521675	0.04620878	0.5213593	0.2067665	-0.006439711
11.3421	3.276822	2.642721	0.05722135	0.4921209	0.1339784	-0.006439711
11.4945	2.321157	2.111288	0.038993	0.434632	0.07022126	-0.006439711
11.6469	2.254791	2.074978	0.03989106	0.4174785	0.05429811	-0.006439711
11.7993	1.578822	1.279861	0.02148917	0.2767281	0.06598137	-0.006439711
11.9517	1.609733	1.496958	0.0285831	0.3023879	0.01791197	-0.006439711
12.1041	1.743943	1.671066	0.0279866	0.3617509	0.006953198	-0.006439711
12.2565	2.173785	2.036226	0.03156481	0.4564568	0.01783176	-0.006439711
12.4089	1.831351	1.583892	0.02457873	0.3548982	0.02425677	-0.006439711
