HOLE:	U1513A
EXPEDITION:	369
TOP:	193.8127
BOTTOM:	292.4154
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	m3/m3
193.8127	19.5044	17.38785	0.3578287	3.387156	0.3927236	0.002272087
193.9651	19.50465	17.38791	0.3578304	3.387166	0.3927394	0.002272087
194.1175	20.58137	17.64343	0.3648761	3.425929	0.4594827	0.002272087
194.2699	23.29259	20.73602	0.4533978	3.874883	0.3967909	0.002272087
194.4223	21.51029	19.29762	0.3687269	3.934502	0.3055702	0.002272087
194.5747	22.42134	20.30073	0.378001	4.2001	0.2969292	0.002272087
194.7271	21.62868	20.26338	0.4084449	4.000245	0.14047	0.002272087
194.8795	21.37907	20.32973	0.447588	3.780082	0.07277705	0.002272087
195.0319	19.68996	18.50292	0.3809295	3.603541	0.05349308	0.002272087
195.1843	20.44084	19.29842	0.4168097	3.638128	0.120636	0.002272087
195.3367	20.25455	18.31922	0.3698421	3.612839	0.208292	0.002272087
195.4891	20.99294	17.70748	0.3406205	3.596297	0.3107582	0.002272087
195.6415	18.67301	15.86521	0.2985821	3.262864	0.2559453	0.002272087
195.7939	18.31132	16.06365	0.3112421	3.248593	0.2036687	0.002272087
195.9463	17.7191	14.57191	0.2997682	2.839361	0.3655632	0.002272087
196.0987	18.20674	14.83147	0.3416059	2.664716	0.3828892	0.002272087
196.2511	18.33467	13.29672	0.3081165	2.377482	0.5338796	0.002272087
196.4035	19.01846	14.10929	0.3127279	2.610473	0.5944617	0.002272087
196.5559	20.78734	15.44538	0.2705652	3.300528	0.7322726	0.002272087
196.7083	20.28549	14.98209	0.2816049	3.083319	0.7894658	0.002272087
196.8607	19.7212	15.64353	0.3172984	3.075898	0.6094577	0.002272087
197.0131	19.34808	16.09624	0.3270077	3.161642	0.5178633	0.002272087
197.1655	20.23069	18.2295	0.3923777	3.444705	0.3977003	0.002272087
197.3179	18.86872	16.5731	0.3709874	3.043682	0.3904433	0.002272087
197.4703	18.63153	16.02681	0.3526788	2.980865	0.4498578	0.002272087
197.6227	18.23093	15.20341	0.3100015	2.979246	0.5081217	0.002272087
197.7751	18.72758	15.31682	0.2882078	3.150225	0.6065265	0.002272087
197.9275	20.59937	16.29852	0.3044509	3.365889	0.8336414	0.002272087
198.0799	21.91269	15.62991	0.2686767	3.371504	1.064289	0.002272087
198.2323	22.85877	15.73129	0.3054327	3.177353	1.112423	0.002272087
198.3847	21.98292	16.34575	0.271867	3.582213	0.8974496	0.002272087
198.5371	22.46956	17.22408	0.2775594	3.82975	0.8659644	0.002272087
198.6895	24.9233	19.35883	0.3209237	4.249134	0.9178523	0.002272087
198.8419	25.29434	19.38304	0.3233425	4.242031	1.016577	0.002272087
198.9943	24.97548	19.56643	0.3299843	4.260087	0.9159443	0.002272087
199.1467	24.16931	20.47177	0.3391066	4.495158	0.6983064	0.002272087
199.2991	23.69392	20.88888	0.3644349	4.473119	0.5237644	0.002272087
199.4515	22.18939	19.74598	0.3735841	4.048938	0.4331048	0.002272087
199.6039	19.63141	18.00401	0.3592751	3.576712	0.2590251	0.002272087
199.7563	17.34897	17.39833	0.3586144	3.385954	0.029926	0.002272087
199.9087	16.81194	17.1261	0.3196968	3.538536	0.008944468	0.002272087
200.0611	16.56348	15.18533	0.3130612	2.954978	0.2012304	0.002272087
200.2135	17.10704	14.87861	0.3109857	2.869153	0.3178561	0.002272087
200.3659	16.79661	14.12677	0.2783138	2.828859	0.3938469	0.002272087
200.5183	17.98236	15.74455	0.2846804	3.310272	0.3278315	0.002272087
200.6707	18.27736	16.88273	0.3122968	3.50625	0.2550807	0.002272087
200.8231	19.40855	16.95784	0.3277634	3.435101	0.3928564	0.002272087
200.9755	19.28215	17.81251	0.3305462	3.693081	0.251045	0.002272087
201.1279	18.3674	16.27399	0.312455	3.309608	0.3318766	0.002272087
