HOLE:	U1513A
EXPEDITION:	369
TOP:	82.3580
BOTTOM:	283.9832
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
82.3580	0.6748415	0.868688	0.5599937	0.6915836	0.7415698	0.2124818	0.7181305
82.5104	1.292961	1.293814	1.21199	1.276384	1.192021	0.3535393	1.065124
82.6628	1.262669	1.288187	1.304036	1.354254	1.256904	0.3526728	1.285321
82.8152	2.12906	1.954468	1.924882	1.881337	1.695436	0.3703312	1.446558
82.9676	1.733254	1.291328	1.281755	1.260782	1.125002	0.4060511	0.5502341
83.1200	1.109165	0.5091799	0.586947	0.756583	0.906199	0.4595253	0.6561986
83.2724	0.516325	9419.63	0.1491359	0.319714	0.4969971	0.531583	0.1404883
83.4248	1.041554	1.214988	0.9871306	1.102461	1.130365	0.5686387	1.152487
83.5772	1.532332	1.609935	1.743196	1.77297	1.692418	0.5612049	1.841492
83.7296	14289.24	14043.79	0.2428907	0.3596809	0.3397316	0.5157865	0.3666733
83.8820	1.473382	1.500851	1.576844	1.645465	1.089453	0.5305315	1.029083
84.0344	1.08733	1.235244	1.346905	1.472659	0.9729922	0.5693188	1.229714
84.1868	0.8718233	0.9842319	1.111066	1.249267	1.28725	0.5674902	1.46576
84.3392	1.067102	1.122733	1.23794	1.31488	1.142557	0.5455747	1.226506
84.4916	1.264461	1.316449	1.408869	1.474701	1.040916	0.5234021	1.125695
84.6440	1.490231	1.51801	1.586096	1.623039	1.233721	0.4848573	1.22023
84.7964	2.958964	2.579606	2.422004	2.375999	1.907592	0.4780341	1.028811
84.9488	1.111572	1.187503	1.279747	1.361879	1.299011	0.5070766	1.480968
85.1012	1.603652	1.595421	1.65076	1.767023	1.424671	0.5087886	1.546104
85.2536	1.22057	1.326078	1.489411	1.53574	1.402633	0.548871	1.601244
85.4060	1.774778	1.662844	1.685733	1.624095	1.682801	0.5450155	1.668426
85.5584	1.554687	1.675193	1.745659	1.850348	1.218842	0.5651757	1.324116
85.7108	1.425462	1.427333	1.603409	1.664179	0.5173352	0.5536816	0.1053105
85.8632	0.9142156	1.088863	1.234185	1.336147	1.458954	0.5267393	1.728574
86.0156	0.9955218	1.096338	1.228562	1.318194	1.446502	0.5080504	1.666097
86.1680	1.260176	1.340298	1.420956	1.47564	1.595793	0.4950178	1.770644
86.3204	1.179595	1.290262	1.384728	1.477296	1.619152	0.4881255	1.818743
86.4728	1.400273	1.468899	1.564611	1.617267	1.742184	0.4828713	1.901365
86.6252	1.118649	1.245313	1.337533	1.403815	1.540713	0.4967919	1.742464
86.7776	1.392483	1.465481	1.541528	1.614568	1.724974	0.5000914	1.892607
86.9300	2.66441	2.415686	2.402546	2.359983	2.394337	0.4890105	2.253876
87.0824	0.2598584	0.4578461	0.6196738	0.7942128	1.028293	0.490916	1.370593
87.2348	2.018559	1.979659	1.973145	2.03594	2.064974	0.4871975	2.033865
87.3872	97597.57	0.2062471	0.2782382	0.5577009	0.8204797	0.5113624	0.00899782
87.5396	1.516077	1.592993	1.614608	1.732142	1.836954	0.5097454	1.901152
87.6920	1.926041	1.910917	1.955675	1.95349	2.053164	0.4970518	2.052669
87.8444	1.242614	1.30713	1.444377	1.511768	1.592007	0.5227864	1.897304
87.9968	1.627559	1.668716	1.740702	1.788245	1.892868	0.5249004	2.003289
88.1492	1.241257	1.424361	1.505585	1.587987	1.724361	0.512091	1.907959
88.3016	1.082323	1.177522	1.322414	1.404276	1.569674	0.5120626	1.785334
88.4540	1.382677	1.487001	1.586182	1.637398	1.749321	0.5073544	1.914083
88.6064	1.465643	1.490281	1.592957	1.650783	1.677251	0.4920885	1.780707
88.7588	2.198614	2.060091	2.084595	2.110439	2.085954	0.4872488	2.101499
88.9112	1.161141	1.316004	1.392948	1.474146	1.600249	0.5104659	1.894783
89.0636	1.290879	1.422013	1.488332	1.528602	1.619804	0.5148742	1.767963
89.2160	1.397926	1.455974	1.562656	1.589349	1.698367	0.5257728	1.849333
89.3684	1.392797	1.510435	1.645845	1.660832	1.77934	0.5306768	1.987316
89.5208	1.365361	1.569817	1.710005	1.750432	1.935549	0.5475916	2.159843
89.6732	0.9377304	1.166561	1.334098	1.489715	1.766253	0.5611024	2.104529
89.8256	1.42871	1.554862	1.583014	1.667982	1.85268	0.5388603	2.036394
89.9780	1.250955	1.299076	1.395476	1.452632	1.608184	0.5419099	1.697054
90.1304	1.395414	1.469138	1.546855	1.596472	1.759302	0.5325114	1.861363
90.2828	2.26616	2.295278	2.32014	2.399184	2.474231	0.5261431	2.511461
90.4352	2.416604	2.38072	2.375014	2.422558	2.498932	0.5452692	2.481938
90.5876	1.98638	2.000503	2.059605	2.169626	2.297972	0.5631568	2.385469
90.7400	1.940243	1.967501	2.037834	2.103886	2.270301	0.5614414	2.360017
90.8924	2.436896	2.363773	2.38053	2.43535	2.55137	0.5526292	2.506832
91.0448	1.917648	1.963209	2.041053	2.086386	2.271441	0.5610477	2.376128
91.1972	1.472376	1.559976	1.662833	1.791408	1.95962	0.5654277	2.144931
91.3496	2.370717	2.426925	2.452578	2.450598	2.608526	0.5506115	2.641191
91.5020	2.307828	2.23704	2.275733	2.342197	2.422469	0.5541158	2.395017
91.6544	1.025078	1.304088	1.45564	1.588155	1.821347	0.5760853	2.319335
91.8068	1.887514	1.928209	1.958251	2.033219	2.216661	0.5640599	2.283715
91.9592	2.021839	2.076045	2.122443	2.196277	2.345282	0.5590464	2.449049
92.1116	1.979553	2.004954	2.057571	2.091883	2.24837	0.5674868	2.301172
92.2640	1.424784	1.48926	1.557417	1.609192	1.720462	0.5841979	1.831904
92.4164	1.757632	1.747169	1.798185	1.843284	1.953553	0.5847377	1.976508
92.5688	1.763439	1.777353	1.824408	1.862479	1.977169	0.5850473	2.013064
92.7212	1.551849	1.610998	1.670468	1.717249	1.846493	0.586937	1.948077
92.8736	1.69681	1.740411	1.808855	1.852226	1.995097	0.5789536	2.095323
93.0260	1.49719	1.536866	1.60295	1.657618	1.797616	0.5700494	1.890646
93.1784	1.520538	1.55918	1.621254	1.673023	1.799527	0.5551342	1.889811
93.3308	1.510231	1.561525	1.612119	1.654343	1.765399	0.5423493	1.798306
93.4832	1.713818	1.690374	1.749571	1.774171	1.956841	0.536954	1.972118
93.6356	1.743947	1.760657	1.774885	1.831549	1.916093	0.5459624	1.942802
93.7880	1.40462	1.437225	1.553902	1.640962	1.78504	0.5612021	1.920746
93.9404	2.188887	2.121905	2.120227	2.152665	2.217532	0.5635043	2.175144
94.0928	1.741293	1.765519	1.846286	1.867498	2.016065	0.5566007	2.050931
94.2452	1.611604	1.724938	1.842541	1.878921	2.029289	0.5407666	2.192585
94.3976	1.733529	1.762759	1.793756	1.819585	1.897084	0.5253857	1.931364
94.5500	1.208183	1.3733	1.458407	1.554234	1.707055	0.4955217	1.836309
94.7024	1.527375	1.638329	1.72858	1.780529	1.878904	0.4592801	2.050737
94.8548	2.024226	2.105894	2.192409	2.20789	2.289654	0.4362015	2.401897
95.0072	1.721015	1.772774	1.836784	1.882528	1.957995	0.4247907	2.055085
95.1596	1.956617	2.022415	2.097806	2.14747	2.222325	0.4108661	2.338964
95.3120	1.773091	1.875615	1.950475	2.02882	2.127848	0.4102368	2.298036
95.4644	1.914919	1.927346	1.977884	1.989206	2.037807	0.4012807	2.044718
95.6168	1.983159	2.034848	2.10624	2.140518	2.210551	0.3835575	2.294431
95.7692	1.66598	1.741505	1.788251	1.811284	1.877576	0.3799772	1.966323
95.9216	1.690674	1.816934	1.884938	1.865062	1.964649	0.3754002	2.058055
96.0740	1.738753	1.861371	1.906112	1.904166	1.951319	0.3825083	2.077279
96.2264	1.671979	1.756826	1.81924	1.86632	1.90588	0.3961601	2.027286
96.3788	1.661447	1.719688	1.806524	1.834257	1.922392	0.4027832	2.032616
96.5312	1.600851	1.702758	1.775635	1.806345	1.883306	0.4144177	2.030865
96.6836	1.723522	1.782783	1.83645	1.870239	1.933735	0.4263242	2.016299
96.8360	1.79066	1.832016	1.899597	1.933246	1.983694	0.4425783	2.058947
96.9884	1.665756	1.729217	1.834129	1.865977	1.969241	0.4684416	2.085648
97.1408	1.905761	1.958596	2.053647	2.105256	2.187849	0.5061011	2.312329
97.2932	1.924573	2.006608	2.091032	2.140574	2.214244	0.5528685	2.362347
97.4456	1.649612	1.829355	1.972735	2.038338	2.176396	0.5828246	2.471457
97.5980	2.40728	2.604867	2.853103	2.989684	3.158105	0.5738437	3.587259
97.7504	2.062078	2.141205	2.285451	2.383819	2.485091	0.5694129	2.649309
97.9028	2.048829	2.079515	2.186163	2.275155	2.327674	0.5502067	2.442709
98.0552	2.290051	2.176396	2.297291	2.362897	2.421639	0.52174	2.428189
98.2076	1.895915	1.934407	2.036241	2.119467	2.219878	0.4906377	2.333194
98.3600	1.880401	1.890421	1.968164	2.046352	2.130733	0.4473031	2.2072
98.5124	1.886986	2.013773	2.085979	2.12715	2.214456	0.4119636	2.395355
98.6648	1.864576	2.013689	2.084588	2.114941	2.20821	0.379689	2.380978
98.8172	1.895454	1.984626	2.058566	2.045558	2.132965	0.3642591	2.241259
98.9696	1.705663	1.836196	1.927259	1.930557	1.986952	0.3728959	2.167814
99.1220	1.773247	1.929179	2.022618	2.058501	2.134162	0.3832265	2.378754
99.2744	2.122029	2.324958	2.413302	2.457506	2.549191	0.3931964	2.813237
99.4268	2.167642	2.362943	2.453895	2.481568	2.559809	0.4072769	2.805853
99.5792	2.27177	2.51412	2.654821	2.693995	2.80347	0.4064918	3.128077
99.7316	2.488341	2.769746	2.890994	2.957177	3.070607	0.396493	3.423257
99.8840	1.921604	2.039209	2.116571	2.165176	2.248281	0.3926279	2.426248
100.0364	1.955433	1.975943	2.043425	2.072943	2.137775	0.3812349	2.183031
100.1888	2.24101	2.202048	2.233624	2.247464	2.300516	0.3693138	2.275346
100.3412	1.691947	1.758632	1.87537	1.916231	2.028375	0.3701763	2.179739
100.4936	1.766552	1.83117	1.93062	1.982999	2.075586	0.3693501	2.227569
100.6460	2.100323	2.07511	2.143896	2.154564	2.218297	0.3646082	2.212389
100.7984	1.958361	1.983963	2.049462	2.088498	2.168149	0.3647349	2.22385
100.9508	2.057558	2.052192	2.103769	2.135321	2.216752	0.3701946	2.237868
101.1032	1.983655	1.991352	2.036295	2.058122	2.118299	0.3844837	2.129487
101.2556	2.083937	2.203629	2.285637	2.337664	2.435085	0.397907	2.616562
101.4080	2.85848	3.255832	3.490857	3.588675	3.776647	0.3905964	4.335657
101.5604	2.488032	2.63205	2.712399	2.776506	2.871617	0.3874503	3.067948
101.7128	2.037595	2.107473	2.19995	2.23018	2.330499	0.3811001	2.462672
101.8652	1.900677	1.905842	1.974298	2.030457	2.129918	0.3608985	2.190558
102.0176	1.837788	1.975549	2.022091	2.075791	2.221334	0.3501926	2.379209
102.1700	1.85494	1.964284	2.044944	2.049187	2.15035	0.3480281	2.305719
102.3224	1.942936	2.147631	2.277425	2.312421	2.435088	0.3487487	2.734094
102.4748	1.793566	1.943357	2.098722	2.204955	2.339869	0.3502736	2.636694
102.6272	1.97329	2.047468	2.14998	2.231941	2.378332	0.3525999	2.568282
102.7796	2.041411	2.157683	2.300328	2.413622	2.606038	0.3563671	2.868881
102.9320	1.972236	2.06942	2.169926	2.27635	2.436487	0.355408	2.648688
103.0844	2.020025	2.212739	2.3546	2.50292	2.690592	0.3542811	3.032869
103.2368	1.740414	1.847822	1.947125	2.06375	2.20458	0.3544027	2.434364
103.3892	1.835787	1.956201	2.070946	2.183359	2.361378	0.346786	2.604873
103.5416	1.751965	1.854623	1.969639	2.023424	2.11705	0.3409244	2.313679
103.6940	1.654562	1.873826	1.993235	2.044051	2.156439	0.3397922	2.434934
103.8464	1.552709	1.753739	1.82357	1.848332	1.94498	0.3378276	2.159675
103.9988	1.658061	1.836428	1.897307	1.917354	1.990075	0.3341371	2.191576
104.1512	1.604347	1.776572	1.849558	1.867344	1.956908	0.334039	2.156825
104.3036	1.702062	1.828587	1.890838	1.911222	2.005351	0.3335633	2.169494
104.4560	1.767008	1.827596	1.892007	1.906118	1.989748	0.3332856	2.071713
104.6084	1.867909	1.897014	1.952533	1.972228	2.038982	0.3352081	2.087117
104.7608	1.859756	1.88776	1.956817	1.974934	2.049407	0.3420912	2.101236
104.9132	1.797396	1.854282	1.962761	2.019956	2.085387	0.3532752	2.239848
105.0656	2.121928	2.379643	2.655882	2.745221	2.93756	0.3582895	3.419229
105.2180	2.49991	2.732966	2.972679	3.063867	3.172956	0.3589963	3.603158
105.3704	2.33116	2.442673	2.561142	2.620538	2.669613	0.3666011	2.873451
105.5228	1.94241	2.049612	2.133862	2.151824	2.199466	0.3901089	2.345731
105.6752	1.922293	2.002137	2.065319	2.069055	2.128819	0.4140238	2.197109
105.8276	2.137855	2.179632	2.152112	2.132162	2.179832	0.455938	2.171798
105.9800	2.00934	2.067257	2.111364	2.091351	2.173372	0.5226691	2.218158
106.1324	2.639186	2.720742	2.914632	2.922148	3.034741	0.5572734	3.233415
106.2848	2.195604	2.104356	2.189451	2.204485	2.29587	0.5625805	2.218391
106.4372	4.238528	4.321475	4.439196	4.597564	4.714597	0.5462441	4.897676
106.5896	2.394362	2.416433	2.51392	2.565836	2.683439	0.5410398	2.743317
106.7420	2.796988	2.904658	3.006918	3.134355	3.218622	0.5140725	3.406343
106.8944	3.420643	3.39551	3.466029	3.521643	3.601269	0.4637312	3.596383
107.0468	2.451494	2.412311	2.473628	2.520428	2.601537	0.4386078	2.593817
107.1992	2.134793	2.115675	2.080003	2.112338	2.169316	0.4120446	2.124125
