HOLE:	U1513A
EXPEDITION:	369
TOP:	81.1413
BOTTOM:	284.1380
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
81.1413	0.8831589	0.7418094	0.9641487	1.277079	1.549418	0.4711888	1.90846
81.2937	0.948727	0.9333693	0.780972	0.8279403	0.7984809	0.2827052	0.6540043
81.4461	0.9209619	1.02009	1.01206	1.085261	1.051836	0.17144	1.153615
81.5985	0.9420564	0.9809563	1.052675	1.221594	1.260073	0.1408189	1.41521
81.7509	0.9378742	0.9426515	1.006863	1.053748	0.8943684	0.1438605	0.9440636
81.9033	0.7704471	0.7682881	0.8527306	0.9492161	1.002376	0.1563014	1.070652
82.0557	0.8737291	0.8231277	0.8774582	0.9352904	0.9665397	0.1066546	0.9803441
82.2081	1.06555	1.126095	1.015112	1.025671	1.007174	0.1073169	0.992847
82.3605	1.093099	1.026413	0.9408081	0.9317407	0.8646496	0.1022017	0.6753392
82.5129	1.070982	1.178638	1.269545	1.324798	1.261393	0.1070839	1.468611
82.6653	1.136485	1.231162	1.30687	1.384691	1.084327	0.1364896	1.251117
82.8177	1.048208	1.159203	1.250333	1.334305	0.9760301	0.1923066	1.159755
82.9701	1.126462	1.210937	1.291201	1.365812	1.039014	0.1913081	1.191574
83.1225	1.214614	1.314845	1.419339	1.486131	1.003396	0.1828493	1.103226
83.2749	1.114336	1.217495	1.303277	1.371131	0.9239155	0.1777115	1.019488
83.4273	1.038111	1.163777	1.250854	1.316028	0.8597443	0.171354	0.9563015
83.5797	1.071628	1.156851	1.258872	1.305692	0.7551436	0.16734	0.6278754
83.7321	0.9950482	1.151895	1.245354	1.323937	1.60212	0.161582	1.803663
83.8845	1.080392	1.213126	1.30876	1.373927	1.566144	0.1560941	1.771942
84.0369	0.9601474	1.088465	1.182191	1.245906	1.4322	0.1614061	1.626003
84.1893	1.167646	1.259068	1.344088	1.402694	1.574761	0.1552399	1.7495
84.3417	1.225862	1.317591	1.411907	1.485801	1.670562	0.1521655	1.866433
84.4941	1.105211	1.240294	1.336232	1.414976	1.593523	0.153323	1.811623
84.6465	1.129784	1.232582	1.319583	1.390543	1.545294	0.1622087	1.740826
84.7989	1.168977	1.29011	1.377159	1.449441	1.608116	0.1627882	1.814995
84.9513	1.076828	1.214461	1.316257	1.385201	1.556448	0.1608066	1.774246
85.1037	1.107881	1.223873	1.319699	1.377094	1.543107	0.164132	1.741264
85.2561	1.15282	1.276713	1.366823	1.436919	1.586349	0.1637773	1.795893
85.4085	1.087659	1.223674	1.314417	1.379979	1.542198	0.1652729	1.75529
85.5609	1.096617	1.218482	1.310838	1.387164	1.55533	0.1660236	1.760044
85.7133	1.022549	1.161708	1.263535	1.332196	1.501829	0.1669876	1.720244
85.8657	1.105846	1.250655	1.33258	1.395661	1.563611	0.164871	1.774291
86.0181	1.137289	1.247631	1.344108	1.404941	1.557895	0.1605006	1.756855
86.1705	1.138306	1.256464	1.331339	1.3974	1.542446	0.1604215	1.73471
86.3229	1.055463	1.170627	1.261855	1.319308	1.488115	0.1666253	1.679152
86.4753	1.006872	1.153948	1.244457	1.309206	1.47739	0.1679358	1.689592
86.6277	1.132404	1.219533	1.307047	1.357613	1.518312	0.1669761	1.689321
86.7801	1.145475	1.253201	1.340015	1.404134	1.561986	0.171038	1.754371
86.9325	1.11311	1.221156	1.307864	1.373954	1.549929	0.1756376	1.737484
87.0849	1.155423	1.274396	1.368602	1.425955	1.619	0.1748382	1.815264
87.2373	1.315747	1.433299	1.545082	1.620576	1.827819	0.1730204	2.047225
87.3897	1.190442	1.306421	1.396804	1.463669	1.649527	0.1885123	1.848064
87.5421	1.328279	1.469584	1.592738	1.678414	1.905344	0.1978778	2.153018
87.6945	1.339867	1.480735	1.598929	1.677779	1.904696	0.2262307	2.143468
87.8469	1.079962	1.201214	1.281814	1.338547	1.530786	0.2640237	1.713054
87.9993	1.306344	1.417042	1.494803	1.571355	1.748891	0.2912635	1.937464
88.1517	1.290936	1.39972	1.499265	1.575177	1.760466	0.3222223	1.962184
88.3041	1.328302	1.409351	1.51709	1.586466	1.768883	0.3502106	1.953851
88.4565	1.413069	1.515866	1.586411	1.67179	1.829707	0.3740327	2.010366
88.6089	1.335988	1.42393	1.506389	1.571024	1.732466	0.3994301	1.899321
88.7613	1.307019	1.359502	1.435287	1.494506	1.643444	0.4265245	1.777673
88.9137	1.316307	1.348119	1.440058	1.49793	1.648065	0.4516231	1.765436
89.0661	1.411028	1.454328	1.53923	1.608121	1.761516	0.4742628	1.867386
89.2185	1.426916	1.488873	1.542789	1.600595	1.736726	0.4954446	1.827011
89.3709	1.437378	1.470938	1.529825	1.587857	1.71478	0.5065187	1.821899
89.5233	1.437346	1.45933	1.514169	1.566649	1.685796	0.5138988	1.769855
89.6757	1.367735	1.389305	1.444599	1.493123	1.612569	0.516613	1.697538
89.8281	1.463088	1.486982	1.551548	1.598336	1.729259	0.5336767	1.824698
89.9805	1.427848	1.457382	1.512286	1.560704	1.685412	0.5520336	1.776826
90.1329	1.558387	1.571042	1.612309	1.659078	1.792998	0.5654518	1.843734
90.2853	1.520451	1.53945	1.604279	1.682276	1.822596	0.5640718	1.945143
90.4377	1.568367	1.574689	1.632771	1.677002	1.805877	0.5442604	1.86501
90.5901	1.531363	1.511006	1.56732	1.620018	1.741158	0.5298647	1.774885
90.7425	1.512733	1.502717	1.559361	1.618438	1.766179	0.5251724	1.821137
90.8949	1.656202	1.664774	1.705868	1.776243	1.916909	0.5198083	1.972567
91.0473	1.702463	1.719916	1.773007	1.841346	1.987375	0.5208431	2.061936
91.1997	1.368757	1.447476	1.55596	1.590069	1.8055	0.5222123	1.975049
91.3521	1.769957	1.766492	1.796838	1.888014	2.014861	0.5130303	2.058167
91.5045	1.681117	1.660164	1.712201	1.759039	1.881585	0.5066549	1.908484
91.6569	1.665829	1.651506	1.696132	1.758419	1.870014	0.500034	1.897258
91.8093	1.635696	1.643937	1.708061	1.761989	1.896116	0.4998868	1.965952
91.9617	1.974675	1.885462	1.890289	1.971118	2.049064	0.5090144	1.983652
92.1141	1.85153	1.747443	1.8001	1.823394	1.918652	0.5178372	1.842614
92.2665	2.036023	1.933692	1.978618	2.001314	2.122327	0.5163813	2.039912
92.4189	1.575091	1.632274	1.68319	1.707794	1.871606	0.5124439	1.922245
92.5713	1.901891	1.810237	1.845108	1.853999	1.944917	0.509457	1.880052
92.7237	2.004355	1.897091	1.8709	1.875887	1.93457	0.5043322	1.895882
92.8761	1.89864	1.809106	1.8116	1.831591	1.94321	0.5039293	1.861975
93.0285	1.837814	1.776792	1.793642	1.802361	1.9081	0.5069109	1.83771
93.1809	1.898164	1.829389	1.830629	1.827829	1.920617	0.5035866	1.86117
93.3333	1.796907	1.749153	1.781564	1.790227	1.887142	0.4882917	1.837267
93.4857	1.749461	1.725758	1.765787	1.77718	1.876578	0.4787253	1.854234
93.6381	1.704287	1.69957	1.748672	1.755796	1.859014	0.4799742	1.861136
93.7905	1.752057	1.717055	1.752223	1.766258	1.8668	0.4911262	1.830091
93.9429	1.883383	1.808951	1.819853	1.836225	1.912316	0.5143846	1.849798
94.0953	2.220501	2.085385	2.100488	2.114145	2.203599	0.5204013	2.136838
94.2477	2.22016	2.037485	2.058841	2.105807	2.157846	0.5163516	2.1045
94.4001	1.9611	1.87085	1.886028	1.950635	2.006935	0.5153512	1.940716
94.5525	1.854428	1.799842	1.814263	1.837612	1.893371	0.5058923	1.842798
94.7049	1.975124	1.983543	2.039735	2.062317	2.125991	0.4955255	2.138833
94.8573	1.810576	1.841758	1.856537	1.87228	1.921435	0.4979019	1.912568
95.0097	1.920622	1.914791	1.965251	1.979269	2.053381	0.5011994	2.040493
95.1621	2.021161	1.992861	2.016942	2.020714	2.088187	0.5079776	2.048506
95.3145	2.125926	2.0629	2.085338	2.078092	2.133116	0.5227755	2.097135
95.4669	1.970374	1.955902	1.996403	2.015722	2.068149	0.5271342	2.048858
95.6193	2.313223	2.298709	2.374931	2.41624	2.511918	0.5217864	2.52356
95.7717	2.060527	1.982621	2.0074	2.112174	2.148546	0.5205631	2.111893
95.9241	2.348187	2.280785	2.334056	2.393182	2.421529	0.5118807	2.386214
96.0765	2.074321	2.122211	2.141017	2.168235	2.194808	0.495609	2.198254
96.2289	1.954487	1.915732	1.96999	1.949595	1.998695	0.490465	1.960949
96.3813	2.097605	2.023983	2.072242	2.02047	2.071923	0.4853691	2.059483
96.5337	1.878785	1.878658	1.929084	1.902028	1.961626	0.4827147	1.951116
96.6861	1.891011	1.893528	1.94188	1.909211	1.97862	0.4794939	1.95111
96.8385	1.966993	1.91528	1.978637	1.954696	2.022912	0.4798818	1.980634
96.9909	1.945334	1.929868	1.992362	1.976969	2.041324	0.4958079	2.027254
97.1433	1.918357	1.89842	1.943615	1.923214	1.988938	0.5287652	1.95146
97.2957	2.22293	2.204405	2.238392	2.219973	2.299271	0.5469804	2.248004
97.4481	2.391175	2.48966	2.549106	2.574886	2.698439	0.583313	2.79301
97.6005	2.237086	2.045888	2.066674	2.076885	2.135434	0.6198569	2.055205
97.7529	2.338059	2.194981	2.192645	2.224505	2.292434	0.6276303	2.244294
97.9053	2.406126	2.294588	2.314417	2.290055	2.374881	0.6265574	2.324288
98.0577	3.243112	3.269243	3.242561	3.339573	3.434738	0.6110051	3.41782
98.2101	2.20791	2.170542	2.186613	2.267804	2.328199	0.6231027	2.310768
98.3625	2.15457	2.163694	2.212647	2.298525	2.365411	0.6196741	2.403342
98.5149	2.375464	2.379967	2.438911	2.511183	2.584576	0.626271	2.628032
98.6673	2.108939	2.120301	2.207804	2.271183	2.375507	0.643396	2.452083
98.8197	2.136347	2.172696	2.249802	2.336482	2.433182	0.6150442	2.53527
98.9721	2.114965	2.135168	2.206477	2.288012	2.370505	0.5724081	2.450198
99.1245	1.933458	1.96454	2.032955	2.121469	2.195204	0.5318145	2.289343
99.2769	1.706819	1.697123	1.779045	1.833526	1.949769	0.5017503	1.992578
99.4293	1.967528	1.974639	1.97704	2.05863	2.138322	0.4826976	2.142721
99.5817	1.830932	1.940442	1.947522	2.009215	2.110027	0.4760889	2.215186
99.7341	1.897133	1.967179	2.035501	2.073647	2.187329	0.480101	2.298823
99.8865	1.963859	2.007889	2.082267	2.095324	2.204838	0.4831702	2.271705
100.0389	2.107373	2.181374	2.288336	2.334855	2.479292	0.4841871	2.642387
100.1913	2.221234	2.320718	2.433396	2.494514	2.62722	0.4896687	2.835675
100.3437	2.184699	2.293125	2.404594	2.454786	2.587936	0.4945172	2.791964
100.4961	2.121599	2.19739	2.274237	2.283532	2.39919	0.5004184	2.494644
100.6485	2.072147	2.158875	2.244747	2.24536	2.358215	0.5101537	2.468974
100.8009	2.234761	2.281998	2.36309	2.454154	2.525955	0.5268661	2.639909
100.9533	2.684573	2.52811	2.548882	2.584884	2.630284	0.5490946	2.612441
101.1057	1.990825	1.938765	2.003699	2.062084	2.18061	0.594717	2.182379
101.2581	2.498801	2.489579	2.5616	2.646595	2.788471	0.6166157	2.824377
101.4105	2.921087	2.809352	2.862335	2.950579	3.105275	0.6062264	3.058356
101.5629	2.032283	1.960816	2.01102	2.114064	2.215164	0.6017249	2.208703
101.7153	2.000199	1.908452	1.942364	2.063872	2.153996	0.5633512	2.122581
101.8677	1.959865	1.892794	1.932065	2.06216	2.165164	0.5302466	2.167638
102.0201	1.919875	1.867442	1.928005	2.052919	2.156107	0.5227816	2.19226
102.1725	1.825029	1.831932	1.876812	2.016804	2.116381	0.5216753	2.20448
102.3249	1.80385	1.84788	1.910931	2.033247	2.156718	0.5345868	2.305054
102.4773	1.988263	2.038792	2.156501	2.258811	2.437481	0.5343313	2.61009
102.6297	1.928697	1.93483	2.011966	2.024899	2.130003	0.5257849	2.165594
102.7821	1.824127	1.893337	1.933827	1.976689	2.082816	0.5336561	2.167638
102.9345	1.659683	1.750534	1.809193	1.833816	1.937959	0.5382378	2.057458
103.0869	1.978882	1.946704	2.024337	2.017767	2.111289	0.5343403	2.091044
103.2393	2.029601	2.009334	2.081413	2.067196	2.158235	0.5411857	2.142631
103.3917	1.747479	1.802373	1.877844	1.880564	1.965701	0.5389687	2.043696
103.5441	1.814265	1.83916	1.914513	1.915271	2.014289	0.5215892	2.054764
103.6965	1.849252	1.850095	1.926706	1.937756	2.031587	0.5208536	2.060696
103.8489	2.133304	2.217931	2.305727	2.321246	2.468612	0.5080867	2.592647
104.0013	2.337088	2.394809	2.522405	2.579707	2.640504	0.5296155	2.785879
104.1537	1.85039	1.898636	1.962071	1.935011	2.023226	0.5864612	2.04133
