HOLE:	U1513A
EXPEDITION:	369
TOP:	193.6603
BOTTOM:	285.2526
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
193.6603	1.702427	1.672254	1.689994	1.712346	1.731507	0.3803674	1.703414
193.8127	1.701937	1.667947	1.700341	1.707013	1.725643	0.3796626	1.701629
193.9651	1.775286	1.71726	1.72923	1.744383	1.75484	0.3782173	1.741962
194.1175	1.761667	1.695905	1.719662	1.736945	1.75098	0.3780658	1.731379
194.2699	1.787988	1.707835	1.734468	1.744786	1.75646	0.3793331	1.742951
194.4223	1.770283	1.715771	1.742298	1.745014	1.760523	0.3812567	1.745481
194.5747	1.78389	1.739166	1.752429	1.768624	1.783911	0.3803686	1.764869
194.7271	1.828001	1.804018	1.849969	1.87038	1.894158	0.3796222	1.867011
194.8795	1.765771	1.697343	1.707968	1.728281	1.72681	0.3786577	1.717373
195.0319	1.770917	1.727966	1.729054	1.743084	1.741515	0.3764651	1.738742
195.1843	1.743086	1.69242	1.699627	1.723129	1.713926	0.3752428	1.71077
195.3367	1.714154	1.671785	1.686689	1.70265	1.695116	0.3753582	1.692662
195.4891	1.693045	1.664687	1.666576	1.678721	1.67579	0.3756121	1.673908
195.6415	1.70545	1.673632	1.667492	1.683773	1.68031	0.375643	1.680043
195.7939	1.693514	1.648247	1.660114	1.671411	1.667298	0.3762403	1.664847
195.9463	1.82391	1.767376	1.781961	1.803233	1.794654	0.3760545	1.791966
196.0987	1.753337	1.70362	1.724246	1.748246	1.739025	0.3762629	1.732464
196.2511	1.838333	1.79245	1.815613	1.843937	1.833053	0.376024	1.824199
196.4035	1.769429	1.760642	1.79117	1.808269	1.803273	0.3757446	1.790215
196.5559	1.822973	1.790405	1.809086	1.84641	1.834601	0.3742448	1.821602
196.7083	1.787941	1.762129	1.796146	1.824049	1.814537	0.372036	1.800035
196.8607	1.646891	1.618731	1.629071	1.652867	1.640663	0.3717466	1.637269
197.0131	1.596655	1.603935	1.616515	1.641607	1.635676	0.3695417	1.621652
197.1655	1.749679	1.718225	1.745759	1.752444	1.745563	0.3659145	1.742516
197.3179	1.754289	1.712551	1.738324	1.743489	1.732086	0.3656482	1.735534
197.4703	1.719786	1.701078	1.726143	1.732527	1.72587	0.3656774	1.721765
197.6227	1.688085	1.680133	1.71181	1.716848	1.714199	0.3667944	1.704117
197.7751	1.744438	1.709224	1.738204	1.748072	1.739006	0.3690324	1.73539
197.9275	1.917962	1.892421	1.942282	1.945613	1.952732	0.3711113	1.934734
198.0799	1.836298	1.780145	1.805706	1.80722	1.823774	0.3743089	1.808955
198.2323	1.967746	1.922641	1.93855	1.953703	1.967307	0.3760641	1.949427
198.3847	1.993445	1.928538	1.9461	1.955658	1.972921	0.376065	1.95764
198.5371	1.952425	1.888889	1.90844	1.924316	1.939143	0.3752815	1.921161
198.6895	1.897262	1.829114	1.842709	1.849121	1.865878	0.374927	1.853617
