HOLE:	U1513A
EXPEDITION:	369
TOP:	0.0620
BOTTOM:	292.9748
DEPTH_WMSF	TENS	CS	ETIM
m	lbf	ft/h	s
0.0620	4424.998	1867.988	608.1698
0.2144	4459.058	1793.983	609.1704
0.3668	4476.377	1788.995	610.1744
0.5192	4546.475	1788.036	611.1819
0.6716	4598.934	1792	612.1858
0.8240	4591.969	1792.044	613.1763
0.9764	4521.604	1795.033	614.1635
1.1288	4497.739	1797.181	615.1688
1.2812	4485.213	1805.882	616.1567
1.4336	4492.423	1800.946	617.1633
1.5860	4434.922	1799	618.1667
1.7384	4397.375	1798.375	619.1744
1.8908	4413.527	1779.313	620.1813
2.0432	4539.845	1788.038	621.1715
2.1956	4565.437	1789.209	622.1776
2.3480	4663.611	1794.254	623.1954
2.5004	4581.624	1799.862	624.199
2.6528	4468.019	1796.752	625.2038
2.8052	4426.659	1791.735	626.1922
2.9576	4365.953	1787.11	627.1973
3.1100	4353.976	1788.824	628.1879
3.2624	4454.61	1786.303	629.1938
3.4148	4535.558	1791.064	630.1992
3.5672	4676.192	1792.132	631.2024
3.7196	4683.296	1794.279	632.2089
3.8720	4549.896	1797.853	633.2145
4.0244	4491.819	1795.171	634.217
4.1768	4418.128	1785.473	635.1917
4.3292	4452.875	1791.729	636.1912
4.4816	4568.888	1801.691	637.1859
4.6340	4613.467	1819.031	638.1933
4.7864	4628.945	1807.995	639.1971
4.9388	4517.399	1796.987	640.1868
5.0912	4409.313	1786.522	641.2068
5.2436	4463.442	1782.198	642.2124
5.3960	4415.977	1784.103	643.2181
5.5484	4443.677	1785	644.2224
5.7008	4468.605	1786.299	645.2134
5.8532	4565.602	1797.331	646.2159
6.0056	4645.621	1800.798	647.2083
6.1580	4655.79	1806.413	648.2146
6.3104	4574.219	1801.402	649.2206
6.4628	4525.972	1796.631	650.2402
6.6152	4425.37	1793.625	651.2442
6.7676	4369.302	1789.587	652.2488
6.9200	4351	1780.392	653.2518
7.0724	4358.92	1783.537	654.2413
7.2248	4422.404	1786.449	655.2308
7.3772	4509.444	1785.678	656.22
7.5296	4584.155	1802.709	657.2068
7.6820	4690.762	1809.617	658.1986
7.8344	4691.956	1823.064	659.2036
7.9868	4600.509	1809.102	660.2067
8.1392	4544.79	1795.957	661.2169
8.2916	4406.748	1808.401	662.2198
8.4440	4402.881	1789.32	663.2254
8.5964	4401.143	1788.709	664.2284
8.7488	4345.224	1779.004	665.2177
8.9012	4508.692	1790.861	666.2062
9.0536	4593.257	1801.553	667.1999
9.2060	4701.748	1809.524	668.2042
9.3584	4687.346	1810.93	669.2097
9.5108	4565.56	1802.73	670.215
9.6632	4461.984	1786.528	671.2226
9.8156	4350.25	1780.938	672.2399
9.9680	4355.968	1785	673.2324
10.1204	4406.917	1785	674.2374
10.2728	4485.774	1786.365	675.2424
10.4252	4605.283	1792.993	676.2445
10.5776	4667.517	1797.405	677.2324
10.7300	4621.586	1799.205	678.2238
10.8824	4549.133	1800.619	679.2179
11.0348	4507.028	1805.727	680.2012
11.1872	4466.545	1811.519	681.2106
11.3396	4415.851	1792.83	682.2304
11.4920	4372.881	1787.642	683.2358
11.6444	4385.109	1795.445	684.2408
11.7968	4408.02	1788.878	685.2392
11.9492	4380.193	1785.684	686.2206
12.1016	4406.035	1789.156	687.2228
12.2540	4476.328	1796.738	688.2271
12.4064	4544.421	1806.631	689.2323
12.5588	4531.777	1799	690.2372
12.7112	4472.879	1794.879	691.2439
12.8636	4454.86	1784.693	692.2453
13.0160	4431.301	1792.752	693.2408
13.1684	4401.449	1789.984	694.2435
13.3208	4397.563	1785.021	695.2486
13.4732	4448.399	1788.257	696.2531
13.6256	4462.443	1788.481	697.259
13.7780	4460.368	1788.315	698.2572
13.9304	4471.533	1792	699.2368
14.0828	4523.869	1794.155	700.2269
14.2352	4620.634	1803.789	701.2302
14.3876	4562.305	1811.532	702.2358
14.5400	4482.611	1805.278	703.2414
14.6924	4451.392	1802.629	704.2516
14.8448	4419.384	1791.45	705.2655
14.9972	4444.173	1786.719	706.2609
15.1496	4491.358	1790.711	707.2579
15.3020	4572.053	1789.708	708.2521
15.4544	4609.431	1791.661	709.2572
15.6068	4499.952	1797.106	710.2617
15.7592	4469.537	1794.397	711.2625
