HOLE:	U1513A
EXPEDITION:	369
TOP:	0.0646
BOTTOM:	293.8915
DEPTH_WMSF	TENS	CS	ETIM
m	lbf	ft/h	s
0.0646	5063.982	1789	2371.993
0.2169	5036.103	1789.001	2371.005
0.3693	5138.04	1790.001	2370.002
0.5217	5167.02	1790.999	2368.984
0.6741	5310.031	1786.003	2367.981
0.8265	5370.989	1792	2366.977
0.9789	5358.95	1791.998	2365.973
1.1313	5318.999	1790	2364.972
1.2837	5250.98	1788	2363.971
1.4361	5197.964	1789	2362.969
1.5885	5149.949	1789	2361.95
1.7409	5104.005	1789	2360.948
1.8933	5166.026	1789	2359.962
2.0457	5269.021	1788.001	2358.941
2.1981	5303.988	1789.002	2357.939
2.3505	5291.947	1791	2356.936
2.5029	5252.985	1791	2355.918
2.6553	5128.968	1789.003	2354.915
2.8077	5062.995	1795.994	2353.895
2.9601	5057.082	1788.996	2352.893
3.1125	5124	1786	2351.908
3.2649	5295.022	1780	2350.904
3.4173	5356.005	1779.002	2349.884
3.5697	5362.956	1782.004	2348.865
3.7221	5323.005	1786	2347.872
3.8745	5199.991	1795	2346.861
4.0269	5159.976	1797.002	2345.859
4.1793	5119.892	1801.006	2344.841
4.3317	5009.02	1806.991	2343.839
4.4841	5024.01	1800	2342.836
4.6365	5114.142	1796.991	2341.849
4.7889	5412.007	1777.997	2340.861
4.9413	5419.964	1775.005	2339.841
5.0937	5390	1779	2338.822
5.2461	5406.958	1790.001	2337.804
5.3985	5283.984	1791.999	2336.801
5.5509	5261.818	1789.998	2335.799
5.7033	5094.025	1788	2334.782
5.8557	5075.004	1787.999	2333.779
6.0081	5092.039	1783.001	2332.774
6.1605	5159.145	1783.995	2331.771
6.3129	5311.103	1778.997	2330.767
6.4653	5388.996	1777	2329.749
6.6177	5341.995	1780	2328.762
6.7701	5329.914	1781.012	2327.742
6.9225	5225.99	1795.004	2326.723
7.0749	5218	1798	2325.722
7.2273	5057.007	1794.999	2324.704
7.3797	5079.084	1793.004	2323.701
7.5321	5200.208	1797.985	2322.697
7.6845	5395.967	1784.002	2321.704
7.8369	5350.994	1784	2320.708
7.9893	5321.029	1785.999	2319.688
8.1417	5371.912	1785.007	2318.685
8.2941	5277.832	1791.991	2317.667
8.4465	5149.003	1785	2316.668
8.5989	5186.079	1787.999	2315.674
8.7513	5365.018	1785.002	2314.66
8.9037	5386.951	1788.008	2313.656
9.0561	5345.002	1795	2312.637
9.2085	5363.972	1784	2311.635
9.3609	5274.917	1784	2310.633
9.5133	5153.994	1784	2309.622
9.6657	5148.083	1783.999	2308.611
9.8181	5207.005	1783	2307.608
9.9705	5236.063	1784	2306.604
10.1229	5350.938	1784.005	2305.59
