HOLE:	U1513A
EXPEDITION:	369
TOP:	193.2031
BOTTOM:	294.2442
DEPTH_WMSF	TENS	CS	ETIM
m	lbf	ft/h	s
193.2031	4724	1750	699.429
193.3555	4966.075	1750	698.3286
193.5079	5169.148	1749.995	697.3083
193.6603	5370.899	1743.004	696.2735
193.8127	5368	1745	695.2531
193.9651	5380.98	1743	694.2167
194.1175	5295.998	1745.004	693.1974
194.2699	5292.002	1751.996	692.1637
194.4223	5217.02	1753	691.1273
194.5747	5299.998	1751	690.0909
194.7271	5276.021	1752	689.0705
194.8795	5318.918	1752.998	688.0331
195.0319	5222.038	1751.001	687.0154
195.1843	5129.002	1752	685.997
195.3367	5088.008	1752	684.9616
195.4891	5112.077	1752.999	683.9423
195.6415	5219.944	1751.001	682.9066
195.7939	5352.979	1752	681.8942
195.9463	5221.972	1753.001	680.8658
196.0987	5088.995	1756.001	679.8304
196.2511	5081.005	1756.999	678.7957
196.4035	5073.002	1757	677.7773
196.5559	5017.004	1764	676.741
196.7083	5072.006	1758.997	675.7206
196.8607	5086.13	1751.998	674.7172
197.0131	5244.934	1749.001	673.6994
197.1655	5282.998	1744	672.6631
197.3179	5279.011	1729.007	671.6267
197.4703	5312.003	1752	670.5903
197.6227	5315.998	1752	669.5566
197.7751	5307.001	1750	668.5212
197.9275	5261.003	1749	667.5188
198.0799	5276.789	1751	666.4774
198.2323	5236.809	1751.028	665.4329
198.3847	5150.592	1753.067	664.4039
198.5371	5088.191	1756	663.3575
198.6895	5068.211	1755.959	662.314
198.8419	5171.724	1755	661.3012
198.9943	5267.862	1754.595	660.2731
199.1467	5396.746	1747.865	659.2269
199.2991	5400.663	1746.153	658.1838
199.4515	5323.311	1748.086	657.1372
199.6039	5302.382	1749.093	656.1101
199.7563	5177.842	1750	655.072
199.9087	5240.53	1750.223	654.0353
200.0611	5200.608	1751.88	652.9904
200.2135	5236.746	1751	651.9465
200.3659	5292.259	1751.274	650.9169
200.5183	5237.617	1753.588	649.8755
200.6707	5257.622	1757.156	648.8586
200.8231	5170.728	1758.331	647.8129
200.9755	5256.238	1758.446	646.7732
201.1279	5363.291	1750.088	645.7449
201.2803	5368.835	1746	644.7129
201.4327	5283.172	1746.602	643.6671
201.5851	5229.268	1748.792	642.6269
201.7375	5139.699	1748.654	641.5945
201.8899	5066.293	1751.453	640.5538
202.0423	5056.31	1753.236	639.5201
202.1947	5138.82	1751.311	638.4799
202.3471	5270.826	1741.74	637.4486
202.4995	5395.543	1738	636.4063
202.6519	5403.176	1737.729	635.3737
202.8043	5357.213	1736.72	634.3284
202.9567	5286.972	1735.713	633.2851
203.1091	5220	1734.703	632.2391
203.2615	5252.444	1734	631.1939
203.4139	5326.63	1732.424	630.1485
203.5663	5329.615	1728.677	629.1044
203.7187	5312.382	1723.677	628.0588
203.8711	5238.554	1723.539	627.0084
204.0235	5149.671	1742.457	625.9454
204.1759	5057.57	1747	624.8898
204.3283	5058.522	1745.899	623.8514
204.4807	5237.286	1739.86	622.8234
204.6331	5358.34	1732.615	621.7891
204.7855	5426.749	1731.606	620.7382
204.9379	5350.238	1733.012	619.6841
205.0903	5267.824	1735.176	618.6379
205.2427	5250.797	1748.733	617.5881
205.3951	5222.311	1811.103	616.5422
205.5475	5263.585	1810.516	615.5034
205.6999	5271.272	1737.106	614.4577
205.8523	5262.559	1736.456	613.4117
206.0047	5246.893	1737.932	612.3655
206.1571	5185.952	1740.42	611.3215
206.3095	5141.829	1744.891	610.2851
206.4619	5142.795	1745.054	609.2487
206.6143	5226.529	1738.998	608.2036
206.7667	5346.315	1733.456	607.1584
206.9191	5362.584	1733.586	606.1136
207.0715	5253.192	1740.212	605.0602
207.2239	5201.393	1745.607	604.0074
207.3763	5150.485	1744.823	602.972
207.5287	5162.062	1741.342	601.9438
207.6811	5215.676	1738.314	600.9059
207.8335	5277.128	1737	599.8602
207.9859	5315.839	1736.42	598.8152
208.1383	5258.47	1737.178	597.7615
