HOLE:	U1513D
EXPEDITION:	369
TOP:	175.1527
BOTTOM:	300.5779
DEPTH_WMSF	LCAL
m	in
175.1527	11.18055
175.3051	11.27756
175.4575	11.28227
175.6099	11.2888
175.7623	11.27762
175.9147	11.25429
176.0671	11.29999
176.2195	11.39898
176.3719	11.79974
176.5243	11.94564
176.6767	11.94014
176.8291	11.94947
176.9815	11.94575
177.1339	11.94947
177.2863	11.9644
177.4387	11.94948
177.5911	11.96066
177.7435	11.95694
177.8959	11.97746
178.0483	12.06516
178.2007	12.09875
178.3531	11.92354
178.5055	11.84129
178.6579	11.8375
178.8103	11.8263
178.9627	11.80393
179.1151	11.81416
179.2675	11.78898
179.4199	11.72086
179.5723	11.64351
179.7247	11.39729
179.8771	11.38959
180.0295	11.38585
180.1819	11.38959
180.3343	11.39331
180.4867	11.40824
180.6391	11.39332
180.7915	11.40358
180.9439	11.39333
181.0963	11.39891
181.2487	11.39705
181.4011	11.39705
181.5535	11.39425
181.7059	11.4679
181.8583	11.56216
182.0107	11.56129
182.1631	11.56875
182.3155	11.55756
182.4679	11.57247
182.6203	11.60233
182.7727	11.61821
182.9251	11.60982
183.0775	11.61354
183.2299	11.61354
183.3823	11.62847
183.5347	11.6322
183.6871	11.64619
183.8395	11.65833
183.9919	11.64341
184.1443	11.6602
184.2967	11.64342
184.4491	11.66205
184.6015	11.68352
184.7539	11.74791
184.9063	11.78613
185.0587	11.83372
185.2111	11.83376
185.3635	11.83749
185.5159	11.83004
185.6683	11.84495
185.8207	11.85615
185.9731	11.88601
186.1255	12.00547
186.2779	12.08935
186.4303	12.09131
186.5827	12.08945
186.7351	12.08011
186.8875	12.06893
187.0399	12.06612
187.1923	12.06145
187.3447	12.05772
187.4971	12.03349
187.6495	12.01295
187.8019	11.94578
187.9543	11.90283
188.1067	11.89348
188.2591	11.8823
188.4115	11.88415
188.5639	11.88229
188.7163	11.88229
188.8687	11.88881
189.0211	11.88602
189.1735	11.88415
189.3259	11.8599
189.4783	11.81889
189.6307	11.56714
189.7831	11.53145
189.9355	11.52023
190.0879	11.51649
190.2403	11.51649
190.3927	11.51556
190.5451	11.52769
190.6975	11.6434
190.8499	11.65086
191.0023	11.65087
191.1547	11.64714
191.3071	11.65553
191.4595	11.67324
191.6119	11.68445
191.7643	11.68353
191.9167	11.72177
192.0691	11.87949
192.2215	11.8711
192.3739	11.87482
192.5263	11.87482
192.6787	11.87109
192.8311	11.87016
192.9835	11.87482
193.1359	11.87109
193.2883	11.87949
193.4407	11.86737
193.5931	11.87481
193.7455	11.87016
193.8979	11.86736
194.0503	11.86549
194.2027	11.87108
194.3551	11.86736
194.5075	11.86549
194.6599	11.87109
194.8123	11.87109
194.9647	11.87016
195.1171	11.86363
195.2695	11.87015
195.4219	11.86363
195.5743	11.87108
195.7267	11.87016
195.8791	11.87482
196.0315	11.88231
196.1839	12.26163
196.3363	12.42711
196.4887	12.43471
196.6411	12.43471
196.7935	12.43471
196.9459	12.39742
197.0983	12.39738
197.2507	12.40485
197.4031	12.39739
197.5555	12.41603
197.7079	12.3974
197.8603	12.40858
198.0127	12.40112
198.1651	12.38807
198.3175	12.34516
198.4699	12.26678
198.6223	12.25555
198.7747	12.263
198.9271	12.25742
199.0795	12.25928
199.2319	12.26301
199.3843	12.2481
199.5367	12.26299
199.6891	12.25182
199.8415	12.25741
199.9939	12.21075
200.1463	12.17813
200.2987	12.17343
200.4511	12.23405
200.6035	12.22942
200.7559	12.23315
200.9083	12.22196
201.0607	12.25273
201.2131	12.26301
201.3655	12.25741
201.5179	12.25555
201.6703	12.25182
201.8227	12.26207
201.9751	12.28168
202.1275	12.29006
202.2799	12.28541
202.4323	12.28541
202.5847	12.28541
202.7371	12.28913
202.8895	12.28541
203.0419	12.28541
203.1943	12.28541
203.3467	12.29287
203.4991	12.28541
203.6515	12.29287
203.8039	12.31153
203.9563	12.30407
204.1087	12.31898
204.2611	12.30408
204.4135	12.38615
204.5659	12.41978
204.7183	12.43935
204.8707	12.42726
205.0231	12.42725
205.1755	12.4487
205.3279	12.51311
205.4803	12.64359
205.6327	12.66798
205.7851	12.65867
205.9375	12.668
206.0899	12.66613
206.2423	12.6624
206.3947	12.66333
206.5471	12.6512
206.6995	12.64374
206.8519	12.64001
207.0043	12.63627
207.1567	12.63254
207.3091	12.626
207.4615	12.60643
207.6139	12.56538
207.7663	12.54296
207.9187	12.55042
208.0711	12.54669
208.2235	12.55042
208.3759	12.55042
208.5283	12.54202
208.6807	12.53923
208.8331	12.47676
208.9855	12.33029
209.1379	12.2593
209.2903	12.26208
209.4427	12.25928
209.5951	12.25928
209.7475	12.25741
209.8999	12.25555
210.0523	12.25275
210.2047	12.25927
210.3571	12.25182
210.5095	12.25275
210.6619	12.25927
210.8143	12.25555
210.9667	12.25275
211.1191	12.25928
211.2715	12.25741
211.4239	12.24809
211.5763	12.25927
211.7287	12.25275
211.8811	12.25181
212.0335	12.263
212.1859	12.26208
212.3383	12.25928
212.4907	12.25741
212.6431	12.263
212.7955	12.25928
212.9479	12.24809
213.1003	12.25554
213.2527	12.25928
213.4051	12.25741
213.5575	12.25182
213.7099	12.25554
213.8623	12.26208
214.0147	12.25183
214.1671	12.27139
214.3195	12.25182
214.4719	12.25741
214.6243	12.28164
214.7767	12.31896
214.9291	12.37868
215.0815	12.50186
215.2339	12.54669
215.3863	12.55135
215.5387	12.53923
215.6911	12.52057
215.8435	12.51869
215.9959	12.51683
216.1483	12.52056
216.3007	12.51869
216.4531	12.51683
216.6055	12.50937
216.7579	12.50936
216.9103	12.47579
217.0627	12.43006
217.2151	12.42351
217.3675	12.43843
217.5199	12.43937
217.6723	12.43098
217.8247	12.43471
217.9771	12.43098
218.1295	12.42352
218.2819	12.32279
218.4343	12.13613
218.5867	11.87985
218.7391	11.82262
218.8915	11.81884
219.0439	11.83749
219.1963	11.8263
219.3487	11.83002
219.5011	11.81884
219.6535	11.82629
219.8059	11.82257
219.9583	11.82816
220.1107	11.81884
220.2631	11.81883
220.4155	11.82256
220.5679	11.83002
220.7203	11.84215
220.8727	11.81885
221.0251	11.82629
221.1775	11.81883
221.3299	11.83375
221.4823	11.81884
221.6347	11.82256
221.7871	11.8263
221.9395	11.8263
222.0919	11.81884
