HOLE:	U1513D
EXPEDITION:	369
TOP:	153.5119
BOTTOM:	299.9683
DEPTH_WMSF	RHOM	DRH	PEFL	NRHB
m	g/cm3	g/cm3	barns/e-	g/cm3
153.5119	2.826382	0.2797075	14.83059	2.826382
153.6643	1.950898	-0.0003400565	11.13472	1.950898
153.8167	1.664745	0.01184429	9.799148	1.664745
153.9691	1.485011	-0.006186682	9.085844	1.047057
154.1215	1.503843	0.03145906	9.152821	1.503627
154.2739	1.510919	0.03670073	9.465425	1.510919
154.4263	1.518444	0.04670212	9.526926	1.518444
154.5787	1.532613	0.05611145	9.909166	1.532613
154.7311	1.52321	0.05064909	9.895904	1.52321
154.8835	1.53336	0.05737506	9.96663	1.53336
155.0359	1.539455	0.05692716	9.677172	1.539455
155.1883	1.552588	0.06145064	9.821577	1.552588
155.3407	1.544862	0.05172261	9.78488	1.544862
155.4931	1.536634	0.05350724	9.786382	1.536634
155.6455	1.520794	0.04345473	9.529886	1.520794
155.7979	1.523783	0.04978939	9.125257	1.523783
155.9503	1.527764	0.05054208	9.065429	1.527764
156.1027	1.53768	0.05944232	8.769179	1.53768
156.2551	1.547981	0.06343992	9.071424	1.547981
156.4075	1.545235	0.06992596	9.310601	1.545235
156.5599	1.52983	0.06083054	9.581537	1.52983
156.7123	1.526878	0.05710289	9.708865	1.526878
156.8647	1.533208	0.05271056	9.506618	1.533208
157.0171	1.559173	0.05932734	9.673343	1.559173
157.1695	1.552722	0.05661364	9.350608	1.552722
157.3219	1.572158	0.07086647	9.227989	1.572158
157.4743	1.574502	0.07685103	8.901559	1.574502
157.6267	1.588871	0.08607458	8.718354	1.588871
157.7791	1.591185	0.08972957	8.499149	1.591185
157.9315	1.593962	0.09273513	8.641741	1.593962
158.0839	1.578597	0.08278235	8.845047	1.578597
158.2363	1.557301	0.07322957	9.122907	1.557301
158.3887	1.550334	0.06987403	9.022386	1.550334
158.5411	1.571404	0.06895074	8.686122	1.571404
158.6935	1.596539	0.07200132	8.234162	1.596539
158.8459	1.633209	0.08631671	8.464067	1.633209
158.9983	1.622251	0.09310602	8.702612	1.622251
159.1507	1.618898	0.09717618	8.864689	1.618898
159.3031	1.613001	0.1009326	8.550492	1.613001
159.4555	1.616469	0.1019027	8.701666	1.616469
159.6079	1.604203	0.09787449	8.578562	1.604203
159.7603	1.598843	0.09278669	8.550443	1.598843
159.9127	1.587722	0.08805444	8.381208	1.587722
160.0651	1.596529	0.08979482	8.434022	1.596529
160.2175	1.602016	0.09380468	8.53402	1.602016
160.3699	1.604199	0.08951758	8.31686	1.604199
160.5223	1.637719	0.101704	8.52685	1.637719
160.6747	1.620396	0.09467864	8.292087	1.620396
160.8271	1.659351	0.1041759	8.139302	1.659351
160.9795	1.66989	0.112979	7.757813	1.66989
