HOLE:	U1513D
EXPEDITION:	369
TOP:	0.04229641
BOTTOM:	311.4963
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	m3/m3
0.04229641	-999.25
0.1431	1.725978	1.861566	0.01314801	0.5163101	0.03449408	-999.25
0.2955	1.582007	2.109843	0.02233311	0.5393205	-0.05601054	-999.25
0.4479	1.864012	1.551454	0.01492611	0.4058151	0.05539526	-999.25
0.6003	1.637593	2.062785	0.03592486	0.4403615	-0.08292416	-999.25
0.7527	1.230999	1.567809	0.04173787	0.2456467	-0.049843	-999.25
0.9051	0.6528497	0.7636974	0.02210818	0.1086925	-0.0290824	-999.25
1.0575	0.454848	0.4419246	0.01262745	0.06391918	-0.006907592	-999.25
1.2099	1.038661	0.8267615	0.02112462	0.1349995	-0.005537323	-999.25
1.3623	2.032085	1.749601	0.0454255	0.2812374	-0.0237493	-999.25
1.5147	2.15054	2.295641	0.05980837	0.3677406	-0.1418559	-999.25
1.6671	1.822254	1.506673	0.02952939	0.3013481	-0.09367019	-999.25
1.8195	1.188544	1.114383	0.03370841	0.1496684	-0.08434692	-999.25
1.9719	1.015704	0.8706791	0.02210312	0.1430572	-0.02598349	-999.25
2.1243	0.704703	0.7842791	0.02293956	0.1101687	-0.05375496	-999.25
2.2767	0.6997103	0.5551705	0.01470403	0.08745143	-0.01706011	-999.25
2.4291	0.9327421	0.578752	0.01128938	0.1160865	0.004528628	-999.25
2.5815	2.401803	1.730387	0.0425727	0.2926728	-0.01141047	-999.25
2.7339	2.459165	2.347641	0.07397976	0.2969984	-0.06282617	-999.25
2.8863	2.292426	3.034392	0.06525009	0.5712543	-0.1426572	-999.25
3.0387	0.9917719	1.101443	0.02873947	0.1761729	-0.03382469	-999.25
3.1911	0.8685766	0.6536654	0.0193509	0.09039209	0.02177086	-999.25
3.3435	0.8641565	0.4469236	0.008250601	0.09252742	0.05639957	-999.25
3.4959	1.263244	0.3673382	0.002225994	0.104156	0.1243458	-999.25
3.6483	2.138275	0.7336322	0.01507354	0.1424463	0.1914124	-999.25
3.8007	3.181792	0.6461017	0.005205161	0.1752396	0.3688447	-999.25
3.9531	5.077899	1.235528	0.02296394	0.2548381	0.5000402	-999.25
4.1055	5.482811	2.247303	0.01503838	0.6284417	0.4090441	-999.25
4.2579	4.276174	1.878828	0.007839293	0.5546027	0.3220764	-999.25
4.4103	1.756924	0.5794518	-0.004427321	0.2132769	0.1626132	-999.25
4.5627	0.6452568	0.1701793	0.000534437	0.05131797	0.06178085	-999.25
4.7151	0.5653498	0.1345602	-0.0005508927	0.04658278	0.06249216	-999.25
4.8675	1.028833	0.355988	0.00256829	0.09840118	0.09836779	-999.25
5.0199	1.207681	0.5983186	0.0135539	0.1083949	0.08594042	-999.25
5.1723	1.135313	0.6571611	0.0155423	0.1150111	0.06681405	-999.25
5.3247	1.881654	1.201235	0.03290463	0.1825006	0.09974548	-999.25
5.4771	2.420002	2.001071	0.052537	0.3180671	0.07418519	-999.25
5.6295	2.787336	2.56451	0.07498733	0.3603806	0.07254138	-999.25
5.7819	1.931988	1.286062	0.05190394	0.09250668	0.1090317	-999.25
5.9343	1.201044	0.9833595	0.04710233	0.02498483	0.03077443	-999.25
6.0867	1.381274	1.247319	0.049856	0.09270749	0.009821618	-999.25
6.2391	1.52383	1.255599	0.05178477	0.08346494	0.02870407	-999.25
6.3915	1.605542	1.292188	0.05385606	0.08242889	0.01840593	-999.25
6.5439	1.376224	1.032213	0.04148047	0.075348	0.02014703	-999.25
6.6963	1.756113	1.167345	0.04014964	0.1269265	0.03444698	-999.25
6.8487	1.983751	1.794372	0.04067208	0.3249343	-0.03582219	-999.25
7.0011	1.686316	1.018432	0.0226221	0.1872742	0.0428612	-999.25
7.1535	1.232751	0.4343254	0.01299565	0.05920919	0.06805407	-999.25
7.3059	1.179367	0.4339036	0.01140535	0.06888536	0.06216398	-999.25
7.4583	2.156385	1.080202	0.02591393	0.1867882	0.06517714	-999.25
7.6107	3.183171	1.376845	0.01781057	0.3319842	0.1167363	-999.25
7.7631	3.73767	1.46267	0.007552771	0.4228146	0.1441218	-999.25
7.9155	3.189017	1.38361	0.007194228	0.3996539	0.09651013	-999.25
8.0679	2.579997	1.457487	0.01852597	0.3534502	0.02735618	-999.25
8.2203	2.547514	1.809246	0.02943964	0.3990066	-0.02857905	-999.25
8.3727	2.484748	1.844072	0.04294986	0.3268303	-0.01459258	-999.25
8.5251	2.515841	1.605096	0.04400977	0.243597	0.02559692	-999.25
8.6775	2.507421	1.905125	0.04280637	0.3473096	-0.02440897	-999.25
8.8299	3.117664	2.897826	0.06154787	0.5502676	-0.09637547	-999.25
8.9823	3.808579	3.618415	0.08281001	0.6503455	-0.1157168	-999.25
9.1347	4.013739	3.891278	0.08999388	0.6935934	-0.1016297	-999.25
9.2871	3.62183	3.621532	0.08730951	0.623586	-0.07509306	-999.25
9.4395	3.104719	3.08363	0.08099253	0.4899314	-0.04172384	-999.25
9.5919	3.018409	2.860926	0.06436998	0.5210144	-0.002159231	-999.25
9.7443	2.947683	2.845355	0.05438948	0.5775927	0.003836383	-999.25
9.8967	2.548957	2.53971	0.04826884	0.5172648	-0.01298332	-999.25
10.0491	2.567943	2.346088	0.03445187	0.5403709	0.008705916	-999.25
10.2015	3.425931	3.196464	0.04612708	0.741249	0.008010747	-999.25
10.3539	4.431387	4.294766	0.071004	0.9402445	-0.0000412	-999.25
10.5063	4.516334	4.457927	0.07983503	0.9381236	-0.01814946	-999.25
10.6587	3.949082	3.559826	0.04957443	0.8365937	0.04573921	-999.25
10.8111	3.135719	2.349774	0.0263666	0.5914375	0.1043238	-999.25
