HOLE:	U1513E
EXPEDITION:	369
TOP:	425.0808
BOTTOM:	584.2371
DEPTH_WMSF	HALC	HSIG	HSTO	HNEC	HFEC
m	%	cu	in	1/s	1/s
425.0808	63.00683	3.274305	0.7937338	2921.881	24.00226
425.1316	61.68398	17.13235	0.8579463	2541.515	24
425.1824	100.396	23.42508	1.994413	2471.012	123.5107
425.2332	94.63671	32.34568	0.04129492	2409.328	413.3174
425.2840	81.93737	38.03321	-0.6620353	2390.031	352.051
425.3348	79.89828	35.87395	-0.5035414	2438.482	433.025
425.3856	77.99661	35.26315	-0.344922	2342.869	435.9362
425.4364	73.45656	36.14122	0.06197778	2490.572	389.4243
425.4872	74.47198	35.31609	-0.05035421	2436.147	441.8584
425.5380	75.24183	35.19834	-0.1234506	2406.467	380.1182
425.5888	79.11955	34.11011	-0.4614145	2325.492	427.9062
425.6396	80.42785	31.58752	-0.5652567	2419.849	445.3057
425.6904	81.6377	32.8763	-0.6361951	2377.984	406.0547
425.7412	80.66839	32.93895	-0.574878	2559.844	421.3203
425.7920	82.28474	34.2965	-0.6829315	2557.334	421.3333
425.8428	81.32629	33.73466	-0.6259852	2480.009	389.3372
425.8936	80.52995	33.68124	-0.5724502	2442.01	422.669
425.9444	75.70186	35.59706	-0.1699899	2483.825	431.9611
425.9952	70.5573	35.24718	0.2783355	2474.668	406.6653
426.0460	68.49028	34.05494	0.4474503	2476.047	405.3558
426.0968	67.06691	33.78038	0.5537456	2510.56	421.9489
426.1476	65.85575	31.80195	0.6364532	2435.942	406.6694
426.1984	70.43607	32.90552	0.302458	2408.065	407.9969
426.2492	72.50674	32.38498	0.1300715	2443.929	408
426.3000	73.15611	31.03949	0.06947221	2388.497	412.1274
426.3508	73.64437	31.54482	0.02618573	2543.808	451.9507
426.4016	70.39941	33.62447	0.2936572	2453.412	426.6887
426.4524	70.45872	34.35587	0.2859462	2436.009	430.6646
426.5032	71.17464	34.25826	0.235598	2422.668	402.6703
426.5540	66.10265	33.13321	0.6117343	2344.358	427.8848
426.6048	65.59478	34.27218	0.641752	2601.243	423.9838
426.6556	65.94742	34.84408	0.6228296	2451.968	397.3644
426.7064	68.55537	33.76514	0.4488177	2418.782	429.2231
426.7572	69.33572	32.04116	0.3974521	2418.063	400.0273
426.8080	67.40242	31.54639	0.5411332	2454.567	415.9566
426.8588	66.47015	31.26994	0.5879146	2461.318	410.6792
426.9096	69.6084	32.76642	0.3655279	2460.174	408.1628
426.9604	69.26662	32.82492	0.411579	2521.9	465.9066
427.0112	72.63969	31.32209	0.1151059	2457.414	400.0825
427.0620	75.11629	31.43118	-0.1208633	2545.256	459.9472
427.1128	74.72761	32.21154	-0.09072286	2394.744	428.0164
427.1636	71.54911	32.35387	-0.1893855	2612.919	412.0788
427.2144	68.85946	33.47825	0.4200439	2481.343	427.9925
427.2652	66.39064	33.66498	0.592689	2522.622	394.6564
427.3160	64.0696	32.82133	0.7255496	2446.958	377.3997
427.3668	62.86209	35.46672	0.7967467	2358.104	441.9902
427.4176	63.03858	36.18969	0.7859337	2435.819	434.6508
427.4684	62.35436	37.41171	0.8227568	2329.624	425.3588
427.5192	57.81734	36.00874	1.014923	2480.01	454.631
427.5700	59.87526	34.06973	0.9528705	2483.992	440.0292
427.6208	60.23412	33.17283	0.9411209	2578.512	389.4159
427.6716	61.60676	33.85661	0.8608515	2340.052	451.7976
427.7224	63.96888	32.8753	0.7347913	2354.654	394.7176
427.7732	65.74475	32.16097	0.6233058	2457.946	338.0296
427.8240	62.30238	30.27931	0.8158658	2393.343	414.6548
427.8748	65.04729	30.83068	0.6667473	2547.991	404.0089
427.9256	65.0994	33.14079	0.6614456	2506.841	445.1596
427.9764	65.98962	34.01272	0.6234095	2460.025	489.8939
428.0272	69.96191	32.53393	0.3348313	2486.574	378.6982
428.0780	65.58937	31.02187	0.6488118	2416.219	402.5922
428.1288	64.251	31.38076	0.7381988	2594.571	417.3019
428.1796	64.1954	29.13122	0.7337311	2548.111	402.0363
428.2304	64.78873	30.14245	0.7073554	2416.265	457.2221
428.2812	65.09591	29.28582	0.6740525	2510.789	454.7717
428.3320	66.83656	29.50283	0.5711601	2549.284	487.9578
428.3828	68.95509	30.09239	0.4082729	2544.005	432.0506
428.4336	73.56626	32.00562	0.03155615	2506.687	400.0171
428.4844	70.78903	30.27504	0.26582	2539.994	429.3285
428.5352	68.25369	32.62047	0.4544994	2489.565	364.2994
428.5860	66.23656	32.26422	0.6048869	2481.339	431.9832
428.6368	63.31059	31.98855	0.7682288	2491.953	402.7278
428.6876	59.56319	30.83039	0.942075	2441.51	467.7726
428.7384	60.87966	31.5654	0.8334654	2533.157	455.9599
428.7892	60.42601	32.0638	0.9146698	2428.289	432.0659
428.8400	60.33816	32.73959	0.9260618	2418.689	461.9283
428.8908	63.06257	30.56281	0.8014857	2427.989	430.6593
428.9416	64.86636	30.28367	0.7003757	2424.007	428.0044
428.9924	66.78636	30.93471	0.5943778	2422.668	381.3932
429.0432	68.19216	30.76319	0.4967703	2557.21	401.315
429.0940	69.25252	32.07566	0.4104136	2512.025	489.9516
429.1448	69.15413	31.99581	0.4157137	2515.98	404.4266
429.1956	68.27843	33.16102	0.4772296	2497.327	433.3341
429.2464	70.25363	35.10663	0.3208581	2463.979	437.3583
429.2972	70.98295	35.48871	0.2476651	2426.147	481.8276
429.3480	68.90696	34.7267	0.4033832	2482.765	409.413
429.3988	65.8207	35.43354	0.6230026	2558.638	470.6091
429.4496	65.09281	34.09906	0.6659163	2541.381	436.0956
429.5004	65.41002	33.86436	0.6553842	2415.917	435.8372
429.5512	67.40475	33.45129	0.5206811	2381.403	368.1376
429.6020	68.97457	33.1548	0.4058075	2450.551	435.8868
429.6528	66.60881	32.90739	0.5840411	2539.797	384.2657
429.7036	68.24215	34.49492	0.474622	2482.053	459.9299
429.7544	69.19257	33.56446	0.3990512	2519.979	402.6986
429.8052	71.22931	32.85078	0.2341793	2424.018	437.3268
429.8560	66.52207	32.1286	0.5886639	2473.33	449.3216
429.9068	66.39767	33.23817	0.5938855	2453.418	384.2769
429.9576	66.20136	33.08872	0.6048	2665.834	426.6654
430.0084	64.742	32.21088	0.7018172	2485.263	425.3163
430.0592	64.68863	30.50666	0.7065885	2430.838	412.0418
430.1100	64.86331	28.99572	0.724192	2432.004	422.6492
430.1608	62.65198	30.29336	0.8009164	2433.995	414.0208
430.2116	63.60172	30.51129	0.7690953	2435.996	422.6489
430.2624	64.78904	29.29657	0.6980306	2474.87	441.35
430.3132	63.97257	29.76226	0.7505861	2539.915	446.6597
430.3640	65.98981	31.0264	0.617637	2536.004	461.9856
430.4148	67.06328	31.74238	0.5506204	2477.367	409.3633
430.4656	66.71725	31.58231	0.5521559	2441.34	445.3261
430.5164	66.25259	30.75244	0.5834694	2506.365	413.4811
430.5672	67.84476	31.54502	0.4711723	2396.067	421.9968
430.6180	66.82153	31.13582	0.5485548	2521.393	416.0024
430.6688	66.62744	30.11198	0.5629609	2587.766	418.6573
430.7196	67.16219	30.37291	0.5268703	2479.987	427.964
430.7704	74.46715	31.59571	-0.06036343	2472.022	406.0612
430.8212	75.33875	31.90286	-0.1354873	2582.398	439.9175
430.8720	77.4872	31.63697	-0.3214083	2505.669	449.2347
430.9228	77.21201	32.54927	-0.2893544	2627.794	413.3938
430.9736	77.42946	32.68927	-0.3171667	2629.997	417.9938
431.0244	76.37147	34.14563	-0.2179934	2578.716	386.6964
431.0752	74.27477	33.74475	-0.03159671	2413.429	450.6295
431.1260	71.59991	34.22588	0.1886513	2544.674	430.7665
431.1768	70.11772	33.63316	0.31638	2589.992	436.0038
431.2276	69.14326	30.65428	0.3871817	2538.658	459.9825
431.2784	70.39173	29.85048	0.2870695	2522.729	426.7964
431.3292	69.31897	29.8731	0.3757773	2605.188	422.6532
431.3800	70.25903	29.41287	0.3037181	2490.542	412.0542
431.4308	68.38224	28.83529	0.4410214	2414.214	445.2403
431.4816	68.49904	28.89057	0.4323459	2454.972	418.7296
