HOLE:	U1513E
EXPEDITION:	369
TOP:	461.2476
BOTTOM:	591.0416
DEPTH_WMSF	HALC	HSIG	HSTO	HNEC	HFEC
m	%	cu	in	1/s	1/s
461.2476	97.4839	26.9095	2	2596	400
461.2984	97.4839	26.9095	2	2432.015	412.0074
461.3492	97.4839	26.9095	2	2472.09	431.9794
461.4000	97.4839	26.9095	2	2593.551	404.1031
461.4508	75.7229	32.24808	-0.1562319	2643.811	464.065
461.5016	75.72311	32.25082	-0.1447026	2515.86	507.9485
461.5524	74.6915	35.68661	-0.06077558	2440.196	480.0722
461.6032	75.35903	33.07446	-0.1116658	2384.463	532.072
461.6540	79.54185	29.17052	-0.4747739	2563.668	559.9484
461.7048	77.10874	30.63107	-0.2973865	2528.053	496.095
461.7556	72.47771	30.03779	-0.03379373	2388.177	542.022
461.8064	64.05784	27.85656	0.7181986	2435.964	547.9955
461.8572	58.12751	27.74503	1.000677	2515.97	524.009
461.9080	55.74402	27.27648	1.002401	2755.998	549.9998
461.9588	61.6673	25.98723	0.8475213	2743.94	552.0043
462.0096	68.55361	30.54494	0.4344645	2578.673	563.9514
462.0604	81.23466	32.58627	-0.6211936	2603.991	431.9604
462.1112	89.11967	33.02727	-0.3581107	2595.845	396.0761
462.1620	79.44714	33.12858	-0.5756925	2490.313	447.8464
462.2128	72.81035	31.00495	0.07890457	2360.371	354.1281
462.2636	70.13515	28.99597	0.3179291	2527.692	412.0821
462.3144	69.61858	30.85743	0.3652602	2408.222	443.9408
462.3652	68.72931	29.87549	0.1754054	2424.158	442.1122
462.4160	76.72817	28.9102	-0.2379742	2471.947	475.9621
462.4668	74.58757	28.51994	-0.0597254	2388.063	416.0451
462.5176	74.72716	27.45045	-0.07953873	2552.546	442.1321
462.5684	76.84193	29.16852	-0.2755214	2675.998	471.9996
462.6192	83.04761	29.84945	-0.7294759	2557.938	344.0164
462.6700	86.87605	30.10384	-0.8277199	2384.177	390.0189
462.7208	92.54558	29.19755	-0.3890197	2627.946	415.9608
462.7716	90.651	30.2448	-0.6561433	2578.167	380.1198
462.8224	83.86491	29.7289	-0.7606937	2739.905	469.9597
462.8732	78.97467	32.15664	-0.4424587	2687.645	447.9912
462.9240	80.10665	31.43712	-0.5308626	2526.36	444.0089
462.9748	73.14613	32.16049	0.0583964	2512.363	418.3337
463.0256	68.66202	31.9611	0.4172791	2635.815	531.8301
463.0764	65.67913	33.90467	-0.0698933	2420.244	460.0812
463.1272	66.69154	36.01794	0.0343405	2496	424.2418
463.1780	64.8225	37.65421	-0.2870976	2496	483.9767
463.2288	62.2947	34.89318	0.2710247	2545.999	452.0006
463.2796	58.11306	35.73586	0.2992982	2552.045	441.9658
463.3304	48.27551	34.15808	0.4321634	2679.875	344.0601
463.3812	40.40482	31.72278	0.4951994	2506.644	427.6891
463.4320	31.51121	31.96956	0.7645741	2615.892	558.0612
463.4828	25.96024	31.01213	0.9318948	2541.844	599.8618
463.5336	23.07256	28.18054	0.9614981	2456.224	524.1975
463.5844	22.51759	27.96677	1.102843	2704.158	607.7141
463.6352	23.94133	29.2994	0.8530889	2765.885	496.2088
463.6860	24.00364	31.47665	0.8592708	2664.153	555.9098
463.7368	26.52117	29.41774	0.8994851	2544.205	480.1024
463.7876	24.6056	27.56307	1.090373	2599.957	507.9787
463.8384	24.34936	24.93773	1.0061	2679.968	583.9699
463.8892	22.41081	26.91534	1.061193	2779.997	548.001
463.9400	25.57171	27.66603	0.8407602	2718.038	480.0137
463.9908	27.44403	28.96531	0.7684673	2827.952	519.9459
464.0416	28.99772	27.8451	0.6945241	2759.879	444.013
464.0924	27.23312	29.4698	0.9524677	2648.225	456.0924
464.1432	26.99085	29.54387	0.9641036	2803.536	519.8097
464.1940	23.69442	33.45199	1.079637	2584.403	475.9387
464.2448	22.14501	28.67616	1.470611	2767.735	448.1579
464.2956	20.40931	29.29077	1.442122	2664.195	509.884
464.3464	20.50313	29.12566	1.631685	2608.42	551.7244
464.3972	22.18337	30.00765	1.531259	2735.855	468.0954
464.4480	24.13408	32.35089	1.126161	2504.179	505.9707
464.4988	36.50016	33.51858	0.6869691	2727.798	448.5436
464.5496	50.16497	34.80243	0.1993102	2682.001	571.9959
464.6004	51.13403	35.99135	0.2119038	2627.968	499.9677
464.6512	63.30693	36.60547	-0.1322664	2532.186	403.9577
464.7020	69.18854	36.45135	-0.2264495	2795.944	344.1134
464.7528	65.0245	37.53205	0.1616696	2744.174	449.6452
464.8036	66.53246	36.59391	0.1140201	2591.877	555.8694
464.8544	79.12188	39.48168	-0.5238482	2523.809	483.9348
464.9052	76.44527	38.80526	-0.2320287	2436.198	454.0674
464.9560	75.90727	37.14343	-0.1809633	2571.773	479.9884
465.0068	73.52901	37.42593	0.02575096	2494.118	476.006
465.0576	75.49044	35.55946	-0.1414773	2452.048	420.0643
465.1084	79.33089	34.6191	-0.4649655	2504.249	435.6151
465.1592	77.98131	36.15468	-0.3558089	2565.975	340.0391
465.2100	74.85132	31.4471	-0.09987436	2583.999	397.9977
465.2608	78.60814	31.8308	-0.412056	2540.022	407.9894
465.3116	77.35438	33.28954	-0.2955505	2605.974	376.0334
465.3624	77.86444	32.15496	-0.3523257	2568.141	423.8214
465.4132	75.7066	33.22463	-0.1599609	2608.017	372.115
465.4640	77.36629	33.04211	-0.3076724	2619.806	451.8418
465.5148	75.87293	29.93517	-0.1789159	2512.283	364.2305
465.5656	73.61391	32.12198	0.02499162	2547.823	423.7365
465.6164	69.89957	34.6442	0.3178455	2478.132	320.1959
465.6672	67.78622	33.49734	0.4821196	2476.003	443.8111
465.7180	72.75402	36.20344	0.07980159	2627.824	428.0185
465.7688	71.44337	36.44306	0.1979576	2663.46	443.7601
465.8196	79.61872	37.74181	-0.5941995	2535.197	336.6643
465.8704	88.38388	38.78909	-0.7799203	2651.861	436.4618
465.9212	93.96915	40.40463	-0.08309298	2495.909	371.3894
465.9720	90.12162	37.47388	-0.6878771	2552.161	354.7904
466.0228	90.66249	38.90791	-0.6383678	2539.181	404.4568
466.0736	84.24182	36.88089	-0.7410765	2691.588	400.5982
466.1244	78.51345	36.34556	-0.3780452	2383.072	407.2938
466.1752	75.04575	34.87322	-0.08523373	2574.99	440.6328
466.2260	73.19074	34.60406	0.07843988	2449.679	422.5561
466.2768	68.12154	32.40069	0.489085	2505.89	441.1115
466.3276	67.61466	32.14158	0.5231431	2447.822	478.963
466.3784	72.29607	33.33582	0.142012	2605.115	423.701
466.4292	65.57505	32.94188	0.625616	2485.525	408.8904
466.4800	64.89033	34.30462	0.6937744	2360.117	418.1576
466.5308	67.60143	36.31516	0.4989631	2549.534	449.8849
466.5816	65.27305	36.57422	0.6711515	2437.96	410.1158
466.6324	63.12054	35.14756	0.7887847	2557.938	400
466.6832	71.17731	37.51162	0.2038557	2627.644	425.6334
466.7340	73.77934	37.30984	0.01504525	2639.153	403.6272
466.7848	76.74971	36.28878	-0.2332219	2508.676	442.9014
466.8356	82.11313	34.43744	-0.6426226	2512.035	411.3455
466.8864	78.10875	33.59963	-0.3480996	2578.436	405.5605
466.9372	77.52913	33.02297	-0.3165411	2548.045	372.0336
466.9880	81.13974	33.33878	-0.5865951	2602.831	377.7077
467.0388	80.55891	32.23855	-0.5510314	2467.969	439.2835
467.0896	78.24241	30.78185	-0.3758243	2605.744	379.1703
467.1404	78.25744	30.50405	-0.3763039	2564.617	408.8129
467.1912	73.13536	31.22029	0.06348758	2435.359	385.3375
467.2420	67.0375	32.48893	0.5468193	2513.879	416.1376
467.2928	61.94012	32.00769	0.8549235	2537.572	421.0478
467.3436	59.41763	32.31104	0.9729452	2521.342	374.7857
467.3944	59.8567	33.62992	0.9613776	2471.388	424.319
467.4452	60.7352	37.13415	0.9256366	2452.463	452.2443
467.4960	60.93633	39.12657	0.9136757	2552.134	437.8807
467.5468	60.17421	39.66107	0.9429293	2520.567	397.0267
467.5976	62.9541	39.39075	0.7941823	2445.888	400.5691
467.6484	59.64883	37.63686	0.9078518	2378.916	461.8457
467.6992	54.05928	34.68426	1.094959	2378.621	480.0616
467.7500	54.02211	33.50262	1.089707	2534.01	443.9624
467.8008	59.19418	33.8114	0.6868282	2543.492	428.568
467.8516	63.89544	34.35214	0.5049933	2529.442	443.2368
467.9024	75.13033	33.91005	-0.1456662	2537.05	490.6877
467.9532	85.09558	32.96437	-0.7868597	2527.219	505.6943
468.0040	88.13667	33.36168	-0.7803695	2471.601	470.6254
468.0548	87.08187	34.91869	-0.7819691	2462.181	461.4089
468.1056	84.21078	36.77236	-0.7837458	2442.865	420.1313
468.1564	81.78781	37.07442	-0.634755	2398.99	391.9899
468.2072	80.08341	36.18844	-0.5249159	2444.62	396.2249
468.2580	78.06109	36.37365	-0.3561707	2373.77	381.9261
468.3088	77.87227	37.29547	-0.339621	2340.71	389.6657
468.3596	80.02819	37.60028	-0.5189236	2441.366	417.2108
468.4104	79.19608	37.25575	-0.4482495	2451.489	460.7662
468.4612	81.17806	37.34125	-0.5597713	2427.205	424.1938
468.5120	87.54648	38.77821	-0.7124217	2502.241	373.8725
468.5628	89.71998	40.10622	-0.6904801	2483.488	409.6774
468.6136	89.66202	38.85035	-0.658187	2412.39	413.6407
468.6644	91.40768	36.29758	-0.5360631	2528.5	419.9912
468.7152	88.40853	34.48241	-0.7445303	2458.459	443.7224
468.7660	87.01786	33.94383	-0.7927103	2461.25	451.0016
468.8168	88.14675	33.07159	-0.7734603	2472.213	422.6382
468.8676	88.51648	31.95991	-0.7254832	2488.885	424.6939
468.9184	90.93353	31.09629	-0.5983005	2537.01	420.5052
468.9692	91.7429	32.20757	-0.3871136	2573.181	448.7333
469.0200	96.09814	33.72935	0.5606797	2564.905	409.605
469.0708	97.6103	33.03313	1.09786	2554.833	365.3255
469.1216	94.67259	34.05565	0.3072413	2472.154	478.3106
469.1724	90.65315	34.89455	-0.6272268	2466.229	436.6517
469.2232	90.33894	33.52932	-0.577445	2467.148	409.152
