HOLE:	U1513E
EXPEDITION:	369
TOP:	117.8197
BOTTOM:	580.0488
DEPTH_WMSF	HALC	HSIG	HSTO	HNEC	HFEC
m	%	cu	in	1/s	1/s
117.8197	56.81646	27.25281	1.049521	2488.535	437.1462
117.8705	58.38638	27.06883	0.9866816	2530.182	450.4368
117.9213	65.70056	28.31309	0.6142258	2448.818	465.6051
117.9721	76.00394	28.52902	-0.1451494	2441.71	422.0561
118.0229	82.23434	26.99487	-0.6620685	2436.376	414.2024
118.0737	85.89767	27.26159	-0.6531135	2483.732	434.2964
118.1245	90.60779	27.50919	-0.6530101	2471.369	398.9986
118.1753	91.68393	27.41668	-0.5095274	2340.288	398.0073
118.2261	92.04379	28.31967	-0.4631414	2404.426	440.1317
118.2769	88.89288	29.20942	-0.7280644	2481.012	454.3797
118.3277	85.0263	30.36683	-0.7739631	2416.164	448.6899
118.3785	83.965	31.44958	-0.7524558	2441.542	433.5307
118.4293	83.04574	31.40091	-0.6874952	2499.755	432.2199
118.4801	79.6629	31.77523	-0.4832613	2460.294	405.7773
118.5309	79.29901	32.20028	-0.4507081	2451.572	378.3248
118.5817	79.40831	31.51296	-0.4562601	2438.678	385.804
118.6325	77.52496	30.72203	-0.3002723	2355.003	414.8419
118.6833	76.80929	30.61575	-0.2424816	2360.653	447.4281
118.7341	78.3478	30.66295	-0.3700599	2354.461	419.1843
118.7849	77.09326	30.72563	-0.2635725	2305.344	411.3863
118.8357	74.76204	30.24917	-0.06253197	2318.865	423.566
118.8865	72.77442	29.64398	0.1141184	2443.485	421.8696
118.9373	68.87578	29.44791	0.42628	2426.937	420.2351
118.9881	65.06556	28.53839	0.6826466	2397.422	437.6524
119.0389	63.34344	27.05883	0.784873	2408.783	445.1847
119.0897	63.95362	26.84545	0.7535473	2421.145	411.1009
119.1405	67.22218	27.44715	0.5278684	2409.967	410.206
119.1913	72.58199	28.75983	0.1111182	2351.345	428.6394
119.2421	78.5304	29.40122	-0.3819716	2372.501	432.5481
119.2929	82.06073	28.91259	-0.6727571	2348.552	426.2985
119.3437	78.89706	28.68283	-0.4193505	2362.661	456.7775
119.3945	72.27666	28.44687	0.1317648	2416.183	485.3551
119.4453	69.00874	27.64198	0.404337	2461.432	459.9014
119.4961	69.25031	27.42871	0.3816847	2501.017	443.7655
119.5469	68.71007	27.64574	0.4252699	2447.367	445.9446
119.5977	71.09993	27.56868	0.2345348	2441.804	443.7797
119.6485	72.40816	27.23439	0.1399306	2468.456	441.6208
119.6993	69.93574	27.1763	0.3555615	2396.995	429.6647
119.7501	70.92298	27.38399	0.2786853	2402.045	423.6787
119.8009	72.63055	27.57968	0.140317	2382.179	414.0673
119.8517	73.77122	27.47141	0.03728209	2321.131	402.4718
119.9025	77.45381	27.48037	-0.2873938	2393.776	424.1273
119.9533	78.96261	27.99462	-0.4171405	2430.581	449.2731
120.0041	79.93924	28.74314	-0.4953502	2450.32	425.0929
120.0549	82.85793	29.61912	-0.7011418	2424.765	410.5363
120.1057	82.49007	30.82683	-0.6753548	2381.482	452.507
120.1565	80.83474	31.97858	-0.5725906	2395.167	472
120.2073	80.48743	32.73124	-0.5459569	2448.346	462.3293
120.2581	79.11924	33.02461	-0.4360431	2491.925	438.0466
120.3089	79.44509	33.2962	-0.4575765	2435.194	444.9437
120.3597	80.33314	33.8979	-0.5334588	2413.563	459.8266
120.4105	77.8014	33.34743	-0.3284427	2393.625	464.4337
120.4613	74.49667	32.78514	-0.04825171	2401.417	459.2925
120.5121	72.63138	32.6291	0.1194673	2385.573	440.5781
120.5629	69.92342	31.75677	0.3366471	2348.344	439.3276
120.6137	66.82085	31.06889	0.5786877	2391.054	450.3976
120.6645	64.97272	30.44989	0.6989038	2436.005	434.6599
120.7153	63.22702	29.42067	0.7835032	2372.751	418.8611
120.7661	62.87164	30.33334	0.7984626	2354.026	410.8614
120.8169	62.39225	31.00198	0.8180816	2424.636	431.9696
120.8677	63.67642	30.8756	0.7489775	2469.888	432.7449
120.9185	67.96707	30.81727	0.4761462	2442.707	392.3814
120.9693	71.93236	30.7335	0.1610119	2413.635	405.8114
121.0201	72.62404	30.75273	0.1017697	2409.715	480.9911
121.0709	70.36279	30.47798	0.2868723	2472.489	451.5815
121.1217	68.17828	29.45012	0.45779	2429.673	417.4514
121.1725	65.71687	27.92142	0.6324143	2340.61	439.3257
121.2233	64.34254	27.25706	0.7286147	2364.362	462.4156
121.2741	62.42455	26.69467	0.828382	2435.028	427.9068
121.3249	62.51131	26.42245	0.8268768	2387.65	398.122
121.3757	67.26662	26.81683	0.526213	2427.789	410.8768
121.4265	72.33293	27.59037	0.1350775	2451.065	415.4174
121.4773	76.03288	28.18712	-0.1866242	2334.374	422.0391
121.5281	81.16231	28.25444	-0.5711665	2368.371	429.714
121.5789	84.19824	28.5615	-0.7775291	2450.275	394.3106
121.6297	81.12841	29.46241	-0.5765319	2436.827	396.131
121.6805	79.1851	29.73254	-0.4584402	2478.135	389.5569
121.7313	78.54107	29.65146	-0.4103917	2422.25	416.2919
121.7821	76.09442	29.77146	-0.2049987	2409.184	420.6337
121.8329	73.63884	29.33438	0.01817846	2440.907	428.2877
121.8837	73.96079	29.03833	0.003128836	2373.918	426.3801
121.9345	75.8993	28.92105	-0.1687415	2349.909	440.0904
121.9853	74.54557	29.15595	-0.05534821	2339.994	452.2273
122.0361	73.94549	29.51456	0.007144698	2397.537	428.1225
122.0869	74.17346	30.17169	-0.002110714	2398.992	440.7774
122.1377	74.36277	29.4766	-0.02483505	2431.52	467.8713
122.1885	78.29511	29.58785	-0.3561544	2465.752	471.901
122.2393	82.4417	30.68543	-0.6696528	2429.128	463.2467
122.2901	83.61528	30.00292	-0.7503468	2422.363	455.8751
122.3409	82.631	29.59898	-0.7004102	2425.479	464.7741
122.3917	83.01245	28.99464	-0.7191333	2446.073	460.766
122.4425	79.98823	28.95101	-0.4960615	2441.46	448.9032
122.4933	77.05211	30.27288	-0.2781958	2417.119	445.597
122.5441	73.93347	30.24234	-0.004594755	2383.664	431.1521
122.5949	69.48279	29.11086	0.3606828	2454.103	473.2418
122.6457	69.12421	30.585	0.4015308	2494.206	480.4863
122.6965	72.54134	30.39567	0.1190724	2433.422	450.5396
122.7473	76.23402	30.81477	-0.2044265	2441.164	430.9131
122.7981	78.25728	31.89546	-0.3772368	2513.25	459.7457
122.8489	79.90573	31.76851	-0.5151834	2486.485	470.8463
122.8997	80.87985	31.86211	-0.5920419	2427.245	449.9722
122.9505	80.34625	31.15098	-0.546589	2448.396	430.5798
123.0013	76.18216	30.05669	-0.1904778	2407.69	429.8389
123.0521	77.721	29.95892	-0.3207541	2457.887	419.941
123.1029	80.33443	29.58933	-0.5419871	2423.317	410.7437
123.1537	77.51385	29.72683	-0.2971999	2379.542	430.5311
123.2045	75.61624	30.64312	-0.1273776	2421.072	392.9564
123.2553	73.78711	29.27858	0.03282105	2402.933	400.7748
123.3061	72.52881	28.7402	0.1416471	2339.201	449.6242
123.3569	72.0662	28.38251	0.1749451	2440.508	451.6887
123.4077	71.72403	28.52656	0.2035837	2415.981	427.016
123.4585	75.24923	28.78764	-0.1035636	2438.575	440.8622
123.5093	78.82084	27.51058	-0.414582	2421.086	426.8886
123.5601	78.11804	26.71004	-0.3675287	2379.388	423.1952
123.6109	76.95733	27.65645	-0.274741	2431.378	402.4928
123.6617	73.47398	28.19447	0.02895786	2395.873	435.5425
123.7125	70.9881	28.4823	0.2389726	2386.004	456.5659
123.7633	70.94802	28.35957	0.2160462	2440.629	420.3607
123.8141	69.38628	28.23813	0.3467671	2387.063	435.0953
123.8649	70.94597	29.43484	0.1038198	2356.769	433.5842
123.9157	73.03539	29.88621	-0.05018253	2386.779	471.3815
123.9665	73.24747	29.80564	-0.07598094	2348.834	496
124.0173	72.87009	29.8299	0.02553178	2429.219	445.8061
124.0681	71.02621	29.56167	0.2264993	2414.779	443.0735
124.1189	68.13153	29.98518	0.4570227	2454.947	493.0323
124.1697	65.60535	29.91801	0.6311665	2369.395	487.1236
124.2205	60.82158	28.56678	0.8776072	2349.189	494.3656
124.2713	59.39977	27.27702	0.9588148	2431.592	491.9067
124.3221	58.07598	26.29604	1.005465	2400.003	471.1746
124.3729	57.55192	25.92323	1.025231	2365.02	465.3582
124.4237	59.51961	25.69922	0.9607574	2486.919	484.5248
124.4745	61.93202	24.69513	0.8502094	2504.757	459.7953
124.5253	62.57846	23.91464	0.8163081	2391.708	464.452
124.5761	62.86691	23.60165	0.8041257	2463.147	447.9549
124.6269	62.78716	22.01038	0.7990068	2497.76	474.3035
124.6777	62.86943	21.90093	0.5719508	2522.725	454.491
124.7285	62.77253	21.7302	0.6213741	2468.405	439.1769
124.7793	61.33585	23.03122	0.4008881	2535.756	415.1644
124.8301	60.60061	23.9297	0.4485058	2518.801	442.0175
124.8809	60.62735	24.11203	0.5040125	2479.019	428.9964
124.9317	60.178	23.47937	0.7934128	2433.527	417.8515
124.9825	57.1773	24.57085	1.020579	2397.763	436.4358
125.0333	58.28308	26.15916	1.003463	2447.505	421.5589
125.0841	59.68481	26.35503	0.9442934	2486.072	430.7626
125.1349	62.89812	26.18016	0.7996176	2407.353	463.5905
125.1857	64.45184	26.28071	0.7193058	2499.037	441.535
125.2365	64.75271	27.14289	0.6901467	2481.046	429.8921
125.2873	63.63619	27.11013	0.662342	2449.155	413.1211
125.3381	63.97936	26.44279	0.6896119	2412.244	410.2907
125.3889	62.32148	26.10325	0.5537566	2496.452	441.9638
125.4397	59.47746	24.88791	0.708438	2415.736	485.4977
125.4905	59.73349	24.54748	0.7497579	2458.853	477.3297
125.5413	60.43611	24.30942	0.5551379	2554.902	465.497
125.5921	58.3448	22.63092	0.8679962	2456.332	470.7695
