HOLE:	U1513E
EXPEDITION:	369
TOP:	0.0041
BOTTOM:	585.7788
DEPTH_WMSF	HGR	EHGR
m	gAPI	gAPI
0.0041	3.600618	4.086164
0.0549	2.883993	3.272901
0.1057	3.587292	4.071041
0.1565	1.438694	1.632702
0.2073	1.437626	1.631491
0.2581	1.441808	1.636236
0.3089	2.87864	3.266827
0.3597	3.592223	4.076637
0.4105	2.877341	3.265352
0.4613	2.875191	3.262912
0.5121	2.878834	3.267046
0.5629	3.596611	4.081616
0.6137	4.312052	4.893535
0.6645	3.592986	4.077503
0.7153	2.868406	3.255212
0.7661	1.43761	1.631472
0.8169	1.446565	1.641635
0.8677	2.880489	3.268925
0.9185	3.600523	4.086056
0.9693	2.881689	3.270287
1.0201	2.882019	3.270661
1.0709	2.040705	2.315896
1.1217	2.043451	2.319012
1.1725	2.397335	2.720617
1.2233	1.800956	2.043816
1.2741	2.512833	2.85169
1.3249	1.444938	1.639789
1.3757	2.878314	3.266457
1.4265	4.333451	4.91782
1.4773	6.465636	7.337531
1.5281	5.03243	5.711056
1.5789	3.767324	4.275351
1.6297	3.058518	3.470961
1.6805	3.780288	4.290063
1.7313	5.749458	6.524776
1.7821	5.042248	5.722199
1.8329	5.753319	6.529158
1.8837	4.673728	5.303984
1.9345	4.13063	4.687649
1.9853	2.70154	3.065844
2.0361	1.497747	1.699719
2.0869	0.6067518	0.6885726
2.1377	2.036655	2.3113
2.1885	1.437608	1.63147
2.2393	1.435609	1.629201
2.2901	0.0000273	0.0000309
2.3409	0.004996658	0.005670461
2.3917	0.7198952	0.8169735
2.4425	0.7198952	0.8169735
2.4933	0.7198865	0.8169637
2.5441	0.7214125	0.8186955
2.5949	1.438685	1.632693
2.6457	1.43869	1.632698
2.6965	1.436387	1.630085
2.7473	0.7198951	0.8169734
2.7981	0.7238068	0.8214126
2.8489	1.44177	1.636194
2.8997	2.156398	2.447189
2.9505	2.1517	2.441858
3.0013	1.43501	1.628522
3.0521	0.71954	0.8165704
3.1029	1.431059	1.624038
3.1537	0.7188175	0.8157505
3.2045	0.7162335	0.812818
3.2553	0.008601028	0.009760882
3.3061	2.162874	2.454539
3.3569	2.162874	2.454539
3.4077	2.151906	2.442091
3.4585	0.007799171	0.008850894
3.5093	1.436908	1.630676
3.5601	2.884034	3.272948
3.6109	4.312783	4.894364
3.6617	4.314029	4.895778
3.7125	2.872132	3.25944
3.7633	2.154454	2.444984
3.8141	0.7211257	0.8183699
3.8649	1.433956	1.627326
3.9157	0.7205717	0.8177413
3.9665	1.436187	1.629857
4.0173	0.7188174	0.8157504
4.0681	0.7260749	0.8239866
4.1189	2.160081	2.45137
4.1697	2.887796	3.277218
4.2205	4.314141	4.895905
4.2713	2.156224	2.446993
4.3221	1.427726	1.620256
4.3729	0.001801306	0.002044213
4.4237	0.7188175	0.8157505
4.4745	0.7188175	0.8157505
4.5253	0.721395	0.8186756
4.5761	1.439763	1.633916
4.6269	1.439763	1.633916
4.6777	1.433054	1.626302
4.7285	0.0000273	0.0000310
4.7793	0.01175097	0.01333559
4.8301	2.167009	2.459232
4.8809	2.88059	3.269039
4.9317	2.866539	3.253094
4.9825	0.7192426	0.8162329
5.0333	1.435459	1.629032
5.0841	1.440929	1.635239
5.1349	2.150739	2.440768
5.1857	0.7224582	0.8198822
5.2365	1.438681	1.632689
5.2873	1.4407	1.63498
5.3381	2.159544	2.45076
5.3889	2.876282	3.264151
5.4397	2.876271	3.264138
5.4905	2.874822	3.262493
5.5413	3.595063	4.07986
5.5921	3.596132	4.081073
5.6429	3.590552	4.074739
5.6937	1.433488	1.626794
5.7445	0.7167929	0.8134529
5.7953	0.0000277	0.0000314
5.8461	0.005131072	0.005823
5.8969	1.435459	1.629032
5.9477	1.435459	1.629032
5.9985	2.868503	3.255322
6.0493	1.439763	1.633916
6.1001	1.439763	1.633916
6.1509	1.439763	1.633916
6.2017	1.439763	1.633916
6.2525	1.43976	1.633912
6.3033	1.452433	1.648294
6.3541	3.607201	4.093635
6.4049	5.034971	5.713941
6.4557	4.307784	4.88869
6.5065	2.879654	3.267978
6.5573	5.035207	5.714209
6.6081	4.318158	4.900464
6.6589	4.311506	4.892916
6.7097	2.881973	3.270609
6.7605	4.317102	4.899266
6.8113	4.309909	4.891102
6.8621	2.876276	3.264144
6.9129	2.871621	3.258861
6.9637	2.156406	2.447198
7.0145	2.151825	2.442
7.0653	0.7307762	0.8293219
7.1161	2.159755	2.451
7.1669	2.882442	3.271141
7.2177	4.313629	4.895324
7.2685	2.884709	3.273714
7.3193	3.598178	4.083395
7.3701	4.319245	4.901698
7.4209	4.307697	4.888593
7.4717	2.162187	2.45376
7.5225	1.441991	1.636445
7.5733	2.157476	2.448413
7.6241	2.15575	2.446454
7.6749	1.32969	1.508999
7.7257	2.759072	3.131135
7.7765	2.759452	3.131566
7.8273	2.876969	3.26493
7.8781	2.167357	2.459626
7.9289	3.596447	4.08143
7.9797	4.311592	4.893013
8.0305	3.58934	4.073365
8.0813	2.875452	3.263209
8.1321	1.442785	1.637346
8.1829	2.157336	2.448254
8.2337	2.87976	3.268097
8.2845	4.31708	4.89924
8.3353	4.318829	4.901226
8.3861	5.045424	5.725803
8.4369	5.747959	6.523075
8.4877	5.028313	5.706384
8.5385	2.86427	3.250518
8.5893	1.438686	1.632693
8.6401	1.441998	1.636452
8.6909	2.158643	2.449737
8.7417	2.654052	3.011953
8.7925	5.512728	6.256123
8.8433	5.513043	6.25648
8.8941	5.738376	6.512199
8.9449	3.057599	3.469918
8.9957	3.055568	3.467614
9.0465	2.215167	2.513883
9.0973	2.218493	2.517658
9.1481	2.220365	2.519782
9.1989	3.059817	3.472435
9.2497	3.603477	4.089409
9.3005	4.316954	4.899097
