HOLE:	U1513E
EXPEDITION:	369
TOP:	0.0373
BOTTOM:	585.8627
DEPTH_WMSF	HGR	EHGR
m	gAPI	gAPI
0.0373	1.440145	1.07647
0.0881	2.150772	1.607644
0.1389	0.719542	0.5377461
0.1897	0.7188015	0.5371926
0.2405	0.7188015	0.5371926
0.2913	0.7188015	0.5372848
0.3421	0.7188015	0.5372848
0.3929	0.7207152	0.5387152
0.4437	2.161918	1.615976
0.4945	2.879489	2.152341
0.5453	2.882982	2.154951
0.5961	4.31851	3.22797
0.6469	5.047017	3.772509
0.6977	7.188919	5.373521
0.7485	5.033477	3.761744
0.7993	5.74116	4.290626
0.8501	3.596464	2.687799
0.9009	3.593674	2.685714
0.9517	2.164566	1.617677
1.0025	2.876678	2.14987
1.0533	2.161652	1.615776
1.1041	2.87275	2.147303
1.1549	1.437591	1.07456
1.2057	1.437591	1.074377
1.2565	2.166882	1.619408
1.3073	3.607016	2.695686
1.3581	4.32263	3.23105
1.4089	3.592685	2.685436
1.4597	2.157157	1.612417
1.5105	1.437714	1.074468
1.5613	2.878763	2.151428
1.6121	3.596121	2.687542
1.6629	3.594769	2.686532
1.7137	2.154155	1.609896
1.7645	1.44121	1.077081
1.8153	3.59897	2.689672
1.8661	2.881647	2.153584
1.9169	2.875663	2.149112
1.9677	0.7223711	0.5398602
2.0185	0.7314442	0.5466411
2.0693	4.318313	3.227269
2.1201	5.749543	4.296891
2.1709	5.015	3.747934
2.2217	1.437458	1.074277
2.2725	0.7231312	0.5404283
2.3233	0.7354316	0.549621
2.3741	2.878567	2.151282
2.4249	2.156382	1.611561
2.4757	2.154931	1.610476
2.5265	1.441908	1.077603
2.5773	1.441908	1.077788
2.6281	2.160505	1.614919
2.6789	0.7231312	0.5405211
2.7297	0.7231312	0.5405211
2.7805	0.7209597	0.538898
2.8313	0.7209597	0.538898
2.8821	1.918378	1.433936
2.9329	2.099938	1.569648
2.9837	2.098846	1.568831
3.0345	0.9013956	0.6737689
3.0853	0.002390661	0.001786955
3.1361	1.441908	1.077788
3.1869	1.441908	1.077972
3.2377	2.154577	1.610765
3.2885	0.7166557	0.5357722
3.3393	0.7166557	0.5355891
3.3901	0.7188013	0.5371924
3.4409	0.7188013	0.5371924
3.4917	1.439602	1.075879
3.5425	0.728093	0.5441366
3.5933	2.162856	1.616399
3.6441	2.160699	1.615064
3.6949	2.151977	1.608545
3.7457	0.7199794	0.5381653
3.7965	1.439039	1.075643
3.8473	2.15854	1.613451
3.8981	2.156588	1.611992
3.9489	1.445284	1.080311
3.9997	0.7256357	0.5423932
4.0505	1.439149	1.075726
4.1013	0.7192233	0.5376922
4.1521	1.621343	1.212118
4.2029	1.621561	1.212281
4.2537	3.058827	2.286391
4.3045	2.883324	2.155207
4.3553	4.311849	3.22299
4.4061	3.592793	2.685055
4.4569	2.876608	2.149818
4.5077	3.595655	2.687196
4.5585	4.31127	3.222558
4.6093	4.303831	3.216998
4.6601	1.435109	1.072705
4.7109	0.7194937	0.53771
4.7617	1.440613	1.076635
4.8125	2.158377	1.613052
4.8633	2.87723	2.150652
4.9141	2.158541	1.613452
4.9649	2.15791	1.61298
5.0157	1.440648	1.076845
5.0665	2.157376	1.612581
5.1173	1.436172	1.073501
5.1681	0.7205575	0.5386893
5.2189	0.001975091	0.001476581
5.2697	0.7231725	0.5406436
5.3205	1.438788	1.075271
5.3713	1.439743	1.075984
5.4221	1.437594	1.074378
5.4729	2.874828	2.148856
5.5237	2.875162	2.149107
5.5745	2.872674	2.147246
5.6253	2.164149	1.617643
5.6761	3.600477	2.69126
5.7269	3.599313	2.69039
5.7777	2.875185	2.149124
5.8285	2.873507	2.147869
5.8793	2.158541	1.61345
5.9301	2.158541	1.613175
5.9809	0.7209604	0.538806
6.0317	0.7236836	0.5408419
6.0825	1.43715	1.074231
6.1333	1.437592	1.074561
6.1841	1.437423	1.074435
6.2349	0.0000116	0.0000087
6.2857	0.004062665	0.003036212
6.3365	0.7205618	0.5385084
6.3873	2.156382	1.611838
6.4381	2.156387	1.611841
6.4889	2.155205	1.610958
6.5397	0.7239757	0.5410601
6.5905	2.156328	1.611521
6.6413	1.440668	1.076677
6.6921	2.335857	1.74599
6.7429	2.335467	1.745699
6.7937	3.055393	2.283824
6.8445	2.156269	1.611753
6.8953	0.7193304	0.5376801
6.9461	0.000618362	0.000462209
6.9969	0.7205508	0.5385923
7.0477	2.162974	1.616765
7.0985	3.596884	2.688574
7.1493	2.88127	2.153303
7.2001	2.152517	1.608673
7.2509	0.7188022	0.5371931
7.3017	0.7188022	0.5371931
7.3525	0.7269474	0.5432804
7.4033	2.873792	2.147714
7.4541	6.478928	4.841993
7.5049	7.196011	5.377901
7.5557	5.765106	4.308522
7.6065	5.035857	3.764168
7.6573	5.027245	3.75773
7.7081	4.309371	3.221138
7.7589	2.155754	1.611091
7.8097	0.7226255	0.5400504
7.8605	1.445718	1.080449
7.9113	2.86839	2.143677
7.9621	4.312786	3.223138
8.0129	4.305245	3.217503
8.0637	2.880423	2.152669
8.1145	2.880303	2.152579
8.1653	3.059921	2.286816
8.2161	3.77865	2.824439
8.2669	3.769298	2.817449
8.3177	2.875179	2.149119
8.3685	2.87725	2.151036
8.4193	1.443305	1.079016
8.4701	2.161735	1.616115
8.5209	0.726207	0.5427282
8.5717	0.7296904	0.5453303
8.6225	2.888678	2.15884
8.6733	4.319908	3.229015
8.7241	5.750054	4.298011
8.7749	3.596762	2.688483
8.8257	3.600492	2.691271
8.8765	4.319219	3.2285
8.9273	4.31765	3.227328
8.9781	5.030698	3.760312
9.0289	4.317204	3.226994
9.0797	7.189303	5.373811
9.1305	7.913514	5.915139
9.1813	7.192734	5.376375
9.2321	5.756801	4.303052
9.2829	5.039037	3.765899
