HOLE:	U1513E
EXPEDITION:	369
TOP:	461.2476
BOTTOM:	584.6916
DEPTH_WMSF	HGR	EHGR
m	gAPI	gAPI
461.2476	19.40729	17.34344
461.2984	19.40755	17.34344
461.3492	20.12821	17.34344
461.4000	23.01646	17.34344
461.4508	20.85258	15.70562
461.5016	21.60521	16.27285
461.5524	19.43258	14.83665
461.6032	18.01598	13.75562
461.6540	20.83964	15.91155
461.7048	23.71576	18.36223
461.7556	26.59559	20.59234
461.8064	20.27284	15.69678
461.8572	18.85482	14.78362
461.9080	18.11176	14.20108
461.9588	17.98436	14.10127
462.0096	16.56829	13.23597
462.0604	21.60039	17.2574
462.1112	27.35606	21.85724
462.1620	29.4641	24.50359
462.2128	22.29048	18.5397
462.2636	25.90577	21.54883
462.3144	23.0605	20.02348
462.3652	25.19959	21.88278
462.4160	21.58498	18.74393
462.4668	20.12717	18.18128
462.5176	18.69814	16.89092
462.5684	20.87722	18.85939
462.6192	25.16297	23.74469
462.6700	21.58013	20.36379
462.7208	17.23271	16.2619
462.7716	12.24904	12.00915
462.8224	15.10509	14.81189
462.8732	20.85748	20.45437
462.9240	26.5824	26.86623
462.9748	33.77054	34.13291
463.0256	29.50049	29.81704
463.0764	30.9624	32.16408
463.1272	27.34146	28.40343
463.1780	26.62369	27.65779
463.2288	25.87226	27.27093
463.2796	22.30655	23.51246
463.3304	29.4678	31.06095
463.3812	25.90907	27.43341
463.4320	27.32604	28.9343
463.4828	22.27797	23.58921
463.5336	24.45721	25.94262
463.5844	25.18176	26.71129
463.6352	25.20953	26.74074
463.6860	24.43999	26.03045
463.7368	26.61275	28.34479
463.7876	23.75029	25.29603
463.8384	20.88918	22.30302
463.8892	17.9849	19.2022
463.9400	15.8282	16.89953
463.9908	15.0817	16.13441
464.0416	15.10033	16.15435
464.0924	14.38234	15.38627
464.1432	14.39515	15.42133
464.1940	11.53012	12.35211
464.2448	15.13085	16.21037
464.2956	20.85577	22.67117
464.3464	22.99181	24.99363
464.3972	20.12935	21.88194
464.4480	13.66197	14.88843
464.4988	10.06308	10.96649
464.5496	10.07597	10.98055
464.6004	13.69393	14.94085
464.6512	20.88143	22.78282
464.7020	23.73804	25.89981
464.7528	23.73804	26.14771
464.8036	20.85897	22.97713
464.8544	18.70692	20.60676
464.9052	17.2542	19.10814
464.9560	19.40521	21.49055
465.0068	18.68959	20.69803
465.0576	18.70576	20.71856
465.1084	20.19375	22.36667
465.1592	25.20306	27.915
465.2100	24.46908	27.54557
465.2608	18.68803	21.03769
465.3116	17.25093	19.42126
465.3624	17.25093	21.37335
465.4132	20.86658	25.86186
465.4640	19.4517	24.10802
465.5148	20.13324	24.81349
465.5656	18.72173	23.07353
465.6164	22.28047	27.45948
465.6672	25.19216	30.72635
465.7180	28.02951	34.18652
465.7688	23.09156	28.1639
465.8196	22.33814	29.19984
465.8704	18.84732	24.67895
465.9212	24.19258	31.67811
465.9720	24.44017	32.4332
466.0228	25.78208	34.24121
466.0736	27.24045	36.17807
466.1244	33.24875	44.19188
466.1752	37.07759	49.28388
466.2260	34.19291	45.44955
466.2768	27.48621	34.69439
466.3276	23.47972	29.364
466.3784	21.14731	26.44706
466.4292	22.9016	28.74122
466.4800	21.74234	27.30123
466.5308	22.06079	27.70109
466.5816	19.49047	24.64517
466.6324	17.43784	22.08939
466.6832	21.12937	26.76564
466.7340	19.99005	25.12833
466.7848	21.66197	27.16555
466.8356	20.62944	25.8707
466.8864	21.21472	26.18639
466.9372	24.27925	29.82487
466.9880	21.47547	26.38067
467.0388	19.11844	24.11625
467.0896	14.03899	17.89581
467.1404	10.19708	12.99845
467.1912	10.3469	12.47948
467.2420	12.26113	14.46818
467.2928	16.35845	19.30303
467.3436	19.90196	22.78541
467.3944	20.8778	23.58349
467.4452	21.33434	24.09919
467.4960	19.76252	22.26811
467.5468	21.3884	24.05981
467.5976	22.11824	24.88082
467.6484	23.73166	26.80462
467.6992	24.72856	27.99456
467.7500	29.10784	32.95222
467.8008	32.43212	38.10389
467.8516	32.83597	39.63443
467.9024	29.13043	35.16169
467.9532	24.70437	30.42845
468.0040	23.33594	29.27018
468.0548	24.50414	30.73545
468.1056	26.25316	33.62772
468.1564	25.18964	32.89431
468.2072	24.09953	31.47076
468.2580	25.48911	33.89899
468.3088	27.61944	37.38996
468.3596	28.43085	38.48841
468.4104	28.06084	37.93894
468.4612	28.37693	38.30548
468.5120	28.48178	38.44702
468.5628	28.967	39.14217
468.6136	31.28611	42.33182
468.6644	33.14818	44.8513
468.7152	32.94199	44.63223
468.7660	30.36411	41.23208
468.8168	27.18919	36.92079
468.8676	27.38575	37.1877
468.9184	29.16015	39.5972
468.9692	27.56316	37.42862
469.0200	23.33907	31.69154
469.0708	20.5692	27.92781
469.1216	24.11726	32.74519
469.1724	27.86814	37.83952
469.2232	30.49679	41.41225
469.2740	29.08021	39.48864
469.3248	27.49009	37.32705
469.3756	24.45929	33.20537
469.4264	19.08957	25.91556
469.4772	15.31667	20.7757
469.5280	13.9856	18.90854
469.5788	15.56838	21.04846
469.6296	17.12339	22.84871
469.6804	17.92136	22.58088
469.7312	24.02652	30.27337
469.7820	24.66792	30.9903
469.8328	22.29636	27.55992
469.8836	22.48988	27.79912
469.9344	24.23732	29.96268
469.9852	26.38451	32.63825
470.0360	19.96808	24.70097
470.0868	18.70601	23.13582
470.1376	19.07526	23.56025
470.1884	22.76952	28.1231
470.2392	27.67311	34.17904
470.2900	31.62673	39.0553
470.3408	31.62882	39.05788
470.3916	31.35784	38.72325
470.4424	25.15176	31.05947
470.4932	24.41017	30.14369
470.5440	21.69069	26.79414
470.5948	28.07627	35.2674
470.6456	27.31687	34.31349
470.6964	27.314	34.30988
470.7472	25.24253	34.21156
