HOLE:	U1513E
EXPEDITION:	369
TOP:	0.0372
BOTTOM:	575.1440
DEPTH_WMSF	HGR	EHGR
m	gAPI	gAPI
0.0372	5.873881	6.665977
0.0880	5.697652	6.465984
0.1388	3.903915	4.430361
0.1896	2.694622	3.057993
0.2404	0.004015913	0.004557461
0.2912	-0.0000478	-0.0000543
0.3420	1.440419	1.634661
0.3928	2.156034	2.446777
0.4436	2.876167	3.264019
0.4944	1.438852	1.632882
0.5452	2.159051	2.450201
0.5960	1.442363	1.636867
0.6468	1.437611	1.631473
0.6976	-0.0000478	-0.0000543
0.7484	-0.0000478	-0.0000543
0.7992	1.449138	1.644555
0.8500	4.30732	4.888165
0.9008	4.312713	4.894285
0.9516	7.175725	8.143376
1.0024	5.034231	5.7131
1.0532	7.191278	8.161027
1.1040	3.479018	3.948165
1.1548	4.560222	5.17517
1.2056	3.125772	3.547285
1.2564	2.520054	2.859885
1.3072	2.161663	2.453165
1.3580	2.875139	3.262854
1.4088	3.594029	4.078686
1.4596	2.158501	2.449576
1.5104	0.72254	0.819975
1.5612	0.7187419	0.8156647
1.6120	0.7187419	0.8156647
1.6628	2.159504	2.450715
1.7136	2.175289	2.468628
1.7644	5.758729	6.535298
1.8152	4.317007	4.899158
1.8660	4.315145	4.897045
1.9168	1.616828	1.834858
1.9676	1.616828	1.834858
2.0184	0.898788	1.01999
2.0692	0.7202936	0.8174257
2.1200	1.436982	1.63076
2.1708	1.440681	1.634958
2.2216	2.154157	2.444647
2.2724	2.874281	3.261879
2.3232	3.592125	4.076525
2.3740	2.878649	3.266837
2.4248	1.438691	1.632699
2.4756	1.438385	1.632352
2.5264	0.7198196	0.8168877
2.5772	0.7198196	0.8168877
2.6280	-0.0000483	-0.0000548
2.6788	0.001230106	0.001395987
2.7296	0.7157757	0.8122984
2.7804	1.437535	1.631388
2.8312	1.437535	1.631388
2.8820	0.7209255	0.8181428
2.9328	0.7187419	0.8156647
2.9836	0.7187419	0.8156647
3.0344	2.87741	3.265431
3.0852	2.159602	2.450825
3.1360	2.1589	2.450028
3.1868	0.008834881	0.01002627
3.2376	0.0007030896	0.0007979017
3.2884	0.7208335	0.8180383
3.3392	1.438598	1.632593
3.3900	1.439227	1.633308
3.4408	0.7225389	0.8199736
3.4916	0.001334207	0.001514126
3.5424	1.442019	1.636476
3.5932	2.157634	2.448593
3.6440	2.158478	2.44955
3.6948	0.7249758	0.8227392
3.7456	2.152997	2.443331
3.7964	2.153528	2.443933
3.8472	3.591399	4.075701
3.8980	1.439688	1.633831
3.9488	1.439688	1.633831
3.9996	-0.0000481	-0.0000546
4.0504	0.001229367	0.001395148
4.1012	0.5972779	0.6778213
4.1520	1.320024	1.498031
4.2028	2.218579	2.517756
4.2536	1.621994	1.84072
4.3044	1.617699	1.835847
4.3552	0.7191447	0.8161218
4.4060	1.438553	1.632543
4.4568	0.7200288	0.8171251
4.5076	1.44016	1.634367
4.5584	2.156848	2.447701
4.6092	3.59814	4.083351
4.6600	4.312316	4.893835
4.7108	2.87894	3.267167
4.7616	3.830222	4.346729
4.8124	4.18937	4.754309
4.8632	5.390066	6.11692
4.9140	2.996922	3.401058
4.9648	2.101733	2.385153
5.0156	0.8996601	1.02098
5.0664	0.8991124	1.020358
5.1172	1.437734	1.631614
5.1680	2.153349	2.44373
5.2188	2.877619	3.265667
5.2696	2.156425	2.44722
5.3204	1.440809	1.635103
5.3712	0.7150777	0.8115064
5.4220	0.001598696	0.001814281
5.4728	0.7184229	0.8153027
5.5236	2.162038	2.45359
5.5744	3.595414	4.080258
5.6252	2.877867	3.265949
5.6760	1.433462	1.626765
5.7268	0.0000859	0.0000975
5.7776	2.153297	2.44367
5.8284	2.871889	3.259165
5.8792	2.871169	3.258348
5.9300	2.160909	2.452309
5.9808	2.159739	2.450981
6.0316	2.876828	3.26477
6.0824	2.161216	2.452657
6.1332	1.442811	1.637375
6.1840	2.157353	2.448274
6.2348	3.598635	4.083913
6.2856	4.31526	4.897176
6.3364	3.600718	4.086277
6.3872	2.156472	2.447273
6.4380	3.240498	3.677481
6.4888	3.958323	4.492105
6.5396	4.436293	5.034529
6.5904	2.63641	2.991932
6.6412	2.635927	2.991383
6.6920	3.589187	4.073191
6.7428	6.469455	7.341865
6.7936	5.755979	6.532177
6.8444	3.601634	4.087316
6.8952	1.43754	1.631393
6.9460	1.439689	1.633832
6.9968	3.591809	4.076167
7.0476	2.874126	3.261704
7.0984	2.152728	2.443024
7.1492	0.7236365	0.8212194
7.2000	1.438254	1.632203
7.2508	2.156329	2.447111
7.3016	2.158471	2.449543
7.3524	1.440122	1.634323
7.4032	2.157882	2.448874
7.4540	2.880168	3.268561
7.5048	4.312411	4.893943
7.5556	2.879035	3.267275
7.6064	3.594374	4.079078
7.6572	2.88453	3.273511
7.7080	4.315761	4.897744
7.7588	2.156141	2.446898
7.8096	1.437533	1.631385
7.8604	1.438243	1.632191
7.9112	2.154931	2.445525
7.9620	2.875863	3.263674
8.0128	1.442268	1.636759
8.0636	2.156811	2.447658
8.1144	4.317005	4.899156
8.1652	4.317005	4.899156
8.2160	5.038139	5.717535
8.2668	4.327233	4.910763
8.3176	7.193985	8.164099
8.3684	5.754764	6.530797
8.4192	4.496846	5.103248
8.4700	2.340374	2.655975
8.5208	3.05385	3.465664
8.5716	3.59889	4.084203
8.6224	6.47354	7.3465
8.6732	7.191294	8.161045
8.7240	8.629841	9.79358
8.7748	6.47763	7.351142
8.8256	6.47984	7.35365
8.8764	4.319169	4.901611
8.9272	4.319169	4.901611
8.9780	4.319169	4.901611
9.0288	3.600473	4.085999
9.0796	2.162797	2.454452
9.1304	2.159569	2.450788
9.1812	3.601397	4.087048
9.2320	5.754695	6.53072
9.2828	5.035861	5.71495
