HOLE:	U1513E
EXPEDITION:	369
TOP:	0.0146
BOTTOM:	578.3724
DEPTH_WMSF	HGR	EHGR
m	gAPI	gAPI
0.0146	3.235849	2.55571
0.0654	3.951463	3.121223
0.1162	2.876451	2.272082
0.1670	2.158687	1.705127
0.2178	2.881593	2.276372
0.2686	3.60034	2.844161
0.3194	3.597066	2.841574
0.3702	2.154641	1.701931
0.4210	0.7176225	0.5668433
0.4718	0.001279579	0.001010727
0.5226	0.7190436	0.5679657
0.5734	1.439664	1.137177
0.6242	1.439657	1.137172
0.6750	1.437508	1.135626
0.7258	2.526468	1.995901
0.7766	3.242083	2.561234
0.8274	3.242587	2.561289
0.8782	2.156306	1.703246
0.9290	2.158166	1.704715
0.9798	1.439666	1.137407
1.0306	1.44181	1.139101
1.0814	1.439664	1.137405
1.1322	1.434821	1.133466
1.1830	0.7208545	0.5694534
1.2338	0.9079032	0.7172148
1.2846	1.620034	1.27965
1.3354	1.629605	1.28721
1.3862	2.223628	1.756431
1.4370	5.790363	4.574213
1.4878	7.87256	6.219087
1.5386	6.386989	5.045512
1.5894	3.023549	2.387791
1.6402	1.663816	1.313968
1.6910	3.074874	2.428325
1.7418	3.593942	2.838248
1.7926	3.596188	2.840022
1.8434	3.625566	2.86326
1.8942	4.329339	3.420048
1.9450	4.971854	3.927616
1.9958	3.530141	2.788692
2.0466	2.164772	1.70976
2.0974	2.194484	1.733227
2.1482	2.97238	2.347636
2.1990	5.035565	3.977545
2.2498	5.108027	4.034782
2.3006	6.391936	5.048958
2.3514	5.031457	3.974833
2.4022	5.012265	3.959672
2.4530	4.737249	3.742374
2.5038	5.563355	4.394442
2.5546	4.135057	3.266243
2.6054	3.010038	2.377586
2.6562	1.484086	1.17203
2.7070	2.211409	1.746419
2.7578	2.879259	2.273857
2.8086	2.825271	2.23143
2.8594	2.046244	1.616146
2.9102	0.6663643	0.5263018
2.9610	0.07035574	0.0555845
3.0118	0.9620091	0.7600347
3.0626	1.681065	1.328077
3.1134	2.384763	1.883512
3.1642	2.93608	2.318949
3.2150	3.534442	2.791582
3.2658	2.756486	2.177541
3.3166	1.305326	1.031168
3.3674	-0.0000738	-0.0000583
3.4182	0.06567789	0.05187834
3.4690	0.7187164	0.5677073
3.5198	0.7187164	0.5677073
3.5706	0.7187164	0.5677073
3.6214	0.8140142	0.6429821
3.6722	1.617877	1.277946
3.7230	1.617877	1.277946
3.7738	1.598375	1.262542
3.8246	1.437507	1.135439
3.8754	1.359257	1.073376
3.9262	0.6367279	0.5028101
3.9770	0.08483324	0.06702247
4.0278	0.8018875	0.6335307
4.0786	1.439665	1.137406
4.1294	1.353554	1.069368
4.1802	0.7206131	0.5692627
4.2310	0.7187164	0.5677644
4.2818	0.8097878	0.6396937
4.3326	1.439665	1.137178
4.3834	1.439665	1.137178
4.4342	1.439381	1.136968
4.4850	1.342169	1.060274
4.5358	0.84312	0.6660396
4.5866	1.621257	1.280727
4.6374	1.820475	1.437976
4.6882	2.929694	2.314137
4.7390	2.05318	1.621804
4.7898	1.228736	0.9706647
4.8406	-0.0000741	-0.0000585
4.8914	0.2146611	0.1695587
4.9422	1.437506	1.135473
4.9930	1.437506	1.135473
5.0438	1.21319	0.9582874
5.0946	0.1159605	0.0915961
5.1454	0.8386512	0.6624426
5.1962	1.441836	1.138874
5.2470	1.441133	1.138223
5.2978	1.437506	1.135358
5.3486	1.560492	1.232465
5.3994	2.15666	1.703182
5.4502	2.034347	1.606588
5.5010	1.470294	1.161241
5.5518	1.490454	1.177611
5.6026	1.02731	0.8116797
5.6534	1.585391	1.252566
5.7042	1.441823	1.138883
5.7550	1.441823	1.138883
5.8058	1.474768	1.164905
5.8566	1.753819	1.385325
5.9074	2.476098	1.955847
5.9582	2.888237	2.281391
6.0090	2.022558	1.597599
6.0598	1.299863	1.026749
6.1106	1.001472	0.7910199
6.1614	2.156296	1.703067
6.2122	2.156296	1.703067
6.2630	1.865037	1.473039
6.3138	0.718716	0.5677069
6.3646	0.5691003	0.4495269
6.4154	0.3000506	0.2369832
6.4662	1.594281	1.259181
6.5170	2.164957	1.709907
6.5678	2.008967	1.586704
6.6186	1.282363	1.012824
6.6694	0.718716	0.5676498
6.7202	0.7191834	0.5680438
6.7710	0.7208745	0.5694693
6.8218	0.7208745	0.5694693
6.8726	0.7203861	0.5690446
6.9234	1.211252	0.9565637
6.9742	2.881562	2.27566
7.0250	3.215335	2.539331
7.0758	3.813753	3.012144
7.1266	2.156296	1.703067
7.1774	2.071456	1.636093
7.2282	1.798247	1.420419
7.2790	1.798247	1.420419
7.3298	1.710224	1.35089
7.3806	1.614009	1.27489
7.4314	2.156296	1.703238
7.4822	1.802225	1.42356
7.5330	0.7187158	0.5677068
7.5838	0.9023423	0.7127516
7.6346	1.990838	1.572471
7.6854	3.416196	2.698149
7.7362	2.881562	2.27589
7.7870	2.318147	1.830898
7.8378	0.718716	0.5676498
7.8886	0.718716	0.5676498
7.9394	0.718716	0.567665
7.9902	0.718716	0.5677069
8.0410	0.5232751	0.4133301
8.0918	0.1934695	0.1528043
8.1426	0.7165704	0.5659552
8.1934	0.7165704	0.5659552
8.2442	0.5187675	0.4097283
8.2950	0.6052247	0.4781094
8.3458	2.365173	1.868416
8.3966	2.881562	2.276283
8.4474	2.270934	1.793789
8.4982	0.5120435	0.4044583
8.5490	-0.0000744	-0.0000588
8.5998	0.6264349	0.4948648
8.6506	2.799866	2.211811
8.7014	4.739533	3.743688
8.7522	5.542305	4.376932
8.8030	4.598266	3.631395
8.8538	3.162911	2.497953
8.9046	1.717853	1.356916
8.9554	0.4978887	0.3932776
9.0062	0.6591886	0.5208264
9.0570	2.601134	2.055161
9.1078	4.04274	3.194178
9.1586	4.585131	3.622304
