HOLE:	U1513E
EXPEDITION:	369
TOP:	497.7500
BOTTOM:	576.8455
DEPTH_WMSF	HGR	EHGR
m	gAPI	gAPI
497.7500	25.15769	30.93617
497.8008	25.16509	30.94527
497.8516	26.59529	32.7044
497.9024	26.6233	33.31994
497.9532	26.58916	33.27721
498.0040	19.42476	24.3122
498.0548	19.39683	25.07735
498.1056	13.68297	17.6916
498.1564	18.68647	24.16395
498.2072	17.97086	24.2541
498.2580	23.0307	31.08507
498.3088	25.14977	33.94523
498.3596	28.09468	38.08933
498.4104	32.37342	43.8903
498.4612	29.53845	40.04684
498.5120	25.87699	35.23729
498.5628	26.59841	36.21966
498.6136	29.4985	40.16875
498.6644	29.49856	40.15383
498.7152	29.53199	40.19933
498.7660	28.06949	38.20749
498.8168	28.04599	37.75779
498.8676	27.33919	36.80546
498.9184	31.63521	42.58577
498.9692	30.94309	40.77301
499.0200	25.1499	33.13888
499.0708	19.44433	25.6209
499.1216	18.72621	24.80306
499.1724	21.59486	28.60263
499.2232	23.72316	31.41956
499.2740	26.58912	33.31888
499.3248	22.27869	27.91748
499.3756	20.13788	25.2341
499.4264	16.57701	20.43536
499.4772	16.55812	20.41115
499.5280	17.28393	21.31006
499.5788	19.41358	25.22282
499.6296	25.18205	32.71916
499.6804	25.87618	33.62104
499.7312	25.90022	35.94018
499.7820	24.48831	33.9811
499.8328	24.44246	33.9175
499.8836	25.91158	35.97294
499.9344	25.88073	35.93011
499.9852	22.33111	31.0022
500.0360	17.98138	24.96929
500.0868	12.21909	16.96767
500.1376	8.642482	12.00111
500.1884	10.78932	14.97703
500.2392	12.95075	17.97736
500.2900	15.81105	21.94785
500.3408	13.65803	18.55216
500.3916	15.83716	21.51189
500.4424	20.87225	28.35091
500.4932	25.8996	34.35074
500.5440	21.59388	28.64004
500.5948	17.25963	22.89151
500.6456	17.26509	22.89256
500.6964	20.38839	27.0339
500.7472	25.39326	33.67024
500.7980	18.95273	25.19786
500.8488	17.96291	23.88205
500.8996	15.83757	21.05483
500.9504	16.55319	21.57544
501.0012	17.80391	23.20526
501.0520	14.91996	19.44638
501.1028	16.35745	20.17034
501.1536	17.2687	21.29399
501.2044	16.55524	20.41403
501.2552	18.00999	22.00881
501.3060	15.84365	19.36147
501.3568	20.84079	25.46789
501.4076	20.84079	25.3543
501.4584	22.99316	27.97252
501.5092	21.58532	26.25982
501.5600	21.58532	26.26419
501.6108	20.90285	25.43379
501.6616	25.19654	30.65819
501.7124	25.89581	31.48271
501.7632	26.57724	32.31115
501.8140	23.00132	27.96374
501.8648	22.99994	27.96674
501.9156	21.58296	26.24377
501.9664	23.04299	28.01959
502.0172	20.89614	25.70747
502.0680	19.43009	23.9047
502.1188	17.26344	21.23869
502.1696	21.69667	26.55369
502.2204	27.46376	33.61157
502.2712	30.15469	36.90486
502.3220	32.20891	37.95972
502.3728	28.11496	33.13418
502.4236	27.25284	32.11811
502.4744	23.6245	27.66291
502.5252	26.27262	30.76371
502.5760	22.27972	26.08826
502.6268	20.14558	23.59781
502.6776	20.15295	23.60645
502.7284	23.74559	27.81469
502.7792	26.24879	30.73028
502.8300	23.40265	27.39819
502.8808	25.50961	29.86488
502.9316	22.52192	26.3671
502.9824	26.8087	31.38576
503.0332	25.40952	29.74769
503.0840	23.91964	28.00345
503.1348	21.63632	25.3303
503.1856	20.95094	24.52801
503.2364	25.0545	29.45359
503.2872	20.87582	24.54122
503.3380	23.85913	28.0484
503.3888	20.99668	24.70973
503.4396	29.38988	34.5873
503.4904	25.88374	30.46138
503.5412	28.03059	33.06995
503.5920	24.64317	29.07363
503.6428	21.56549	25.44263
503.6936	20.14587	23.82266
503.7444	16.54392	19.56334
503.7952	18.01277	21.30026
503.8460	17.27756	20.43448
503.8968	20.17287	23.85882
503.9476	26.26772	31.06731
503.9984	30.35313	35.8992
504.0492	32.65337	38.61974
504.1000	29.41177	34.78616
504.1508	33.19812	39.38181
504.2016	30.19836	35.82346
504.2524	26.62029	31.57889
504.3032	20.89367	25.13176
504.3540	19.05397	22.91914
504.4048	18.69406	22.4863
504.4556	22.29995	27.41755
504.5064	25.5518	31.41567
504.5572	28.80576	35.4165
504.6080	23.75071	29.29645
504.6588	26.65281	32.87617
504.7096	25.18886	31.07045
504.7604	23.75763	29.32395
504.8112	25.8787	31.94201
504.8620	26.61505	32.85082
504.9128	32.33996	39.89776
504.9636	27.3551	33.74793
505.0144	30.96756	38.20461
505.0652	30.96889	38.15666
505.1160	34.53632	42.55209
505.1668	34.50135	42.50887
505.2176	33.78406	41.47603
505.2684	34.49857	42.35323
505.3192	32.37512	39.74516
505.3700	33.12297	40.07457
505.4208	30.22546	36.56765
505.4716	32.3758	39.1731
505.5224	30.19672	37.81401
505.5732	33.08801	41.43671
505.6240	30.21696	37.84124
505.6748	28.05934	35.75362
505.7256	21.58589	27.5052
505.7764	20.82103	26.53085
505.8272	20.1348	26.20233
505.8780	17.26466	22.46728
505.9288	19.44421	25.30363
505.9796	20.84095	27.12896
506.0304	24.45386	31.83196
506.0812	21.5873	28.10051
506.1320	22.32656	29.05869
506.1828	21.58852	28.09811
506.2336	26.56597	34.57642
506.2844	30.13563	39.22794
506.3352	30.90086	40.22413
506.3860	29.52948	38.43897
506.4368	28.76947	37.43927
506.4876	33.71455	43.87426
506.5384	31.73897	41.30336
506.5892	26.16016	34.04803
506.6400	21.74426	28.30082
506.6908	22.94241	29.86024
506.7416	25.756	33.89227
506.7924	27.23963	35.86277
506.8432	27.36726	36.03081
506.8940	28.02183	36.12868
506.9448	27.41834	35.30162
506.9956	26.64773	34.30944
507.0464	23.92631	28.92773
507.0972	23.0749	27.74147
507.1480	23.02507	27.68156
507.1988	28.31837	33.92025
507.2496	27.47923	32.9061
