HOLE:	U1513E
EXPEDITION:	369
TOP:	0.0297
BOTTOM:	633.1500
DEPTH_WMSF	HGR	EHGR
m	gAPI	gAPI
0.0297	1.443445	1.638094
0.0805	0.7234232	0.8209773
0.1313	1.616773	1.834796
0.1821	1.617949	1.836131
0.2329	0.9030018	1.024772
0.2837	0.7199014	0.8169806
0.3345	1.437491	1.631337
0.3853	2.870126	3.257164
0.4361	3.595919	4.080831
0.4869	5.744907	6.519611
0.5377	4.91913	5.582478
0.5885	7.071213	8.024771
0.6393	4.921149	5.584769
0.6901	4.317739	4.899988
0.7409	1.922778	2.182065
0.7917	2.995786	3.39977
0.8425	4.430847	5.028349
0.8933	4.675513	5.306009
0.9441	5.033625	5.712412
0.9949	5.031547	5.710054
1.0457	5.751713	6.527335
1.0965	4.321556	4.90432
1.1473	4.313825	4.895547
1.1981	3.600513	4.086044
1.2489	4.312916	4.894515
1.2997	3.598939	4.084258
1.3505	3.597196	4.08228
1.4013	3.597196	4.08228
1.4521	5.028149	5.706199
1.5029	6.468823	7.341149
1.5537	5.035601	5.714654
1.6045	2.885953	3.275126
1.6553	0.7199776	0.817067
1.7061	1.436666	1.630401
1.7569	4.30364	4.883989
1.8077	5.754633	6.530649
1.8585	5.755709	6.53187
1.9093	2.888623	3.278156
1.9601	2.160289	2.451605
2.0109	1.439071	1.633131
2.0617	2.151714	2.441874
2.1125	0.7207122	0.8179007
2.1633	1.436888	1.630653
2.2141	0.7226527	0.8201029
2.2649	0.7187893	0.8157185
2.3157	0.719862	0.8169358
2.3665	1.436644	1.630377
2.4173	4.314263	4.896044
2.4681	3.597575	4.08271
2.5189	2.877453	3.26548
2.5697	2.87516	3.262877
2.6205	2.87516	3.262877
2.6713	3.592455	4.0769
2.7221	0.7237053	0.8212974
2.7729	1.434472	1.627912
2.8237	0.7207776	0.8179748
2.8745	1.436075	1.629731
2.9253	0.7200339	0.817131
2.9761	1.436387	1.630085
3.0269	1.438657	1.632661
3.0777	1.438657	1.632661
3.1285	2.155958	2.446691
3.1793	1.442047	1.636508
3.2301	2.877575	3.265618
3.2809	2.161386	2.452851
3.3317	2.159612	2.450837
3.3825	0.7201941	0.8173127
3.4333	0.7187823	0.8157105
3.4841	0.7187889	0.815718
3.5349	1.438216	1.63216
3.5857	1.439729	1.633877
3.6365	2.158435	2.449501
3.6873	1.441747	1.636167
3.7381	1.439733	1.633882
3.7889	1.439545	1.633669
3.8397	2.15516	2.445785
3.8905	2.156376	2.447164
3.9413	1.440428	1.63467
3.9921	1.439732	1.633881
4.0429	2.152777	2.443081
4.0937	2.157447	2.44838
4.1445	2.155297	2.44594
4.1953	1.321684	1.499914
4.2461	1.317155	1.494774
4.2969	2.033658	2.307898
4.3477	2.155853	2.446571
4.3985	3.594883	4.079655
4.4493	2.163653	2.455423
4.5001	2.875004	3.2627
4.5509	4.31274	4.894316
4.6017	4.31274	4.894316
4.6525	2.87819	3.266316
4.7033	0.004998751	0.005672836
4.7541	2.156644	2.447468
4.8049	2.159602	2.450826
4.8557	2.159602	2.450826
4.9065	1.437769	1.631653
4.9573	2.870578	3.257678
5.0081	3.596446	4.081429
5.0589	4.31528	4.897199
5.1097	2.883567	3.272418
5.1605	5.027064	5.704967
5.2113	2.877	3.264966
5.2621	2.870862	3.257999
5.3129	0.006078751	0.006898474
5.3637	2.152598	2.442877
5.4145	2.871804	3.259069
5.4653	3.595374	4.080213
5.5161	2.159447	2.45065
5.5669	1.442296	1.636791
5.6177	0.7188577	0.8157961
5.6685	1.432333	1.625484
5.7193	4.303462	4.883786
5.7701	5.033697	5.712494
5.8209	5.037982	5.717358
5.8717	3.600237	4.085731
5.9225	4.31525	4.897165
5.9733	4.31705	4.899208
6.0241	2.888865	3.27843
6.0749	1.441745	1.636165
6.1257	2.88232	3.271003
6.1765	3.59761	4.08275
6.2273	4.321173	4.903886
6.2781	2.881958	3.270591
6.3289	3.594041	4.0787
6.3797	3.594925	4.079703
6.4305	2.163695	2.45547
6.4813	2.16068	2.452049
6.5321	1.443278	1.637905
6.5829	2.158894	2.450022
6.6337	0.7218708	0.8192155
6.6845	2.864921	3.251258
6.7353	2.869799	3.256793
6.7861	3.585486	4.068991
6.8369	1.441163	1.635504
6.8877	0.7200769	0.8171797
6.9385	0.718794	0.8157238
6.9893	3.603221	4.089118
7.0401	5.032312	5.710923
7.0909	6.473609	7.34658
7.1417	5.035822	5.714906
7.1925	4.321277	4.904004
7.2433	4.319216	4.901665
7.2941	3.597661	4.082808
7.3449	4.316845	4.898975
7.3957	2.88623	3.275439
7.4465	5.754855	6.5309
7.4973	8.635406	9.799894
7.5481	10.06761	11.42523
7.5989	7.194175	8.164314
7.6497	4.331734	4.915871
7.7005	3.599038	4.084371
7.7513	3.596375	4.081349
7.8021	2.875376	3.263123
7.8529	2.877303	3.265309
7.9037	3.595365	4.080202
7.9545	2.878868	3.267085
8.0053	2.641671	2.997903
8.0561	1.202431	1.364579
8.1069	1.919491	2.178335
8.1577	2.156152	2.44691
8.2085	5.036018	5.715128
8.2593	5.751239	6.526797
8.3101	5.040063	5.719719
8.3609	2.878454	3.266615
8.4117	4.309684	4.890848
8.4625	5.749918	6.525298
8.5133	5.029319	5.707526
8.5641	2.166858	2.45906
8.6149	2.159603	2.450827
8.6657	3.594599	4.079333
8.7165	4.316023	4.898042
8.7673	2.88465	3.273647
8.8181	3.59776	4.08292
8.8689	5.037534	5.716849
8.9197	5.037997	5.717374
8.9705	3.596886	4.081929
9.0213	2.884509	3.273487
9.0721	3.595669	4.080547
9.1229	5.754651	6.530669
9.1737	5.750339	6.525776
9.2245	6.469431	7.341838
9.2753	5.757266	6.533637
9.3261	5.753557	6.529428
9.3769	5.756766	6.53307
9.4277	7.194976	8.165223
