HOLE:	U1513E
EXPEDITION:	369
TOP:	0.0459
BOTTOM:	438.0435
DEPTH_WMSF	HGR	EHGR
m	gAPI	gAPI
0.0459	0.0000642	0.0000729
0.0967	0.0000642	0.0000729
0.1475	0.0000642	0.0000729
0.1983	0.0000642	0.0000729
0.2491	0.0000642	0.0000729
0.2999	0.001302565	0.001478217
0.3507	1.19638	1.357713
0.4015	4.783667	5.428748
0.4523	4.786203	5.431626
0.5031	5.96939	6.774366
0.5539	4.197389	4.76341
0.6047	5.386521	6.112897
0.6555	6.581361	7.468862
0.7063	7.185775	8.154781
0.7571	5.996643	6.805294
0.8079	3.613453	4.10073
0.8587	1.200444	1.362324
0.9095	1.199651	1.361424
0.9603	0.0000642	0.0000729
1.0111	0.0000642	0.0000729
1.0619	0.002177228	0.002470828
1.1127	1.197255	1.358705
1.1635	1.200444	1.362324
1.2143	1.197007	1.358424
1.2651	0.001929816	0.002190053
1.3159	0.006608227	0.007499351
1.3667	1.817332	2.0624
1.4175	1.818821	2.06409
1.4683	3.620997	4.109291
1.5191	3.006547	3.411982
1.5699	6.588354	7.476797
1.6207	5.982818	6.789605
1.6715	4.782028	5.426888
1.7223	3.604787	4.090895
1.7731	2.400823	2.724576
1.8239	2.394848	2.717795
1.8747	0.004693176	0.005326054
1.9255	0.005840309	0.006627878
1.9763	1.789538	2.030859
2.0271	2.997087	3.401246
2.0779	2.990336	3.393584
2.1287	1.206638	1.369354
2.1795	0.0000642	0.0000729
2.2303	0.001224825	0.001389994
2.2811	1.791676	2.033284
2.3319	1.791676	2.033284
2.3827	3.59572	4.080605
2.4335	3.005526	3.410823
2.4843	3.005526	3.410823
2.5351	1.197023	1.358442
2.5859	0.001945319	0.002207647
2.6367	1.193032	1.353913
2.6875	1.194472	1.355547
2.7383	1.194472	1.355547
2.7891	0.000180469	0.0002048053
2.8399	0.0000642	0.0000729
2.8907	0.0000642	0.0000729
2.9415	0.0000642	0.0000729
2.9923	0.0000642	0.0000729
3.0431	0.0000642	0.0000729
3.0939	0.0000642	0.0000729
3.1447	2.400824	2.724576
3.1955	2.400824	2.724576
3.2463	2.400824	2.724576
3.2971	0.0000642	0.0000729
3.3479	0.0000642	0.0000729
3.3987	0.0000642	0.0000729
3.4495	0.008514462	0.009662643
3.5003	1.805465	2.048934
3.5511	3.005526	3.410823
3.6019	3.006113	3.411489
3.6527	3.590067	4.07419
3.7035	4.178688	4.742186
3.7543	4.177981	4.741384
3.8051	2.987631	3.390515
3.8559	1.203933	1.366284
3.9067	1.196597	1.357959
3.9575	0.001519298	0.001724176
4.0083	0.0000639	0.0000725
4.0591	0.007839018	0.008896114
4.1099	1.804948	2.048347
4.1607	3.000021	3.404576
4.2115	4.804256	5.452114
4.2623	4.198748	4.764952
4.3131	3.009616	3.415464
4.3639	1.198359	1.359959
4.4147	0.002579358	0.002927186
4.4655	1.197657	1.359162
4.5163	1.200444	1.362324
4.5671	1.200444	1.362324
4.6179	0.001534084	0.001740957
4.6687	0.0000639	0.0000725
4.7195	0.0000639	0.0000725
4.7703	1.200303	1.362165
4.8211	2.992055	3.395536
4.8719	2.991309	3.394689
4.9227	1.7899	2.031269
4.9735	0.001697006	0.001925848
5.0243	1.200444	1.362324
5.0751	1.200444	1.362324
5.1259	1.197481	1.358962
5.1767	0.00345402	0.003919797
5.2275	1.198532	1.360154
5.2783	3.60758	4.094064
5.3291	5.391278	6.118295
5.3799	4.193026	4.758458
5.4307	3.586127	4.069718
5.4815	4.192435	4.757787
5.5323	4.192071	4.757374
5.5831	3.600616	4.086162
5.6339	3.007143	3.412658
5.6847	4.202221	4.768893
5.7355	3.006797	3.412266
5.7863	3.614748	4.1022
5.8371	4.21678	4.785415
5.8879	4.210284	4.778043
5.9387	1.808118	2.051944
5.9895	0.001631154	0.001851116
6.0403	0.01030676	0.01169664
6.0911	2.388571	2.710671
6.1419	2.388879	2.711021
6.1927	2.388515	2.710608
6.2435	1.794012	2.035936
6.2943	4.184167	4.748405
6.3451	4.189359	4.754296
6.3959	2.395838	2.718919
6.4467	0.005683639	0.006450081
6.4975	3.651076	4.143426
6.5483	8.431386	9.568364
6.5991	8.439096	9.577114
6.6499	5.990181	6.797961
6.7007	2.99357	3.397254
6.7515	5.392488	6.119668
6.8023	4.183447	4.747588
6.8531	2.400465	2.724169
6.9039	1.806307	2.049889
6.9547	2.999554	3.404046
7.0055	2.996482	3.400559
7.0563	1.199373	1.361109
7.1071	3.583287	4.066496
7.1579	3.588351	4.072242
7.2087	5.38546	6.111692
7.2595	1.805147	2.048572
7.3103	1.805147	2.048572
7.3611	0.0009886363	0.001121955
7.4119	0.005609471	0.006365912
7.4627	1.194881	1.356011
7.5135	3.00027	3.404858
7.5643	4.200523	4.766967
7.6151	4.808211	5.456601
7.6659	3.011102	3.417151
7.7167	1.803881	2.047135
7.7675	1.194472	1.355547
7.8183	1.194472	1.355547
7.8691	1.190691	1.351256
7.9199	0.001558655	0.00176884
7.9707	1.199378	1.361115
8.0215	2.992056	3.395536
8.0723	2.992056	3.395536
8.1231	1.791546	2.033137
8.1739	1.200444	1.362324
8.2247	1.201589	1.363624
8.2755	2.396667	2.719859
8.3263	4.785705	5.43106
8.3771	5.985291	6.792411
8.4279	6.587322	7.475626
8.4787	4.201585	4.768171
8.5295	4.790205	5.436167
8.5803	2.988365	3.391348
8.6311	1.78935	2.030645
8.6819	1.194784	1.355901
8.7327	2.999273	3.403727
8.7835	5.412251	6.142097
8.8343	7.788777	8.839099
8.8851	7.183847	8.152594
8.9359	6.575303	7.461986
8.9867	6.591175	7.479999
9.0375	5.396097	6.123764
9.0883	4.797219	5.444127
9.1391	3.008853	3.414598
9.1899	4.197985	4.764086
9.2407	2.993199	3.396834
