HOLE:	U1513E
EXPEDITION:	369
TOP:	424.6313
BOTTOM:	580.7651
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
424.6313	1.955265	40	-0.1514334	1.998336
424.6567	1.924151	40	-0.1163802	1.943683
424.6821	1.95708	40	-0.06865685	1.899952
424.7075	1.990669	40	-0.02269344	1.863074
424.7329	1.982161	40	0.005483036	1.825594
424.7583	1.887449	40	0.008792216	1.787617
424.7837	1.788741	40	0.003410478	1.739861
424.8091	1.707134	40	-0.008863041	1.69466
424.8345	1.66191	40	-0.01525413	1.669265
424.8599	1.626455	40	-0.02044597	1.639048
424.8853	1.591586	40	-0.02660492	1.608867
424.9107	1.574995	40	-0.02988688	1.585282
424.9361	1.56517	40	-0.03202173	1.562132
424.9615	1.54964	38.52687	-0.0342809	1.541136
424.9869	1.527516	35.94988	-0.0379294	1.522798
425.0123	1.500214	37.44281	-0.04396802	1.506844
425.0377	1.477631	40	-0.05046893	1.493595
425.0631	1.464087	40	-0.05324089	1.482788
425.0885	1.46565	40	-0.05192421	1.474587
425.1139	1.472877	40	-0.05042059	1.46963
425.1393	1.474021	40	-0.04970299	1.467928
425.1647	1.469266	40	-0.04993157	1.468731
425.1901	1.464623	40	-0.04979769	1.469886
425.2155	1.464811	40	-0.04926852	1.469826
425.2409	1.469725	40	-0.04744244	1.468955
425.2663	1.474204	40	-0.04610633	1.468152
425.2917	1.472536	40	-0.04694913	1.467806
425.3171	1.467556	40	-0.04764637	1.467638
425.3425	1.463222	40	-0.04714997	1.467143
425.3679	1.462013	40	-0.04607514	1.466306
425.3933	1.464001	40	-0.04414409	1.465546
425.4187	1.466731	40	-0.04198701	1.46603
425.4441	1.468675	40	-0.04025199	1.468462
425.4695	1.466883	40	-0.04059365	1.472069
425.4949	1.470966	40	-0.04026706	1.474997
425.5203	1.480382	40	-0.03893092	1.476708
425.5457	1.4872	40	-0.03785524	1.477513
425.5711	1.484258	40	-0.03936453	1.478688
425.5965	1.47813	40	-0.04090346	1.479751
425.6219	1.474061	40	-0.04198371	1.480721
425.6473	1.475011	40	-0.04215652	1.480731
425.6727	1.47887	40	-0.04179335	1.480918
425.6981	1.488221	40	-0.03949288	1.482472
425.7235	1.487392	40	-0.03974726	1.485875
425.7489	1.485138	40	-0.04036719	1.490376
425.7743	1.488798	40	-0.04033843	1.494138
425.7997	1.497935	38.97236	-0.03882667	1.49668
425.8251	1.506798	39.95057	-0.038103	1.500265
425.8505	1.504405	40	-0.03858146	1.50514
425.8759	1.50658	40	-0.03761058	1.510371
425.9013	1.512322	40	-0.03548151	1.5144
425.9267	1.518614	40	-0.03419237	1.517204
425.9521	1.52572	40	-0.0323118	1.519484
425.9775	1.526133	40	-0.03166085	1.51982
426.0029	1.526121	40	-0.03119105	1.517806
426.0283	1.519703	40	-0.03339294	1.514258
426.0537	1.508769	40	-0.03671601	1.509994
426.0791	1.498513	40	-0.03967195	1.505774
426.1045	1.494749	40	-0.03959966	1.501208
426.1299	1.496288	40	-0.03893887	1.496979
426.1553	1.497073	40	-0.03851685	1.493564
426.1807	1.494194	40	-0.03922563	1.49086
426.2061	1.489536	40	-0.03994534	1.488405
426.2315	1.484251	40	-0.04143231	1.484705
426.2569	1.479451	40	-0.04379721	1.480008
426.2823	1.477744	40	-0.0451721	1.475384
