HOLE:	U1513E
EXPEDITION:	369
TOP:	497.7244
BOTTOM:	582.3572
DEPTH_WMSF	HROM	HLEF	HBDC	HDEB
m	g/cm3	barns/e-	g/cm3	g/cm3
498.0800	1.724228	40	0.0481926	1.674514
498.1054	1.758426	40	0.05757815	1.716824
498.1308	1.81494	40	0.06848132	1.763647
498.1562	1.838176	40	0.06897965	1.776961
498.1816	1.860327	40	0.06794337	1.818576
498.2070	1.835359	40	0.06187449	1.832934
498.2324	1.811105	40	0.05496091	1.833976
498.2578	1.787537	37.9403	0.04793645	1.835222
498.2832	1.796561	30.63386	0.05330342	1.834418
498.3086	1.821517	38.20638	0.06475723	1.837113
498.3340	1.846955	39.99873	0.07617772	1.842894
498.3594	1.854613	40	0.07979363	1.851342
498.3848	1.854188	40	0.07876104	1.852779
498.4102	1.851349	39.49974	0.07535664	1.858985
498.4356	1.871408	39.99561	0.07617543	1.860142
498.4610	1.869005	40	0.07756995	1.860664
498.4864	1.865121	40	0.07796942	1.862557
498.5118	1.855227	40	0.07597043	1.865065
498.5372	1.85828	40	0.07310099	1.863583
498.5626	1.867308	40	0.07620337	1.861367
498.5880	1.869053	40	0.0811434	1.859007
498.6134	1.861047	35.46788	0.0743968	1.851246
498.6388	1.853479	31.60299	0.06810396	1.831602
498.6642	1.844001	32.46956	0.05919497	1.80819
498.6896	1.816843	37.76718	0.05015629	1.780856
498.7150	1.745819	39.98942	-0.003346191	1.751071
498.7404	1.70398	40	-0.01084273	1.721629
498.7658	1.677748	40	-0.01540775	1.691637
498.7912	1.652585	40	-0.02023687	1.668042
498.8166	1.645537	40	-0.02325268	1.654468
498.8420	1.64073	40	-0.02157868	1.643989
498.8674	1.635685	40	-0.0202138	1.638249
498.8928	1.624814	40	-0.02200343	1.636454
498.9182	1.631043	40	-0.01949521	1.63518
498.9436	1.637559	37.00659	-0.01683571	1.633439
498.9690	1.639864	38.5422	-0.01485573	1.634407
498.9944	1.636689	39.98509	-0.0132631	1.628615
499.0198	1.634765	40	-0.01036748	1.630446
499.0452	1.641515	36.91284	-0.01007253	1.631486
499.0706	1.675647	32.38602	-0.005025747	1.634615
499.0960	1.737221	28.33863	0.02494484	1.636408
499.1214	1.742214	28.65297	0.03083644	1.658428
499.1468	1.739561	34.49251	0.03435066	1.682751
499.1722	1.7328	40	0.03369019	1.719886
499.1976	1.783627	40	0.04410402	1.744548
499.2230	1.812673	35.27486	0.05351296	1.76793
499.2484	1.841694	29.53334	0.06220487	1.787032
499.2738	1.818672	20.90604	0.06032726	1.813219
499.2992	1.80852	21.67791	0.0611256	1.825424
499.3246	1.795454	22.52039	0.05884889	1.838704
499.3500	1.831916	32.29038	0.05802185	1.846772
499.3754	1.868704	33.44008	0.06826029	1.855741
499.4008	1.905683	34.54809	0.07766201	1.863574
499.4262	1.898777	33.17142	0.08088306	1.871561
499.4516	1.880846	34.26872	0.07536618	1.875276
499.4770	1.863291	35.51943	0.06981526	1.874705
499.5024	1.851953	32.7843	0.06290371	1.870326
499.5278	1.857784	36.19967	0.06152383	1.8673
499.5532	1.864756	39.99165	0.06109467	1.867085
499.5786	1.874709	40	0.05978676	1.868963
499.6040	1.877793	34.14674	0.05555185	1.873015
499.6294	1.879326	26.38284	0.04963817	1.875659
499.6548	1.876564	25.88059	0.04443008	1.875405
499.6802	1.880301	27.17665	0.04584352	1.891168
499.7056	1.876013	28.65944	0.03923447	1.904953
