HOLE:	U1513E
EXPEDITION:	369
TOP:	115.9917
BOTTOM:	604.0780
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
115.9917	0.05177512	0.05075313	0.05865323	0.06976274	0.0951988	0.02194548	0.09445485
116.0425	0.0742131	0.06988822	0.0717164	0.07257297	0.08462819	0.01597106	0.08299483
116.0933	0.02116054	0.03633587	0.04223242	0.0418542	0.05559612	0.01240983	0.05417159
116.1441	0.01788071	0.02639574	0.03303055	0.03251874	0.04684135	0.01007328	0.04545671
116.1949	0.03869917	0.03930718	0.04494537	0.04328564	0.05973251	0.009311209	0.05788869
116.2457	0.01995458	0.02135898	0.02169175	0.02041368	0.02587788	0.009275756	0.02507769
116.2965	0.02146063	0.02812775	0.02928064	0.0278855	0.04047497	0.00869614	0.03919131
116.3473	0.01172336	0.0145305	0.015074	0.01416433	0.02334329	0.00784993	0.02257746
116.3981	0.0006320486	0.00164618	0.002320356	0.002377796	0.005589094	0.007155552	0.005401548
116.4489	8.06778	0.001793275	0.003430892	0.003770613	0.01204683	0.006576662	0.01163642
116.4997	100000	34.349	46.95107	48.66442	0.05995028	0.006122411	0.05788825
116.5505	100000	100000	100000	100000	0.06567883	0.005804838	0.06340785
116.6013	47.79281	42.93566	40.95383	38.94111	0.02626363	0.005723106	0.02535441
116.6521	0.01835425	0.004573928	42.05629	39.99624	38.93505	0.005851648	38.24893
116.7029	0.01320269	0.002032031	21.15784	20.2633	100000	0.006035975	100000
116.7537	0.01342195	0.002932186	0.001417864	0.0008802694	100000	0.006256101	100000
116.8045	0.01249752	0.002647508	0.001382523	0.0007401584	100000	0.006520283	100000
116.8553	0.0128599	0.004843212	0.003368934	0.0026456	100000	0.006618318	100000
116.9061	0.01590309	0.008786703	0.006678855	0.005804596	81.96084	0.006578977	80.72137
116.9569	0.0187592	0.01364393	0.01265472	0.0115275	0.008373327	0.006890858	0.008090337
117.0077	0.01234765	0.0009112377	0.004367209	0.005875714	6.697841	0.007620309	6.566227
117.0585	0.006913396	0.0003052188	0.002740188	3.384272	159.1355	0.008532289	157.1011
