HOLE:	U1513E
EXPEDITION:	369
TOP:	424.3265
BOTTOM:	607.0541
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
424.3265	1.237841	1.073203	1.012532	0.936539	0.8880667	0.002700266	0.5567666
424.3773	1.121218	0.9757349	0.9271511	0.9386941	0.8793365	0.003143493	0.6799877
424.4281	1.436978	1.448625	1.275097	1.334745	1.266149	0.004996752	1.166226
424.4789	1.413229	1.429761	1.338184	1.371062	1.260244	0.01010225	1.227332
424.5297	1.40853	1.549121	1.480168	1.560547	1.471056	0.02111469	1.580764
424.5805	1.387196	1.549803	1.496015	1.543279	1.432152	0.07613442	1.500199
424.6313	1.404403	1.547119	1.588215	1.619316	1.476067	0.07107695	1.570724
424.6821	1.421298	1.543912	1.588592	1.623121	1.475137	0.06697136	1.559877
424.7329	1.397493	1.531364	1.578786	1.629559	1.472758	0.06673677	1.572647
424.7837	1.478336	1.614928	1.654781	1.690421	1.532112	0.06705636	1.619002
424.8345	1.501976	1.62253	1.672897	1.706785	1.550258	0.06722523	1.637898
424.8853	1.408681	1.536152	1.591513	1.639577	1.490141	0.06749588	1.58927
424.9361	1.428128	1.536543	1.566231	1.609165	1.460969	0.06810147	1.522267
424.9869	1.42809	1.545861	1.502466	1.571988	1.433673	0.06680293	1.486984
425.0377	1.462013	1.556037	1.430291	1.506435	1.401554	0.05558533	1.385572
425.0885	1.469709	1.471723	1.388783	1.414693	1.298544	0.03326862	1.173474
425.1393	1.468853	1.377502	1.285193	1.362548	1.277382	0.01747046	1.137544
425.1901	1.359749	1.389775	1.231625	1.363078	1.295237	0.01326287	1.195534
425.2409	1.130265	1.05794	0.9846477	0.9734339	0.8934357	0.0165219	0.7101985
425.2917	0.6826839	0.6286493	0.5969332	0.5959315	0.563309	0.02536842	0.4713511
425.3425	0.1089206	0.09889255	0.09563565	0.09550492	0.09476786	0.0343634	0.09092726
425.3933	0.02218416	0.01986258	0.01845389	0.01713077	0.01596399	0.04334005	0.01787652
425.4441	0.02646348	0.02392741	0.02170895	0.02014992	0.01768884	0.04875718	0.01987028
425.4949	0.02875421	0.02726528	0.02523208	0.02375874	0.02145458	0.04401564	0.02403769
425.5457	0.1113889	0.09888351	0.09294549	0.08801684	0.08238979	0.03476682	0.0708022
425.5965	0.7702239	0.6658621	0.625863	0.6240066	0.5841154	0.02571225	0.4042738
425.6473	1.403005	1.470838	1.374521	1.422288	1.312781	0.01694942	1.272016
425.6981	1.403411	1.572251	1.504126	1.546547	1.419818	0.01309818	1.501289
425.7489	1.398942	1.535501	1.537732	1.569806	1.429095	0.01676856	1.531631
425.7997	1.425246	1.561987	1.612967	1.649523	1.487604	0.03208478	1.61212
425.8505	1.474237	1.594624	1.653027	1.693611	1.541797	0.05663691	1.646467
425.9013	1.499756	1.615799	1.671126	1.714956	1.583449	0.06653009	1.691651
425.9521	1.478981	1.606781	1.658128	1.701412	1.592484	0.068471	1.725658
426.0029	1.451953	1.579723	1.627043	1.675372	1.600922	0.06959481	1.750745
426.0537	1.481437	1.584644	1.640589	1.68457	1.652197	0.07072924	1.793637
426.1045	1.513572	1.617458	1.671559	1.708612	1.707639	0.07167313	1.852922
426.1553	1.531243	1.635098	1.683218	1.714868	1.725138	0.07251368	1.860176
426.2061	1.571014	1.661682	1.707027	1.7407	1.740967	0.07354208	1.853157
426.2569	1.540886	1.632476	1.678251	1.714059	1.698915	0.07472377	1.802376
426.3077	1.54705	1.634329	1.677928	1.711245	1.66375	0.07598747	1.740754
426.3585	1.556392	1.636717	1.681914	1.71305	1.639206	0.07736061	1.695422
426.4093	1.550066	1.617412	1.662011	1.695371	1.602067	0.07869624	1.647374
426.4601	1.536374	1.605928	1.650192	1.6867	1.577748	0.07979	1.623862
426.5109	1.504796	1.588179	1.62403	1.671532	1.549488	0.08057349	1.599376
426.5617	1.548891	1.608567	1.653575	1.686854	1.560609	0.08116172	1.614807
426.6125	1.530824	1.614692	1.647182	1.687379	1.555001	0.08161128	1.613507
426.6633	1.517972	1.603709	1.641903	1.685213	1.567379	0.08195709	1.623938
426.7141	1.507838	1.588805	1.638233	1.670294	1.574787	0.08200713	1.631011
426.7649	1.542594	1.613209	1.656434	1.690741	1.597614	0.08192402	1.64888
426.8157	1.529926	1.60703	1.64824	1.689565	1.622204	0.08163976	1.693641
