HOLE:	U1513E
EXPEDITION:	369
TOP:	497.7500
BOTTOM:	617.5871
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
497.7500	1.879678	1.80854	1.749853	1.732598	1.790466	0.3419223	1.730237
497.8008	1.879678	1.80854	1.749853	1.732598	1.790466	0.3419223	1.730237
497.8516	1.879678	1.80854	1.749853	1.732598	1.790466	0.3419223	1.730237
497.9024	1.879678	1.80854	1.749853	1.732598	1.790466	0.3419223	1.730237
497.9532	1.879678	1.80854	1.749853	1.732598	1.790466	0.3419223	1.730237
498.0040	1.879678	1.80854	1.749853	1.732598	1.790466	0.3419223	1.730237
498.0548	1.879678	1.80854	1.749853	1.732598	1.790466	0.3419223	1.730237
498.1056	1.87983	1.808642	1.749993	1.73272	1.7906	0.3419313	1.730341
498.1564	1.94003	1.849158	1.805333	1.78069	1.843115	0.3454728	1.771533
498.2072	2.058263	1.941553	1.902869	1.870518	1.924829	0.3507223	1.826745
498.2580	2.101191	1.970455	1.925868	1.914452	1.969181	0.3564582	1.863531
498.3088	2.240177	2.071748	2.023577	2.00516	2.048759	0.3619333	1.891802
498.3596	2.319253	2.104336	2.051431	2.027843	2.069594	0.3667487	1.851787
498.4104	2.341677	2.106962	2.050134	2.016849	2.056182	0.3707394	1.799091
498.4612	2.367018	2.108134	2.045662	2.0114	2.05836	0.3738774	1.770932
498.5120	2.359711	2.106371	2.042969	2.022473	2.055942	0.3761477	1.782647
498.5628	2.371408	2.108445	2.044994	2.015049	2.051592	0.3775022	1.754121
498.6136	2.478145	2.182891	2.090162	2.06396	2.092139	0.3779883	1.725336
498.6644	2.349723	2.122262	2.065312	2.02923	2.064041	0.3774085	1.812867
498.7152	2.401423	2.146755	2.090727	2.050317	2.087095	0.3760551	1.803408
498.7660	2.361099	2.119692	2.052203	2.028209	2.068496	0.3731992	1.803531
498.8168	2.381781	2.136599	2.081017	2.048145	2.090624	0.3701674	1.829522
498.8676	2.387377	2.151585	2.095204	2.058365	2.113793	0.3676319	1.864504
498.9184	2.48716	2.237734	2.175713	2.147128	2.193582	0.3672208	1.934243
498.9692	2.481146	2.24466	2.211444	2.194667	2.234449	0.3677258	2.049355
499.0200	2.369235	2.17031	2.15522	2.175886	2.213095	0.3674699	2.125506
499.0708	2.201425	2.012169	2.023231	2.039018	2.079977	0.3651854	2.011277
499.1216	2.127331	1.937361	1.92249	1.934118	1.976877	0.3603516	1.85147
499.1724	2.306466	2.111356	2.08577	2.070533	2.113151	0.3530744	1.943084
499.2232	2.837074	2.636368	2.569912	2.601758	2.627292	0.344761	2.471317
499.2740	3.512759	3.297866	3.285658	3.330051	3.37541	0.3373655	3.335328
499.3248	3.475946	3.362886	3.415247	3.490599	3.535498	0.3330105	3.477107
499.3756	2.91279	2.782739	2.825352	2.88424	2.913256	0.3313381	2.860535
499.4264	2.133247	2.129889	2.154938	2.231812	2.25024	0.3334208	2.23626
499.4772	2.04634	1.971359	1.964683	2.023658	2.007588	0.3369344	2.002433
499.5280	1.924563	1.839292	1.82026	1.876551	1.855067	0.3401315	1.846983
499.5788	1.832294	1.733616	1.720751	1.762088	1.750215	0.339987	1.723768
499.6296	1.833515	1.724061	1.703635	1.747425	1.72299	0.3391491	1.676522
499.6804	1.860038	1.732769	1.708932	1.742868	1.718475	0.3387044	1.645689
499.7312	1.8459	1.70859	1.696856	1.729298	1.702288	0.3395433	1.624369
499.7820	1.919803	1.752072	1.73042	1.756755	1.71579	0.3413492	1.583204
499.8328	2.03339	1.826258	1.785125	1.813564	1.755715	0.344103	1.551626
499.8836	1.984998	1.787773	1.74603	1.764585	1.726565	0.3472602	1.532174
499.9344	2.048863	1.815696	1.768053	1.778188	1.740691	0.3500803	1.488461
499.9852	2.080553	1.829635	1.776554	1.78552	1.745575	0.3522946	1.464649
500.0360	2.100917	1.852559	1.782737	1.796903	1.75564	0.3535519	1.468447
500.0868	2.102869	1.840047	1.775323	1.802795	1.749118	0.3539477	1.476719
500.1376	2.078505	1.830654	1.769189	1.785942	1.742996	0.3532713	1.464042
500.1884	2.159488	1.871346	1.810243	1.815059	1.761917	0.3514896	1.454578
500.2392	2.02176	1.796607	1.745209	1.764051	1.722643	0.3493011	1.485317
500.2900	2.038557	1.807287	1.757508	1.768978	1.726804	0.347001	1.472813
500.3408	2.047551	1.825996	1.771259	1.781201	1.726817	0.3449388	1.471704
500.3916	1.929161	1.75118	1.704854	1.715792	1.678662	0.3438034	1.493126
500.4424	1.851318	1.712905	1.670167	1.671634	1.645146	0.3429147	1.500207
500.4932	1.866398	1.735356	1.676134	1.691519	1.641987	0.3422409	1.485369
500.5440	1.828952	1.720434	1.664191	1.673404	1.621111	0.3414228	1.482666
500.5948	1.831976	1.717867	1.67647	1.662291	1.613212	0.3404975	1.462188
500.6456	1.817594	1.726493	1.690268	1.670348	1.61001	0.3390828	1.481191
500.6964	1.808342	1.742772	1.717651	1.705807	1.643772	0.3380536	1.567933
500.7472	1.8819	1.795026	1.781394	1.783748	1.719736	0.3371111	1.651348
500.7980	1.925158	1.820614	1.812751	1.803703	1.740682	0.3360205	1.650949
500.8488	1.906926	1.807672	1.807569	1.785988	1.714851	0.3349025	1.621531
500.8996	1.914134	1.810134	1.804978	1.789091	1.713666	0.3337677	1.618337
