HOLE:	U1508C
EXPEDITION:	371
TOP:	271.1869
BOTTOM:	671.2368
DEPTH_WMSF	LCAL
m	in
271.1869	10.5385
271.3393	10.52204
271.4917	10.57043
271.6441	10.59206
271.7965	10.59206
271.9489	10.59206
272.1013	10.59619
272.2537	10.60855
272.4061	10.6333
272.5585	10.69918
272.7109	10.7239
272.8633	10.71978
273.0157	10.74037
273.1681	10.71978
273.3205	10.71978
273.4729	10.72493
273.6253	10.71566
273.7777	10.72389
273.9301	10.71154
274.0825	10.73007
274.2349	10.72056
274.3873	10.71629
274.5397	10.65844
274.6921	10.63506
274.8445	10.63032
274.9969	10.62467
275.1493	10.62666
275.3017	10.62363
275.4541	10.60628
275.6065	10.5962
275.7589	10.57706
275.9113	10.55939
276.0637	10.51787
276.2161	10.51406
276.3685	10.52083
276.5209	10.5156
276.6733	10.51957
276.8257	10.52653
276.9781	10.52073
277.1305	10.51378
277.2829	10.51378
277.4353	10.51378
277.5877	10.51479
277.7401	10.51719
277.8925	10.51378
278.0449	10.50752
278.1973	10.4539
278.3497	10.35146
278.5021	10.30778
278.6545	10.30666
278.8069	10.30287
278.9593	10.30571
279.1117	10.30971
279.2641	10.30714
279.4165	10.31049
279.5689	10.30072
279.7213	10.3105
279.8737	10.31316
280.0261	10.30778
280.1785	10.30778
280.3309	10.31104
280.4833	10.31092
280.6357	10.30322
280.7881	10.30858
280.9405	10.30652
281.0929	10.30328
281.2453	10.30478
281.3977	10.30063
281.5501	10.32317
281.7025	10.40333
281.8549	10.46819
282.0073	10.46767
282.1597	10.47238
282.3121	10.46582
282.4645	10.45674
282.6169	10.46174
282.7693	10.45624
282.9217	10.46858
283.0741	10.46323
283.2265	10.46221
283.3789	10.46731
283.5313	10.45935
283.6837	10.47239
283.8361	10.46425
283.9885	10.46993
284.1409	10.46927
284.2933	10.4634
284.4457	10.43649
284.5981	10.37179
284.7505	10.247
284.9029	10.1896
285.0553	10.18418
285.2077	10.19901
285.3601	10.18566
285.5125	10.19176
285.6649	10.18955
285.8173	10.19223
285.9697	10.1846
286.1221	10.18418
286.2745	10.18817
286.4269	10.18426
286.5793	10.18825
286.7317	10.18418
286.8841	10.17326
287.0365	10.09201
287.1889	10.00602
287.3413	9.96948
287.4937	9.958158
287.6461	9.969239
287.7985	9.958123
287.9509	9.965506
288.1033	9.961343
288.2557	9.958753
288.4081	9.968637
288.5605	9.958048
288.7129	9.961181
288.8653	9.958686
289.0177	9.968201
289.1701	9.979759
289.3225	9.966155
289.4749	9.966084
289.6273	9.959087
289.7797	9.964224
289.9321	9.957576
290.0845	9.959766
290.2369	9.965589
290.3893	9.958532
290.5417	9.960702
290.6941	9.958872
290.8465	9.965691
290.9989	9.969582
291.1513	9.957576
291.3037	9.958776
291.4561	9.965106
291.6085	9.970789
291.7609	9.963178
291.9133	9.963011
292.0657	9.970209
292.2181	9.972436
292.3705	9.983143
292.5229	9.974492
292.6753	9.97879
292.8277	9.970231
292.9801	9.964178
293.1325	9.960015
293.2849	9.959299
293.4373	9.946713
293.5897	9.916763
293.7421	9.905858
293.8945	9.90249
294.0469	9.89962
294.1993	9.900093
294.3517	9.895776
294.5041	9.897818
294.6565	9.897815
294.8089	9.90373
294.9613	9.903122
295.1137	9.900182
295.2661	9.897278
295.4185	9.893941
295.5709	9.898101
295.7233	9.897531
295.8757	9.898181
296.0281	9.895005
296.1805	9.897246
296.3329	9.90282
296.4853	9.898894
296.6377	9.898267
296.7901	9.897535
296.9425	9.898563
297.0949	9.898299
297.2473	9.895776
297.3997	9.899463
297.5521	9.900592
297.7045	9.897358
297.8569	9.898443
298.0093	9.895776
298.1617	9.89697
298.3141	9.898832
298.4665	9.895776
298.6189	9.894971
298.7713	9.893674
298.9237	9.90156
299.0761	9.886932
299.2285	9.899044
299.3809	9.887693
299.5333	9.891741
299.6857	9.905719
299.8381	9.892478
299.9905	9.906678
300.1429	9.897258
300.2953	9.895776
300.4477	9.902511
300.6001	9.897541
300.7525	9.895776
300.9049	9.895776
301.0573	9.895776
301.2097	9.895776
301.3621	9.892538
301.5145	9.898615
301.6669	9.897029
301.8193	9.896053
301.9717	9.897826
302.1241	9.895776
302.2765	9.901203
302.4289	9.903099
302.5813	9.898875
302.7337	9.901175
302.8861	9.895776
303.0385	9.897227
303.1909	9.898605
303.3433	9.892558
303.4957	9.895776
303.6481	9.895776
303.8005	9.89631
303.9529	9.899325
304.1053	9.895776
304.2577	9.895776
304.4101	9.897151
304.5625	9.903291
304.7149	9.898177
304.8673	9.893233
305.0197	9.902328
305.1721	9.899313
305.3245	9.907654
305.4769	9.892616
305.6293	9.894776
305.7817	9.892694
305.9341	9.898467
306.0865	9.903285
306.2389	9.895776
306.3913	9.89697
306.5437	9.898663
306.6961	9.897048
306.8485	9.895968
307.0009	9.890238
307.1533	9.895776
307.3057	9.895776
307.4581	9.897243
307.6105	9.898389
307.7629	9.89964
307.9153	9.905284
308.0677	9.905639
308.2201	9.906474
308.3725	9.902741
308.5249	9.910928
308.6773	9.913939
308.8297	9.903531
308.9821	9.904885
309.1345	9.900452
309.2869	9.907638
309.4393	9.912429
309.5917	9.909646
309.7441	9.915843
309.8965	9.922586
310.0489	9.931005
310.2013	9.964097
310.3537	10.06022
310.5061	10.14034
310.6585	10.15762
310.8109	10.16178
310.9633	10.16062
311.1157	10.16864
311.2681	10.16616
311.4205	10.15698
311.5729	10.14148
311.7253	10.10836
311.8777	10.06496
