HOLE:	U1508C
EXPEDITION:	371
TOP:	580.1570
BOTTOM:	671.7493
DEPTH_WMSF	LCAL
m	in
580.1570	10.36546
580.3094	10.36958
580.4618	10.36958
580.6142	10.36546
580.7666	10.36546
580.9190	10.36134
581.0714	10.38501
581.2238	10.36135
581.3762	10.3737
581.5286	10.36134
581.6810	10.36443
581.8334	10.37369
581.9858	10.36134
582.1382	10.36958
582.2906	10.36134
582.4430	10.36435
582.5954	10.36207
582.7478	10.37251
582.9002	10.36453
583.0526	10.38591
583.2050	10.39956
583.3574	10.43248
583.5098	10.4243
583.6622	10.42693
583.8146	10.42659
583.9670	10.4305
584.1194	10.43195
584.2718	10.4364
584.4242	10.43489
584.5766	10.42982
584.7290	10.43074
584.8814	10.43614
585.0338	10.43496
585.1862	10.4257
585.3386	10.42912
585.4910	10.43138
585.6434	10.42314
585.7958	10.42625
585.9482	10.43447
586.1006	10.44301
586.2530	10.46133
586.4054	10.45214
586.5578	10.45572
586.7102	10.44036
586.8626	10.45198
587.0150	10.45198
587.1674	10.45198
587.3198	10.45027
587.4722	10.44273
587.6246	10.44309
587.7770	10.45722
587.9294	10.46846
588.0818	10.47332
588.2342	10.48613
588.3866	10.49318
588.5390	10.48903
588.6914	10.4894
588.8438	10.48842
588.9962	10.49317
589.1486	10.49228
589.3010	10.51745
589.4534	10.54071
589.6058	10.53997
589.7582	10.54179
589.9106	10.53572
590.0630	10.53798
590.2154	10.53475
590.3678	10.51876
590.5202	10.52601
590.6726	10.52192
590.8250	10.52066
590.9774	10.53964
591.1298	10.28757
591.2822	10.28995
591.4346	10.27482
591.5870	10.27551
591.7394	10.28718
591.8918	10.28692
592.0442	10.27929
592.1966	10.29751
592.3490	10.30361
592.5014	10.3077
592.6538	10.31177
592.8062	10.30796
592.9586	10.3175
593.1110	10.30465
593.2634	10.31123
593.4158	10.30443
593.5682	10.30274
593.7206	10.31079
593.8730	10.30475
594.0254	10.31071
594.1778	10.30843
594.3302	10.31632
594.4826	10.30966
594.6350	10.30778
594.7874	10.30778
594.9398	10.30778
595.0922	10.30462
595.2446	10.30366
595.3970	10.29754
595.5494	10.30067
595.7018	10.30632
595.8542	10.30778
596.0066	10.31063
596.1590	10.3091
596.3114	10.30435
596.4638	10.30599
596.6162	10.33417
596.7686	10.40067
596.9210	10.45039
597.0734	10.45606
597.2258	10.45685
597.3782	10.45545
597.5306	10.45664
597.6830	10.45566
597.8354	10.45198
597.9878	10.45633
598.1402	10.45597
598.2926	10.46232
598.4450	10.46854
598.5974	10.45844
598.7498	10.45581
598.9022	10.48254
599.0546	10.51373
599.2070	10.52728
599.3594	10.53167
599.5118	10.52533
599.6642	10.47186
599.8166	10.35586
599.9690	10.31452
600.1214	10.32636
600.2738	10.52418
600.4262	10.95502
600.5786	11.27103
600.7310	11.58338
600.8834	11.70565
601.0358	11.70745
601.1882	11.70689
601.3406	11.67222
601.4930	11.41012
601.6454	10.81604
601.7978	10.28064
601.9502	10.27069
602.1026	10.26813
602.2550	10.27338
602.4074	10.26909
602.5598	10.28095
602.7122	10.28332
602.8646	10.32896
603.0170	10.27528
603.1694	10.27873
603.3218	10.27634
603.4742	10.27131
603.6266	10.27844
603.7790	10.271
603.9314	10.27665
604.0838	10.2709
604.2362	10.2789
604.3886	10.27483
604.5410	10.27482
604.6934	10.2668
604.8458	10.28634
604.9982	10.49396
605.1506	10.9484
605.3030	10.97554
605.4554	10.97709
605.6078	11.14532
605.7602	11.04456
605.9126	12.13661
606.0650	13.39378
606.2174	13.9173
606.3698	11.21033
606.5222	10.63838
606.6746	10.63326
606.8270	10.63654
606.9794	10.63738
607.1318	10.63738
607.2842	10.91271
607.4366	11.00225
607.5890	11.88036
607.7414	12.65629
607.8938	11.32098
608.0462	10.42663
608.1986	10.29019
608.3510	10.25511
608.5034	10.2527
608.6558	10.2477
608.8082	10.24446
608.9606	10.24598
609.1130	10.24848
609.2654	10.24765
609.4178	10.24598
609.5702	10.24598
609.7226	10.24598
609.8750	10.24598
610.0274	10.24598
610.1798	10.24598
610.3322	10.24598
610.4846	10.24802
610.6370	10.24413
610.7894	10.43894
610.9418	11.47343
611.0942	12.56786
611.2466	12.50317
611.3990	11.96724
611.5514	11.9433
611.7038	12.4599
611.8562	12.58806
612.0086	12.58767
612.1610	12.5888
612.3134	12.5872
612.4658	12.50656
612.6182	11.9
612.7706	10.74494
612.9230	10.25593
613.0754	10.30942
613.2278	10.55643
613.3802	10.82399
613.5326	10.82067
613.6850	10.61549
613.8374	10.24921
613.9898	10.24598
614.1422	10.24598
614.2946	10.24671
614.4470	10.24873
614.5994	10.24012
614.7518	10.25074
614.9042	10.4167
615.0566	10.72855
615.2090	10.88612
615.3614	10.86436
615.5138	10.87793
