HOLE:	U1508C
EXPEDITION:	371
TOP:	583.3574
BOTTOM:	690.3421
DEPTH_WMSF	DTCO	DT1	DT2	VELP	VS1	VS2
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
583.3574	129.0648	329.4892	346.1978	2.3616	0.9251	0.8804
583.5098	129.1472	329.3351	345.7191	2.3601	0.9255	0.8816
583.6622	129.2457	328.7314	344.5227	2.3583	0.9272	0.8847
583.8146	128.7637	328.3917	344.5777	2.3671	0.9282	0.8846
583.9670	128.6046	328.5687	344.5486	2.3701	0.9277	0.8846
584.1194	129.1121	328.3828	344.4831	2.3607	0.9282	0.8848
584.2718	129.1386	327.9369	344.668	2.3603	0.9294	0.8843
584.4242	127.9175	324.0078	337.1162	2.3828	0.9407	0.9041
584.5766	125.9411	310.3949	319.8832	2.4202	0.9820	0.9528
584.7290	125.6167	309.5622	317.8895	2.4264	0.9846	0.9588
584.8814	125.7527	316.2704	325.0661	2.4238	0.9637	0.9377
585.0338	126.0269	316.9701	326.8927	2.4185	0.9616	0.9324
585.1862	127.0366	319.3936	326.9368	2.3993	0.9543	0.9323
585.3386	129.0294	318.5404	327.7925	2.3623	0.9569	0.9299
585.4910	129.2265	319.8996	329.7889	2.3586	0.9528	0.9242
585.6434	129.3056	332.2921	340.942	2.3572	0.9173	0.8940
585.7958	129.9485	337.6655	350.1513	2.3455	0.9027	0.8705
585.9482	130.518	338.9067	348.3714	2.3353	0.8994	0.8749
586.1006	130.4073	339.4565	346.7306	2.3373	0.8979	0.8791
586.2530	129.9956	332.247	346.6767	2.3447	0.9174	0.8792
586.4054	128.9471	325.95	342.8044	2.3638	0.9351	0.8891
586.5578	127.7583	328.3575	336.3792	2.3858	0.9283	0.9061
586.7102	128.7251	327.6649	335.6927	2.3678	0.9302	0.9080
586.8626	129.5529	327.0628	335.7488	2.3527	0.9319	0.9078
587.0150	129.1516	324.9354	335.6951	2.3600	0.9380	0.9080
587.1674	128.453	326.313	335.2007	2.3729	0.9341	0.9093
587.3198	127.5086	319.6265	329.0516	2.3904	0.9536	0.9263
587.4722	126.2305	309.6001	313.314	2.4146	0.9845	0.9728
587.6246	126.1302	299.7144	309.9095	2.4166	1.0170	0.9835
587.7770	127.325	314.2771	319.2817	2.3939	0.9698	0.9546
587.9294	127.3525	314.9866	321.7002	2.3934	0.9677	0.9475
588.0818	127.5122	314.9788	321.7931	2.3904	0.9677	0.9472
588.2342	128.3106	314.6016	321.7596	2.3755	0.9688	0.9473
588.3866	129.3943	314.3978	321.726	2.3556	0.9695	0.9474
588.5390	129.6776	314.4261	321.7904	2.3504	0.9694	0.9472
588.6914	129.4841	314.1034	321.9616	2.3540	0.9704	0.9467
588.8438	130.0651	315.3359	326.7558	2.3434	0.9666	0.9328
588.9962	131.2456	322.4525	342.4894	2.3224	0.9453	0.8900
589.1486	130.1964	326.2662	347.0791	2.3411	0.9342	0.8782
589.3010	129.24	328.2196	340.1429	2.3584	0.9286	0.8961
589.4534	129.4907	329.6205	337.358	2.3538	0.9247	0.9035
589.6058	129.5663	330.9292	337.2784	2.3525	0.9210	0.9037
589.7582	129.0993	329.6691	336.7548	2.3610	0.9246	0.9051
589.9106	128.242	327.8955	334.4716	2.3768	0.9296	0.9113
590.0630	127.8669	327.0482	332.5215	2.3837	0.9320	0.9166
590.2154	128.3906	327.0135	331.8743	2.3740	0.9321	0.9184
590.3678	128.6759	325.7609	331.5811	2.3687	0.9357	0.9192
590.5202	129.276	326.6221	331.9046	2.3577	0.9332	0.9183
590.6726	130.5939	317.4252	334.3549	2.3340	0.9602	0.9116
590.8250	129.7926	317.2792	334.682	2.3484	0.9607	0.9107
590.9774	129.1879	314.9396	321.5679	2.3594	0.9678	0.9479
591.1298	128.3041	315.078	321.9066	2.3756	0.9674	0.9469
591.2822	128.1491	314.6307	321.9523	2.3785	0.9688	0.9467
591.4346	128.2059	314.8685	321.8666	2.3774	0.9680	0.9470
591.5870	128.3637	316.1393	321.792	2.3745	0.9641	0.9472
591.7394	129.3506	311.9483	320.3447	2.3564	0.9771	0.9515
591.8918	131.2369	313.8734	327.989	2.3225	0.9711	0.9293
592.0442	133.3151	323.3761	333.063	2.2863	0.9426	0.9151
592.1966	133.5879	323.2044	333.021	2.2816	0.9431	0.9153
592.3490	134.2709	325.378	334.9907	2.2700	0.9368	0.9099
592.5014	135.8975	341.7582	353.3947	2.2429	0.8919	0.8625
592.6538	139.1377	363.0742	381.6555	2.1906	0.8395	0.7986
592.8062	137.0208	370.4193	383.5948	2.2245	0.8229	0.7946
592.9586	135.8511	370.7263	383.6248	2.2436	0.8222	0.7945
593.1110	135.2744	370.1253	383.6507	2.2532	0.8235	0.7945
593.2634	135.4326	370.0214	383.6382	2.2506	0.8237	0.7945
593.4158	135.883	371.9252	383.5539	2.2431	0.8195	0.7947
593.5682	135.4919	357.7211	372.6614	2.2496	0.8521	0.8179
593.7206	137.0451	351.2875	358.5849	2.2241	0.8677	0.8500
593.8730	139.1729	350.9582	356.6133	2.1901	0.8685	0.8547
594.0254	141.1	352.7751	356.5235	2.1602	0.8640	0.8549
594.1778	141.6074	352.7344	356.2634	2.1524	0.8641	0.8555
594.3302	141.8667	346.9836	362.5784	2.1485	0.8784	0.8406
594.4826	138.3502	347.1697	362.3185	2.2031	0.8780	0.8412
594.6350	134.558	349.0919	359.5695	2.2652	0.8731	0.8477
594.7874	134.3089	350.1248	358.9459	2.2694	0.8705	0.8492
594.9398	135.0187	349.4088	358.6659	2.2575	0.8723	0.8498
595.0922	135.5031	349.2497	358.5406	2.2494	0.8727	0.8501
595.2446	135.9217	347.5138	357.7781	2.2425	0.8771	0.8519
595.3970	134.6629	333.4594	352.4904	2.2634	0.9141	0.8647
595.5494	132.2604	321.1447	338.0975	2.3045	0.9491	0.9015
595.7018	129.408	306.2546	323.1396	2.3553	0.9953	0.9432
595.8542	129.355	300.7483	317.8477	2.3563	1.0135	0.9589
596.0066	129.3008	300.6714	318.1379	2.3573	1.0137	0.9581
596.1590	128.1353	298.2405	308.3898	2.3787	1.0220	0.9884
596.3114	130.1852	314.8356	321.3429	2.3413	0.9681	0.9485
596.4638	132.6191	328.9817	340.0196	2.2983	0.9265	0.8964
596.6162	133.4122	332.1108	346.0097	2.2846	0.9178	0.8809
596.7686	133.3359	331.2905	345.5952	2.2860	0.9200	0.8820
596.9210	133.0916	330.6015	345.1732	2.2902	0.9220	0.8830
597.0734	132.8173	340.57	346.9608	2.2949	0.8950	0.8785
597.2258	132.6164	339.2337	355.304	2.2984	0.8985	0.8579
597.3782	132.9203	341.239	359.1303	2.2931	0.8932	0.8487
597.5306	132.118	346.3861	355.478	2.3070	0.8799	0.8574
597.6830	131.5424	343.7388	347.5699	2.3171	0.8867	0.8769
597.8354	132.1577	343.0075	347.5109	2.3063	0.8886	0.8771
597.9878	132.3604	347.2201	351.9669	2.3028	0.8778	0.8660
598.1402	132.639	349.9536	352.6067	2.2980	0.8710	0.8644
598.2926	132.9457	349.6207	352.6702	2.2927	0.8718	0.8643
598.4450	133.1096	349.317	352.6913	2.2898	0.8726	0.8642
598.5974	132.7658	344.0721	352.7836	2.2958	0.8859	0.8640
598.7498	132.0127	335.113	353.4914	2.3089	0.9095	0.8623
598.9022	131.3033	325.1837	348.0761	2.3213	0.9373	0.8757
599.0546	130.3031	320.886	336.88	2.3392	0.9499	0.9048
599.2070	129.3129	324.8885	331.9323	2.3571	0.9382	0.9183
599.3594	127.8235	320.7205	331.4409	2.3845	0.9504	0.9196
599.5118	126.9246	315.6486	328.2799	2.4014	0.9656	0.9285
599.6642	127.2957	308.2035	334.1164	2.3944	0.9890	0.9123
599.8166	128.6066	314.9947	354.9201	2.3700	0.9676	0.8588
599.9690	130.3115	349.165	362.1899	2.3390	0.8729	0.8415
600.1214	132.2619	349.6795	361.9659	2.3045	0.8717	0.8421
600.2738	134.4145	349.0194	361.1187	2.2676	0.8733	0.8440
600.4262	135.1917	351.9496	359.9794	2.2546	0.8660	0.8467
600.5786	134.052	363.0937	372.0259	2.2737	0.8395	0.8193
600.7310	131.7118	372.2681	389.4244	2.3141	0.8188	0.7827
600.8834	130.6499	362.3384	360.2302	2.3330	0.8412	0.8461
601.0358	129.5167	356.6809	350.5946	2.3534	0.8545	0.8694
601.1882	128.8053	355.7078	350.5656	2.3664	0.8569	0.8695
601.3406	128.0326	353.8084	350.9506	2.3806	0.8615	0.8685
601.4930	129.2655	352.7551	353.0699	2.3579	0.8641	0.8633
601.6454	131.2913	342.716	363.8304	2.3216	0.8894	0.8378
601.7978	131.4521	339.5259	370.98	2.3187	0.8977	0.8216
601.9502	130.5816	340.4261	349.2267	2.3342	0.8953	0.8728
602.1026	130.5831	342.4329	349.0696	2.3341	0.8901	0.8732
602.2550	130.6755	342.1742	347.9438	2.3325	0.8908	0.8760
602.4074	130.3861	346.4701	345.2659	2.3377	0.8797	0.8828
602.5598	128.3966	343.2527	342.3615	2.3739	0.8880	0.8903
602.7122	127.8723	343.8882	342.0965	2.3836	0.8863	0.8910
602.8646	128.3386	349.355	338.1026	2.3750	0.8725	0.9015
603.0170	129.9239	337.3379	348.0038	2.3460	0.9035	0.8759
603.1694	132.0129	344.2539	357.1832	2.3089	0.8854	0.8533
603.3218	131.2981	351.6133	356.6313	2.3214	0.8669	0.8547
