HOLE:	U1508C
EXPEDITION:	371
TOP:	580.1570
BOTTOM:	662.6053
DEPTH_WMSF	GR	ECGR
m	gAPI	gAPI
580.1570	19.4949	22.56822
580.3094	19.49445	22.56769
580.4618	18.25726	21.13546
580.6142	19.81915	22.93985
580.7666	19.8226	22.94384
580.9190	19.26358	22.29318
581.0714	19.84114	22.98304
581.2238	19.64681	22.73668
581.3762	19.64668	22.74763
581.5286	18.0908	20.93595
581.6810	18.86583	21.83553
581.8334	18.28306	21.16877
581.9858	17.89605	20.71057
582.1382	17.0708	19.76196
582.2906	16.0983	18.63009
582.4430	16.06694	18.59601
582.5954	14.99722	17.35635
582.7478	15.23599	17.64001
582.9002	13.98154	16.18244
583.0526	13.8971	16.09834
583.2050	14.98671	17.37098
583.3574	17.51375	20.32511
583.5098	17.13602	19.8803
583.6622	15.93089	18.48412
583.8146	14.08771	16.34531
583.9670	14.58847	16.9289
584.1194	14.34145	16.64326
584.2718	13.80122	16.01897
584.4242	14.32975	16.63113
584.5766	15.92474	18.47927
584.7290	16.33496	18.9558
584.8814	16.37412	19.00531
585.0338	17.17153	19.92975
585.1862	17.37856	20.16282
585.3386	16.04417	18.61699
585.4910	16.46787	19.11047
585.6434	18.92799	21.95804
585.7958	20.44974	23.72657
585.9482	18.92066	21.95945
586.1006	17.25296	20.03065
586.2530	17.3028	20.10303
586.4054	17.69571	20.55211
586.5578	19.62025	22.79053
586.7102	18.42847	21.39322
586.8626	17.47916	20.30047
587.0150	15.67626	18.20656
587.1674	17.52956	20.35901
587.3198	18.96819	22.02843
587.4722	17.88959	20.76966
587.6246	16.15694	18.75809
587.7770	15.53141	18.04237
587.9294	16.67333	19.37711
588.0818	16.42984	19.09782
588.2342	16.476	19.16097
588.3866	16.63953	19.35655
588.5390	17.11683	19.90856
588.6914	16.59156	19.29781
588.8438	15.91964	18.51571
588.9962	15.87234	18.46412
589.1486	16.83424	19.58224
589.3010	16.67946	19.42107
589.4534	16.39762	19.11062
589.6058	15.21187	17.72824
589.7582	15.10851	17.60898
589.9106	14.19664	16.54232
590.0630	15.1972	17.70972
590.2154	17.13673	19.96734
590.3678	19.70592	22.9465
590.5202	18.69167	21.77172
590.6726	17.62949	20.53125
590.8250	14.64573	17.05563
590.9774	15.39817	17.94685
591.1298	14.04632	16.20798
591.2822	16.18295	18.67525
591.4346	14.66447	16.91264
591.5870	18.00561	20.76651
591.7394	16.34358	18.85843
591.8918	17.68176	20.40233
592.0442	16.34994	18.85985
592.1966	15.85097	18.29753
592.3490	16.66477	19.2416
592.5014	17.43474	20.13389
592.6538	18.39178	21.24254
592.8062	19.77905	22.84135
592.9586	18.92409	21.86228
593.1110	21.04269	24.29737
593.2634	20.48285	23.65718
593.4158	21.83007	25.20636
593.5682	21.80437	25.17505
593.7206	21.78872	25.16502
593.8730	21.78938	25.15975
594.0254	21.27883	24.57601
594.1778	21.51819	24.85023
594.3302	19.15841	22.13179
594.4826	16.44395	18.99139
594.6350	14.54105	16.79227
594.7874	15.58606	17.99906
594.9398	18.67799	21.56969
595.0922	19.59923	22.6307
595.2446	19.79082	22.85106
595.3970	18.97061	21.89879
595.5494	18.30294	21.13057
595.7018	17.05424	19.69333
595.8542	16.34279	18.87295
596.0066	16.71076	19.3001
596.1590	16.73764	19.32996
596.3114	16.47239	19.02005
596.4638	16.51085	19.06568
596.6162	16.63019	19.22498
596.7686	16.45753	19.07509
596.9210	16.81811	19.53176
597.0734	18.05772	20.97561
597.2258	19.24949	22.36092
597.3782	18.40521	21.3791
597.5306	18.16135	21.09674
597.6830	18.4556	21.43765
597.8354	20.28395	23.55799
597.9878	21.13852	24.55453
598.1402	20.48154	23.79119
598.2926	20.08382	23.3348
598.4450	20.66952	24.02119
598.5974	21.96933	25.52181
598.7498	22.6259	26.28198
598.9022	22.70944	26.40605
599.0546	22.43217	26.11611
599.2070	22.01198	25.64005
599.3594	20.59031	23.9887
599.5118	19.77235	23.02981
599.6642	19.57927	22.75661
599.8166	19.09288	22.09213
599.9690	17.26118	19.93893
600.1214	15.86743	18.33716
600.2738	16.15559	18.82766
600.4262	18.59664	22.02891
600.5786	21.24952	25.4704
600.7310	23.33791	28.28685
600.8834	24.31387	29.59775
601.0358	24.49072	29.81497
601.1882	23.62016	28.75446
601.3406	22.46671	27.31791
601.4930	20.75563	25.01279
601.6454	17.73916	20.90248
601.7978	16.6543	19.21193
601.9502	17.45423	20.12672
602.1026	19.17767	22.11197
602.2550	20.72686	23.90307
602.4074	20.88261	24.07875
602.5598	22.23795	25.65351
602.7122	20.66613	23.84244
602.8646	20.53562	23.73512
603.0170	19.71706	22.74023
603.1694	19.55129	22.55216
603.3218	19.05392	21.9763
603.4742	21.27039	24.52796
603.6266	24.53386	28.29915
603.7790	24.76538	28.55771
603.9314	22.14516	25.54205
604.0838	21.51355	24.80785
604.2362	20.91926	24.13025
604.3886	21.49958	24.79563
604.5410	20.9817	24.19835
604.6934	21.17449	24.4129
604.8458	20.82642	24.03024
604.9982	22.83746	26.56838
605.1506	24.87618	29.45225
605.3030	25.34943	30.0409
605.4554	22.89977	27.13947
605.6078	21.00213	25.04673
605.7602	21.67069	25.74759
605.9126	21.78102	26.91605
606.0650	23.28767	30.00549
606.2174	24.19647	31.67531
606.3698	23.50704	28.09046
606.5222	22.57661	26.41219
606.6746	22.71959	26.57401
606.8270	25.42599	29.74344
606.9794	26.22274	30.67638
607.1318	24.90852	29.13895
607.2842	23.03257	27.22416
607.4366	22.85525	27.11246
607.5890	23.23675	28.4609
607.7414	23.76019	29.88904
607.8938	24.33651	29.18347
608.0462	24.50426	28.43055
608.1986	24.68424	28.48584
608.3510	22.81628	26.29472
608.5034	21.09004	24.30169
608.6558	20.39529	23.49673
608.8082	22.44547	25.85541
608.9606	22.88909	26.36786
609.1130	21.67566	24.97244
609.2654	19.46679	22.42705
609.4178	18.64505	21.47879
609.5702	19.12383	22.03034
609.7226	19.97115	23.00644
609.8750	21.4373	24.69542
610.0274	22.5157	25.93771
610.1798	22.66775	26.11288
610.3322	22.06724	25.42109
610.4846	22.26714	25.65353
610.6370	22.58273	26.01313
610.7894	22.36186	25.95908
610.9418	21.49829	25.89257
611.0942	20.83375	26.13322
611.2466	21.08844	26.39659
611.3990	20.01741	24.59865
611.5514	18.58264	22.79401
611.7038	17.85204	22.31148
611.8562	19.06181	23.9232
612.0086	19.24429	24.15188
612.1610	18.06645	22.67463
612.3134	17.39988	21.83683
612.4658	18.09727	22.64733
612.6182	18.90391	23.16884
612.7706	18.08272	21.25352
612.9230	16.53	19.0499
613.0754	15.78096	18.22332
613.2278	15.70415	18.32063
613.3802	17.6853	20.83836
613.5326	19.23115	22.65324
613.6850	21.01055	24.56709
613.8374	18.93481	21.81542
613.9898	17.96321	20.69332
614.1422	16.39777	18.88997
614.2946	18.31582	21.10015
614.4470	18.79501	21.65382
614.5994	20.45337	23.55643
614.7518	20.89807	24.08031
614.9042	22.46959	26.05869
615.0566	21.71827	25.49591
615.2090	20.95694	24.75169
615.3614	18.90426	22.30862
615.5138	19.28842	22.77387
615.6662	19.65911	23.34409
615.8186	19.80738	23.98937
615.9710	19.26314	23.49007
616.1234	19.52276	23.24104
616.2758	21.99014	25.88487
616.4282	22.55586	26.30179
616.5806	23.90059	27.66135
616.7330	24.85762	28.77043
616.8854	24.14575	27.94767
617.0378	22.45499	25.99072
617.1902	19.45045	22.50968
617.3426	21.1136	24.43414
617.4950	22.4376	25.95956
617.6474	21.57858	25.25811
617.7998	18.82992	21.91322
617.9522	15.83306	18.4294
618.1046	15.27982	17.75946
618.2570	16.41011	19.06015
618.4094	16.01004	18.59922
618.5618	16.46906	19.12837
618.7142	18.48929	21.47943
618.8666	21.52305	25.10161
619.0190	23.08129	27.04471
619.1714	23.53946	27.60104
619.3238	22.53368	26.43225
619.4762	22.36518	26.16287
619.6286	20.32879	23.55527
619.7810	18.25044	21.07099
619.9334	17.19176	19.84921
620.0858	16.41876	18.95979
620.2382	17.13087	19.7854
620.3906	17.18443	19.84587
620.5430	16.50734	19.06297
620.6954	16.26971	18.79277
620.8478	16.31706	18.84522
621.0002	17.51074	20.22629
621.1526	18.86116	21.78354
621.3050	19.21387	22.30622
621.4574	18.93802	22.29827
621.6098	19.78424	24.06048
621.7622	20.47848	25.25413
621.9146	19.83276	24.30585
622.0670	19.1566	22.61803
622.2194	20.79902	24.30853
622.3718	23.59953	27.5188
622.5242	24.02678	27.79766
622.6766	23.42362	27.04874
622.8290	23.47682	27.11412
622.9814	24.44999	28.47615
623.1338	24.07127	28.13065
623.2862	21.30098	24.71896
623.4386	18.03396	20.98107
623.5910	15.6636	18.13431
623.7434	15.89009	18.08208
623.8958	16.2975	18.47664
624.0482	15.72023	17.82218
624.2006	15.73529	17.84073
624.3530	17.15676	19.49183
624.5054	19.50287	22.27902
624.6578	21.33152	24.48796
624.8102	21.53057	24.81835
624.9626	19.6568	22.71395
625.1150	17.47416	20.12745
625.2674	16.761	19.26427
625.4198	18.95124	21.781
625.5722	21.06627	24.21276
625.7246	22.42241	25.77196
625.8770	22.41039	25.76085
626.0294	21.22003	24.38811
626.1818	20.96913	24.10448
626.3342	18.84888	21.6646
626.4866	17.97087	20.65111
626.6390	17.72495	20.37109
626.7914	20.13167	23.14181
626.9438	21.40388	24.60158
627.0962	20.68531	23.77164
627.2486	19.77254	22.72409
627.4010	18.52646	21.29169
627.5534	18.64185	21.42695
627.7058	20.82928	23.93582
627.8582	24.35298	28.04144
628.0106	27.02502	31.25998
628.1630	27.49123	31.85103
628.3154	27.75032	32.15306
628.4678	26.57831	30.79283
628.6202	24.88871	28.82991
628.7726	24.12679	27.95881
628.9250	24.72579	28.65312
629.0774	25.27812	29.26255
629.2298	24.81762	28.70666
629.3822	22.27914	25.7742
629.5346	21.06894	24.37466
629.6870	21.37782	24.84444
629.8394	23.09124	26.77325
629.9918	24.11943	27.808
630.1442	23.79903	27.43859
630.2966	23.2272	26.78916
630.4490	22.53454	25.98797
630.6014	21.39226	24.67085
630.7538	19.86766	22.91503
630.9062	19.02541	21.98259
631.0586	20.14767	23.7685
631.2110	21.0913	25.10445
631.3634	20.41762	23.93305
631.5158	18.41696	21.44494
631.6682	17.70545	20.62289
631.8206	19.31045	22.48942
631.9730	19.92107	23.67578
632.1254	21.68595	25.36094
632.2778	21.14171	24.3695
632.4302	21.27139	24.447
632.5826	19.32403	22.20607
632.7350	18.66222	21.44556
632.8874	19.43935	22.35411
633.0398	19.04573	21.86455
633.1922	17.7671	20.44486
633.3446	17.58537	20.23299
633.4970	19.0888	21.96272
633.6494	19.43857	22.36364
633.8018	17.46609	20.09421
633.9542	16.02404	18.43803
634.1065	17.07154	19.64585
634.2589	18.44777	21.22714
634.4113	20.79548	23.92459
634.5637	18.99109	21.85237
634.7161	20.30043	23.37841
634.8685	18.66424	21.75812
635.0209	20.43297	23.50428
635.1733	20.82817	23.96958
635.3257	23.63555	27.19641
635.4781	23.93361	27.55936
635.6305	23.05601	26.55227
635.7829	20.18856	23.6266
635.9353	18.61332	23.17276
636.0877	18.12238	24.02552
636.2401	17.63021	23.3639
636.3925	19.06289	25.01725
636.5449	19.56078	24.28144
636.6973	21.30675	25.23665
636.8497	21.53383	25.74177
637.0021	22.85745	27.35285
637.1545	22.34946	26.7445
637.3069	22.83153	27.19393
637.4593	21.31327	25.04719
637.6117	19.81282	23.06548
637.7641	18.9858	21.89409
637.9165	18.89203	21.7838
638.0689	18.92626	21.82686
638.2213	17.92659	20.67332
638.3737	18.67259	21.5367
638.5261	19.65804	22.68506
638.6785	20.64882	23.8413
638.8309	21.29375	24.59128
638.9833	21.22316	24.5132
639.1357	20.16947	23.29382
639.2881	19.16078	22.23135
639.4405	19.65971	23.00398
639.5929	19.71553	22.89451
639.7453	18.9384	21.76486
639.8977	17.25769	19.83739
640.0501	16.9369	19.46618
640.2025	16.94872	19.47651
640.3549	18.67746	21.46308
640.5073	19.55956	22.48356
640.6597	20.0053	22.99292
640.8121	18.77209	21.57404
640.9645	19.06649	21.91125
641.1169	18.9773	21.8137
641.2693	17.71815	20.36334
641.4217	15.17902	17.44675
641.5741	14.19145	16.31143
641.7265	13.40968	15.41966
641.8789	13.50831	15.52594
642.0313	15.12772	17.38392
642.1837	20.50956	23.56843
642.3361	22.57134	25.9482
642.4885	23.08101	26.52567
642.6409	21.3422	24.52525
642.7933	21.37104	24.55839
642.9457	20.60049	23.67789
643.0981	20.07528	23.07247
643.2505	19.55727	22.4741
643.4029	20.00106	22.98221
643.5553	20.04501	23.03225
643.7077	19.21852	22.08483
643.8601	19.94401	22.91853
644.0125	19.35408	22.24232
644.1649	19.3656	22.25951
644.3173	17.37639	19.96531
644.4697	15.6804	18.02199
644.6221	16.14113	18.55153
644.7745	16.14553	18.56083
644.9269	15.97512	18.36134
645.0793	16.73326	19.2295
645.2317	16.34486	18.78258
645.3841	16.27885	18.71096
645.5365	16.21772	18.63883
645.6889	17.45555	20.07121
645.8413	19.3582	23.01125
645.9937	19.97234	24.85526
646.1461	19.12756	24.43418
646.2985	18.21906	23.45036
646.4509	18.64443	23.99486
646.6033	20.34983	26.21675
646.7557	20.60301	26.51179
646.9081	19.20091	23.71289
647.0605	18.49859	22.11783
647.2129	19.59402	23.17009
647.3653	21.03731	24.59966
647.5177	21.36487	25.02351
647.6701	21.39765	25.05412
647.8225	19.7346	22.98915
647.9749	18.04618	20.92763
648.1273	17.0433	19.80778
648.2797	16.00262	18.70497
648.4321	15.82221	18.50342
648.5845	15.48491	17.97086
648.7369	15.60687	17.9605
648.8893	17.80242	20.48392
649.0417	17.17887	19.77121
649.1941	17.66817	20.32826
649.3465	16.57562	19.07882
649.4989	16.98602	19.54817
649.6513	18.26198	21.01335
649.8037	18.64187	21.45043
649.9561	18.83957	21.68409
650.1085	16.99059	19.54738
650.2609	16.96481	19.52169
650.4133	17.90803	20.60942
650.5657	18.56435	21.36035
650.7181	18.95777	21.8144
650.8705	19.32764	22.24134
651.0229	19.83742	22.82737
651.1753	20.01452	23.03167
651.3277	18.72405	21.54399
651.4801	16.67837	19.21605
651.6325	16.28283	18.86086
651.7849	15.23726	17.70798
651.9373	15.19894	17.49514
652.0897	16.84607	19.3983
652.2421	18.59017	21.39834
652.3945	20.06238	23.09596
652.5469	19.09815	21.98333
652.6993	17.96422	20.69558
652.8517	17.28194	19.94264
653.0041	18.3826	21.18934
653.1565	18.83654	21.69128
653.3089	19.19184	22.07616
653.4613	18.4065	21.1536
653.6137	17.17142	19.73557
653.7661	16.39347	18.84184
653.9185	16.22117	18.64045
654.0709	16.89312	19.41411
654.2233	17.2771	19.85873
654.3757	17.53219	20.16121
654.5281	17.50005	20.37762
654.6805	17.82479	21.17244
654.8329	17.94577	21.48401
654.9853	17.79921	21.31687
655.1377	18.05673	21.46393
655.2901	19.41278	22.57837
655.4425	20.53551	23.52029
655.5949	20.37633	23.34116
655.7473	18.97692	21.73926
655.8997	19.20053	21.99773
656.0521	20.22663	23.21437
656.2045	21.75224	25.01937
656.3569	22.75969	26.19232
656.5093	22.57842	25.98256
656.6617	21.51861	24.76378
656.8141	21.01823	24.18593
656.9665	22.03133	25.36836
657.1189	22.33604	25.78272
657.2713	21.23096	24.57288
657.4237	18.71243	21.84194
657.5761	17.42632	20.41197
657.7285	17.75819	20.59855
657.8809	19.10223	22.16344
658.0333	18.553	21.52948
658.1857	17.19532	19.95547
658.3381	16.92201	19.6202
658.4905	18.71497	21.66623
658.6429	19.00804	21.99245
658.7953	18.17764	21.07022
658.9477	17.27803	20.0694
659.1001	18.34085	21.27465
659.2525	20.15703	23.31778
659.4049	20.93428	24.14833
659.5573	20.41668	23.52261
659.7097	19.60306	22.58667
659.8621	20.4982	23.61359
660.0145	21.00244	24.19446
660.1669	20.91235	24.0922
660.3193	19.86312	22.88419
660.4717	20.3242	23.41315
660.6241	21.2692	24.50177
660.7765	21.09504	24.30566
660.9289	19.00876	21.90437
661.0813	17.97061	20.70456
661.2337	18.7584	21.61333
661.3861	20.05025	23.09756
661.5385	19.2195	22.14199
