HOLE:	U1508C
EXPEDITION:	371
TOP:	272.1013
BOTTOM:	665.9028
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	m3/m3
272.1013	14.77659	12.45437	0.4056108	1.618218	0.2473043	-0.001179258
272.2537	16.87732	15.4683	0.519033	1.92047	0.1602838	-0.001179258
272.4061	18.40744	16.35885	0.5643092	1.940921	0.2443507	-0.001179258
272.5585	19.02355	16.66709	0.5919601	1.877867	0.3262612	-0.001179258
272.7109	20.1312	17.33716	0.6241209	1.904417	0.4431078	-0.001179258
272.8633	20.5414	18.1328	0.6597158	1.951119	0.4528312	-0.001179258
273.0157	21.10643	19.205	0.6636338	2.271952	0.3333938	-0.001179258
273.1681	19.97375	16.0679	0.611253	1.572861	0.548113	-0.001179258
273.3205	18.94439	15.69837	0.5856656	1.604196	0.4767747	-0.001179258
273.4729	20.28683	16.86639	0.6279772	1.730958	0.4990596	-0.001179258
273.6253	21.63923	17.843	0.699338	1.626276	0.5427956	-0.001179258
273.7777	23.01516	19.09284	0.7418267	1.778226	0.5994208	-0.001179258
273.9301	22.5212	17.50106	0.6833009	1.610526	0.7314347	-0.001179258
274.0825	22.38914	17.80029	0.6728934	1.767383	0.6856489	-0.001179258
274.2349	24.53909	18.9326	0.7258254	1.820508	0.829485	-0.001179258
274.3873	24.25096	18.37458	0.7134306	1.714161	0.8362975	-0.001179258
274.5397	24.41561	17.93789	0.6957024	1.677936	0.827354	-0.001179258
274.6921	22.12816	15.60227	0.6225613	1.357323	0.8250679	-0.001179258
274.8445	21.05725	14.18742	0.5717725	1.201053	0.8855947	-0.001179258
274.9969	21.66822	14.16064	0.573106	1.184649	0.9800267	-0.001179258
275.1493	23.24007	15.38685	0.6155098	1.329503	1.035644	-0.001179258
275.3017	24.42423	16.46642	0.6458383	1.498034	1.035686	-0.001179258
275.4541	23.45219	15.6984	0.6073694	1.477007	0.9669198	-0.001179258
275.6065	20.63943	13.97069	0.5213209	1.426876	0.8050256	-0.001179258
275.7589	17.94448	12.46775	0.4541266	1.338422	0.6630509	-0.001179258
275.9113	15.67092	10.82241	0.4026322	1.112399	0.5954289	-0.001179258
276.0637	15.44177	10.80851	0.3918212	1.171232	0.5581539	-0.001179258
276.2161	15.72098	10.95041	0.3909765	1.221661	0.5608638	-0.001179258
276.3685	16.01645	11.26741	0.3967391	1.289547	0.5836697	-0.001179258
276.5209	16.31772	10.69064	0.396602	1.105433	0.6740715	-0.001179258
