HOLE:	U1508C
EXPEDITION:	371
TOP:	87.5940
BOTTOM:	660.0083
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
87.5940	0.09621447	0.0648689	0.05644242	0.05160904	0.03828212	0.1406904	0.0381095
87.7464	0.319939	0.3058661	0.2701483	0.2786118	0.4789274	0.2486675	0.3689004
87.8988	0.1642026	0.4738519	0.5835432	0.6096727	0.977474	0.5117715	1.336517
88.0512	0.746263	0.4409833	98844.43	98854.09	98869.61	0.854632	67965.16
88.2036	0.02860822	1.170745	1.454262	1.826329	2.386371	0.8057981	7.009422
88.3560	0.9408498	1.031602	1.074525	1.104563	1.21023	0.59303	1.324685
88.5084	0.9385467	0.9543383	0.9984261	1.091905	1.216035	0.5397527	1.310063
88.6608	0.9825404	0.9989066	1.035194	1.088278	1.208323	0.4157744	1.277858
88.8132	0.93705	0.9448146	0.9762954	1.017579	1.142465	0.4045648	1.180517
88.9656	0.8797321	0.8816001	0.9122576	0.9489914	1.075006	0.399875	1.103045
89.1180	0.8866513	0.8963649	0.9205179	0.9576862	1.077996	0.3912469	1.112909
89.2704	0.8908619	0.902065	0.9258237	0.9592717	1.079807	0.3902927	1.107627
89.4228	0.9119924	0.9197689	0.9412704	0.9764953	1.096346	0.3909277	1.125458
89.5752	0.9009678	0.9060349	0.9317815	0.969851	1.091365	0.3907447	1.13145
89.7276	0.8814145	0.8855505	0.9148572	0.9559348	1.072319	0.4007417	1.123621
89.8800	0.9112723	0.9169075	0.9481824	0.9888272	1.108741	0.3861715	1.165083
90.0324	1.007079	1.027038	1.068502	1.117528	1.279477	0.3792581	1.370882
90.1848	0.6359403	0.6723914	0.69427	0.7126074	0.979351	0.397485	1.013689
90.3372	0.8881461	0.9002354	0.9236074	0.9605637	1.110378	0.4016421	1.127495
90.4896	1.098207	1.071552	1.091851	1.116004	1.226786	0.3793324	1.223594
90.6420	1.024449	1.025751	1.048326	1.074149	1.269901	0.3842584	1.271569
90.7944	1.001917	0.9731428	0.9720679	1.013404	1.085458	0.3835681	1.069559
90.9468	1.098829	1.109666	1.143888	1.21963	1.375898	0.3670318	1.441925
91.0992	1.082444	1.091951	1.11244	1.150305	1.277752	0.3583209	1.306187
91.2516	1.096877	1.076282	1.082432	1.096709	1.195255	0.3707927	1.174497
91.4040	1.091573	1.069114	1.082253	1.101041	1.215766	0.378594	1.204095
91.5564	0.9796969	0.9918576	1.022228	1.070003	1.191457	0.3987275	1.240569
91.7088	1.010598	1.014709	1.045476	1.080901	1.197467	0.4227244	1.243537
91.8612	1.043132	1.051777	1.087091	1.126048	1.241458	0.4423706	1.304309
92.0136	1.070822	1.078078	1.110168	1.148505	1.26382	0.4452445	1.30972
92.1660	1.035584	1.044089	1.076405	1.113094	1.23097	0.4401875	1.284367
92.3184	1.006531	1.014504	1.052829	1.086917	1.204745	0.4282424	1.269005
92.4708	1.009849	1.007816	1.035436	1.065691	1.176315	0.4109055	1.202035
92.6232	1.035701	1.038005	1.060791	1.091701	1.201876	0.3933238	1.225521
92.7756	1.073561	1.079767	1.100748	1.137012	1.250176	0.3835076	1.277895
92.9280	1.107908	1.117409	1.14538	1.182029	1.293404	0.377615	1.329713
93.0804	1.117704	1.128569	1.157322	1.195089	1.307338	0.374333	1.345973
93.2328	1.072475	1.08943	1.118433	1.159161	1.271561	0.3717142	1.320742
93.3852	1.089947	1.111465	1.143043	1.184159	1.305342	0.3648061	1.352759
93.5376	1.084351	1.101564	1.13074	1.182378	1.298591	0.3642029	1.335918
93.6900	1.065594	1.070631	1.098389	1.138542	1.239599	0.3631847	1.273694
93.8424	1.046965	1.061408	1.09536	1.133991	1.241976	0.3637665	1.293656
93.9948	1.059873	1.079416	1.112183	1.156451	1.25972	0.3668695	1.31728
94.1472	1.077513	1.092821	1.121046	1.166591	1.266802	0.3639416	1.315444
94.2996	1.052399	1.061897	1.092709	1.131233	1.233563	0.3628696	1.275702
94.4520	1.041043	1.043103	1.068314	1.100583	1.189878	0.360516	1.21241
94.6044	1.044354	1.055722	1.086762	1.125237	1.232557	0.3603614	1.2774
94.7568	1.029374	1.046568	1.078235	1.115324	1.21859	0.3611024	1.270761
94.9092	1.048121	1.070916	1.105375	1.147252	1.254436	0.3638275	1.32637
95.0616	1.04496	1.067479	1.098577	1.140869	1.247963	0.3727337	1.307836
95.2140	0.9991268	0.9924687	1.006288	1.033125	1.108365	0.3792952	1.11026
