HOLE:	U1508C
EXPEDITION:	371
TOP:	271.6441
BOTTOM:	697.6020
DEPTH_WMSF	RLA1	RLA2	RLA3	RLA4	RLA5	RM_HRLT	RT_HRLT
m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m	ohm.m
271.6441	1.310818	1.288098	1.304847	1.335459	1.42732	0.4282336	1.413327
271.7965	1.295581	1.273516	1.293504	1.326185	1.419057	0.4287587	1.409395
271.9489	1.315445	1.291574	1.306354	1.340359	1.431048	0.427883	1.416281
272.1013	1.302028	1.283842	1.300832	1.332484	1.425956	0.4278865	1.416345
272.2537	1.310272	1.281234	1.295482	1.32742	1.417152	0.4286635	1.398632
272.4061	1.302846	1.276007	1.292011	1.32295	1.417184	0.4304416	1.399544
272.5585	1.339796	1.315424	1.329891	1.356771	1.452802	0.4294227	1.431639
272.7109	1.394063	1.379912	1.39785	1.426466	1.527713	0.4269153	1.517172
272.8633	1.329484	1.314781	1.327812	1.360346	1.453381	0.4265037	1.443343
273.0157	1.25769	1.240865	1.2542	1.285643	1.375924	0.423947	1.365269
273.1681	1.211555	1.193538	1.209132	1.237528	1.33076	0.4193439	1.320106
273.3205	1.221575	1.19476	1.209266	1.234053	1.324721	0.4148652	1.304108
273.4729	1.240107	1.219628	1.231208	1.256184	1.346549	0.4123573	1.326973
273.6253	1.245863	1.225516	1.23759	1.261947	1.354081	0.4123865	1.336157
273.7777	1.268757	1.252988	1.261969	1.285955	1.378378	0.412727	1.358987
273.9301	1.295267	1.275909	1.287334	1.309473	1.399031	0.4123713	1.377646
274.0825	1.308195	1.296917	1.310159	1.328604	1.425211	0.4114307	1.408137
274.2349	1.297799	1.282241	1.299635	1.31916	1.411841	0.4109811	1.3973
274.3873	1.267459	1.244624	1.26029	1.28261	1.370665	0.4109716	1.351716
274.5397	1.26853	1.241389	1.255017	1.281707	1.36784	0.4096895	1.346091
274.6921	1.255685	1.239151	1.251241	1.280888	1.367875	0.4086394	1.353838
274.8445	1.275947	1.254198	1.266959	1.293573	1.379967	0.4085275	1.360572
274.9969	1.288237	1.266625	1.277542	1.311142	1.400229	0.4086453	1.382562
275.1493	1.33606	1.313541	1.327431	1.35866	1.448734	0.4078835	1.430004
275.3017	1.352942	1.338026	1.35786	1.391217	1.485722	0.4072594	1.477965
275.4541	1.340999	1.32294	1.342615	1.377167	1.469604	0.4070886	1.460433
275.6065	1.358221	1.334082	1.352419	1.383944	1.473311	0.4072212	1.456777
275.7589	1.356792	1.34461	1.361456	1.396102	1.485538	0.4047585	1.477538
275.9113	1.384315	1.373297	1.398149	1.430435	1.528162	0.4007982	1.526577
276.0637	1.355024	1.337828	1.358716	1.387341	1.481528	0.3984322	1.472538
276.2161	1.275522	1.267458	1.286732	1.313863	1.413059	0.3968587	1.410097
276.3685	1.26383	1.248639	1.262233	1.283692	1.37553	0.3933318	1.360189
276.5209	1.265805	1.244026	1.255935	1.277972	1.369588	0.3911033	1.347803
276.6733	1.269377	1.252079	1.265643	1.287473	1.381074	0.3895384	1.36316
276.8257	1.297882	1.280378	1.294906	1.317454	1.411458	0.3877111	1.393569
276.9781	1.30419	1.284783	1.292892	1.320036	1.410629	0.3878022	1.390134
277.1305	1.271708	1.254181	1.268937	1.297235	1.390815	0.3889524	1.378277
277.2829	1.289465	1.269407	1.287611	1.312353	1.410017	0.3885789	1.395084
277.4353	1.333121	1.31001	1.331529	1.357799	1.458114	0.3887032	1.442858
277.5877	1.352134	1.331155	1.349967	1.377074	1.476777	0.3897677	1.460116
277.7401	1.3763	1.362488	1.378672	1.405763	1.507063	0.3907792	1.493494
277.8925	1.39423	1.378148	1.396231	1.427062	1.529126	0.3908894	1.518708
278.0449	1.328829	1.314816	1.330676	1.361863	1.462504	0.3918368	1.454601
278.1973	1.273648	1.257591	1.27406	1.30773	1.40649	0.3898077	1.399468
278.3497	1.267113	1.252324	1.268292	1.298985	1.39862	0.3859546	1.39132
278.5021	1.232691	1.214945	1.229672	1.257362	1.351448	0.3832353	1.339244
278.6545	1.28546	1.270208	1.284732	1.307884	1.405083	0.378557	1.389751
278.8069	1.303715	1.287724	1.302994	1.324145	1.421116	0.3766461	1.405063
278.9593	1.303263	1.290143	1.305245	1.328563	1.424548	0.375215	1.411868
279.1117	1.31711	1.300778	1.312626	1.350002	1.446385	0.3733521	1.436004
279.2641	1.283436	1.26721	1.279181	1.320745	1.414623	0.3728479	1.408252
279.4165	1.255692	1.233843	1.251786	1.292759	1.387664	0.3725955	1.380988
279.5689	1.271945	1.24659	1.265336	1.307223	1.402186	0.3710159	1.394399
279.7213	1.267898	1.2402	1.261379	1.303411	1.400821	0.36983	1.392048
279.8737	1.265671	1.241273	1.263255	1.30217	1.39883	0.3698522	1.39169
280.0261	1.268425	1.242124	1.264592	1.303934	1.40005	0.3710706	1.391313
280.1785	1.311091	1.29268	1.316515	1.350289	1.451445	0.367677	1.446815
280.3309	1.349087	1.341813	1.361729	1.396495	1.49509	0.3634561	1.496922
280.4833	1.085807	1.066664	1.080138	1.107941	1.187515	0.3665901	1.177162
280.6357	1.103181	1.083139	1.095771	1.120989	1.200228	0.3624322	1.185943
280.7881	1.089182	1.071075	1.085685	1.109556	1.191793	0.3569144	1.180861
280.9405	1.09116	1.071981	1.087328	1.111841	1.194577	0.3568145	1.183247
281.0929	1.090146	1.07126	1.084985	1.110718	1.192964	0.3582492	1.181998
281.2453	1.07509	1.058264	1.068982	1.091322	1.170911	0.3611389	1.155146
